date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-27,47.06,47.06,47.06,47.06,29.124,2000.0,0.0,1.0
2007-12-28,47.23,47.56,47.23,47.55,29.4272,2400.0,0.0,1.0
2007-12-31,47.9,47.9,47.55,47.55,29.4272,1900.0,0.0,1.0
2008-01-02,47.78,50.1,47.78,48.0,29.7057,11600.0,0.0,1.0
2008-01-03,48.0,48.0,48.0,48.0,29.7057,0.0,0.0,1.0
2008-01-04,48.0,48.0,48.0,48.0,29.7057,0.0,0.0,1.0
2008-01-07,50.89,50.89,45.39,45.41,28.1029,2300.0,0.0,1.0
2008-01-08,45.11,45.11,45.11,45.11,27.9172,1000.0,0.0,1.0
2008-01-09,45.11,45.11,45.11,45.11,27.9172,0.0,0.0,1.0
2008-01-10,43.94,44.02,43.94,44.02,27.2426,3600.0,0.0,1.0
2008-01-11,42.96,43.03,42.96,43.03,26.63,600.0,0.0,1.0
2008-01-14,45.32,45.49,45.32,45.49,28.1524,3000.0,0.0,1.0
2008-01-15,45.49,45.49,45.49,45.49,28.1524,0.0,0.0,1.0
2008-01-16,45.49,45.49,45.49,45.49,28.1524,0.0,0.0,1.0
2008-01-17,45.49,45.49,45.49,45.49,28.1524,0.0,0.0,1.0
2008-01-18,35.0,44.89,33.3,44.61,27.6078,14200.0,0.0,1.0
2008-01-22,44.61,46.32,44.61,46.32,28.666,3500.0,0.0,1.0
2008-01-23,45.06,45.29,44.73,44.99,27.843,6400.0,0.0,1.0
2008-01-24,46.73,48.6,46.53,46.99,29.0807,6500.0,0.0,1.0
2008-01-25,46.5,47.1,46.5,46.6,28.8393,4200.0,0.0,1.0
2008-01-28,47.6,47.6,46.54,47.19,29.2045,1900.0,0.0,1.0
2008-01-29,47.53,48.41,47.53,48.38,29.9409,4800.0,0.0,1.0
2008-01-30,48.77,48.77,47.51,48.59,30.0709,6300.0,0.0,1.0
2008-01-31,49.49,49.49,48.65,49.22,30.4608,3300.0,0.0,1.0
2008-02-01,49.2,49.73,49.2,49.73,30.7764,2200.0,0.0,1.0
2008-02-04,44.15,54.99,44.1,54.99,34.0317,1000.0,0.0,1.0
2008-02-05,49.0,51.0,46.88,46.88,29.0126,7700.0,0.0,1.0
2008-02-06,47.49,47.49,47.16,47.16,29.1859,1800.0,0.0,1.0
2008-02-07,46.71,49.5,45.66,47.0,29.0869,5900.0,0.0,1.0
2008-02-08,45.95,47.83,45.7,46.43,28.7341,9400.0,0.0,1.0
2008-02-11,47.25,49.0,47.0,47.0,29.0869,8600.0,0.0,1.0
2008-02-12,50.64,50.64,48.03,48.03,29.7243,1300.0,0.0,1.0
2008-02-13,48.65,48.66,48.64,48.64,30.1018,5400.0,0.0,1.0
2008-02-14,48.58,48.58,48.3,48.3,29.8914,2300.0,0.0,1.0
2008-02-15,47.65,47.7,47.6,47.7,29.5201,6000.0,0.0,1.0
2008-02-19,48.26,48.62,48.11,48.11,29.7738,4700.0,0.0,1.0
2008-02-20,48.2,48.2,48.2,48.2,29.8295,100.0,0.0,1.0
2008-02-21,48.7,48.7,48.7,48.7,30.139,1000.0,0.0,1.0
2008-02-22,48.89,48.89,48.88,48.88,30.2504,2000.0,0.0,1.0
2008-02-25,49.4,49.94,49.4,49.81,30.8259,2400.0,0.0,1.0
2008-02-26,49.81,49.81,49.81,49.81,30.8259,0.0,0.0,1.0
2008-02-27,51.3,51.85,51.3,51.85,32.0884,700.0,0.0,1.0
2008-02-28,52.89,52.89,51.29,51.48,31.8594,2600.0,0.0,1.0
2008-02-29,51.25,52.79,50.14,50.23,31.0858,6900.0,0.0,1.0
