date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-12-12,49.91,50.12,49.85,50.01,33.5636,2200.0,0.0,1.0
2007-12-13,49.82,50.05,49.82,50.05,33.5904,700.0,0.0,1.0
2007-12-14,49.69,50.5,49.65,50.12,33.6374,2100.0,0.0,1.0
2007-12-17,49.45,49.63,49.24,49.37,33.134,2100.0,0.0,1.0
2007-12-18,49.63,49.63,48.72,49.02,32.8991,2200.0,0.0,1.0
2007-12-19,49.17,49.4,48.46,48.72,32.6978,11700.0,0.0,1.0
2007-12-20,50.68,50.68,48.6,49.0,32.8857,10000.0,0.0,1.0
2007-12-21,49.93,49.98,49.2,49.83,33.4428,7500.0,0.0,1.0
2007-12-24,50.17,50.17,49.5,49.66,33.4495,7700.0,0.18,1.0
2007-12-26,50.22,50.22,49.6,49.8,33.5438,10200.0,0.0,1.0
2007-12-27,50.49,50.49,49.6,49.75,33.5101,11300.0,0.0,1.0
2007-12-28,49.86,49.88,49.8,49.86,33.5842,4500.0,0.0,1.0
2007-12-31,50.3,50.38,49.86,50.38,33.9345,13200.0,0.0,1.0
2008-01-02,50.16,53.2,50.16,51.55,34.7225,87200.0,0.0,1.0
2008-01-03,52.45,52.7,50.75,51.03,34.3723,22300.0,0.0,1.0
2008-01-04,51.86,51.86,48.73,49.26,33.1801,44500.0,0.0,1.0
2008-01-07,49.84,49.84,48.5,48.89,32.9308,19100.0,0.0,1.0
2008-01-08,49.66,49.66,48.86,48.86,32.9106,28700.0,0.0,1.0
2008-01-09,48.9,49.64,48.53,49.19,33.1329,14800.0,0.0,1.0
2008-01-10,49.86,49.86,49.05,49.26,33.1801,11100.0,0.0,1.0
2008-01-11,51.0,51.0,48.31,48.48,32.6547,44400.0,0.0,1.0
2008-01-14,47.64,48.85,47.64,48.85,32.9039,7700.0,0.0,1.0
2008-01-15,48.85,48.85,47.98,48.13,32.4189,11200.0,0.0,1.0
2008-01-16,48.0,48.0,47.0,47.0,31.6578,12000.0,0.0,1.0
2008-01-17,47.95,47.95,46.03,46.14,31.0785,11700.0,0.0,1.0
2008-01-18,46.0,47.26,45.85,46.15,31.0853,16200.0,0.0,1.0
2008-01-22,40.15,44.07,39.0,44.07,29.6842,15300.0,0.0,1.0
2008-01-23,42.82,43.06,42.0,42.57,28.6739,14900.0,0.0,1.0
2008-01-24,44.19,44.22,43.32,44.01,29.6438,11900.0,0.0,1.0
2008-01-25,46.05,46.05,44.52,44.52,29.9873,14000.0,0.0,1.0
2008-01-28,45.09,45.09,44.22,44.78,30.1625,22300.0,0.0,1.0
2008-01-29,46.1,46.14,44.68,45.2,30.4454,32700.0,0.0,1.0
2008-01-30,45.76,45.93,44.68,45.65,30.7485,14800.0,0.0,1.0
2008-01-31,46.55,46.55,44.5,46.21,31.1257,7900.0,0.0,1.0
2008-02-01,46.87,46.87,46.19,46.39,31.2469,26800.0,0.0,1.0
2008-02-04,47.37,47.37,46.81,46.96,31.6309,18800.0,0.0,1.0
2008-02-05,46.55,46.55,45.48,45.53,30.6676,21100.0,0.0,1.0
2008-02-06,47.42,47.42,45.25,45.25,30.479,10400.0,0.0,1.0
2008-02-07,44.6,45.22,44.5,44.91,30.25,7400.0,0.0,1.0
2008-02-08,45.32,45.32,44.7,45.27,30.4925,6400.0,0.0,1.0
