date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-11-20,24.99,24.99,24.69,24.83,23.5596,10400.0,0.0,1.0
2009-11-23,25.41,25.53,25.23,25.26,23.9676,20900.0,0.0,1.0
2009-11-24,25.35,25.41,24.97,25.06,23.7778,47800.0,0.0,1.0
2009-11-25,25.33,25.4,25.13,25.39,24.0909,34700.0,0.0,1.0
2009-11-27,24.41,24.69,24.32,24.58,23.3223,35500.0,0.0,1.0
2009-11-30,25.0,25.4,24.75,24.94,23.6639,33100.0,0.0,1.0
2009-12-01,25.49,25.6,25.42,25.55,24.2427,43700.0,0.0,1.0
2009-12-02,25.58,25.58,25.42,25.51,24.2048,17500.0,0.0,1.0
2009-12-03,25.75,25.75,25.29,25.3,24.0055,26300.0,0.0,1.0
2009-12-04,25.7,25.8,25.29,25.6,24.2902,28900.0,0.0,1.0
2009-12-07,25.24,25.24,24.89,24.94,23.6639,21600.0,0.0,1.0
2009-12-08,25.07,25.08,24.9,24.95,23.6734,7800.0,0.0,1.0
2009-12-09,25.06,25.23,25.01,25.23,23.9391,18000.0,0.0,1.0
2009-12-10,25.45,25.5,25.29,25.34,24.0435,144200.0,0.0,1.0
2009-12-11,25.33,25.33,25.0,25.1,23.8157,35800.0,0.0,1.0
2009-12-14,25.12,25.12,24.95,25.07,23.7873,121500.0,0.0,1.0
2009-12-15,24.83,24.83,24.64,24.7,23.4362,31900.0,0.0,1.0
2009-12-16,24.77,24.9,24.75,24.77,23.5026,13500.0,0.0,1.0
2009-12-17,24.72,24.72,24.35,24.37,23.1231,22500.0,0.0,1.0
2009-12-18,24.29,24.3,24.08,24.27,23.0282,36500.0,0.0,1.0
2009-12-21,24.33,24.35,24.24,24.28,23.0377,72400.0,0.0,1.0
2009-12-22,24.38,24.52,24.35,24.37,23.1231,25400.0,0.0,1.0
2009-12-23,25.19,25.19,24.83,25.0,23.7209,63200.0,0.0,1.0
2009-12-24,25.2,25.29,25.2,25.22,23.9296,4700.0,0.0,1.0
2009-12-28,25.59,25.59,25.33,25.39,24.0909,28500.0,0.0,1.0
2009-12-29,25.49,25.69,25.27,25.38,24.0814,14500.0,0.0,1.0
2009-12-30,25.53,25.53,25.29,25.4,24.1004,14400.0,0.0,1.0
2009-12-31,25.59,25.59,25.31,25.31,24.015,16400.0,0.0,1.0
2010-01-04,25.89,26.15,25.89,26.13,24.793,34300.0,0.0,1.0
2010-01-05,26.4,26.4,26.13,26.3,24.9543,53800.0,0.0,1.0
2010-01-06,26.68,26.68,26.4,26.48,25.1251,97700.0,0.0,1.0
2010-01-07,26.62,26.62,26.46,26.56,25.201,44300.0,0.0,1.0
2010-01-08,26.35,26.48,26.26,26.44,25.0872,22600.0,0.0,1.0
2010-01-11,26.62,26.62,26.35,26.47,25.1156,85600.0,0.0,1.0
2010-01-12,26.19,26.29,25.99,26.0,24.6697,47700.0,0.0,1.0
2010-01-13,26.41,26.46,26.13,26.43,25.0777,29000.0,0.0,1.0
2010-01-14,26.6,26.6,26.4,26.5,25.1441,50700.0,0.0,1.0
2010-01-15,26.65,26.65,26.02,26.07,24.7361,20600.0,0.0,1.0
2010-01-19,26.3,26.53,26.12,26.49,25.1346,55000.0,0.0,1.0
2010-01-20,26.31,26.31,25.73,25.85,24.5274,47200.0,0.0,1.0
2010-01-21,25.63,25.63,24.87,24.87,23.5975,133400.0,0.0,1.0
2010-01-22,24.88,24.88,24.4,24.44,23.1895,30000.0,0.0,1.0
2010-01-25,25.07,25.07,24.59,24.73,23.4647,41200.0,0.0,1.0
