date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,12.0417,12.3021,11.25,11.9063,10.9179,6459600.0,0.0,1.0
1999-08-11,12.1667,12.5833,11.9167,12.5,11.4623,4597800.0,0.0,1.0
1999-08-12,12.5417,13.2917,12.3958,12.6458,11.5961,9834600.0,0.0,1.0
1999-08-13,13.0938,13.6042,13.0833,13.5521,12.4271,3491400.0,0.0,1.0
1999-08-16,13.5417,13.5833,13.1979,13.4271,12.3124,2527200.0,0.0,1.0
1999-08-17,13.4479,13.6458,12.9792,13.2396,12.1405,2494200.0,0.0,1.0
1999-08-18,13.4583,14.0521,13.3229,13.6771,12.5417,9890400.0,0.0,1.0
1999-08-19,13.5417,13.5417,13.0,13.125,12.0354,2290200.0,0.0,1.0
1999-08-20,13.1771,13.4375,13.125,13.3542,12.2456,2729400.0,0.0,1.0
1999-08-23,13.4063,13.6979,13.0833,13.3958,12.2838,3907200.0,0.0,1.0
1999-08-24,13.3125,13.75,13.1667,13.3958,12.2838,3140400.0,0.0,1.0
1999-08-25,13.5,14.2917,13.3958,14.1042,12.9333,4691400.0,0.0,1.0
1999-08-26,14.3438,14.5625,13.6458,13.8125,12.6659,4519800.0,0.0,1.0
1999-08-27,14.8229,15.5417,14.5833,15.1771,13.9172,21369000.0,0.0,1.0
1999-08-30,15.1771,15.2917,14.625,14.6563,13.4396,7743600.0,0.0,1.0
1999-08-31,14.5938,15.0,14.5,14.9271,13.6879,5862600.0,0.0,1.0
1999-09-01,14.9167,15.4583,14.8958,15.2292,13.9649,7227000.0,0.0,1.0
1999-09-02,15.0,15.25,14.875,15.0208,13.7739,3630000.0,0.0,1.0
1999-09-03,15.25,15.6354,15.2083,15.6354,14.3375,5298000.0,0.0,1.0
1999-09-07,15.5,16.2292,15.3854,15.6667,14.3661,6474600.0,0.0,1.0
1999-09-08,15.625,15.7083,15.0208,15.3333,14.0605,3492600.0,0.0,1.0
1999-09-09,15.5,16.2083,15.4375,16.1771,14.8342,3676800.0,0.0,1.0
1999-09-10,17.5625,17.75,17.0208,17.1667,15.7416,14710200.0,0.0,1.0
1999-09-13,17.4583,17.7083,16.6771,16.7813,15.3882,6352200.0,0.0,1.0
1999-09-14,16.8542,17.6563,16.5833,17.6354,16.1714,5047200.0,0.0,1.0
1999-09-15,17.7708,17.875,16.8333,16.9167,15.5123,5587800.0,0.0,1.0
1999-09-16,16.9583,17.1667,16.3542,16.625,15.2449,5015400.0,0.0,1.0
1999-09-17,16.9167,17.5104,16.8854,17.1667,15.7416,7319400.0,0.0,1.0
1999-09-20,17.2917,17.6667,17.1042,17.3438,15.904,4016400.0,0.0,1.0
1999-09-21,17.3125,17.3646,16.8333,17.1563,15.732,4455600.0,0.0,1.0
1999-09-22,17.1563,17.6667,17.0833,17.2083,15.7798,6731400.0,0.0,1.0
1999-09-23,17.3542,17.4167,16.6667,16.7604,15.3691,7419600.0,0.0,1.0
1999-09-24,16.25,16.6667,14.7083,15.6771,14.3757,22840200.0,0.0,1.0
1999-09-27,15.9583,16.0833,14.875,15.0313,13.7834,10003200.0,0.0,1.0
1999-09-28,14.9167,15.7083,14.875,15.625,14.3279,7054800.0,0.0,1.0
1999-09-29,15.7292,15.7708,14.6771,14.9583,13.7166,6603600.0,0.0,1.0
1999-09-30,15.25,15.25,14.25,14.6094,13.3966,8116800.0,0.0,1.0
1999-10-01,14.75,15.3125,14.0,14.625,13.4109,3633800.0,0.0,3.0
1999-10-04,15.0,15.5,14.75,15.4688,14.1846,4405600.0,0.0,1.0
1999-10-05,15.625,15.9375,14.7813,15.1875,13.9267,3558200.0,0.0,1.0
