date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.0,3.0,2.9259,2.9259,2.2682,6900.0,0.0,1.0
1999-08-11,2.8889,2.8889,2.7963,2.7963,2.1677,29700.0,0.0,1.0
1999-08-12,2.7963,2.7963,2.7963,2.7963,2.1677,900.0,0.0,1.0
1999-08-13,2.7963,2.8148,2.7963,2.8148,2.1821,24900.0,0.0,1.0
1999-08-16,2.8148,2.8148,2.8148,2.8148,2.1821,5500.0,0.0,1.0
1999-08-17,2.963,2.963,2.8148,2.8148,2.1821,20400.0,0.0,1.0
1999-08-18,2.8148,2.8148,2.7037,2.7037,2.0959,37000.0,0.0,1.0
1999-08-19,2.7037,2.7037,2.7037,2.7037,2.0959,2800.0,0.0,1.0
1999-08-20,2.7037,2.7037,2.7037,2.7037,2.0959,0.0,0.0,1.0
1999-08-23,2.8704,2.8704,2.8704,2.8704,2.2251,1300.0,0.0,1.0
1999-08-24,2.8704,2.8704,2.8704,2.8704,2.2251,0.0,0.0,1.0
1999-08-25,2.8519,2.8519,2.8519,2.8519,2.2108,1500.0,0.0,1.0
1999-08-26,2.8519,2.8519,2.8519,2.8519,2.2108,15000.0,0.0,1.0
1999-08-27,2.8333,2.8519,2.8148,2.8519,2.2108,253800.0,0.0,1.0
1999-08-30,2.8333,2.8333,2.8333,2.8333,2.1964,3600.0,0.0,1.0
1999-08-31,2.963,2.963,2.8333,2.8519,2.2108,171600.0,0.0,1.0
1999-09-01,2.8704,2.8704,2.8704,2.8704,2.2251,100.0,0.0,1.0
1999-09-02,2.8889,2.8889,2.8519,2.8519,2.2108,2700.0,0.0,1.0
1999-09-03,2.8519,2.8519,2.8519,2.8519,2.2108,33000.0,0.0,1.0
1999-09-07,2.8519,2.8519,2.8519,2.8519,2.2108,0.0,0.0,1.0
1999-09-08,2.8704,2.8889,2.8519,2.8889,2.2395,356500.0,0.0,1.0
1999-09-09,2.8704,2.9074,2.8704,2.8889,2.2395,427900.0,0.0,1.0
1999-09-10,2.8889,2.9074,2.8704,2.8889,2.2395,158100.0,0.0,1.0
1999-09-13,2.8333,2.8889,2.8333,2.8889,2.2395,102700.0,0.0,1.0
1999-09-14,2.8704,2.9074,2.8519,2.9074,2.2538,345700.0,0.0,1.0
1999-09-15,2.8704,2.9074,2.8704,2.8889,2.2395,179500.0,0.0,1.0
1999-09-16,2.9074,2.9074,2.8889,2.8889,2.2395,53200.0,0.0,1.0
1999-09-17,2.9074,2.9074,2.8889,2.8889,2.2395,16300.0,0.0,1.0
1999-09-20,2.9259,2.9259,2.9259,2.9259,2.2682,1500.0,0.0,1.0
1999-09-21,2.7963,2.8889,2.7963,2.8889,2.2395,210100.0,0.0,1.0
1999-09-22,2.8889,2.9074,2.8889,2.8889,2.2395,17700.0,0.0,1.0
1999-09-23,2.8889,2.8889,2.8704,2.8889,2.2395,177400.0,0.0,1.0
1999-09-24,2.8889,2.9074,2.8519,2.9074,2.2538,417700.0,0.0,1.0
1999-09-27,2.9259,2.9444,2.9074,2.9444,2.2826,186300.0,0.0,1.0
1999-09-28,2.9444,3.2593,2.8148,2.963,2.2969,583200.0,0.0,1.0
1999-09-29,2.8519,2.9074,2.7037,2.9074,2.2538,10300.0,0.0,1.0
1999-09-30,2.8148,2.8519,2.8148,2.8148,2.1821,31600.0,0.0,1.0
1999-10-01,2.8333,2.8333,2.7407,2.8148,2.1821,43800.0,0.0,1.0
1999-10-04,2.8889,2.8889,2.8148,2.8889,2.2395,8700.0,0.0,1.0
1999-10-05,2.8148,2.8148,2.7963,2.8148,2.1821,146400.0,0.0,1.0
1999-10-06,2.8148,2.8333,2.8148,2.8333,2.1964,31000.0,0.0,1.0
1999-10-07,2.7778,2.7778,2.7778,2.7778,2.1534,3300.0,0.0,1.0
1999-10-08,2.9259,2.9259,2.7778,2.7778,2.1534,131100.0,0.0,1.0
1999-10-11,2.7778,2.7778,2.7778,2.7778,2.1534,0.0,0.0,1.0
1999-10-12,2.7778,2.7778,2.7778,2.7778,2.1534,0.0,0.0,1.0
1999-10-13,2.7407,2.7407,2.5926,2.6667,2.0672,39100.0,0.0,1.0
1999-10-14,2.7963,2.9074,2.7963,2.8611,2.218,19000.0,0.0,1.0
1999-10-15,2.8611,2.8611,2.8611,2.8611,2.218,0.0,0.0,1.0
1999-10-18,2.6667,3.1852,2.6667,3.1111,2.4118,519700.0,0.0,1.0
1999-10-19,3.037,3.1111,3.037,3.1111,2.4118,12700.0,0.0,1.0
1999-10-20,3.1111,3.4444,2.963,2.963,2.2969,1750200.0,0.0,1.0
1999-10-21,3.0741,3.0741,3.0,3.037,2.3543,3600.0,0.0,1.0
1999-10-22,3.0,3.0,3.0,3.0,2.3256,10800.0,0.0,1.0
1999-10-25,3.0,3.2222,3.0,3.0741,2.383,22500.0,0.0,1.0
1999-10-26,3.1481,3.1481,2.963,3.0,2.3256,10900.0,0.0,1.0
1999-10-27,3.037,3.037,3.037,3.037,2.3543,600.0,0.0,1.0
1999-10-28,3.037,3.037,3.037,3.037,2.3543,6700.0,0.0,1.0
1999-10-29,3.037,3.037,3.037,3.037,2.3543,1300.0,0.0,1.0
1999-11-01,3.037,3.037,3.037,3.037,2.3543,600.0,0.0,1.0
1999-11-02,3.037,3.037,3.037,3.037,2.3543,15000.0,0.0,1.0
1999-11-03,3.037,3.037,3.037,3.037,2.3543,0.0,0.0,1.0
1999-11-04,3.0,3.0185,3.0,3.0185,2.34,14800.0,0.0,1.0
1999-11-05,3.0,3.0,3.0,3.0,2.3256,1900.0,0.0,1.0
1999-11-08,3.0,3.0093,2.963,2.963,2.2969,18100.0,0.0,1.0
1999-11-09,2.9815,3.0,2.963,2.963,2.2969,73800.0,0.0,1.0
1999-11-10,2.963,2.963,2.963,2.963,2.2969,0.0,0.0,1.0
1999-11-11,2.963,2.963,2.9074,2.9074,2.2538,7600.0,0.0,1.0
1999-11-12,2.963,2.963,2.963,2.963,2.2969,1300.0,0.0,1.0
1999-11-15,2.963,2.963,2.963,2.963,2.2969,0.0,0.0,1.0
1999-11-16,2.9815,2.9815,2.9815,2.9815,2.3113,17500.0,0.0,1.0
1999-11-17,2.963,2.963,2.963,2.963,2.2969,1500.0,0.0,1.0
1999-11-18,2.9074,2.9074,2.9074,2.9074,2.2538,2700.0,0.0,1.0
1999-11-19,2.9259,2.9259,2.6667,2.7407,2.1246,22500.0,0.0,1.0
1999-11-22,2.7037,2.7037,2.7037,2.7037,2.0959,38700.0,0.0,1.0
1999-11-23,2.7037,2.7407,2.6667,2.7407,2.1246,23500.0,0.0,1.0
1999-11-24,2.7037,2.7037,2.7037,2.7037,2.0959,100.0,0.0,1.0
1999-11-26,2.7037,2.7407,2.7037,2.7407,2.1246,13000.0,0.0,1.0
1999-11-29,2.6296,2.7407,2.6296,2.6296,2.0385,18100.0,0.0,1.0
1999-11-30,2.6296,2.6296,2.6296,2.6296,2.0385,8700.0,0.0,1.0
1999-12-01,2.6296,2.6296,2.6296,2.6296,2.0385,0.0,0.0,1.0
1999-12-02,2.6296,2.6296,2.6296,2.6296,2.0385,4000.0,0.0,1.0
1999-12-03,2.6296,2.6296,2.6296,2.6296,2.0385,0.0,0.0,1.0
1999-12-06,2.6296,2.6296,2.6296,2.6296,2.0385,0.0,0.0,1.0
1999-12-07,2.6296,2.6296,2.6296,2.6296,2.0385,1300.0,0.0,1.0
1999-12-08,2.6296,2.6296,2.6296,2.6296,2.0385,0.0,0.0,1.0
1999-12-09,2.6667,2.6667,2.6667,2.6667,2.0672,100.0,0.0,1.0
1999-12-10,2.6296,2.6296,2.6296,2.6296,2.0385,23500.0,0.0,1.0
1999-12-13,2.8148,2.8148,2.7037,2.7037,2.0959,31200.0,0.0,1.0
1999-12-14,2.7037,2.8148,2.7037,2.7037,2.0959,4600.0,0.0,1.0
1999-12-15,2.7037,2.7037,2.7037,2.7037,2.0959,0.0,0.0,1.0
1999-12-16,2.7037,2.7037,2.7037,2.7037,2.0959,0.0,0.0,1.0
1999-12-17,2.7407,2.8148,2.7407,2.8148,2.1821,4000.0,0.0,1.0
1999-12-20,2.7778,2.7778,2.7778,2.7778,2.1534,1500.0,0.0,1.0
1999-12-21,2.7778,2.7778,2.7778,2.7778,2.1534,0.0,0.0,1.0
1999-12-22,2.7778,2.7778,2.7407,2.7407,2.1246,6300.0,0.0,1.0
1999-12-23,2.7407,2.7407,2.7407,2.7407,2.1246,0.0,0.0,1.0
1999-12-27,2.8519,2.8519,2.8519,2.8519,2.2108,6700.0,0.0,1.0
1999-12-28,2.8519,2.8519,2.8519,2.8519,2.2108,0.0,0.0,1.0
1999-12-29,2.8519,2.8889,2.8519,2.8889,2.2395,6700.0,0.0,1.0
1999-12-30,2.8889,2.8889,2.8148,2.8148,2.1821,11700.0,0.0,1.0
1999-12-31,2.8148,2.8148,2.8148,2.8148,2.1821,0.0,0.0,1.0
2000-01-03,2.6759,2.7407,2.6759,2.7037,2.0959,12300.0,0.0,1.0
2000-01-04,2.8472,2.8472,2.7037,2.7778,2.1534,68400.0,0.0,1.0
2000-01-05,2.7778,2.8148,2.7407,2.7407,2.1246,9400.0,0.0,1.0
2000-01-06,2.7778,2.8704,2.7778,2.8704,2.2251,9000.0,0.0,1.0
2000-01-07,2.8704,2.8704,2.8704,2.8704,2.2251,0.0,0.0,1.0
2000-01-10,2.8519,2.8889,2.8519,2.8889,2.2395,10300.0,0.0,1.0
2000-01-11,2.9815,2.9815,2.8519,2.8519,2.2108,91300.0,0.0,1.0
2000-01-12,2.8333,2.8889,2.7407,2.7778,2.1534,167400.0,0.0,1.0
2000-01-13,2.8889,3.0,2.8148,2.8148,2.1821,14400.0,0.0,1.0
2000-01-14,2.8519,2.8889,2.6667,2.8889,2.2395,25600.0,0.0,1.0
2000-01-18,2.8333,3.0,2.8148,3.0,2.3256,80500.0,0.0,1.0
2000-01-19,3.0,3.2593,3.0,3.0741,2.383,15400.0,0.0,1.0
2000-01-20,3.1111,3.1111,3.1111,3.1111,2.4118,10300.0,0.0,1.0
2000-01-21,3.1111,3.1111,3.1111,3.1111,2.4118,0.0,0.0,1.0
2000-01-24,3.0741,3.0741,3.037,3.037,2.3543,523000.0,0.0,1.0
2000-01-25,3.0556,3.2222,3.0556,3.0556,2.3687,108100.0,0.0,1.0
2000-01-26,2.9815,3.0741,2.9815,3.0741,2.383,18900.0,0.0,1.0
2000-01-27,3.0741,3.0741,3.0741,3.0741,2.383,0.0,0.0,1.0
2000-01-28,3.0741,3.0741,3.0741,3.0741,2.383,0.0,0.0,1.0
