date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-11-05,4.55,4.99,4.24,4.55,1.3861,30300.0,0.0,1.0
2003-11-06,4.55,4.55,4.55,4.55,1.3861,0.0,0.0,1.0
2003-11-07,4.52,4.9,4.52,4.9,1.4927,1400.0,0.0,1.0
2003-11-10,4.9,4.9,4.2,4.9,1.4927,6200.0,0.0,1.0
2003-11-11,4.9,4.9,4.9,4.9,1.4927,0.0,0.0,1.0
2003-11-12,4.9,4.9,4.9,4.9,1.4927,0.0,0.0,1.0
2003-11-13,4.9,4.9,4.9,4.9,1.4927,0.0,0.0,1.0
2003-11-14,4.17,4.17,4.17,4.17,1.2703,500.0,0.0,1.0
2003-11-17,4.05,4.05,3.65,3.65,1.1119,200.0,0.0,1.0
2003-11-18,4.85,5.9,4.0,5.0,1.5231,9600.0,0.0,1.0
2003-11-19,4.95,5.0,4.5,5.0,1.5231,2200.0,0.0,1.0
2003-11-20,4.5,4.5,4.5,4.5,1.3708,100.0,0.0,1.0
2003-11-21,4.67,4.9,4.67,4.9,1.4927,2200.0,0.0,1.0
2003-11-24,4.95,5.2,4.95,5.08,1.5475,7400.0,0.0,1.0
2003-11-25,4.93,4.93,4.67,4.67,1.4806,1200.0,0.199,1.0
2003-11-26,4.67,4.67,4.67,4.67,1.4806,200.0,0.0,1.0
2003-11-28,4.67,4.67,4.67,4.67,1.4806,0.0,0.0,1.0
2003-12-01,5.2,5.42,4.7,5.42,1.7184,10500.0,0.0,1.0
2003-12-02,5.15,5.15,5.1,5.1,1.6169,1000.0,0.0,1.0
2003-12-03,5.42,5.63,5.42,5.63,1.785,1200.0,0.0,1.0
2003-12-04,5.62,7.0,5.62,6.2,1.9657,11500.0,0.0,1.0
2003-12-05,6.2,7.7,5.95,7.0,2.2193,16900.0,0.0,1.0
2003-12-08,7.0,7.0,6.3,6.3,1.9974,11700.0,0.0,1.0
2003-12-09,6.53,6.53,5.45,6.4,2.0291,3400.0,0.0,1.0
2003-12-10,6.95,6.95,6.66,6.66,2.1115,1300.0,0.0,1.0
2003-12-11,6.79,6.79,5.92,6.44,2.0418,2500.0,0.0,1.0
2003-12-12,6.44,6.44,6.44,6.44,2.0418,0.0,0.0,1.0
2003-12-15,6.1,6.1,6.1,6.1,1.934,600.0,0.0,1.0
