date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-08-04,7.0833,8.3333,7.0833,8.125,4.7031,5502100.0,0.0,1.0
2000-08-07,8.0208,8.4583,8.0,8.1667,4.7272,402000.0,0.0,1.0
2000-08-08,8.0625,8.125,8.0,8.0,4.6307,291900.0,0.0,1.0
2000-08-09,8.0208,8.125,7.9167,8.0833,4.679,64500.0,0.0,1.0
2000-08-10,8.0625,8.0833,7.9167,8.0833,4.679,50100.0,0.0,1.0
2000-08-11,8.0,8.0833,7.9583,8.0,4.6307,43300.0,0.0,1.0
2000-08-14,8.0208,8.4167,8.0,8.1667,4.7272,34900.0,0.0,1.0
2000-08-15,8.25,8.7083,8.0833,8.6667,5.0166,67000.0,0.0,1.0
2000-08-16,8.7083,9.0417,8.5833,8.875,5.1372,39000.0,0.0,1.0
2000-08-17,8.6667,8.875,8.5833,8.75,5.0648,260500.0,0.0,1.0
2000-08-18,8.7083,8.875,8.5833,8.6771,5.0226,53200.0,0.0,1.0
2000-08-21,8.7708,8.875,8.6667,8.875,5.1372,25200.0,0.0,1.0
2000-08-22,8.8125,9.25,8.75,9.25,5.3543,53100.0,0.0,1.0
2000-08-23,9.2292,9.3333,9.1667,9.3333,5.4025,112600.0,0.0,1.0
2000-08-24,9.375,9.5,9.25,9.25,5.3543,121800.0,0.0,1.0
2000-08-25,9.3333,9.375,9.1667,9.2083,5.3301,11800.0,0.0,1.0
2000-08-28,9.2083,9.2083,9.0417,9.0417,5.2337,6700.0,0.0,1.0
2000-08-29,9.2083,9.375,9.125,9.2917,5.3784,261700.0,0.0,1.0
2000-08-30,9.375,9.6667,9.3333,9.5833,5.5472,189600.0,0.0,1.0
2000-08-31,9.5417,9.9167,9.5,9.5833,5.5472,155200.0,0.0,1.0
2000-09-01,9.5417,9.6667,9.5417,9.6667,5.5954,27100.0,0.0,1.0
2000-09-05,9.625,9.625,9.5,9.5,5.499,18300.0,0.0,1.0
2000-09-06,9.5,9.5417,9.0833,9.1667,5.306,74800.0,0.0,1.0
2000-09-07,9.125,9.125,8.6667,9.0,5.2096,48400.0,0.0,1.0
2000-09-08,9.0,9.0417,8.9167,9.0,5.2096,10800.0,0.0,1.0
2000-09-11,8.75,8.7917,8.75,8.7604,5.0709,4200.0,0.0,1.0
2000-09-12,8.75,9.1667,8.75,8.9167,5.1613,17700.0,0.0,1.0
2000-09-13,9.25,9.75,9.0,9.4167,5.4507,34800.0,0.0,1.0
2000-09-14,9.3333,9.4167,9.1667,9.1667,5.306,17800.0,0.0,1.0
2000-09-15,9.0,9.5,9.0,9.5,5.499,117300.0,0.0,1.0
2000-09-18,9.3333,9.7083,9.3333,9.6667,5.5954,98500.0,0.0,1.0
2000-09-19,9.75,9.75,9.6667,9.6667,5.5954,2400.0,0.0,1.0
2000-09-20,9.6667,10.25,9.5833,9.6667,5.5954,138600.0,0.0,1.0
2000-09-21,9.75,9.9167,9.6667,9.9167,5.7402,18000.0,0.0,1.0
2000-09-22,9.8333,9.9167,9.5,9.75,5.6437,20100.0,0.0,1.0
2000-09-25,9.9167,10.5,9.9167,10.4167,6.0296,36100.0,0.0,1.0
2000-09-26,10.3333,11.0,10.3333,11.0,6.3672,30900.0,0.0,1.0
2000-09-27,11.2083,11.5,10.1667,10.1667,5.8849,111900.0,0.0,1.0
2000-09-28,10.0833,10.75,10.0,10.75,6.2225,49300.0,0.0,1.0
2000-09-29,10.6667,12.3333,10.5,11.4167,6.6084,146100.0,0.0,1.0
2000-10-02,12.1667,12.5,12.0,12.4167,7.1873,80500.0,0.0,1.0
2000-10-03,12.4167,13.3333,12.3333,12.6667,7.332,55200.0,0.0,1.0
2000-10-04,13.2396,13.25,12.25,12.25,7.0908,73800.0,0.0,1.0
2000-10-05,12.25,12.5,11.8333,12.4167,7.1873,179500.0,0.0,1.0
2000-10-06,12.5,12.75,11.6667,11.8333,6.8496,33300.0,0.0,1.0
2000-10-09,11.6771,11.8229,10.75,11.5,6.6567,106600.0,0.0,1.0
2000-10-10,11.5,11.5,10.6667,11.2917,6.5361,12300.0,0.0,1.0
2000-10-11,11.0,11.4167,10.8333,11.3333,6.5602,48300.0,0.0,1.0
2000-10-12,11.3333,11.5,11.25,11.3333,6.5602,105700.0,0.0,1.0
2000-10-13,11.4063,11.6667,11.0833,11.6667,6.7531,144400.0,0.0,1.0
2000-10-16,11.6563,12.1667,11.6563,12.1667,7.0425,117600.0,0.0,1.0
2000-10-17,12.1667,12.3333,11.75,11.9167,6.8978,26500.0,0.0,1.0
2000-10-18,12.1563,12.25,11.6667,11.8333,6.8496,15600.0,0.0,1.0
2000-10-19,12.2396,12.25,11.625,11.625,6.729,30600.0,0.0,1.0
2000-10-20,12.0,12.5,11.6667,12.5,7.2355,63300.0,0.0,1.0
2000-10-23,12.6667,13.0,12.5,12.9167,7.4767,67200.0,0.0,1.0
2000-10-24,13.0,13.0,12.1667,12.1667,7.0425,23500.0,0.0,1.0
2000-10-25,12.3333,12.3333,11.8333,12.1667,7.0425,9900.0,0.0,1.0
2000-10-26,12.3333,12.3333,11.8333,12.0833,6.9943,10500.0,0.0,1.0
2000-10-27,12.0,12.1667,11.6667,11.9167,6.8978,24300.0,0.0,1.0
2000-10-30,12.0833,12.0833,11.5833,11.9167,6.8978,14800.0,0.0,1.0
2000-10-31,12.1563,12.1667,11.8333,12.0,6.9461,26500.0,0.0,1.0
2000-11-01,11.9896,12.0,11.4167,11.5,6.6567,124300.0,0.0,1.0
2000-11-02,11.625,12.0,11.5833,11.5833,6.7049,41100.0,0.0,1.0
2000-11-03,11.8333,11.8333,11.1667,11.4167,6.6084,12400.0,0.0,1.0
2000-11-06,11.3333,11.5,11.0,11.3333,6.5602,97900.0,0.0,1.0
2000-11-07,11.5,11.5,10.1667,10.625,6.1502,50700.0,0.0,1.0
2000-11-08,10.5104,10.5833,10.3333,10.4167,6.0296,33400.0,0.0,1.0
2000-11-09,10.4792,10.75,10.3333,10.4167,6.0296,49000.0,0.0,1.0
2000-11-10,10.4271,10.5,10.0,10.0,5.7884,49900.0,0.0,1.0
2000-11-13,10.0,10.1667,9.4167,10.1667,5.8849,10600.0,0.0,1.0
2000-11-14,10.1667,10.1667,10.0,10.0833,5.8366,15900.0,0.0,1.0
2000-11-15,10.0,10.0417,10.0,10.0,5.7884,11100.0,0.0,1.0
2000-11-16,10.0,10.25,10.0,10.0,5.7884,70800.0,0.0,1.0
2000-11-17,10.0,10.0,9.5833,9.6667,5.5954,14500.0,0.0,1.0
2000-11-20,9.6667,9.8333,9.5417,9.5833,5.5472,35500.0,0.0,1.0
2000-11-21,9.5833,9.8333,9.5,9.5833,5.5472,9400.0,0.0,1.0
2000-11-22,9.5,9.8333,9.375,9.6667,5.5954,67800.0,0.0,1.0
2000-11-24,9.6667,9.6667,9.6667,9.6667,5.5954,1800.0,0.0,1.0
2000-11-27,9.7396,10.0833,9.6771,9.9583,5.7643,191500.0,0.0,1.0
2000-11-28,10.0833,10.0833,9.8333,9.8333,5.6919,206400.0,0.0,1.0
2000-11-29,9.8333,9.8333,8.8333,9.0,5.2096,52900.0,0.0,1.0
2000-11-30,9.0,9.3333,8.3333,8.8333,5.1131,99100.0,0.0,1.0
2000-12-01,8.5833,10.2083,8.5833,10.0,5.7884,90600.0,0.0,1.0
2000-12-04,10.2292,10.7917,10.2292,10.6667,6.1743,13600.0,0.0,1.0
2000-12-05,10.6667,10.9167,10.1667,10.5,6.0778,131800.0,0.0,1.0
2000-12-06,10.4271,10.75,10.4167,10.75,6.2225,41700.0,0.0,1.0
2000-12-07,10.6667,10.9167,10.5521,10.9167,6.319,161100.0,0.0,1.0
2000-12-08,10.8333,10.9167,10.8333,10.9167,6.319,5700.0,0.0,1.0
2000-12-11,11.0,11.4167,11.0,11.2083,6.4878,78900.0,0.0,1.0
2000-12-12,11.1667,11.25,11.0833,11.25,6.5119,49600.0,0.0,1.0
2000-12-13,11.375,11.4583,11.1667,11.4583,6.6325,47400.0,0.0,1.0
2000-12-14,11.2083,11.3333,11.1667,11.3333,6.5602,2100.0,0.0,1.0
2000-12-15,11.25,11.4167,11.25,11.2917,6.5361,9100.0,0.0,1.0
2000-12-18,11.3333,11.5833,11.25,11.375,6.5843,51900.0,0.0,1.0
2000-12-19,11.5208,11.6667,11.1667,11.4167,6.6084,29100.0,0.0,1.0
2000-12-20,11.4479,11.6667,11.0833,11.1667,6.4637,67200.0,0.0,1.0
2000-12-21,11.1667,11.375,11.1667,11.2083,6.4878,21700.0,0.0,1.0
2000-12-22,11.25,11.25,11.0,11.1667,6.4637,25300.0,0.0,1.0
2000-12-26,10.3333,11.6667,10.3333,11.5,6.6567,48000.0,0.0,1.0
2000-12-27,11.5,11.7083,10.5417,10.5833,6.126,40000.0,0.0,1.0
2000-12-28,10.5,11.1667,10.5,11.0,6.3672,7600.0,0.0,1.0
2000-12-29,11.1667,11.7083,11.1667,11.6771,6.7592,65400.0,0.0,1.0
2001-01-02,11.8333,11.9167,11.0833,11.0833,6.4155,331800.0,0.0,1.0
2001-01-03,11.125,11.25,10.6667,10.6667,6.1743,29700.0,0.0,1.0
2001-01-04,10.75,11.0,9.0417,9.1667,5.306,51600.0,0.0,1.0
2001-01-05,9.1667,9.1667,8.0,8.125,4.7031,123000.0,0.0,1.0
2001-01-08,8.0833,8.3333,7.1667,7.9167,4.5825,224800.0,0.0,1.0
2001-01-09,7.9167,8.7083,7.5833,8.5,4.9201,18900.0,0.0,1.0
2001-01-10,8.6667,9.1667,8.6667,9.0417,5.2337,50500.0,0.0,1.0
2001-01-11,9.0313,9.0833,8.5833,8.75,5.0648,173100.0,0.0,1.0
2001-01-12,8.5938,8.5938,8.1667,8.2083,4.7513,117900.0,0.0,1.0
2001-01-16,8.2917,8.8333,7.7083,7.7917,4.5101,121500.0,0.0,1.0
2001-01-17,8.0833,8.75,7.8333,8.6667,5.0166,311200.0,0.0,1.0
2001-01-18,8.8333,8.8333,8.4167,8.5833,4.9684,74800.0,0.0,1.0
2001-01-19,8.5833,8.5833,8.2917,8.5417,4.9443,231400.0,0.0,1.0
2001-01-22,8.4583,9.5833,8.4583,9.5833,5.5472,475000.0,0.0,1.0
2001-01-23,9.5,9.9583,9.5,9.9583,5.7643,63900.0,0.0,1.0
2001-01-24,9.8125,9.8333,9.2917,9.5417,5.5231,21000.0,0.0,1.0
2001-01-25,9.4167,9.7083,9.375,9.5833,5.5472,61600.0,0.0,1.0
2001-01-26,9.5833,9.7083,9.5833,9.5833,5.5472,298300.0,0.0,1.0
2001-01-29,9.6667,9.8333,9.5833,9.75,5.6437,63900.0,0.0,1.0
2001-01-30,9.9063,9.9167,9.5,9.5833,5.5472,31800.0,0.0,1.0
2001-01-31,9.5417,9.5833,9.0417,9.1667,5.306,974800.0,0.0,1.0
2001-02-01,9.1042,10.0833,9.0833,9.9583,5.7643,2357800.0,0.0,1.0
2001-02-02,9.7604,10.125,9.5833,9.6667,5.5954,370900.0,0.0,1.0
2001-02-05,9.8333,9.8333,9.4583,9.5,5.499,166800.0,0.0,1.0
2001-02-06,9.5,10.25,9.5,9.875,5.716,33700.0,0.0,1.0
2001-02-07,9.6667,10.1667,9.4167,9.875,5.716,65500.0,0.0,1.0
2001-02-08,9.8333,10.0833,9.5,10.0,5.7884,12400.0,0.0,1.0
2001-02-09,10.0,10.0833,9.8333,10.0,5.7884,146800.0,0.0,1.0
2001-02-12,9.8958,9.8958,9.375,9.5,5.499,37800.0,0.0,1.0
2001-02-13,9.75,9.8333,9.5,9.5,5.499,2800.0,0.0,1.0
2001-02-14,9.9167,10.0,9.3333,9.3333,5.4025,55900.0,0.0,1.0
2001-02-15,9.3438,9.5417,9.1667,9.2917,5.3784,32400.0,0.0,1.0
2001-02-16,9.0833,9.1667,9.0104,9.125,5.2819,100500.0,0.0,1.0
2001-02-20,9.0,9.0833,8.5,8.9167,5.1613,138400.0,0.0,1.0
2001-02-21,8.9167,9.2083,8.8438,9.1667,5.306,37800.0,0.0,1.0
2001-02-22,9.1667,9.375,9.1667,9.3333,5.4025,159700.0,0.0,1.0
2001-02-23,9.2917,9.2917,8.6667,8.875,5.1372,29100.0,0.0,1.0
2001-02-26,8.75,8.75,8.5833,8.6667,5.0166,22900.0,0.0,1.0
2001-02-27,8.5,9.0,8.5,8.8333,5.1131,61300.0,0.0,1.0
2001-02-28,8.8333,9.75,8.8333,9.7083,5.6196,199500.0,0.0,1.0
2001-03-01,9.625,10.0833,9.5,10.0,5.7884,198700.0,0.0,1.0
2001-03-02,9.9167,10.125,9.5,9.5833,5.5472,184900.0,0.0,1.0
2001-03-05,9.7083,9.75,9.2083,9.2083,5.3301,113800.0,0.0,1.0
2001-03-06,9.25,9.25,8.5,8.75,5.0648,80400.0,0.0,1.0
2001-03-07,8.6667,9.3333,8.6667,9.3333,5.4025,33100.0,0.0,1.0
2001-03-08,9.0417,9.5,9.0417,9.4167,5.4507,42100.0,0.0,1.0
2001-03-09,9.375,9.3854,8.8333,8.8333,5.1131,10900.0,0.0,1.0
2001-03-12,8.7604,8.7604,8.5833,8.5833,4.9684,3000.0,0.0,1.0
2001-03-13,8.5833,9.0,8.5833,9.0,5.2096,4000.0,0.0,1.0
