date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-10-24,50.1,50.1,50.1,50.1,44.8091,2400.0,0.0,1.0
2012-10-25,50.06,50.06,50.06,50.06,44.7734,1000.0,0.0,1.0
2012-10-26,50.07,50.07,50.07,50.07,44.7823,600.0,0.0,1.0
2012-10-31,50.11,50.11,50.11,50.11,44.8181,2200.0,0.0,1.0
2012-11-01,50.11,50.11,50.11,50.11,44.8181,0.0,0.0,1.0
2012-11-02,50.11,50.11,50.11,50.11,44.8181,0.0,0.0,1.0
2012-11-05,50.15,50.165,50.135,50.135,44.8405,11400.0,0.0,1.0
2012-11-06,50.115,50.155,50.115,50.155,44.8583,6000.0,0.0,1.0
2012-11-07,50.155,50.155,50.155,50.155,44.8583,0.0,0.0,1.0
2012-11-08,50.155,50.155,50.155,50.155,44.8583,0.0,0.0,1.0
2012-11-09,50.16,50.16,50.16,50.16,44.8628,400.0,0.0,1.0
2012-11-12,50.16,50.16,50.16,50.16,44.8628,0.0,0.0,1.0
2012-11-13,50.16,50.16,50.16,50.16,44.8628,0.0,0.0,1.0
2012-11-14,50.185,50.185,50.185,50.185,44.8852,2000.0,0.0,1.0
2012-11-15,50.19,50.19,50.185,50.185,44.8852,600.0,0.0,1.0
2012-11-16,50.205,50.205,50.205,50.205,44.9031,400.0,0.0,1.0
2012-11-19,50.15,50.15,50.145,50.145,44.8494,1800.0,0.0,1.0
2012-11-20,50.115,50.115,50.09,50.09,44.8002,5600.0,0.0,1.0
2012-11-21,50.09,50.09,50.09,50.09,44.8002,0.0,0.0,1.0
2012-11-23,50.09,50.09,50.09,50.09,44.8002,0.0,0.0,1.0
2012-11-26,50.17,50.17,50.17,50.17,44.8717,400.0,0.0,1.0
2012-11-27,50.175,50.175,50.175,50.175,44.8762,1000.0,0.0,1.0
2012-11-28,50.175,50.175,50.175,50.175,44.8762,0.0,0.0,1.0
2012-11-29,50.14,50.205,50.115,50.12,44.827,55200.0,0.0,1.0
2012-11-30,50.12,50.12,50.12,50.12,44.827,0.0,0.0,1.0
2012-12-03,50.12,50.12,50.12,50.12,44.849,0.0,0.0245,1.0
2012-12-04,50.115,50.115,50.105,50.105,44.8355,25000.0,0.0,1.0
2012-12-05,50.49,50.49,50.135,50.14,44.8669,1000.0,0.0,1.0
2012-12-06,50.09,50.13,50.09,50.13,44.8579,2200.0,0.0,1.0
2012-12-07,50.13,50.13,50.13,50.13,44.8579,0.0,0.0,1.0
2012-12-10,50.135,50.135,50.075,50.075,44.8087,10800.0,0.0,1.0
2012-12-11,50.125,50.125,50.065,50.115,44.8445,1800.0,0.0,1.0
2012-12-12,50.125,50.125,50.105,50.105,44.8355,1200.0,0.0,1.0
2012-12-13,50.06,50.065,50.06,50.065,44.7998,400.0,0.0,1.0
2012-12-14,50.05,50.105,50.05,50.105,44.8355,6600.0,0.0,1.0
2012-12-17,50.095,50.095,50.085,50.085,44.8176,1600.0,0.0,1.0
2012-12-18,50.05,50.065,50.05,50.05,44.7863,3400.0,0.0,1.0
2012-12-19,50.03,50.045,50.03,50.045,44.7819,2400.0,0.0,1.0
2012-12-20,50.045,50.045,50.045,50.045,44.7819,0.0,0.0,1.0
2012-12-21,50.035,50.04,50.035,50.04,44.7774,1400.0,0.0,1.0
2012-12-24,50.03,50.03,50.03,50.03,44.7684,600.0,0.0,1.0
2012-12-26,50.0,50.03,50.0,50.02,44.7765,7000.0,0.019,1.0
2012-12-27,50.015,50.045,50.005,50.045,44.7989,12400.0,0.0,1.0
2012-12-28,50.055,50.055,50.055,50.055,44.8078,1000.0,0.0,1.0
2012-12-31,50.065,50.07,50.045,50.045,44.7989,3200.0,0.0,1.0
2013-01-02,50.045,50.045,50.045,50.045,44.7989,0.0,0.0,1.0
2013-01-03,50.16,50.16,50.045,50.045,44.7989,3400.0,0.0,1.0
2013-01-04,50.02,50.02,50.02,50.02,44.7765,400.0,0.0,1.0
2013-01-07,50.025,50.03,50.015,50.02,44.7765,14600.0,0.0,1.0
2013-01-08,49.98,50.05,49.98,50.05,44.8033,1600.0,0.0,1.0
2013-01-09,50.04,50.11,50.04,50.11,44.857,24400.0,0.0,1.0
2013-01-10,50.06,50.06,50.06,50.06,44.8123,600.0,0.0,1.0
2013-01-11,50.06,50.06,50.06,50.06,44.8123,0.0,0.0,1.0
2013-01-14,50.07,50.07,50.01,50.01,44.7675,1000.0,0.0,1.0
2013-01-15,50.02,50.08,50.015,50.05,44.8033,39800.0,0.0,1.0
2013-01-16,50.04,50.04,50.04,50.04,44.7944,200.0,0.0,1.0
