date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-05-25,12.7,12.89,11.73,12.85,12.85,730500.0,0.0,1.0
2018-05-29,12.2,13.0,11.23,12.24,12.24,157600.0,0.0,1.0
2018-05-30,12.22,12.22,12.0,12.15,12.15,51200.0,0.0,1.0
2018-05-31,12.49,12.49,11.25,11.44,11.44,61200.0,0.0,1.0
2018-06-01,12.0,12.49,11.87,12.24,12.24,139300.0,0.0,1.0
2018-06-04,12.35,12.35,11.88,12.16,12.16,58600.0,0.0,1.0
2018-06-05,12.2,12.2,11.9,12.1,12.1,43300.0,0.0,1.0
2018-06-06,11.8,12.15,11.771,12.06,12.06,26100.0,0.0,1.0
2018-06-07,11.81,12.685,11.71,12.0,12.0,62100.0,0.0,1.0
2018-06-08,12.1,13.0,11.867,12.11,12.11,47500.0,0.0,1.0
2018-06-11,11.86,12.126,11.85,12.0,12.0,45600.0,0.0,1.0
2018-06-12,12.15,12.4,11.9,12.2,12.2,68100.0,0.0,1.0
2018-06-13,12.25,12.6,11.855,12.2,12.2,47900.0,0.0,1.0
2018-06-14,12.59,12.59,11.86,12.25,12.25,29600.0,0.0,1.0
2018-06-15,12.03,12.298,11.9,12.25,12.25,27600.0,0.0,1.0
2018-06-18,12.01,12.169,11.56,12.0,12.0,35300.0,0.0,1.0
2018-06-19,12.58,12.581,11.6,12.35,12.35,281700.0,0.0,1.0
2018-06-20,12.5,12.59,11.867,12.3,12.3,455700.0,0.0,1.0
2018-06-21,12.4,12.425,11.81,12.0,12.0,123700.0,0.0,1.0
2018-06-22,12.29,12.9,11.842,12.17,12.17,220800.0,0.0,1.0
2018-06-25,12.08,12.34,12.0,12.11,12.11,12100.0,0.0,1.0
2018-06-26,12.16,12.4,12.02,12.07,12.07,26800.0,0.0,1.0
2018-06-27,12.08,12.25,11.25,11.5,11.5,68100.0,0.0,1.0
2018-06-28,11.59,12.28,11.37,11.5,11.5,30000.0,0.0,1.0
2018-06-29,11.428,12.23,9.8,10.67,10.67,61000.0,0.0,1.0
2018-07-02,11.97,11.97,9.5,9.85,9.85,57700.0,0.0,1.0
2018-07-03,10.589,10.78,9.96,9.96,9.96,5000.0,0.0,1.0
2018-07-05,10.19,10.552,9.0,9.34,9.34,78600.0,0.0,1.0
2018-07-06,9.4,10.271,8.69,8.77,8.77,55500.0,0.0,1.0
2018-07-09,8.83,9.283,8.5,8.65,8.65,23400.0,0.0,1.0
2018-07-10,8.54,9.63,8.175,8.45,8.45,53600.0,0.0,1.0
2018-07-11,9.89,9.99,8.2,8.3,8.3,38900.0,0.0,1.0
2018-07-12,8.36,9.047,8.36,8.64,8.64,3000.0,0.0,1.0
2018-07-13,8.7,8.85,8.2,8.84,8.84,24600.0,0.0,1.0
2018-07-16,8.714,9.173,8.23,8.55,8.55,19800.0,0.0,1.0
