date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-09-17,25.2,25.2,25.2,25.2,24.9618,0.0,0.0,1.0
2018-09-18,25.14,25.14,25.14,25.14,24.9024,200.0,0.0,1.0
2018-09-19,25.14,25.14,25.14,25.14,24.9024,0.0,0.0,1.0
2018-09-20,25.14,25.14,25.14,25.14,24.9024,0.0,0.0,1.0
2018-09-21,25.14,25.14,25.14,25.14,24.9024,0.0,0.0,1.0
2018-09-24,25.07,25.07,25.07,25.07,24.8331,1057.0,0.0,1.0
2018-09-25,25.07,25.07,25.07,25.07,24.8331,0.0,0.0,1.0
2018-09-26,25.0,25.0,25.0,25.0,24.7637,125.0,0.0,1.0
2018-09-27,24.9,24.9,24.89,24.89,24.6548,1057.0,0.0,1.0
2018-09-28,24.89,24.89,24.89,24.89,24.6548,0.0,0.0,1.0
2018-10-01,24.89,24.89,24.89,24.89,24.6548,0.0,0.0,1.0
2018-10-02,24.89,24.89,24.89,24.89,24.6548,0.0,0.0,1.0
2018-10-03,24.89,24.89,24.89,24.89,24.6548,0.0,0.0,1.0
2018-10-04,24.35,24.35,24.35,24.35,24.1199,100.0,0.0,1.0
2018-10-05,24.11,24.11,24.11,24.11,23.8821,174.0,0.0,1.0
2018-10-08,24.11,24.11,24.11,24.11,23.8821,0.0,0.0,1.0
2018-10-09,24.17,24.17,24.17,24.17,23.9416,100.0,0.0,1.0
2018-10-10,23.7,23.7,23.4,23.4,23.1788,1000.0,0.0,1.0
2018-10-11,23.4,23.4,23.4,23.4,23.1788,0.0,0.0,1.0
2018-10-12,23.4,23.4,23.4,23.4,23.1788,0.0,0.0,1.0
2018-10-15,22.95,23.15,22.95,23.1,22.8817,2083.0,0.0,1.0
2018-10-16,23.6,23.6,23.54,23.54,23.3175,500.0,0.0,1.0
2018-10-17,23.54,23.54,23.54,23.54,23.3175,0.0,0.0,1.0
2018-10-18,23.1,23.1,23.1,23.1,22.8817,100.0,0.0,1.0
2018-10-19,23.1,23.1,23.1,23.1,22.8817,0.0,0.0,1.0
2018-10-22,23.1,23.28,23.1,23.28,23.06,800.0,0.0,1.0
2018-10-23,22.8,22.8,22.5,22.5,22.2873,600.0,0.0,1.0
2018-10-24,22.27,22.27,22.27,22.27,22.0595,1000.0,0.0,1.0
2018-10-25,22.27,22.27,22.27,22.27,22.0595,0.0,0.0,1.0
2018-10-26,21.85,22.33,21.8,22.33,22.119,1300.0,0.0,1.0
2018-10-29,22.23,22.24,22.23,22.24,22.0298,2200.0,0.0,1.0
2018-10-30,22.24,22.24,22.24,22.24,22.0298,0.0,0.0,1.0
2018-10-31,22.24,22.24,22.24,22.24,22.0298,0.0,0.0,1.0
2018-11-01,22.99,22.99,22.99,22.99,22.7727,1100.0,0.0,1.0
2018-11-02,23.38,23.38,22.87,23.01,22.7925,4800.0,0.0,1.0
2018-11-05,23.01,23.01,23.01,23.01,22.7925,0.0,0.0,1.0
2018-11-06,23.05,23.05,23.05,23.05,22.8321,1500.0,0.0,1.0
2018-11-07,23.05,23.05,23.05,23.05,22.8321,500.0,0.0,1.0
2018-11-08,23.05,23.05,23.05,23.05,22.8321,0.0,0.0,1.0
2018-11-09,23.05,23.05,23.05,23.05,22.8321,0.0,0.0,1.0
2018-11-12,23.05,23.05,23.05,23.05,22.8321,100.0,0.0,1.0
2018-11-13,22.85,22.85,22.85,22.85,22.634,800.0,0.0,1.0
2018-11-14,22.85,22.85,22.85,22.85,22.634,100.0,0.0,1.0
2018-11-15,22.85,22.85,22.85,22.85,22.634,0.0,0.0,1.0
2018-11-16,22.85,22.85,22.85,22.85,22.634,0.0,0.0,1.0
2018-11-19,22.52,22.71,22.38,22.62,22.4062,2900.0,0.0,1.0
2018-11-20,22.1,22.1,22.1,22.1,21.8911,100.0,0.0,1.0
2018-11-21,22.1,22.1,22.1,22.1,21.8911,0.0,0.0,1.0
2018-11-23,22.1,22.1,22.1,22.1,21.8911,0.0,0.0,1.0
2018-11-26,22.1,22.1,22.1,22.1,21.8911,0.0,0.0,1.0
2018-11-27,22.1,22.1,22.1,22.1,21.8911,0.0,0.0,1.0
2018-11-28,22.45,22.45,22.45,22.45,22.2378,100.0,0.0,1.0
2018-11-29,22.45,22.45,22.45,22.45,22.2378,0.0,0.0,1.0
