date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,4.8125,5.0,4.75,4.75,4.75,3000.0,0.0,1.0
1999-08-11,5.0,5.125,4.6875,5.0,5.0,4500.0,0.0,1.0
1999-08-12,4.6875,5.5,4.6875,5.0,5.0,12000.0,0.0,1.0
1999-08-13,5.25,5.5,5.25,5.25,5.25,5300.0,0.0,1.0
1999-08-16,5.0,5.625,5.0,5.625,5.625,1200.0,0.0,1.0
1999-08-17,5.5,5.5,5.25,5.25,5.25,4500.0,0.0,1.0
1999-08-18,5.0625,5.25,5.0625,5.25,5.25,4700.0,0.0,1.0
1999-08-19,5.125,5.25,5.125,5.25,5.25,5200.0,0.0,1.0
1999-08-20,5.1875,5.1875,5.0,5.125,5.125,7500.0,0.0,1.0
1999-08-23,5.0,5.0,5.0,5.0,5.0,2200.0,0.0,1.0
1999-08-24,5.0,5.125,5.0,5.0625,5.0625,4600.0,0.0,1.0
1999-08-25,4.875,5.125,4.875,5.125,5.125,6700.0,0.0,1.0
1999-08-26,5.125,5.375,5.0,5.125,5.125,8300.0,0.0,1.0
1999-08-27,5.125,5.125,4.875,5.0,5.0,4700.0,0.0,1.0
1999-08-30,5.0,5.125,5.0,5.0,5.0,5900.0,0.0,1.0
1999-08-31,5.0625,5.0625,5.0,5.0,5.0,11500.0,0.0,1.0
1999-09-01,5.0,5.0,4.875,4.875,4.875,5800.0,0.0,1.0
1999-09-02,5.0,5.0,4.9375,4.9375,4.9375,3200.0,0.0,1.0
1999-09-03,4.875,4.875,4.75,4.75,4.75,3300.0,0.0,1.0
1999-09-07,5.0625,5.0625,4.875,4.875,4.875,5500.0,0.0,1.0
1999-09-08,4.875,5.125,4.7813,4.9531,4.9531,11300.0,0.0,1.0
1999-09-09,4.7813,4.875,4.7813,4.875,4.875,8500.0,0.0,1.0
1999-09-10,5.0625,5.5,5.0625,5.125,5.125,7700.0,0.0,1.0
1999-09-13,5.3125,5.3125,5.0625,5.0625,5.0625,5300.0,0.0,1.0
1999-09-14,5.0938,5.25,5.0,5.25,5.25,91600.0,0.0,1.0
1999-09-15,5.125,5.25,5.0,5.125,5.125,105600.0,0.0,1.0
1999-09-16,5.25,5.25,5.25,5.25,5.25,800.0,0.0,1.0
1999-09-17,5.0,5.125,4.75,4.75,4.75,27200.0,0.0,1.0
1999-09-20,5.2188,5.5,5.0,5.0,5.0,67600.0,0.0,1.0
1999-09-21,5.0313,5.0625,4.75,4.75,4.75,30000.0,0.0,1.0
1999-09-22,5.0,5.0,4.75,4.75,4.75,10600.0,0.0,1.0
1999-09-23,4.75,4.875,4.5,4.5,4.5,73300.0,0.0,1.0
1999-09-24,4.25,4.6875,4.25,4.5625,4.5625,240600.0,0.0,1.0
1999-09-27,4.5,4.625,4.1875,4.5938,4.5938,39400.0,0.0,1.0
1999-09-28,4.5938,4.5938,4.5938,4.5938,4.5938,6300.0,0.0,1.0
