date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.5,3.5,3.5,3.5,2.3868,500.0,0.0,1.0
1999-08-11,3.5,3.5,3.5,3.5,2.3868,2100.0,0.0,1.0
1999-08-12,3.6875,3.6875,3.5625,3.5625,2.4295,8300.0,0.0,1.0
1999-08-13,3.5625,3.5625,3.5625,3.5625,2.4295,0.0,0.0,1.0
1999-08-16,3.6563,3.6563,3.6563,3.6563,2.4934,300.0,0.0,1.0
1999-08-17,3.6875,3.8125,3.6875,3.8125,2.6,700.0,0.0,1.0
1999-08-18,3.8125,3.8125,3.8125,3.8125,2.6,300.0,0.0,1.0
1999-08-19,3.7188,3.8125,3.7188,3.8125,2.6,400.0,0.0,1.0
1999-08-20,3.8125,3.8125,3.8125,3.8125,2.6,0.0,0.0,1.0
1999-08-23,3.8125,3.8125,3.625,3.625,2.4721,1400.0,0.0,1.0
1999-08-24,3.6875,3.8125,3.6875,3.75,2.5573,9500.0,0.0,1.0
1999-08-25,3.7188,3.8125,3.7188,3.8125,2.6,400.0,0.0,1.0
1999-08-26,3.8125,3.8125,3.625,3.625,2.4721,2500.0,0.0,1.0
1999-08-27,3.8125,4.0,3.8125,4.0,2.7278,3000.0,0.0,1.0
1999-08-30,4.0,4.0313,3.875,4.0,2.7278,10000.0,0.0,1.0
1999-08-31,3.8125,4.0,3.8125,3.8125,2.6,1600.0,0.0,1.0
1999-09-01,4.0,4.0625,3.9531,3.9531,2.6959,16000.0,0.0,1.0
1999-09-02,4.0625,4.0625,3.9375,3.9375,2.6852,1300.0,0.0,1.0
1999-09-03,3.875,3.875,3.875,3.875,2.6426,10800.0,0.0,1.0
1999-09-07,3.875,3.875,3.875,3.875,2.6426,0.0,0.0,1.0
1999-09-08,3.8125,4.0,3.8125,3.8125,2.6,1300.0,0.0,1.0
1999-09-09,4.0,4.0,4.0,4.0,2.7278,200.0,0.0,1.0
1999-09-10,4.0,4.0,4.0,4.0,2.7278,0.0,0.0,1.0
1999-09-13,4.0,4.0,4.0,4.0,2.7278,10000.0,0.0,1.0
1999-09-14,3.8125,3.8125,3.8125,3.8125,2.6,500.0,0.0,1.0
1999-09-15,3.8125,4.0,3.8125,4.0,2.7278,2100.0,0.0,1.0
1999-09-16,4.0,4.0,4.0,4.0,2.7278,0.0,0.0,1.0
1999-09-17,3.8125,3.8125,3.8125,3.8125,2.6,1600.0,0.0,1.0
1999-09-20,3.9063,3.9063,3.8125,3.8125,2.6,1000.0,0.0,1.0
1999-09-21,3.9063,3.9063,3.8125,3.8125,2.6,13200.0,0.0,1.0
1999-09-22,4.0,4.0,4.0,4.0,2.7278,1200.0,0.0,1.0
1999-09-23,3.875,4.0,3.8125,3.8125,2.6,11500.0,0.0,1.0
1999-09-24,3.8125,3.8125,3.75,3.75,2.5573,13800.0,0.0,1.0
1999-09-27,3.75,4.0,3.75,3.9375,2.6852,1300.0,0.0,1.0
1999-09-28,3.9375,3.9375,3.75,3.75,2.5573,1400.0,0.0,1.0
1999-09-29,3.8438,3.8438,3.4375,3.4375,2.3442,69700.0,0.0,1.0
1999-09-30,3.4375,3.625,2.25,2.875,1.9606,234200.0,0.0,1.0
1999-10-01,2.875,3.125,2.875,3.125,2.1311,78200.0,0.0,1.0
1999-10-04,3.125,3.375,3.125,3.125,2.1311,14200.0,0.0,1.0
1999-10-05,3.125,3.125,3.0938,3.0938,2.1098,3700.0,0.0,1.0
1999-10-06,3.0938,3.0938,3.0,3.0,2.0459,21400.0,0.0,1.0
1999-10-07,3.1875,3.1875,3.1875,3.1875,2.1737,900.0,0.0,1.0
1999-10-08,3.0625,3.1719,3.0,3.0,2.0459,9600.0,0.0,1.0
1999-10-11,3.0,3.125,2.9688,3.125,2.1311,3600.0,0.0,1.0
1999-10-12,3.0,3.0625,3.0,3.0625,2.0885,2400.0,0.0,1.0
1999-10-13,3.0625,3.0625,2.9688,2.9688,2.0246,900.0,0.0,1.0
1999-10-14,2.9375,2.9375,2.9375,2.9375,2.0032,4300.0,0.0,1.0
1999-10-15,2.9375,3.125,2.9375,3.125,2.1311,600.0,0.0,1.0
1999-10-18,3.1563,3.1563,3.0625,3.0781,2.0991,4000.0,0.0,1.0
1999-10-19,3.0625,3.0625,3.0625,3.0625,2.0885,1000.0,0.0,1.0
1999-10-20,3.0625,3.0625,3.0625,3.0625,2.0885,0.0,0.0,1.0
1999-10-21,3.0,3.25,3.0,3.25,2.2164,1000.0,0.0,1.0
1999-10-22,3.25,3.25,3.2031,3.2031,2.1844,4500.0,0.0,1.0
1999-10-25,3.3125,3.3125,3.3125,3.3125,2.259,800.0,0.0,1.0
1999-10-26,3.2344,3.4375,3.2344,3.4375,2.3442,10000.0,0.0,1.0
1999-10-27,3.4375,3.5,3.4375,3.4375,2.3442,4000.0,0.0,1.0
1999-10-28,3.375,3.375,3.375,3.375,2.3016,1300.0,0.0,1.0
1999-10-29,3.3125,3.4688,3.3125,3.375,2.3016,1300.0,0.0,1.0
1999-11-01,3.4531,3.5,3.4531,3.5,2.3868,3700.0,0.0,1.0
1999-11-02,3.4375,3.4375,3.4375,3.4375,2.3442,800.0,0.0,1.0
1999-11-03,3.375,3.375,3.25,3.3125,2.259,6800.0,0.0,1.0
1999-11-04,3.5,3.5,3.5,3.5,2.3868,100.0,0.0,1.0
1999-11-05,3.375,3.4375,3.25,3.25,2.2164,33000.0,0.0,1.0
1999-11-08,3.1563,3.25,3.1563,3.1563,2.1524,24500.0,0.0,1.0
1999-11-09,3.1563,3.1875,3.1563,3.1875,2.1737,6600.0,0.0,1.0
1999-11-10,3.2188,3.25,3.1875,3.25,2.2164,3600.0,0.0,1.0
1999-11-11,3.25,3.875,3.25,3.625,2.4721,20000.0,0.0,1.0
1999-11-12,3.5,3.5,3.25,3.4375,2.3442,67300.0,0.0,1.0
1999-11-15,3.3125,3.4375,3.3125,3.4375,2.3442,5100.0,0.0,1.0
1999-11-16,3.5,4.0,3.375,3.8125,2.6,45800.0,0.0,1.0
1999-11-17,3.7813,3.875,3.5,3.7188,2.536,49800.0,0.0,1.0
1999-11-18,3.8125,3.8438,3.6875,3.6875,2.5147,4000.0,0.0,1.0
