date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-12-02,24.79,25.05,24.79,25.05,14.9153,5400.0,0.0,1.0
2010-12-03,25.26,25.26,24.95,25.04,14.9094,6700.0,0.0,1.0
2010-12-06,25.05,25.05,25.05,25.05,14.9153,1600.0,0.0,1.0
2010-12-07,25.16,25.43,25.16,25.33,15.082,8600.0,0.0,1.0
2010-12-08,25.33,25.33,25.0,25.0,14.8855,2000.0,0.0,1.0
2010-12-09,24.88,24.89,24.83,24.83,14.7843,3200.0,0.0,1.0
2010-12-10,24.85,25.06,24.85,25.01,14.8915,2000.0,0.0,1.0
2010-12-13,25.11,25.11,25.0,25.0,14.8855,900.0,0.0,1.0
2010-12-14,25.02,25.02,24.66,24.67,14.689,7200.0,0.0,1.0
2010-12-15,24.51,24.51,24.51,24.51,14.5938,100.0,0.0,1.0
2010-12-16,24.51,24.51,24.51,24.51,14.5938,0.0,0.0,1.0
2010-12-17,24.47,24.47,24.47,24.47,14.57,100.0,0.0,1.0
2010-12-20,24.47,24.47,24.47,24.47,14.57,0.0,0.0,1.0
2010-12-21,25.11,25.21,25.11,25.21,15.0106,3000.0,0.0,1.0
2010-12-22,25.48,25.48,25.48,25.48,15.1713,300.0,0.0,1.0
2010-12-23,25.48,25.48,25.48,25.48,15.1713,0.0,0.0,1.0
2010-12-27,25.48,25.48,25.48,25.48,15.1713,0.0,0.0,1.0
2010-12-28,25.48,25.48,25.48,25.48,15.1713,0.0,0.0,1.0
2010-12-29,25.79,25.79,25.79,25.79,15.3559,400.0,0.0,1.0
2010-12-30,25.99,25.99,25.99,25.99,15.475,400.0,0.0,1.0
2010-12-31,25.91,25.96,25.85,25.85,15.3917,6100.0,0.0,1.0
2011-01-03,26.12,26.24,26.12,26.24,15.6239,600.0,0.0,1.0
2011-01-04,26.17,26.19,25.54,25.54,15.3027,36100.0,0.164,1.0
2011-01-05,25.71,25.71,25.47,25.67,15.3806,9300.0,0.0,1.0
2011-01-06,26.0,26.0,25.46,25.47,15.2608,14600.0,0.0,1.0
2011-01-07,25.47,25.47,25.28,25.43,15.2368,5700.0,0.0,1.0
2011-01-10,25.59,25.59,25.3,25.49,15.2728,13300.0,0.0,1.0
2011-01-11,25.3,25.3,25.3,25.3,15.1589,100.0,0.0,1.0
2011-01-12,25.3,25.3,25.3,25.3,15.1589,0.0,0.0,1.0
2011-01-13,25.44,25.44,25.44,25.44,15.2428,300.0,0.0,1.0
2011-01-14,25.43,25.46,25.34,25.45,15.3217,12300.0,0.121,1.0
2011-01-18,25.5,25.5,25.35,25.38,15.2795,2100.0,0.0,1.0
2011-01-19,25.39,25.41,25.23,25.23,15.1892,6100.0,0.0,1.0
2011-01-20,25.21,25.37,25.21,25.28,15.2193,4200.0,0.0,1.0
2011-01-21,25.25,25.25,25.25,25.25,15.2013,100.0,0.0,1.0
2011-01-24,25.33,25.52,25.33,25.48,15.3397,2200.0,0.0,1.0
2011-01-25,25.38,25.61,25.38,25.61,15.418,700.0,0.0,1.0
2011-01-26,25.81,25.82,25.78,25.82,15.5444,2800.0,0.0,1.0
2011-01-27,26.06,26.08,26.06,26.08,15.7009,2000.0,0.0,1.0
2011-01-28,26.08,26.08,26.08,26.08,15.7009,0.0,0.0,1.0
2011-01-31,25.82,25.82,25.82,25.82,15.5444,1100.0,0.0,1.0
2011-02-01,25.82,25.98,25.82,25.98,15.6407,2300.0,0.0,1.0
2011-02-02,25.93,25.94,25.87,25.87,15.5745,1700.0,0.0,1.0
2011-02-03,25.8,25.8,25.8,25.8,15.5324,500.0,0.0,1.0
2011-02-04,25.68,25.78,25.64,25.75,15.5023,3300.0,0.0,1.0
2011-02-07,25.92,25.96,25.92,25.96,15.6287,1600.0,0.0,1.0
2011-02-08,25.96,26.12,25.96,26.12,15.725,1700.0,0.0,1.0
2011-02-09,26.29,26.29,26.02,26.02,15.6648,12300.0,0.0,1.0
2011-02-10,26.11,26.11,26.11,26.11,15.719,200.0,0.0,1.0
2011-02-11,26.07,26.3,26.07,26.27,15.8153,3700.0,0.0,1.0
2011-02-14,26.3,26.34,26.24,26.31,15.8394,4600.0,0.0,1.0
2011-02-15,26.16,26.21,26.12,26.12,15.7886,2700.0,0.106,1.0
2011-02-16,26.18,26.32,26.15,26.15,15.8068,3400.0,0.0,1.0
2011-02-17,26.33,26.44,26.33,26.41,15.9639,3000.0,0.0,1.0
2011-02-18,26.44,26.48,26.42,26.42,15.97,1900.0,0.0,1.0
2011-02-22,26.43,26.43,26.06,26.06,15.7524,2600.0,0.0,1.0
2011-02-23,26.06,26.06,25.84,25.84,15.6194,4500.0,0.0,1.0
2011-02-24,25.97,25.97,25.6,25.77,15.5771,23100.0,0.0,1.0
2011-02-25,25.92,26.18,25.88,26.18,15.8249,16700.0,0.0,1.0
2011-02-28,26.52,26.74,26.52,26.74,16.1634,3100.0,0.0,1.0
2011-03-01,26.67,26.67,26.21,26.21,15.843,4000.0,0.0,1.0
2011-03-02,25.83,25.92,25.82,25.92,15.6677,900.0,0.0,1.0
2011-03-03,26.07,26.12,26.07,26.09,15.7705,2700.0,0.0,1.0
2011-03-04,25.85,25.87,25.76,25.76,15.571,3400.0,0.0,1.0
2011-03-07,25.73,25.86,25.68,25.79,15.5892,4300.0,0.0,1.0
2011-03-08,26.0,26.27,26.0,26.22,15.8491,3200.0,0.0,1.0
2011-03-09,26.1,26.11,26.1,26.11,15.7826,500.0,0.0,1.0
2011-03-10,25.7,25.72,25.7,25.72,15.5468,1300.0,0.0,1.0
2011-03-11,26.04,26.04,25.7,25.7,15.5348,1500.0,0.0,1.0
2011-03-14,25.65,25.69,25.58,25.69,15.5287,6100.0,0.0,1.0
2011-03-15,25.19,25.43,25.08,25.32,15.3781,7500.0,0.122,1.0
2011-03-16,25.27,25.27,24.87,24.87,15.1048,3100.0,0.0,1.0
2011-03-17,25.13,25.13,25.11,25.11,15.2506,2000.0,0.0,1.0
2011-03-18,24.92,25.18,24.92,25.18,15.2931,1200.0,0.0,1.0
2011-03-21,25.5,25.61,25.5,25.61,15.5542,1700.0,0.0,1.0
2011-03-22,25.38,25.38,25.38,25.38,15.4145,200.0,0.0,1.0
2011-03-23,25.33,25.35,25.29,25.29,15.3599,1500.0,0.0,1.0
2011-03-24,25.29,25.29,25.29,25.29,15.3599,0.0,0.0,1.0
2011-03-25,25.41,25.67,25.41,25.61,15.5542,3900.0,0.0,1.0
2011-03-28,26.15,26.15,25.55,25.55,15.5178,2700.0,0.0,1.0
2011-03-29,25.34,25.34,25.34,25.34,15.3902,2000.0,0.0,1.0
2011-03-30,25.82,26.02,25.82,25.97,15.7729,7700.0,0.0,1.0
2011-03-31,26.08,26.08,26.08,26.08,15.8397,400.0,0.0,1.0
2011-04-01,26.19,26.19,26.04,26.07,15.8336,1000.0,0.0,1.0
2011-04-04,26.25,26.25,26.23,26.23,15.9308,300.0,0.0,1.0
