date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.4375,3.5625,3.4375,3.5,2.0125,38400.0,0.0,1.0
1999-08-11,3.5,3.6094,3.5,3.5313,2.0304,92800.0,0.0,1.0
1999-08-12,3.625,3.75,3.5313,3.5313,2.0304,8000.0,0.0,1.0
1999-08-13,3.5703,3.5703,3.5625,3.5703,2.0529,4000.0,0.0,1.0
1999-08-16,3.5703,3.5703,3.5703,3.5703,2.0529,0.0,0.0,1.0
1999-08-17,3.5938,3.5938,3.5938,3.5938,2.0664,400.0,0.0,1.0
1999-08-18,3.6094,3.6094,3.6094,3.6094,2.0754,400.0,0.0,1.0
1999-08-19,3.6094,3.6094,3.6094,3.6094,2.0754,2400.0,0.0,1.0
1999-08-20,3.6094,3.6094,3.6094,3.6094,2.0754,0.0,0.0,1.0
1999-08-23,3.5313,3.5313,3.5313,3.5313,2.0304,3200.0,0.0,1.0
1999-08-24,3.5313,3.5313,3.5313,3.5313,2.0304,3600.0,0.0,1.0
1999-08-25,3.5313,3.5313,3.5313,3.5313,2.0304,400.0,0.0,1.0
1999-08-26,3.5625,3.5625,3.5625,3.5625,2.0484,1200.0,0.0,1.0
1999-08-27,3.5313,3.5313,3.5313,3.5313,2.0304,800.0,0.0,1.0
1999-08-30,3.5313,3.5313,3.5313,3.5313,2.0304,800.0,0.0,1.0
1999-08-31,3.5313,3.5313,3.5313,3.5313,2.0304,0.0,0.0,1.0
1999-09-01,3.5313,3.5313,3.5313,3.5313,2.0304,0.0,0.0,1.0
1999-09-02,3.5313,3.6563,3.5313,3.6563,2.1023,43600.0,0.0,1.0
1999-09-03,3.6875,3.6875,3.625,3.6875,2.1203,90400.0,0.0,1.0
1999-09-07,3.5313,3.5313,3.5313,3.5313,2.0304,4400.0,0.0,1.0
1999-09-08,3.625,3.625,3.625,3.625,2.0844,4400.0,0.0,1.0
1999-09-09,3.5313,3.625,3.5313,3.625,2.0844,1600.0,0.0,1.0
1999-09-10,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
1999-09-13,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
1999-09-14,3.5313,3.5313,3.5313,3.5313,2.0304,2000.0,0.0,1.0
1999-09-15,3.5313,3.6563,3.5313,3.6563,2.1023,36800.0,0.0,1.0
1999-09-16,3.4688,3.4688,3.4688,3.4688,1.9945,1200.0,0.0,1.0
1999-09-17,3.4688,3.4688,3.4531,3.4531,1.9855,800.0,0.0,1.0
1999-09-20,3.4531,3.4531,3.4531,3.4531,1.9855,0.0,0.0,1.0
1999-09-21,3.1563,3.1563,3.1563,3.1563,1.8148,7600.0,0.0,1.0
1999-09-22,3.1563,3.1563,3.1563,3.1563,1.8148,0.0,0.0,1.0
1999-09-23,3.1563,3.1563,3.1563,3.1563,1.8148,0.0,0.0,1.0
1999-09-24,3.1563,3.5,3.1563,3.5,2.0125,2800.0,0.0,1.0
1999-09-27,3.1875,3.1875,3.1875,3.1875,1.8328,800.0,0.0,1.0
1999-09-28,3.1875,3.1875,3.1875,3.1875,1.8328,0.0,0.0,1.0
1999-09-29,3.1563,3.1563,2.9375,2.9375,1.689,3600.0,0.0,1.0
1999-09-30,3.0313,3.0313,2.6563,2.6563,1.5273,47600.0,0.0,1.0
1999-10-01,2.5625,2.5625,2.3281,2.4063,1.3836,19200.0,0.0,1.0
1999-10-04,2.3125,2.5,2.3125,2.3125,1.3297,24800.0,0.0,1.0
1999-10-05,2.3438,2.4063,2.3281,2.3281,1.3387,16400.0,0.0,1.0
1999-10-06,2.375,2.3906,2.2813,2.3906,1.3746,20000.0,0.0,1.0
1999-10-07,2.4766,2.5,2.4219,2.5,1.4375,50800.0,0.0,1.0
1999-10-08,2.5313,2.8125,2.5313,2.8125,1.6172,19200.0,0.0,1.0
1999-10-11,2.75,3.0,2.75,2.9063,1.6711,11200.0,0.0,1.0
1999-10-12,2.9063,2.9063,2.9063,2.9063,1.6711,0.0,0.0,1.0
1999-10-13,3.0625,3.125,3.0313,3.0625,1.7609,8800.0,0.0,1.0
1999-10-14,3.0625,3.125,3.0625,3.125,1.7969,6800.0,0.0,1.0
1999-10-15,3.125,3.125,3.125,3.125,1.7969,800.0,0.0,1.0
1999-10-18,3.125,3.125,3.125,3.125,1.7969,0.0,0.0,1.0
1999-10-19,3.125,3.125,3.125,3.125,1.7969,800.0,0.0,1.0
1999-10-20,3.125,3.125,3.125,3.125,1.7969,400.0,0.0,1.0
1999-10-21,3.125,3.125,3.0625,3.125,1.7969,4400.0,0.0,1.0
1999-10-22,3.125,3.2813,3.125,3.2813,1.8867,127600.0,0.0,1.0
1999-10-25,3.2813,3.2813,3.2813,3.2813,1.8867,0.0,0.0,1.0
1999-10-26,3.2813,3.2813,3.2813,3.2813,1.8867,0.0,0.0,1.0
1999-10-27,3.2813,3.3438,3.2813,3.3438,1.9226,27600.0,0.0,1.0
1999-10-28,3.3438,3.3438,3.3438,3.3438,1.9226,0.0,0.0,1.0
1999-10-29,3.3125,3.3125,3.3125,3.3125,1.9047,800.0,0.0,1.0
1999-11-01,3.4063,3.4375,3.4063,3.4375,1.9765,21200.0,0.0,1.0
1999-11-02,3.4063,3.4375,3.4063,3.4375,1.9765,8800.0,0.0,1.0
1999-11-03,3.4375,3.5625,3.4375,3.5625,2.0484,5200.0,0.0,1.0
1999-11-04,3.5313,3.75,3.5313,3.75,2.1562,52800.0,0.0,1.0
1999-11-05,3.75,3.75,3.75,3.75,2.1562,0.0,0.0,1.0
1999-11-08,3.6875,3.6875,3.6875,3.6875,2.1203,8800.0,0.0,1.0
1999-11-09,3.6875,3.6875,3.6875,3.6875,2.1203,0.0,0.0,1.0
1999-11-10,3.6875,3.7031,3.6875,3.7031,2.1293,5200.0,0.0,1.0
1999-11-11,3.6875,3.7031,3.6875,3.7031,2.1293,12400.0,0.0,1.0
1999-11-12,3.6875,3.6875,3.6875,3.6875,2.1203,6800.0,0.0,1.0
1999-11-15,3.6875,3.7031,3.6719,3.6719,2.1113,106000.0,0.0,1.0
1999-11-16,3.6719,3.6719,3.5,3.6719,2.1113,14400.0,0.0,1.0
1999-11-17,3.6563,3.6875,3.6563,3.6875,2.1203,9600.0,0.0,1.0
1999-11-18,3.6875,3.6875,3.6875,3.6875,2.1203,3200.0,0.0,1.0
1999-11-19,3.7031,3.7031,3.7031,3.7031,2.1293,800.0,0.0,1.0
1999-11-22,3.6875,3.6875,3.6875,3.6875,2.1203,6000.0,0.0,1.0
1999-11-23,3.7031,3.7031,3.7031,3.7031,2.1293,12800.0,0.0,1.0
1999-11-24,3.7031,3.7344,3.7031,3.7031,2.1293,52400.0,0.0,1.0
1999-11-26,3.7031,3.7031,3.7031,3.7031,2.1293,0.0,0.0,1.0
1999-11-29,3.7188,3.7188,3.7188,3.7188,2.1383,76400.0,0.0,1.0
1999-11-30,3.75,3.75,3.7188,3.75,2.1562,108400.0,0.0,1.0
1999-12-01,3.7188,3.75,3.7188,3.7188,2.1383,30000.0,0.0,1.0
1999-12-02,3.75,3.8125,3.7188,3.75,2.1562,96800.0,0.0,1.0
1999-12-03,3.875,3.875,3.875,3.875,2.2281,6400.0,0.0,1.0
1999-12-06,3.8125,3.9375,3.8125,3.8125,2.1922,22800.0,0.0,1.0
1999-12-07,3.7813,3.8125,3.7813,3.8125,2.1922,3600.0,0.0,1.0
1999-12-08,3.8125,3.8125,3.8125,3.8125,2.1922,0.0,0.0,1.0
1999-12-09,3.7813,3.8438,3.7813,3.8438,2.2101,72400.0,0.0,1.0
1999-12-10,3.875,3.875,3.875,3.875,2.2281,6800.0,0.0,1.0
1999-12-13,3.875,3.875,3.875,3.875,2.2281,0.0,0.0,1.0
1999-12-14,3.7813,3.7813,3.7813,3.7813,2.1742,400.0,0.0,1.0
1999-12-15,3.7813,3.875,3.7813,3.875,2.2281,86800.0,0.0,1.0
1999-12-16,3.8438,3.8438,3.8438,3.8438,2.2101,4800.0,0.0,1.0
1999-12-17,3.7813,3.875,3.7813,3.7813,2.1742,33600.0,0.0,1.0
1999-12-20,3.75,3.875,3.6875,3.8125,2.1922,77200.0,0.0,1.0
1999-12-21,3.7188,3.875,3.7188,3.7188,2.1383,56400.0,0.0,1.0
1999-12-22,3.7188,3.7188,3.7188,3.7188,2.1383,0.0,0.0,1.0
1999-12-23,3.7188,3.7188,3.7188,3.7188,2.1383,3200.0,0.0,1.0
1999-12-27,3.6875,3.6875,3.6563,3.6563,2.1023,5600.0,0.0,1.0
1999-12-28,3.6875,3.6875,3.6875,3.6875,2.1203,1600.0,0.0,1.0
1999-12-29,3.5938,3.5938,3.5,3.5,2.0125,2800.0,0.0,1.0
1999-12-30,3.4688,3.7188,3.4375,3.7188,2.1383,9200.0,0.0,1.0
1999-12-31,3.7188,3.7188,3.7188,3.7188,2.1383,0.0,0.0,1.0
2000-01-03,3.4375,3.4375,3.4375,3.4375,1.9765,400.0,0.0,1.0
2000-01-04,3.4375,3.4375,3.4375,3.4375,1.9765,800.0,0.0,1.0
2000-01-05,3.4375,3.4375,3.4375,3.4375,1.9765,0.0,0.0,1.0
2000-01-06,3.4375,3.4375,3.4375,3.4375,1.9765,8400.0,0.0,1.0
2000-01-07,3.4375,3.4375,3.4375,3.4375,1.9765,0.0,0.0,1.0
2000-01-10,3.4375,3.4375,3.4375,3.4375,1.9765,0.0,0.0,1.0
2000-01-11,3.4375,3.4375,3.4375,3.4375,1.9765,2000.0,0.0,1.0
2000-01-12,3.4688,3.5938,3.4688,3.5938,2.0664,22800.0,0.0,1.0
2000-01-13,3.5,3.625,3.5,3.5625,2.0484,84000.0,0.0,1.0
2000-01-14,3.5313,3.7188,3.5313,3.625,2.0844,32000.0,0.0,1.0
2000-01-18,3.5938,3.625,3.5938,3.625,2.0844,40800.0,0.0,1.0
2000-01-19,3.7188,3.7188,3.6563,3.6563,2.1023,40400.0,0.0,1.0
2000-01-20,3.6563,3.6563,3.6563,3.6563,2.1023,0.0,0.0,1.0
2000-01-21,3.625,3.625,3.625,3.625,2.0844,40000.0,0.0,1.0
2000-01-24,3.625,3.625,3.625,3.625,2.0844,58800.0,0.0,1.0
2000-01-25,3.6875,3.75,3.625,3.6563,2.1023,93600.0,0.0,1.0
2000-01-26,3.75,3.75,3.6719,3.6719,2.1113,124400.0,0.0,1.0
2000-01-27,3.625,3.625,3.625,3.625,2.0844,4000.0,0.0,1.0
2000-01-28,3.625,3.6563,3.5938,3.5938,2.0664,28400.0,0.0,1.0
2000-01-31,3.6563,3.6563,3.6563,3.6563,2.1023,20000.0,0.0,1.0
2000-02-01,3.625,3.6875,3.625,3.625,2.0844,264400.0,0.0,1.0
2000-02-02,3.625,3.6563,3.625,3.625,2.0844,93200.0,0.0,1.0
2000-02-03,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
2000-02-04,3.625,3.625,3.625,3.625,2.0844,4400.0,0.0,1.0
2000-02-07,3.625,3.625,3.625,3.625,2.0844,6000.0,0.0,1.0
2000-02-08,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
2000-02-09,3.6563,3.6563,3.625,3.6563,2.1023,90000.0,0.0,1.0
2000-02-10,3.6563,3.6875,3.625,3.625,2.0844,42400.0,0.0,1.0
2000-02-11,3.625,3.625,3.625,3.625,2.0844,4000.0,0.0,1.0
2000-02-14,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
2000-02-15,3.6406,3.6875,3.625,3.6563,2.1023,125600.0,0.0,1.0
2000-02-16,3.625,3.625,3.625,3.625,2.0844,1200.0,0.0,1.0
2000-02-17,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
2000-02-18,3.6875,3.7188,3.625,3.625,2.0844,99200.0,0.0,1.0
2000-02-22,3.6563,3.6875,3.6563,3.6563,2.1023,19600.0,0.0,1.0
2000-02-23,3.6563,3.6875,3.6563,3.6563,2.1023,12000.0,0.0,1.0
2000-02-24,3.6563,3.7188,3.6563,3.7188,2.1383,26800.0,0.0,1.0
2000-02-25,3.75,3.75,3.75,3.75,2.1562,24800.0,0.0,1.0
2000-02-28,3.6563,3.6563,3.6563,3.6563,2.1023,800.0,0.0,1.0
2000-02-29,3.6875,3.6875,3.6875,3.6875,2.1203,800.0,0.0,1.0
2000-03-01,3.75,3.75,3.75,3.75,2.1562,1200.0,0.0,1.0
2000-03-02,3.8125,3.8125,3.6719,3.7969,2.1832,130000.0,0.0,1.0
2000-03-03,3.7813,3.7813,3.6563,3.6563,2.1023,800.0,0.0,1.0
2000-03-06,3.6563,3.6563,3.6563,3.6563,2.1023,9600.0,0.0,1.0
2000-03-07,3.6563,3.7813,3.6563,3.6563,2.1023,6000.0,0.0,1.0
2000-03-08,3.7813,3.7813,3.6563,3.6563,2.1023,4000.0,0.0,1.0
2000-03-09,3.6563,3.6875,3.6563,3.6875,2.1203,8400.0,0.0,1.0
2000-03-10,3.6875,3.8438,3.6875,3.8125,2.1922,136400.0,0.0,1.0
2000-03-13,3.625,3.625,3.625,3.625,2.0844,400.0,0.0,1.0
2000-03-14,3.625,3.625,3.625,3.625,2.0844,0.0,0.0,1.0
2000-03-15,3.8125,4.0,3.8125,4.0,2.3,16800.0,0.0,1.0
2000-03-16,3.6875,3.75,3.6875,3.75,2.1562,8400.0,0.0,1.0
2000-03-17,3.75,3.75,3.75,3.75,2.1562,400.0,0.0,1.0
2000-03-20,3.6875,3.75,3.6875,3.7188,2.1383,8800.0,0.0,1.0
2000-03-21,3.625,3.625,3.625,3.625,2.0844,2400.0,0.0,1.0
2000-03-22,3.625,3.625,3.625,3.625,2.0844,2000.0,0.0,1.0
2000-03-23,3.6875,3.6875,3.6875,3.6875,2.1203,9600.0,0.0,1.0
2000-03-24,3.625,4.0,3.625,3.75,2.1562,4400.0,0.0,1.0
2000-03-27,3.75,3.75,3.75,3.75,2.1562,800.0,0.0,1.0
2000-03-28,3.6563,3.7188,3.625,3.7188,2.1383,3600.0,0.0,1.0
2000-03-29,3.75,3.75,3.75,3.75,2.1562,3200.0,0.0,1.0
2000-03-30,3.75,3.75,3.75,3.75,2.1562,0.0,0.0,1.0
2000-03-31,3.4375,3.4375,3.4375,3.4375,1.9765,800.0,0.0,1.0
2000-04-03,3.375,3.375,3.375,3.375,1.9406,400.0,0.0,1.0
2000-04-04,3.375,3.375,3.375,3.375,1.9406,3600.0,0.0,1.0
2000-04-05,3.375,3.375,3.375,3.375,1.9406,400.0,0.0,1.0
2000-04-06,3.3438,3.3438,3.3125,3.3125,1.9047,2800.0,0.0,1.0
2000-04-07,3.25,3.625,3.25,3.2969,1.8957,21600.0,0.0,1.0
2000-04-10,3.375,3.625,3.375,3.625,2.0844,24800.0,0.0,1.0
2000-04-11,3.625,3.625,3.5313,3.625,2.0844,1200.0,0.0,1.0
2000-04-12,3.625,3.625,3.625,3.625,2.0844,400.0,0.0,1.0
2000-04-13,3.625,3.625,3.625,3.625,2.0844,4000.0,0.0,1.0
2000-04-14,3.3125,3.4063,3.3125,3.4063,1.9586,3200.0,0.0,1.0
2000-04-17,3.3125,3.3438,3.3125,3.3125,1.9047,6400.0,0.0,1.0
2000-04-18,3.3125,3.3125,3.3125,3.3125,1.9047,10000.0,0.0,1.0
2000-04-19,3.3125,3.4063,3.3125,3.4063,1.9586,1600.0,0.0,1.0
2000-04-20,3.4063,3.4063,3.4063,3.4063,1.9586,0.0,0.0,1.0
2000-04-24,3.3125,3.3125,3.3125,3.3125,1.9047,1200.0,0.0,1.0
2000-04-25,3.3125,3.3125,3.3125,3.3125,1.9047,0.0,0.0,1.0
2000-04-26,3.3125,3.3125,3.3125,3.3125,1.9047,2800.0,0.0,1.0
2000-04-27,3.3125,3.3125,3.3125,3.3125,1.9047,7600.0,0.0,1.0
2000-04-28,3.4688,3.4688,3.4688,3.4688,1.9945,6000.0,0.0,1.0
2000-05-01,3.5,3.625,3.5,3.5,2.0125,10800.0,0.0,1.0
2000-05-02,3.5625,3.625,3.5625,3.625,2.0844,10400.0,0.0,1.0
2000-05-03,3.5625,3.6563,3.5625,3.6563,2.1023,16000.0,0.0,1.0
2000-05-04,3.7813,3.7813,3.5938,3.5938,2.0664,22400.0,0.0,1.0
2000-05-05,3.5938,3.5938,3.5938,3.5938,2.0664,400.0,0.0,1.0
2000-05-08,3.6563,3.6563,3.6563,3.6563,2.1023,800.0,0.0,1.0
2000-05-09,3.7188,3.75,3.7188,3.7188,2.1383,42400.0,0.0,1.0
2000-05-10,3.7188,3.7188,3.7188,3.7188,2.1383,0.0,0.0,1.0
2000-05-11,3.7188,3.7188,3.7188,3.7188,2.1383,0.0,0.0,1.0
2000-05-12,3.6875,3.75,3.6875,3.6875,2.1203,18400.0,0.0,1.0
2000-05-15,3.8438,3.8438,3.8125,3.8125,2.1922,2000.0,0.0,1.0
2000-05-16,3.75,3.8125,3.75,3.7813,2.1742,14000.0,0.0,1.0
2000-05-17,3.8125,3.8125,3.7813,3.7813,2.1742,20000.0,0.0,1.0
2000-05-18,3.8438,3.8438,3.8125,3.8125,2.1922,36400.0,0.0,1.0
2000-05-19,3.875,3.875,3.875,3.875,2.2281,400.0,0.0,1.0
2000-05-22,3.875,3.875,3.875,3.875,2.2281,0.0,0.0,1.0
2000-05-23,3.875,3.875,3.875,3.875,2.2281,0.0,0.0,1.0
2000-05-24,3.8438,3.875,3.8438,3.875,2.2281,89200.0,0.0,1.0
2000-05-25,3.9297,4.5625,3.9297,4.3438,2.4976,103200.0,0.0,1.0
2000-05-26,4.4063,4.5313,4.0,4.0938,2.3539,98000.0,0.0,1.0
2000-05-30,4.125,4.1875,4.0156,4.1875,2.4078,51200.0,0.0,1.0
2000-05-31,4.0,4.1875,4.0,4.125,2.3719,16800.0,0.0,1.0
2000-06-01,4.0625,4.1875,4.0625,4.1875,2.4078,11200.0,0.0,1.0
