date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-10-26,19.25,19.25,19.25,19.25,7.6615,8400.0,0.0,1.0
1999-10-27,19.5,19.5,19.5,19.5,7.761,800.0,0.0,1.0
1999-10-28,19.5,19.5,18.9063,19.5,7.761,1200.0,0.0,1.0
1999-10-29,19.5,19.5,19.5,19.5,7.761,0.0,0.0,1.0
1999-11-01,19.5,19.5,19.5,19.5,7.761,0.0,0.0,1.0
1999-11-02,19.5,19.5,19.5,19.5,7.761,0.0,0.0,1.0
1999-11-03,18.3125,18.5,18.3125,18.3125,7.2884,800.0,0.0,1.0
1999-11-04,19.3125,19.3125,18.5,19.3125,7.6864,3600.0,0.0,1.0
1999-11-05,19.3125,19.3125,19.3125,19.3125,7.6864,0.0,0.0,1.0
1999-11-08,19.3125,19.3125,19.3125,19.3125,7.6864,0.0,0.0,1.0
1999-11-09,18.3125,18.3125,18.3125,18.3125,7.2884,0.0,0.0,1.0
1999-11-10,19.25,19.25,19.25,19.25,7.6615,400.0,0.0,1.0
1999-11-11,19.25,19.25,19.25,19.25,7.6615,0.0,0.0,1.0
1999-11-12,19.25,19.25,19.25,19.25,7.6615,0.0,0.0,1.0
1999-11-15,18.875,18.875,18.875,18.875,7.5123,800.0,0.0,1.0
1999-11-16,18.25,18.875,18.25,18.25,7.2635,4400.0,0.0,1.0
1999-11-17,18.25,18.5,18.25,18.25,7.2635,800.0,0.0,1.0
1999-11-18,18.25,18.25,18.25,18.25,7.2635,0.0,0.0,1.0
1999-11-19,18.25,18.25,18.25,18.25,7.2635,0.0,0.0,1.0
1999-11-22,17.75,18.25,17.75,18.25,7.2635,2400.0,0.0,1.0
1999-11-23,17.625,18.25,17.625,18.25,7.2635,2000.0,0.0,1.0
1999-11-24,18.25,18.25,18.25,18.25,7.2635,0.0,0.0,1.0
1999-11-26,18.25,18.25,18.25,18.25,7.2635,0.0,0.0,1.0
1999-11-29,18.75,18.75,18.75,18.75,7.4625,0.0,0.0,1.0
1999-11-30,17.5,17.5,17.5,17.5,6.965,800.0,0.0,1.0
1999-12-01,18.25,18.875,18.25,18.875,7.5123,800.0,0.0,1.0
1999-12-02,18.875,18.875,18.875,18.875,7.5123,0.0,0.0,1.0
1999-12-03,18.0,19.5,18.0,18.0,7.164,9600.0,0.0,1.0
1999-12-06,18.0,18.0,18.0,18.0,7.164,0.0,0.0,1.0
1999-12-07,18.0,18.0,18.0,18.0,7.164,0.0,0.0,1.0
1999-12-08,18.0,18.0,18.0,18.0,7.164,0.0,0.0,1.0
1999-12-09,18.125,18.625,18.125,18.125,7.2138,2000.0,0.0,1.0
1999-12-10,18.25,18.25,17.875,17.875,7.1143,800.0,0.0,1.0
1999-12-13,17.75,19.25,17.75,17.75,7.0645,8400.0,0.0,1.0
1999-12-14,17.75,17.75,17.75,17.75,7.0645,800.0,0.0,1.0
1999-12-15,18.5,18.5,18.5,18.5,7.363,1200.0,0.0,1.0
1999-12-16,18.5,18.5,18.5,18.5,7.363,100000.0,0.0,1.0
1999-12-17,18.5,18.5,18.5,18.5,7.363,0.0,0.0,1.0
1999-12-20,17.5,19.375,17.5,19.375,7.7113,800.0,0.0,1.0
1999-12-21,19.375,19.375,19.375,19.375,7.7113,0.0,0.0,1.0
1999-12-22,19.375,19.375,19.375,19.375,7.7113,0.0,0.0,1.0
1999-12-23,17.5,18.125,17.5,18.125,7.2138,4000.0,0.0,1.0
1999-12-27,18.125,18.125,18.125,18.125,7.2138,0.0,0.0,1.0
1999-12-28,18.125,18.125,18.125,18.125,7.2138,0.0,0.0,1.0
1999-12-29,19.375,19.375,18.375,18.375,7.3133,1200.0,0.0,1.0
1999-12-30,18.375,18.375,18.375,18.375,7.3133,0.0,0.0,1.0
1999-12-31,18.375,18.375,18.375,18.375,7.3133,0.0,0.0,1.0
2000-01-03,17.5,17.5,16.75,17.5,6.965,8000.0,0.0,1.0
2000-01-04,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-05,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-06,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-07,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-10,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-11,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-12,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-13,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-14,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-18,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-19,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-20,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-21,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-24,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-25,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-26,17.5,17.5,17.5,17.5,6.965,0.0,0.0,1.0
2000-01-27,16.75,16.75,16.75,16.75,6.6665,800.0,0.0,1.0
2000-01-28,16.75,16.75,16.75,16.75,6.6665,0.0,0.0,1.0
2000-01-31,16.75,16.75,16.75,16.75,6.6665,0.0,0.0,1.0
2000-02-01,16.75,16.75,16.75,16.75,6.6665,0.0,0.0,1.0
2000-02-02,15.125,15.5,15.0,15.125,6.0198,4400.0,0.0,1.0
2000-02-03,16.0,16.0,15.0,15.0,5.97,1200.0,0.0,1.0
2000-02-04,15.0,15.0,15.0,15.0,5.97,0.0,0.0,1.0
2000-02-07,15.0,15.0,15.0,15.0,5.97,0.0,0.0,1.0
2000-02-08,15.0,15.75,15.0,15.75,6.2685,3600.0,0.0,1.0
2000-02-09,14.375,15.0,14.375,14.375,5.7213,4800.0,0.0,1.0
2000-02-10,15.25,15.25,15.25,15.25,6.0695,400.0,0.0,1.0
2000-02-11,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-14,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-15,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-16,15.25,15.25,15.25,15.25,6.0695,400.0,0.0,1.0
2000-02-17,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-18,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-22,15.25,15.25,15.25,15.25,6.0695,0.0,0.0,1.0
2000-02-23,14.0,14.5,14.0,14.5,5.771,1600.0,0.0,1.0
2000-02-24,14.5,14.5,14.5,14.5,5.771,0.0,0.0,1.0
2000-02-25,14.5,14.5,14.5,14.5,5.771,0.0,0.0,1.0
2000-02-28,14.5,14.5,14.5,14.5,5.893,0.0,0.3,1.0
2000-02-29,15.125,15.125,15.125,15.125,6.147,800.0,0.0,1.0
2000-03-01,15.0,15.0,13.75,13.75,5.5881,2000.0,0.0,1.0
2000-03-02,13.5,13.75,13.5,13.5,5.4865,2800.0,0.0,1.0
2000-03-03,13.5,14.25,13.5,14.25,5.7914,1200.0,0.0,1.0
2000-03-06,14.25,14.25,14.25,14.25,5.7914,0.0,0.0,1.0
2000-03-07,14.25,14.25,14.25,14.25,5.7914,0.0,0.0,1.0
2000-03-08,12.5,12.5,12.5,12.5,5.0801,1200.0,0.0,1.0
2000-03-09,12.5,12.5,12.5,12.5,5.0801,0.0,0.0,1.0
2000-03-10,12.5,12.5,12.5,12.5,5.0801,1200.0,0.0,1.0
2000-03-13,12.5,12.5,12.5,12.5,5.0801,2400.0,0.0,1.0
2000-03-14,12.5,12.5,12.5,12.5,5.0801,0.0,0.0,1.0
2000-03-15,12.5,12.5,12.5,12.5,5.0801,0.0,0.0,1.0
2000-03-16,12.5,12.5,12.5,12.5,5.0801,0.0,0.0,1.0
2000-03-17,10.0,12.5,10.0,10.0,4.0641,5600.0,0.0,1.0
2000-03-20,10.0,10.0,10.0,10.0,4.0641,0.0,0.0,1.0
2000-03-21,10.0,10.0,10.0,10.0,4.0641,0.0,0.0,1.0
2000-03-22,10.0,10.0,10.0,10.0,4.0641,0.0,0.0,1.0
2000-03-23,10.0,10.0,10.0,10.0,4.0641,0.0,0.0,1.0
2000-03-24,10.25,10.25,10.25,10.25,4.1657,1600.0,0.0,1.0
2000-03-27,10.25,10.25,10.25,10.25,4.1657,0.0,0.0,1.0
2000-03-28,10.25,10.25,10.25,10.25,4.1657,0.0,0.0,1.0
2000-03-29,10.25,10.25,10.25,10.25,4.1657,1600.0,0.0,1.0
2000-03-30,10.25,10.25,10.25,10.25,4.1657,0.0,0.0,1.0
