date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-01-25,30.26,30.3,30.037,30.07,29.4447,84200.0,0.0,1.0
2018-01-26,30.15,30.53,30.1,30.53,29.8952,132700.0,0.0,1.0
2018-01-29,30.52,30.62,30.42,30.62,29.9833,93700.0,0.0,1.0
2018-01-30,30.3,30.3,29.85,29.9,29.2783,88500.0,0.0,1.0
2018-01-31,29.99,30.13,29.99,30.05,29.4252,58800.0,0.0,1.0
2018-02-01,29.91,30.069,29.81,29.925,29.3028,49200.0,0.0,1.0
2018-02-02,29.56,29.64,29.074,29.09,28.4851,53800.0,0.0,1.0
2018-02-05,28.8,28.971,27.71,27.83,27.2513,61000.0,0.0,1.0
2018-02-06,27.42,28.54,27.34,28.46,27.8682,41400.0,0.0,1.0
2018-02-07,28.36,28.67,28.245,28.32,27.7311,32900.0,0.0,1.0
2018-02-08,28.3,28.34,27.19,27.19,26.6246,28800.0,0.0,1.0
2018-02-09,27.66,27.87,26.801,27.815,27.2366,24800.0,0.0,1.0
2018-02-12,28.05,28.2,27.86,28.075,27.4912,38900.0,0.0,1.0
2018-02-13,27.99,28.23,27.94,28.21,27.6234,18500.0,0.0,1.0
2018-02-14,28.03,28.849,28.03,28.825,28.2256,22200.0,0.0,1.0
2018-02-15,29.17,29.24,28.836,29.213,28.6056,40900.0,0.0,1.0
2018-02-16,29.15,29.393,29.1,29.205,28.5977,101500.0,0.0,1.0
2018-02-20,29.0,29.25,28.99,29.05,28.446,29600.0,0.0,1.0
2018-02-21,29.23,29.38,28.96,28.967,28.3647,22000.0,0.0,1.0
2018-02-22,29.05,29.12,28.801,28.801,28.2021,30300.0,0.0,1.0
2018-02-23,29.27,29.54,29.175,29.54,28.9258,26100.0,0.0,1.0
2018-02-26,29.73,29.9,29.61,29.87,29.2489,46400.0,0.0,1.0
2018-02-27,29.91,30.01,29.683,29.683,29.0658,27200.0,0.0,1.0
2018-02-28,29.76,29.77,29.5,29.5,28.8866,24200.0,0.0,1.0
2018-03-01,29.42,29.42,28.704,29.0,28.397,21100.0,0.0,1.0
2018-03-02,28.66,29.3,28.65,29.28,28.6712,41100.0,0.0,1.0
2018-03-05,29.15,29.647,29.15,29.6,28.9845,25700.0,0.0,1.0
2018-03-06,29.82,29.98,29.76,29.884,29.2626,26300.0,0.0,1.0
2018-03-07,29.73,30.11,29.73,30.068,29.4428,38100.0,0.0,1.0
2018-03-08,30.23,30.29,30.015,30.14,29.5133,27700.0,0.0,1.0
2018-03-09,30.33,30.39,30.22,30.39,29.7581,38400.0,0.0,1.0
2018-03-12,30.38,30.52,30.38,30.48,29.8462,30400.0,0.0,1.0
2018-03-13,30.75,30.75,30.19,30.19,29.5623,13100.0,0.0,1.0
2018-03-14,30.35,30.35,30.06,30.12,29.4937,17700.0,0.0,1.0
2018-03-15,30.26,30.38,30.16,30.258,29.6288,11900.0,0.0,1.0
2018-03-16,30.38,30.429,30.31,30.35,29.7189,21800.0,0.0,1.0
2018-03-19,30.31,30.31,29.91,30.05,29.4252,26500.0,0.0,1.0
2018-03-20,30.03,30.15,30.03,30.12,29.4937,17200.0,0.0,1.0
2018-03-21,30.0,30.241,30.0,30.075,29.4496,20300.0,0.0,1.0
2018-03-22,29.521,29.68,29.213,29.213,28.6189,20800.0,0.014,1.0
2018-03-23,29.18,29.18,28.62,28.63,28.0477,21700.0,0.0,1.0
2018-03-26,29.17,29.293,28.875,29.29,28.6943,9400.0,0.0,1.0
2018-03-27,29.48,29.48,28.605,28.71,28.1261,22000.0,0.0,1.0
2018-03-28,28.55,28.815,28.47,28.68,28.0967,34400.0,0.0,1.0
2018-03-29,28.67,29.15,28.67,29.06,28.469,13100.0,0.0,1.0
2018-04-02,28.92,28.94,28.165,28.375,27.7979,25200.0,0.0,1.0
2018-04-03,28.38,28.63,28.33,28.53,27.9498,5200.0,0.0,1.0
2018-04-04,28.0,28.73,27.98,28.728,28.1437,96100.0,0.0,1.0
2018-04-05,28.97,28.97,28.75,28.79,28.2045,8900.0,0.0,1.0
2018-04-06,28.61,28.746,28.199,28.305,27.7294,139800.0,0.0,1.0
2018-04-09,28.497,28.821,28.497,28.7,28.1163,7100.0,0.0,1.0
2018-04-10,28.89,29.053,28.78,29.053,28.4621,9600.0,0.0,1.0
2018-04-11,28.8,28.996,28.8,28.835,28.2486,8100.0,0.0,1.0
2018-04-12,29.0,29.23,29.0,29.154,28.5611,12800.0,0.0,1.0
2018-04-13,29.34,29.34,28.859,28.94,28.3514,8700.0,0.0,1.0
2018-04-16,29.08,29.11,28.945,29.063,28.4719,7800.0,0.0,1.0
2018-04-17,29.27,29.54,29.27,29.527,28.9265,20500.0,0.0,1.0
2018-04-18,29.56,29.7,29.495,29.65,29.047,36400.0,0.0,1.0
2018-04-19,29.44,29.5,29.216,29.31,28.7139,8700.0,0.0,1.0
2018-04-20,29.18,29.18,28.955,28.995,28.4053,8600.0,0.0,1.0
2018-04-23,29.12,29.139,28.9,28.9,28.3123,17600.0,0.0,1.0
2018-04-24,29.01,29.118,28.53,28.62,28.0379,21600.0,0.0,1.0
2018-04-25,28.44,28.639,28.44,28.59,28.0086,21800.0,0.0,1.0
2018-04-26,28.87,29.068,28.87,29.0,28.4102,10900.0,0.0,1.0
2018-04-27,29.2,29.21,28.929,29.109,28.517,36500.0,0.0,1.0
2018-04-30,29.129,29.129,28.89,28.93,28.3416,21400.0,0.0,1.0
2018-05-01,28.86,28.93,28.722,28.919,28.3309,2600.0,0.0,1.0
2018-05-02,28.981,29.066,28.78,28.8,28.2143,8200.0,0.0,1.0
2018-05-03,28.829,29.019,28.599,28.98,28.3906,7900.0,0.0,1.0
2018-05-04,28.81,29.25,28.8,29.181,28.5875,3900.0,0.0,1.0
2018-05-07,29.05,29.4,29.05,29.28,28.6845,19300.0,0.0,1.0
2018-05-08,29.34,29.42,29.275,29.386,28.7884,14200.0,0.0,1.0
2018-05-09,29.49,29.659,29.439,29.62,29.0176,11500.0,0.0,1.0
2018-05-10,29.83,29.98,29.741,29.92,29.3115,8900.0,0.0,1.0
2018-05-11,30.06,30.06,29.89,30.02,29.4095,15800.0,0.0,1.0
2018-05-14,30.09,30.21,30.05,30.075,29.4634,23000.0,0.0,1.0
2018-05-15,29.76,29.81,29.636,29.675,29.0715,17400.0,0.0,1.0
2018-05-16,29.81,29.92,29.75,29.888,29.2802,17300.0,0.0,1.0
2018-05-17,29.81,29.915,29.67,29.798,29.192,5000.0,0.0,1.0
2018-05-18,29.7,29.74,29.64,29.66,29.0568,29300.0,0.0,1.0
2018-05-21,29.87,29.917,29.674,29.79,29.1842,23500.0,0.0,1.0
2018-05-22,29.9,29.904,29.791,29.84,29.2331,9900.0,0.0,1.0
2018-05-23,29.5,29.679,29.35,29.679,29.0754,14900.0,0.0,1.0
2018-05-24,29.68,29.68,29.55,29.57,28.9686,9200.0,0.0,1.0
2018-05-25,29.58,29.659,29.58,29.619,29.0166,6500.0,0.0,1.0
2018-05-29,29.24,29.33,29.001,29.043,28.4523,10200.0,0.0,1.0
2018-05-30,29.315,29.49,29.313,29.465,28.8658,8300.0,0.0,1.0
2018-05-31,29.33,29.416,29.23,29.24,28.6453,8000.0,0.0,1.0
2018-06-01,29.576,29.76,29.576,29.7,29.096,14200.0,0.0,1.0
2018-06-04,29.9,30.016,29.88,29.98,29.3703,8400.0,0.0,1.0
2018-06-05,30.09,30.133,30.0,30.083,29.4712,20100.0,0.0,1.0
2018-06-06,30.2,30.465,30.19,30.4,29.7817,16200.0,0.0,1.0
2018-06-07,30.59,30.59,30.143,30.18,29.5662,31800.0,0.0,1.0
2018-06-08,30.16,30.3,30.045,30.3,29.6838,12700.0,0.0,1.0
2018-06-11,30.31,30.47,30.29,30.445,29.8258,21500.0,0.0,1.0
2018-06-12,30.4,30.43,30.32,30.32,29.7034,9500.0,0.0,1.0
2018-06-13,30.41,30.59,30.34,30.34,29.723,9200.0,0.0,1.0
2018-06-14,30.4,30.45,30.26,30.26,29.6446,4900.0,0.0,1.0
2018-06-15,30.09,30.26,30.07,30.18,29.5662,11100.0,0.0,1.0
2018-06-18,29.9,30.105,29.76,30.06,29.4487,8000.0,0.0,1.0
2018-06-19,29.66,29.809,29.521,29.768,29.1626,8700.0,0.0,1.0
2018-06-20,29.88,29.94,29.85,29.86,29.2527,6700.0,0.0,1.0
2018-06-21,29.73,29.73,29.37,29.37,28.8898,5100.0,0.121,1.0
2018-06-22,29.38,29.47,29.38,29.38,28.8996,6000.0,0.0,1.0
2018-06-25,29.13,29.13,28.67,28.83,28.3586,10300.0,0.0,1.0
2018-06-26,28.78,28.95,28.78,28.863,28.3911,9100.0,0.0,1.0
2018-06-27,28.85,28.875,28.29,28.506,28.0399,7700.0,0.0,1.0
2018-06-28,28.392,28.579,28.35,28.579,28.1117,2300.0,0.0,1.0
2018-06-29,28.75,28.868,28.75,28.785,28.3143,4100.0,0.0,1.0
2018-07-02,28.38,28.64,28.38,28.64,28.1717,7800.0,0.0,1.0
2018-07-03,28.824,28.88,28.62,28.62,28.152,5200.0,0.0,1.0
2018-07-05,28.85,28.88,28.684,28.825,28.3537,6400.0,0.0,1.0
2018-07-06,28.976,29.19,28.976,29.11,28.634,6900.0,0.0,1.0
2018-07-09,29.35,29.517,29.35,29.517,29.0344,1700.0,0.0,1.0
2018-07-10,29.571,29.684,29.571,29.681,29.1957,3600.0,0.0,1.0
2018-07-11,29.33,29.401,29.32,29.32,28.8406,10900.0,0.0,1.0
2018-07-12,29.67,29.75,29.661,29.695,29.2094,5700.0,0.0,1.0
2018-07-13,29.65,29.651,29.56,29.651,29.1662,5000.0,0.0,1.0
2018-07-16,29.613,29.753,29.613,29.71,29.2242,2800.0,0.0,1.0
2018-07-17,29.64,29.9,29.571,29.84,29.3521,9400.0,0.0,1.0
2018-07-18,29.81,29.864,29.75,29.818,29.3304,3600.0,0.0,1.0
2018-07-19,29.722,29.767,29.625,29.7,29.2144,5300.0,0.0,1.0
2018-07-20,29.777,29.89,29.744,29.744,29.2576,3600.0,0.0,1.0
2018-07-23,29.68,29.76,29.475,29.729,29.2429,6500.0,0.0,1.0
2018-07-24,29.99,29.997,29.7,29.7,29.2144,5400.0,0.0,1.0
2018-07-25,29.804,29.941,29.651,29.941,29.4514,7000.0,0.0,1.0
2018-07-26,30.0,30.239,29.96,30.077,29.5852,12800.0,0.0,1.0
2018-07-27,30.15,30.15,29.821,29.932,29.4426,1600.0,0.0,1.0
2018-07-30,29.593,29.733,29.593,29.733,29.2468,600.0,0.0,1.0
2018-07-31,29.72,29.747,29.65,29.675,29.1898,3800.0,0.0,1.0
2018-08-01,29.65,29.65,29.549,29.588,29.1042,2200.0,0.0,1.0
2018-08-02,29.18,29.56,29.18,29.505,29.0226,3800.0,0.0,1.0
2018-08-03,29.528,29.61,29.46,29.51,29.0275,5500.0,0.0,1.0
2018-08-06,29.57,29.66,29.491,29.56,29.0767,7500.0,0.0,1.0
2018-08-07,29.76,29.87,29.7,29.87,29.3816,10400.0,0.0,1.0
2018-08-08,29.784,29.88,29.781,29.87,29.3816,5100.0,0.0,1.0
2018-08-09,29.92,29.92,29.72,29.72,29.234,3900.0,0.0,1.0
2018-08-10,29.35,29.39,29.35,29.36,28.8799,3500.0,0.0,1.0
2018-08-13,29.414,29.414,29.24,29.24,28.7619,24100.0,0.0,1.0
2018-08-14,29.29,29.33,29.091,29.207,28.7294,7400.0,0.0,1.0
2018-08-15,28.94,28.94,28.6,28.75,28.2799,16500.0,0.0,1.0
2018-08-16,29.04,29.05,28.88,28.88,28.4078,10000.0,0.0,1.0
2018-08-17,28.902,29.14,28.902,29.14,28.6635,15300.0,0.0,1.0
2018-08-20,29.24,29.282,29.094,29.265,28.7865,2300.0,0.0,1.0
2018-08-21,29.43,29.59,29.43,29.54,29.057,3400.0,0.0,1.0
2018-08-22,29.492,29.7,29.451,29.65,29.1652,3900.0,0.0,1.0
2018-08-23,29.65,29.79,29.649,29.71,29.2242,6400.0,0.0,1.0
2018-08-24,29.83,30.11,29.83,30.03,29.539,7500.0,0.0,1.0
2018-08-27,30.29,30.54,30.29,30.39,29.8931,11200.0,0.0,1.0
2018-08-28,30.422,30.45,30.221,30.45,29.9521,4400.0,0.0,1.0
2018-08-29,30.37,30.69,30.37,30.68,30.1783,51900.0,0.0,1.0
2018-08-30,30.48,30.52,30.33,30.33,29.8341,7800.0,0.0,1.0
2018-08-31,30.321,30.408,30.201,30.29,29.7947,7400.0,0.0,1.0
2018-09-04,30.22,30.495,30.16,30.4,29.9029,13600.0,0.0,1.0
2018-09-05,30.41,30.41,30.09,30.19,29.6964,5500.0,0.0,1.0
2018-09-06,30.08,30.08,29.793,30.02,29.5291,4300.0,0.0,1.0
2018-09-07,29.75,29.916,29.75,29.788,29.3009,5100.0,0.0,1.0
2018-09-10,29.95,30.034,29.93,29.96,29.4701,3200.0,0.0,1.0
2018-09-11,29.895,30.069,29.821,30.01,29.5193,5300.0,0.0,1.0
2018-09-12,29.94,30.146,29.88,30.14,29.6472,2600.0,0.0,1.0
2018-09-13,30.42,30.571,30.327,30.39,29.8931,5500.0,0.0,1.0
2018-09-14,30.35,30.467,30.264,30.34,29.9385,2700.0,0.096,1.0
2018-09-17,30.25,30.302,30.137,30.137,29.7382,9200.0,0.0,1.0
2018-09-18,30.25,30.32,30.25,30.32,29.9187,900.0,0.0,1.0
2018-09-19,30.35,30.51,30.32,30.51,30.1062,31300.0,0.0,1.0
2018-09-20,30.735,30.75,30.54,30.61,30.2049,8200.0,0.0,1.0
2018-09-21,30.8,30.878,30.651,30.67,30.2641,8900.0,0.0,1.0
2018-09-24,30.56,30.689,30.56,30.65,30.2444,7800.0,0.0,1.0
2018-09-25,30.773,30.773,30.7,30.7,30.2937,5300.0,0.0,1.0
2018-09-26,30.72,30.75,30.55,30.55,30.1457,8500.0,0.0,1.0
2018-09-27,30.67,30.67,30.55,30.6,30.195,3300.0,0.0,1.0
2018-09-28,30.39,30.446,30.306,30.346,29.9444,9900.0,0.0,1.0
2018-10-01,30.53,30.6,30.417,30.417,30.0145,3500.0,0.0,1.0
2018-10-02,30.26,30.31,30.23,30.23,29.8299,8300.0,0.0,1.0
2018-10-03,30.206,30.279,30.18,30.18,29.7806,1200.0,0.0,1.0
2018-10-04,30.05,30.05,29.645,29.83,29.4352,9900.0,0.0,1.0
2018-10-05,29.65,29.65,29.302,29.43,29.0405,5300.0,0.0,1.0
2018-10-08,29.16,29.16,28.866,29.085,28.7001,9900.0,0.0,1.0
2018-10-09,28.94,29.11,28.94,29.06,28.6754,9100.0,0.0,1.0
2018-10-10,28.773,28.773,28.37,28.38,28.0044,5600.0,0.0,1.0
2018-10-11,28.07,28.206,27.7,27.78,27.4124,24200.0,0.0,1.0
2018-10-12,28.36,28.425,28.08,28.11,27.738,3700.0,0.0,1.0
2018-10-15,28.19,28.34,28.12,28.244,27.8702,3200.0,0.0,1.0
2018-10-16,28.566,28.801,28.566,28.75,28.3695,26400.0,0.0,1.0
2018-10-17,28.63,28.63,28.46,28.509,28.1317,9700.0,0.0,1.0
2018-10-18,28.321,28.329,28.037,28.037,27.666,3800.0,0.0,1.0
2018-10-19,28.22,28.27,28.0,28.118,27.7459,8400.0,0.0,1.0
2018-10-22,28.19,28.19,28.026,28.15,27.7775,5000.0,0.0,1.0
2018-10-23,27.49,27.78,27.22,27.78,27.4124,7300.0,0.0,1.0
2018-10-24,27.56,27.56,26.905,26.905,26.5489,10100.0,0.0,1.0
2018-10-25,27.05,27.376,27.027,27.376,27.0137,3500.0,0.0,1.0
2018-10-26,26.89,27.11,26.57,26.855,26.4996,17200.0,0.0,1.0
2018-10-29,27.33,27.33,26.36,26.44,26.0901,2500.0,0.0,1.0
2018-10-30,26.67,26.92,26.641,26.92,26.5637,4600.0,0.0,1.0
2018-10-31,27.23,27.573,27.23,27.555,27.1903,4600.0,0.0,1.0
2018-11-01,27.61,28.039,27.61,28.017,27.6462,6700.0,0.0,1.0
2018-11-02,28.16,28.16,27.81,27.861,27.4923,15400.0,0.0,1.0
2018-11-05,27.811,27.859,27.775,27.8,27.4321,1900.0,0.0,1.0
2018-11-06,27.91,27.94,27.9,27.92,27.5505,3800.0,0.0,1.0
2018-11-07,28.212,28.58,28.212,28.58,28.2018,19400.0,0.0,1.0
2018-11-08,28.576,28.576,28.4,28.4,28.0241,2800.0,0.0,1.0
2018-11-09,28.14,28.14,28.019,28.07,27.6985,2100.0,0.0,1.0
2018-11-12,27.44,27.514,27.26,27.308,26.9466,15600.0,0.0,1.0
2018-11-13,27.46,27.591,27.41,27.52,27.1558,22600.0,0.0,1.0
2018-11-14,27.51,27.51,27.2,27.455,27.0917,5700.0,0.0,1.0
2018-11-15,27.37,27.85,27.306,27.74,27.3729,6800.0,0.0,1.0
2018-11-16,27.42,27.765,27.42,27.765,27.3976,500.0,0.0,1.0
2018-11-19,27.73,27.73,27.05,27.09,26.7315,25800.0,0.0,1.0
2018-11-20,26.63,26.74,26.45,26.53,26.1789,22000.0,0.0,1.0
2018-11-21,26.937,26.968,26.86,26.86,26.5045,2300.0,0.0,1.0
