date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-04-20,29.0,30.79,28.96,29.26,29.0554,355400.0,0.0,1.0
2018-04-23,29.25,29.5,28.45,28.5,28.3007,92600.0,0.0,1.0
2018-04-24,28.5,29.14,28.5,28.51,28.3106,14500.0,0.0,1.0
2018-04-25,28.828,28.96,28.43,28.55,28.3503,18800.0,0.0,1.0
2018-04-26,28.61,28.92,28.558,28.87,28.6681,8100.0,0.0,1.0
2018-04-27,28.79,28.88,28.55,28.76,28.5589,24700.0,0.0,1.0
2018-04-30,28.6,29.5,28.586,29.0,28.7972,37300.0,0.0,1.0
2018-05-01,28.99,29.2,28.75,28.98,28.7773,25900.0,0.0,1.0
2018-05-02,28.81,29.03,28.81,28.99,28.7872,11100.0,0.0,1.0
2018-05-03,28.98,29.0,28.79,28.89,28.6879,9900.0,0.0,1.0
2018-05-04,28.75,29.3,28.6,28.76,28.5589,17100.0,0.0,1.0
2018-05-07,28.88,29.0,28.75,28.8,28.5986,12800.0,0.0,1.0
2018-05-08,28.701,29.0,28.701,28.98,28.7773,14000.0,0.0,1.0
2018-05-09,28.75,29.0,28.75,28.91,28.7078,5700.0,0.0,1.0
2018-05-10,28.97,28.97,28.735,28.8,28.5986,9600.0,0.0,1.0
2018-05-11,28.75,28.96,28.55,28.93,28.7277,62700.0,0.0,1.0
2018-05-14,28.808,28.95,28.72,28.85,28.6482,15100.0,0.0,1.0
2018-05-15,28.75,28.9,28.75,28.87,28.6681,18100.0,0.0,1.0
2018-05-16,28.9,28.9,28.4,28.76,28.5589,25200.0,0.0,1.0
2018-05-17,28.62,28.84,28.62,28.71,28.5092,63700.0,0.0,1.0
2018-05-18,28.801,28.83,27.05,28.65,28.4496,40200.0,0.0,1.0
2018-05-21,28.75,28.82,28.53,28.775,28.5737,38300.0,0.0,1.0
2018-05-22,28.9,28.9,28.347,28.8,28.5986,18000.0,0.0,1.0
2018-05-23,28.9,28.9,28.73,28.76,28.5589,32500.0,0.0,1.0
2018-05-24,28.75,28.9,28.75,28.75,28.5489,21800.0,0.0,1.0
2018-05-25,28.725,28.84,28.36,28.43,28.2312,21500.0,0.0,1.0
