date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-06-23,20.0,20.19,19.11,20.17,15.8765,3654000.0,0.0,1.0
2005-06-24,20.0,20.2,19.98,20.0,15.7427,288900.0,0.0,1.0
2005-06-27,20.0,20.1,20.0,20.0,15.7427,273200.0,0.0,1.0
2005-06-28,20.0,20.1,19.75,20.0,15.7427,225000.0,0.0,1.0
2005-06-29,20.0,20.17,20.0,20.06,15.7899,65000.0,0.0,1.0
2005-06-30,20.0,20.25,20.0,20.25,15.9394,129500.0,0.0,1.0
2005-07-01,20.25,20.25,20.0,20.15,15.8607,41200.0,0.0,1.0
2005-07-05,20.12,20.25,20.0,20.08,15.8056,49800.0,0.0,1.0
2005-07-06,20.08,20.11,19.75,20.05,15.782,83000.0,0.0,1.0
2005-07-07,19.86,20.1,19.86,20.0,15.7427,81400.0,0.0,1.0
2005-07-08,20.0,20.13,19.75,20.06,15.7899,181100.0,0.0,1.0
2005-07-11,20.0,20.17,20.0,20.05,15.782,12100.0,0.0,1.0
2005-07-12,20.0,20.12,20.0,20.05,15.782,12000.0,0.0,1.0
2005-07-13,20.0,20.11,20.0,20.04,15.7741,24800.0,0.0,1.0
2005-07-14,20.19,20.75,20.0,20.66,16.2622,47900.0,0.0,1.0
2005-07-15,20.45,20.89,20.13,20.62,16.2307,29000.0,0.0,1.0
2005-07-18,20.65,20.66,20.0,20.11,15.8292,178100.0,0.0,1.0
2005-07-19,20.36,20.53,20.33,20.45,16.0969,7700.0,0.0,1.0
2005-07-20,20.44,20.44,20.05,20.25,15.9394,7900.0,0.0,1.0
2005-07-21,20.01,20.39,20.0,20.14,15.8529,28700.0,0.0,1.0
2005-07-22,20.0,21.0,20.0,20.02,15.7584,6900.0,0.0,1.0
2005-07-25,20.42,20.42,18.49,19.84,15.6167,92300.0,0.0,1.0
2005-07-26,19.91,19.95,19.26,19.58,15.4121,3200.0,0.0,1.0
2005-07-27,19.43,19.51,19.05,19.31,15.1995,7600.0,0.0,1.0
2005-07-28,19.5,19.55,19.3,19.55,15.3885,7000.0,0.0,1.0
2005-07-29,19.79,20.45,18.81,19.85,15.6246,46800.0,0.0,1.0
2005-08-01,19.86,19.86,15.0,15.02,11.8227,1081800.0,0.0,1.0
2005-08-02,15.76,15.76,13.86,14.34,11.2875,595000.0,0.0,1.0
2005-08-03,14.15,15.34,14.11,14.19,11.1694,232400.0,0.0,1.0
2005-08-04,14.37,14.65,14.06,14.25,11.2166,70700.0,0.0,1.0
2005-08-05,14.25,14.79,14.25,14.78,11.6338,107600.0,0.0,1.0
2005-08-08,14.83,15.48,14.8,15.3,12.0431,99100.0,0.0,1.0
2005-08-09,15.5,15.55,14.76,14.81,11.6574,63700.0,0.0,1.0
2005-08-10,14.81,14.85,14.32,14.54,11.4449,93800.0,0.0,1.0
2005-08-11,14.51,14.65,14.25,14.5,11.4134,55900.0,0.0,1.0
2005-08-12,14.66,14.73,14.33,14.55,11.4528,16300.0,0.0,1.0
2005-08-15,14.7,14.87,14.61,14.84,11.6811,20200.0,0.0,1.0
2005-08-16,14.93,15.47,14.54,14.88,11.7125,72400.0,0.0,1.0
2005-08-17,14.83,15.19,14.72,14.77,11.626,9000.0,0.0,1.0
2005-08-18,14.65,14.78,14.65,14.78,11.6338,18500.0,0.0,1.0
2005-08-19,14.7,14.94,14.7,14.75,11.6102,5200.0,0.0,1.0
2005-08-22,14.62,14.75,14.6,14.6,11.4921,2200.0,0.0,1.0
2005-08-23,14.55,15.18,14.4,15.0,11.807,92900.0,0.0,1.0
2005-08-24,14.9,14.92,14.55,14.92,11.744,9400.0,0.0,1.0
2005-08-25,14.8,15.4,14.8,15.18,11.9487,17600.0,0.0,1.0
2005-08-26,15.18,15.18,14.7,14.7,11.5709,28800.0,0.0,1.0
2005-08-29,15.14,15.14,14.5,14.76,11.6181,7000.0,0.0,1.0
2005-08-30,14.75,14.99,14.75,14.75,11.6102,5900.0,0.0,1.0
2005-08-31,14.75,14.9,14.62,14.62,11.5079,11300.0,0.0,1.0
2005-09-01,14.71,14.9,14.71,14.9,11.7283,1700.0,0.0,1.0
2005-09-02,15.1,15.2,14.96,14.97,11.7834,9100.0,0.0,1.0
2005-09-06,14.85,15.06,14.8,15.0,11.807,3600.0,0.0,1.0
2005-09-07,14.82,14.96,14.81,14.82,11.6653,5600.0,0.0,1.0
2005-09-08,14.75,15.11,14.75,14.96,11.7755,16900.0,0.0,1.0
2005-09-09,15.0,15.2,14.91,14.96,11.7755,55400.0,0.0,1.0
2005-09-12,15.0,15.36,14.96,15.02,11.8227,39400.0,0.0,1.0
2005-09-13,14.83,15.2,14.83,15.04,11.8385,7400.0,0.0,1.0
2005-09-14,15.0,15.07,14.68,14.81,11.6574,10500.0,0.0,1.0
2005-09-15,14.67,14.8,14.34,14.6,11.4921,209700.0,0.0,1.0
2005-09-16,14.45,14.55,13.76,14.21,11.1852,37800.0,0.0,1.0
2005-09-19,14.1,14.49,13.1,13.75,10.8231,93100.0,0.0,1.0
2005-09-20,13.46,13.68,13.21,13.66,10.7522,72700.0,0.0,1.0
2005-09-21,13.32,13.36,12.52,13.15,10.3508,32900.0,0.0,1.0
2005-09-22,13.03,13.04,12.4,13.0,10.2327,10300.0,0.0,1.0
2005-09-23,13.0,13.75,12.65,13.63,10.7286,13500.0,0.0,1.0
2005-09-26,13.6,13.6,12.6,12.9,10.154,34400.0,0.0,1.0
2005-09-27,12.9,12.95,12.62,12.73,10.0202,37000.0,0.0,1.0
2005-09-28,12.75,12.9,12.6,12.63,9.9415,5400.0,0.0,1.0
2005-09-29,12.63,12.91,12.49,12.68,9.9808,7300.0,0.0,1.0
2005-09-30,12.6,12.6,11.67,11.79,9.2803,485100.0,0.0,1.0
2005-10-03,11.81,12.64,11.8,12.3,9.6817,128700.0,0.0,1.0
2005-10-04,12.78,12.78,12.1,12.26,9.6503,115500.0,0.0,1.0
2005-10-05,12.1,12.62,12.01,12.27,9.6581,57100.0,0.0,1.0
2005-10-06,12.4,12.62,12.28,12.33,9.7054,61400.0,0.0,1.0
2005-10-07,12.34,12.5,12.2,12.22,9.6188,22600.0,0.0,1.0
2005-10-10,12.42,12.45,12.1,12.31,9.6896,12300.0,0.0,1.0
2005-10-11,12.27,12.64,12.22,12.3,9.6817,13200.0,0.0,1.0
2005-10-12,12.18,12.46,12.1,12.19,9.5952,6700.0,0.0,1.0
2005-10-13,12.13,12.57,12.13,12.32,9.6975,191400.0,0.0,1.0
2005-10-14,12.3,12.63,12.3,12.51,9.847,3900.0,0.0,1.0
2005-10-17,12.5,12.6,12.36,12.41,9.7683,16100.0,0.0,1.0
2005-10-18,12.34,12.4,12.23,12.34,9.7132,57000.0,0.0,1.0
2005-10-19,12.48,12.6,12.2,12.3,9.6817,102800.0,0.0,1.0
2005-10-20,12.3,12.3,12.1,12.15,9.5637,28200.0,0.0,1.0
2005-10-21,12.12,12.4,12.12,12.36,9.729,1400.0,0.0,1.0
2005-10-24,12.4,12.67,12.35,12.5,9.8392,23200.0,0.0,1.0
2005-10-25,12.69,12.69,12.33,12.53,9.8628,18600.0,0.0,1.0
2005-10-26,12.33,12.67,12.19,12.34,9.7132,134200.0,0.0,1.0
2005-10-27,12.35,12.89,12.35,12.71,10.0045,23600.0,0.0,1.0
2005-10-28,12.7,12.94,12.65,12.83,10.0989,15500.0,0.0,1.0
2005-10-31,13.0,13.49,12.74,13.42,10.5633,35000.0,0.0,1.0
2005-11-01,13.5,13.58,13.36,13.36,10.5161,23300.0,0.0,1.0
2005-11-02,13.22,13.94,13.2,13.84,10.8939,57600.0,0.0,1.0
2005-11-03,13.99,14.18,13.6,13.78,10.8467,16800.0,0.0,1.0
2005-11-04,14.71,15.01,14.11,14.37,11.3111,39800.0,0.0,1.0
2005-11-07,14.52,14.61,14.17,14.17,11.1537,7800.0,0.0,1.0
2005-11-08,14.01,14.04,13.8,13.88,10.9254,10300.0,0.0,1.0
2005-11-09,13.98,14.35,13.98,14.0,11.0199,23000.0,0.0,1.0
2005-11-10,13.85,14.2,13.7,14.1,11.0986,21600.0,0.0,1.0
2005-11-11,14.18,14.2,13.99,14.2,11.1773,6000.0,0.0,1.0
2005-11-14,14.2,14.49,13.87,14.25,11.2166,21000.0,0.0,1.0
