date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-04-06,23.0,24.75,19.5,20.375,19.8381,247500.0,0.0,1.0
2000-04-07,20.75,22.0,19.75,20.7188,20.1728,176300.0,0.0,1.0
2000-04-10,21.0625,24.0,19.75,20.0625,19.5338,115600.0,0.0,1.0
2000-04-11,20.0625,20.0625,18.4375,18.5,18.0125,90700.0,0.0,1.0
2000-04-12,18.875,19.5,14.5625,15.875,15.4567,314900.0,0.0,1.0
2000-04-13,16.1875,17.0,16.0,16.1875,15.7609,1152700.0,0.0,1.0
2000-04-14,15.6563,15.875,13.75,15.0,14.6047,130200.0,0.0,1.0
2000-04-17,14.5,16.5,13.25,15.75,15.335,441600.0,0.0,1.0
2000-04-18,16.125,16.5,15.5,16.5,16.0652,161200.0,0.0,1.0
2000-04-19,16.625,20.25,16.0,18.6875,18.1951,157000.0,0.0,1.0
2000-04-20,18.875,18.875,17.75,18.6875,18.1951,56800.0,0.0,1.0
2000-04-24,16.75,19.5,16.5,19.0,18.4993,42700.0,0.0,1.0
2000-04-25,20.8125,20.875,18.25,19.25,18.7427,124800.0,0.0,1.0
2000-04-26,20.375,20.375,18.0625,18.125,17.6474,154000.0,0.0,1.0
2000-04-27,17.9063,18.5,17.0,17.5625,17.0997,109200.0,0.0,1.0
2000-04-28,17.375,19.25,17.375,18.625,18.1342,293800.0,0.0,1.0
2000-05-01,19.25,23.125,19.0,22.375,21.7854,229700.0,0.0,1.0
2000-05-02,21.0,22.5,20.375,22.125,21.542,65000.0,0.0,1.0
2000-05-03,21.875,22.875,20.75,21.125,20.5683,44400.0,0.0,1.0
2000-05-04,20.5,22.0,20.5,21.375,20.8117,75900.0,0.0,1.0
2000-05-05,21.25,21.625,20.0,21.25,20.69,48400.0,0.0,1.0
2000-05-08,21.625,22.8125,21.0,21.875,21.2986,65400.0,0.0,1.0
2000-05-09,21.625,22.0625,21.25,21.75,21.1769,64200.0,0.0,1.0
2000-05-10,21.625,22.0,20.0,21.4375,20.8726,37000.0,0.0,1.0
2000-05-11,21.5,22.0625,21.5,22.0,21.4203,134200.0,0.0,1.0
2000-05-12,22.0625,24.5,21.9375,23.375,22.759,96900.0,0.0,1.0
2000-05-15,23.1875,24.75,22.25,24.75,24.0978,95300.0,0.0,1.0
2000-05-16,25.0,28.9375,25.0,28.9375,28.175,160500.0,0.0,1.0
2000-05-17,29.1875,31.875,27.6875,31.875,31.0351,115100.0,0.0,1.0
2000-05-18,32.0625,37.125,29.0,29.0,28.2358,286500.0,0.0,1.0
2000-05-19,29.6875,33.5,29.25,33.0,32.1304,157200.0,0.0,1.0
2000-05-22,32.375,33.5,30.5,32.5,31.6436,245900.0,0.0,1.0
2000-05-23,31.875,33.25,30.25,30.5625,29.7571,62700.0,0.0,1.0
2000-05-24,30.4375,31.0,29.625,30.0625,29.2703,145900.0,0.0,1.0
2000-05-25,30.0625,31.0,28.6875,29.375,28.6009,80900.0,0.0,1.0
2000-05-26,28.5,28.75,28.0625,28.125,27.3839,127000.0,0.0,1.0
2000-05-30,28.0,28.25,27.0,27.375,26.6536,68400.0,0.0,1.0
2000-05-31,27.0,30.75,26.5,30.75,29.9397,288400.0,0.0,1.0
2000-06-01,32.0,32.0,29.125,29.625,28.8444,221200.0,0.0,1.0
2000-06-02,31.25,31.25,28.5,28.5,27.749,32800.0,0.0,1.0
2000-06-05,29.25,29.25,27.0,27.4375,26.7145,91700.0,0.0,1.0
2000-06-06,27.0,32.125,26.75,31.0,30.1831,260400.0,0.0,1.0
2000-06-07,30.5,30.75,29.25,30.375,29.5746,166400.0,0.0,1.0
2000-06-08,30.125,30.75,29.625,30.5625,29.7571,124200.0,0.0,1.0
2000-06-09,30.375,32.125,29.75,32.125,31.2785,399200.0,0.0,1.0
2000-06-12,32.0313,35.0,30.25,30.75,29.9397,149200.0,0.0,1.0
2000-06-13,30.9688,31.1875,29.0625,29.25,28.4792,115800.0,0.0,1.0
2000-06-14,29.3125,29.5,27.0,28.375,27.6273,119300.0,0.0,1.0
2000-06-15,28.25,33.75,28.125,32.875,32.0087,55600.0,0.0,1.0
2000-06-16,32.625,33.0,30.75,32.75,31.887,12100.0,0.0,1.0
2000-06-19,32.0625,35.125,31.75,35.125,34.1994,44200.0,0.0,1.0
2000-06-20,34.9688,42.0,32.0,40.875,39.7979,170200.0,0.0,1.0
2000-06-21,37.5,43.0,37.25,40.0,38.946,161600.0,0.0,1.0
2000-06-22,40.5938,40.75,36.75,36.75,35.7816,61100.0,0.0,1.0
2000-06-23,37.125,39.25,37.0,38.8125,37.7897,100600.0,0.0,1.0
2000-06-26,40.5,40.5,37.5,38.125,37.1204,140600.0,0.0,1.0
2000-06-27,39.0,39.25,34.5,38.75,37.7289,114800.0,0.0,1.0
2000-06-28,37.25,38.875,36.0,37.0,36.025,30100.0,0.0,1.0
2000-06-29,36.0313,40.75,36.0313,39.0,37.9723,53900.0,0.0,1.0
2000-06-30,39.0,42.25,39.0,41.625,40.5281,185800.0,0.0,1.0
2000-07-03,41.5938,41.75,38.875,40.875,39.7979,27500.0,0.0,1.0
2000-07-05,40.75,41.75,39.375,41.75,40.6498,94500.0,0.0,1.0
2000-07-06,41.625,41.625,39.75,40.125,39.0677,54700.0,0.0,1.0
2000-07-07,40.75,50.0,40.75,45.0,43.8142,145600.0,0.0,1.0
