date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-10-16,9.65,9.65,9.65,9.65,9.65,145000.0,0.0,1.0
2018-10-17,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-18,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-19,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-22,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-23,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-24,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-25,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-26,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-29,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-30,9.65,9.65,9.65,9.65,9.65,0.0,0.0,1.0
2018-10-31,9.95,9.95,9.65,9.8,9.8,400600.0,0.0,1.0
2018-11-01,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-02,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-05,9.7,9.89,9.67,9.68,9.68,41600.0,0.0,1.0
2018-11-06,9.67,9.68,9.67,9.68,9.68,600.0,0.0,1.0
2018-11-07,9.65,9.75,9.65,9.75,9.75,22200.0,0.0,1.0
2018-11-08,9.75,9.75,9.75,9.75,9.75,0.0,0.0,1.0
2018-11-09,9.75,9.75,9.75,9.75,9.75,0.0,0.0,1.0
2018-11-12,9.8,9.8,9.8,9.8,9.8,3100.0,0.0,1.0
2018-11-13,9.8,9.8,9.8,9.8,9.8,100.0,0.0,1.0
2018-11-14,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-15,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-16,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-19,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-20,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-21,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-23,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-26,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-27,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-28,9.8,9.8,9.8,9.8,9.8,0.0,0.0,1.0
2018-11-29,9.72,9.72,9.72,9.72,9.72,125000.0,0.0,1.0
2018-11-30,9.79,9.85,9.79,9.85,9.85,13300.0,0.0,1.0
2018-12-03,9.85,9.85,9.85,9.85,9.85,0.0,0.0,1.0
2018-12-04,9.85,9.85,9.85,9.85,9.85,0.0,0.0,1.0
2018-12-06,9.85,9.85,9.85,9.85,9.85,180500.0,0.0,1.0
2018-12-07,9.95,9.95,9.85,9.85,9.85,3000.0,0.0,1.0
2018-12-10,9.64,9.85,9.64,9.85,9.85,4000.0,0.0,1.0
2018-12-11,9.85,9.85,9.85,9.85,9.85,0.0,0.0,1.0
2018-12-12,9.88,9.88,9.88,9.88,9.88,300.0,0.0,1.0
2018-12-13,9.87,9.9,9.86,9.9,9.9,1900.0,0.0,1.0
2018-12-14,9.9,9.9,9.9,9.9,9.9,100.0,0.0,1.0
2018-12-17,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
2018-12-18,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
2018-12-19,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
2018-12-20,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
2018-12-21,9.9,9.9,9.9,9.9,9.9,100.0,0.0,1.0
2018-12-24,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
2018-12-26,9.9,9.9,9.9,9.9,9.9,0.0,0.0,1.0
