date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,1.9063,1.9063,1.8594,1.8594,1.4009,4000.0,0.0,1.0
1999-08-11,1.8594,1.8594,1.8594,1.8594,1.4009,800.0,0.0,1.0
1999-08-12,1.875,1.875,1.875,1.875,1.4127,72000.0,0.0,1.0
1999-08-13,1.7969,1.8594,1.7656,1.7656,1.3303,4800.0,0.0,1.0
1999-08-16,1.7344,1.75,1.7344,1.75,1.3185,1600.0,0.0,1.0
1999-08-17,1.75,1.75,1.75,1.75,1.3185,0.0,0.0,1.0
1999-08-18,1.8594,1.8594,1.8594,1.8594,1.4009,2400.0,0.0,1.0
1999-08-19,1.8594,1.8594,1.8125,1.8594,1.4009,186400.0,0.0,1.0
1999-08-20,1.7969,1.7969,1.7969,1.7969,1.3538,16000.0,0.0,1.0
1999-08-23,1.7656,1.7656,1.7656,1.7656,1.3303,6400.0,0.0,1.0
1999-08-24,1.75,1.75,1.7188,1.7188,1.295,24000.0,0.0,1.0
1999-08-25,1.875,1.9063,1.8438,1.8438,1.3892,31200.0,0.0,1.0
1999-08-26,1.9219,1.9375,1.9063,1.9219,1.448,24000.0,0.0,1.0
1999-08-27,1.9375,1.9375,1.875,1.9219,1.448,8000.0,0.0,1.0
1999-08-30,1.9063,1.9063,1.8438,1.8438,1.3892,11200.0,0.0,1.0
1999-08-31,1.9063,1.9375,1.8906,1.8906,1.4245,10400.0,0.0,1.0
1999-09-01,1.8906,1.8906,1.8906,1.8906,1.4245,0.0,0.0,1.0
1999-09-02,1.8906,1.8906,1.8906,1.8906,1.4245,0.0,0.0,1.0
1999-09-03,1.875,1.9219,1.875,1.9219,1.448,3200.0,0.0,1.0
1999-09-07,1.9688,2.0313,1.9531,1.9531,1.4716,54400.0,0.0,1.0
1999-09-08,1.9844,2.0156,1.9844,1.9844,1.4951,57600.0,0.0,1.0
1999-09-09,1.9844,2.0,1.9844,2.0,1.5069,7200.0,0.0,1.0
1999-09-10,1.9688,1.9688,1.9375,1.9375,1.4598,41600.0,0.0,1.0
1999-09-13,1.9375,2.0,1.9375,1.9688,1.4833,29600.0,0.0,1.0
1999-09-14,1.9688,1.9688,1.9219,1.9219,1.448,16000.0,0.0,1.0
1999-09-15,1.9141,1.9375,1.9063,1.9063,1.4362,84000.0,0.0,1.0
1999-09-16,1.9375,1.9531,1.8906,1.9063,1.4362,18400.0,0.0,1.0
1999-09-17,1.9063,1.9063,1.9063,1.9063,1.4362,2400.0,0.0,1.0
1999-09-20,2.0469,2.0469,2.0,2.0,1.5069,33600.0,0.0,1.0
1999-09-21,2.0469,2.125,2.0469,2.125,1.6011,44800.0,0.0,1.0
1999-09-22,2.0938,2.125,1.9688,1.9844,1.4951,132800.0,0.0,1.0
1999-09-23,2.0625,2.0625,1.9375,1.9375,1.4598,14400.0,0.0,1.0
