date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-07-01,20.0,20.98,19.51,20.02,19.0947,7476900.0,0.0,0.5
2009-07-02,19.69,20.48,19.58,20.09,19.1615,1199300.0,0.0,1.0
2009-07-06,20.0,20.23,19.52,19.68,18.7704,547000.0,0.0,1.0
2009-07-07,19.89,20.0,19.26,19.32,18.4271,428000.0,0.0,1.0
2009-07-08,19.41,19.49,18.8,19.05,18.1695,403000.0,0.0,1.0
2009-07-09,19.31,19.31,18.8,19.0,18.1219,170400.0,0.0,1.0
2009-07-10,19.04,19.04,18.14,18.36,17.5114,314400.0,0.0,1.0
2009-07-13,18.49,19.54,18.3,19.45,18.5511,270400.0,0.0,1.0
2009-07-14,19.62,19.94,19.02,19.41,18.5129,88800.0,0.0,1.0
2009-07-15,19.78,20.19,19.66,19.91,18.9898,236500.0,0.0,1.0
2009-07-16,19.97,20.0,19.7,19.78,18.8658,88300.0,0.0,1.0
2009-07-17,19.88,20.69,19.71,20.09,19.1615,303800.0,0.0,1.0
2009-07-20,20.08,20.44,19.79,20.23,19.295,186300.0,0.0,1.0
2009-07-21,20.22,20.39,19.88,20.14,19.2092,106100.0,0.0,1.0
2009-07-22,19.92,20.57,19.9,20.2,19.2664,94900.0,0.0,1.0
2009-07-23,20.1,20.39,18.87,19.5,18.5988,351100.0,0.0,1.0
2009-07-24,19.22,20.0,19.16,19.26,18.3699,59700.0,0.0,1.0
2009-07-27,19.4,19.45,18.75,19.29,18.3985,80400.0,0.0,1.0
2009-07-28,19.3,19.8,19.3,19.48,18.5797,173800.0,0.0,1.0
2009-07-29,19.42,19.95,19.42,19.9,18.9803,104500.0,0.0,1.0
2009-07-30,20.1,20.99,19.89,20.32,19.3809,321400.0,0.0,1.0
2009-07-31,20.34,20.62,19.22,19.51,18.6083,244900.0,0.0,1.0
2009-08-03,19.54,20.0,19.54,19.73,18.8181,59000.0,0.0,1.0
2009-08-04,19.75,19.83,19.55,19.7,18.7895,46800.0,0.0,1.0
2009-08-05,19.73,20.01,19.51,19.73,18.8181,103600.0,0.0,1.0
2009-08-06,20.25,20.46,18.0,19.03,18.1505,331000.0,0.0,1.0
2009-08-07,19.41,19.41,17.8,17.92,17.0918,166500.0,0.0,1.0
2009-08-10,18.43,18.5,16.44,16.58,15.8137,562000.0,0.0,1.0
2009-08-11,16.6,17.9,16.57,17.74,16.9201,603400.0,0.0,1.0
2009-08-12,18.04,18.49,17.3,17.41,16.6054,295500.0,0.0,1.0
2009-08-13,17.62,18.21,17.4,17.86,17.0345,357500.0,0.0,1.0
2009-08-14,17.99,18.05,17.58,17.73,16.9106,181900.0,0.0,1.0
2009-08-17,17.43,17.62,16.6,16.75,15.9759,101400.0,0.0,1.0
2009-08-18,16.77,17.02,15.17,15.47,14.755,568800.0,0.0,1.0
2009-08-19,15.23,15.81,15.23,15.5,14.7836,170100.0,0.0,1.0
2009-08-20,16.54,17.39,16.45,17.3,16.5004,480600.0,0.0,1.0
2009-08-21,17.42,17.57,17.21,17.48,16.6721,81800.0,0.0,1.0
2009-08-24,17.58,17.58,16.61,16.76,15.9854,224500.0,0.0,1.0
2009-08-25,16.71,16.71,16.04,16.3,15.5466,96000.0,0.0,1.0
2009-08-26,16.15,16.75,16.1,16.43,15.6706,93500.0,0.0,1.0
2009-08-27,16.39,17.21,16.01,17.17,16.3764,53600.0,0.0,1.0
2009-08-28,17.3,17.49,16.9,17.0,16.2143,20300.0,0.0,1.0
2009-08-31,16.99,16.99,15.63,16.3,15.5466,80400.0,0.0,1.0
2009-09-01,16.25,16.67,15.77,15.78,15.0507,93800.0,0.0,1.0
2009-09-02,15.84,16.12,15.15,15.43,14.7169,192100.0,0.0,1.0
2009-09-03,15.69,15.72,15.2,15.51,14.7932,108500.0,0.0,1.0
2009-09-04,15.66,16.54,15.57,16.47,15.7088,51000.0,0.0,1.0
