date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,14.7813,15.0,14.375,14.7188,14.7188,940800.0,0.0,1.0
1999-08-11,14.7969,15.75,14.75,15.7188,15.7188,824800.0,0.0,1.0
1999-08-12,16.0938,16.6094,15.7188,16.3906,16.3906,1900000.0,0.0,1.0
1999-08-13,16.5781,17.0313,16.5156,16.9688,16.9688,1594800.0,0.0,1.0
1999-08-16,16.9688,17.0,16.6563,16.6641,16.6641,1107600.0,0.0,1.0
1999-08-17,16.7344,16.9844,15.6563,15.9219,15.9219,1879200.0,0.0,1.0
1999-08-18,15.6563,15.75,15.1563,15.4688,15.4688,1162400.0,0.0,1.0
1999-08-19,15.25,15.9219,15.2188,15.4297,15.4297,1152400.0,0.0,1.0
1999-08-20,15.6875,15.7188,15.125,15.2344,15.2344,1196800.0,0.0,1.0
1999-08-23,15.3438,16.0313,15.3281,15.9297,15.9297,1145200.0,0.0,1.0
1999-08-24,15.9688,16.4375,15.9375,16.2031,16.2031,966000.0,0.0,1.0
1999-08-25,16.2188,16.25,15.4688,16.0,16.0,1312400.0,0.0,1.0
1999-08-26,16.0625,16.125,15.5781,15.7188,15.7188,451600.0,0.0,1.0
1999-08-27,15.8594,15.8594,15.0469,15.3359,15.3359,940400.0,0.0,1.0
1999-08-30,15.4688,15.4688,14.7031,15.0625,15.0625,655600.0,0.0,1.0
1999-08-31,15.0938,15.7813,14.9063,15.4063,15.4063,806400.0,0.0,1.0
1999-09-01,15.5,16.0,15.4922,15.7188,15.7188,1456800.0,0.0,1.0
1999-09-02,15.3125,16.0,15.1875,15.9375,15.9375,758400.0,0.0,1.0
1999-09-03,16.2813,16.6563,16.25,16.5313,16.5313,946000.0,0.0,1.0
1999-09-07,16.5313,16.75,16.1563,16.5625,16.5625,608400.0,0.0,1.0
1999-09-08,16.375,16.9375,16.2813,16.6875,16.6875,738800.0,0.0,1.0
1999-09-09,16.75,16.75,16.125,16.4688,16.4688,652800.0,0.0,1.0
1999-09-10,16.5938,17.3125,16.125,17.25,17.25,1334800.0,0.0,1.0
1999-09-13,17.2344,17.2344,16.5,16.5938,16.5938,556000.0,0.0,1.0
1999-09-14,16.6094,16.875,16.1875,16.8125,16.8125,1622800.0,0.0,1.0
1999-09-15,16.9375,17.2188,16.8438,16.8984,16.8984,1377600.0,0.0,1.0
1999-09-16,16.8438,16.9375,16.125,16.125,16.125,1183200.0,0.0,1.0
1999-09-17,16.5625,17.0,16.375,16.7188,16.7188,1008000.0,0.0,2.0
1999-09-20,16.5938,16.625,15.5625,15.6875,15.6875,1353600.0,0.0,1.0
1999-09-21,16.0,16.4375,15.25,15.375,15.375,1763200.0,0.0,1.0
1999-09-22,15.375,15.9375,14.9063,15.7188,15.7188,971000.0,0.0,1.0
1999-09-23,15.6875,16.0,14.25,14.4688,14.4688,1173800.0,0.0,1.0
1999-09-24,14.625,16.3125,14.4688,15.9375,15.9375,2062600.0,0.0,1.0
1999-09-27,16.25,16.4688,15.75,15.8438,15.8438,1033600.0,0.0,1.0
1999-09-28,15.9375,16.125,14.8125,16.0156,16.0156,705800.0,0.0,1.0
1999-09-29,16.0,16.25,15.625,15.625,15.625,1020200.0,0.0,1.0
1999-09-30,15.6875,16.0,14.4063,14.8438,14.8438,1796000.0,0.0,1.0
1999-10-01,14.9688,15.5938,14.75,15.2969,15.2969,801400.0,0.0,1.0
1999-10-04,15.4375,16.0625,15.3438,15.875,15.875,570800.0,0.0,1.0
1999-10-05,15.9688,16.5313,15.875,16.375,16.375,1034000.0,0.0,1.0
1999-10-06,16.375,16.875,16.0,16.6094,16.6094,671000.0,0.0,1.0
1999-10-07,16.875,16.9063,15.5,15.6875,15.6875,875000.0,0.0,1.0
1999-10-08,15.6875,15.6875,14.5,14.9531,14.9531,1213800.0,0.0,1.0
