date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,5.0469,5.1719,5.0,5.0938,4.6039,132000.0,0.0,1.0
1999-08-11,5.1719,5.2344,5.0156,5.2188,4.7169,225600.0,0.0,1.0
1999-08-12,5.2188,5.25,5.125,5.1484,4.6533,140000.0,0.0,1.0
1999-08-13,5.2031,5.2031,5.125,5.1875,4.6886,60800.0,0.0,1.0
1999-08-16,5.1875,5.2031,5.1719,5.2031,4.7027,128000.0,0.0,1.0
1999-08-17,5.125,5.2031,5.125,5.2031,4.7027,32800.0,0.0,1.0
1999-08-18,5.2031,5.25,5.125,5.1406,4.6462,97600.0,0.0,1.0
1999-08-19,5.1094,5.2031,5.0313,5.1719,4.6745,36000.0,0.0,1.0
1999-08-20,5.1719,5.2031,5.1563,5.1875,4.6886,58400.0,0.0,1.0
1999-08-23,5.125,5.2031,5.0859,5.0938,4.6039,599200.0,0.0,1.0
1999-08-24,5.0391,5.1406,4.9375,5.1016,4.6109,480000.0,0.0,1.0
1999-08-25,5.1563,5.1563,5.0859,5.0859,4.5968,17600.0,0.0,1.0
1999-08-26,5.0469,5.2031,5.0469,5.125,4.6321,60800.0,0.0,1.0
1999-08-27,5.0469,5.0625,5.0,5.0,4.5191,137600.0,0.0,1.0
1999-08-30,5.0469,5.0469,4.6328,4.7578,4.3002,118400.0,0.0,1.0
1999-08-31,4.7578,4.8438,4.625,4.625,4.1802,270400.0,0.0,1.0
1999-09-01,4.6875,4.7656,4.625,4.7656,4.3073,108800.0,0.0,1.0
1999-09-02,4.6094,4.7656,4.6094,4.75,4.2932,93600.0,0.0,1.0
1999-09-03,4.8125,4.8438,4.75,4.8125,4.3497,103200.0,0.0,1.0
1999-09-07,4.8125,4.8125,4.7891,4.7891,4.3285,24800.0,0.0,1.0
1999-09-08,4.8438,4.9219,4.8047,4.875,4.4062,80800.0,0.0,1.0
1999-09-09,4.9219,5.0,4.8906,5.0,4.5191,460800.0,0.0,1.0
1999-09-10,5.0313,5.0547,4.9922,5.0469,4.5615,173600.0,0.0,1.0
1999-09-13,5.0781,5.0781,5.0684,5.0684,4.5809,13600.0,0.0,1.0
1999-09-14,5.0859,5.0859,4.9219,5.0859,4.5968,21600.0,0.0,1.0
1999-09-15,5.0859,5.1016,5.0703,5.0703,4.5827,86400.0,0.0,1.0
1999-09-16,5.0859,5.0859,4.9609,4.9688,4.4909,76800.0,0.0,1.0
1999-09-17,5.0625,5.1406,4.9297,4.9297,4.4556,107200.0,0.0,1.0
1999-09-20,4.9063,4.9688,4.9063,4.9141,4.4415,136000.0,0.0,1.0
1999-09-21,4.9375,4.9609,4.9063,4.9219,4.4485,1331200.0,0.0,1.0
1999-09-22,4.9219,4.9531,4.7578,4.7578,4.3002,90400.0,0.0,1.0
1999-09-23,4.75,4.8125,4.4844,4.5156,4.0813,200000.0,0.0,1.0
1999-09-24,4.5781,4.5938,4.3594,4.5625,4.1237,167200.0,0.0,1.0
