date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-05,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-08,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-09,12.493,12.493,12.493,12.493,12.493,100.0,0.0,1.0
2019-07-10,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-11,12.493,12.493,12.493,12.493,12.493,100.0,0.0,1.0
2019-07-12,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-15,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-16,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-17,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-18,12.493,12.493,12.493,12.493,12.493,0.0,0.0,1.0
2019-07-19,12.5,12.916,12.5,12.916,12.916,700.0,0.0,1.0
2019-07-22,12.86,12.86,12.415,12.415,12.415,200.0,0.0,1.0
2019-07-23,12.415,12.415,12.415,12.415,12.415,0.0,0.0,1.0
2019-07-24,12.415,12.415,12.415,12.415,12.415,0.0,0.0,1.0
2019-07-25,12.415,12.415,12.415,12.415,12.415,100.0,0.0,1.0
2019-07-26,12.415,12.415,12.415,12.415,12.415,0.0,0.0,1.0
2019-07-29,12.415,12.415,12.415,12.415,12.415,0.0,0.0,1.0
2019-07-30,12.415,12.415,12.415,12.415,12.415,100.0,0.0,1.0
2019-07-31,12.0,12.0,12.0,12.0,12.0,1400.0,0.0,1.0
2019-08-01,12.0,12.0,12.0,12.0,12.0,100.0,0.0,1.0
2019-08-02,12.0,12.0,12.0,12.0,12.0,100.0,0.0,1.0
2019-08-05,12.0,12.0,12.0,12.0,12.0,0.0,0.0,1.0
2019-08-06,12.0,12.0,12.0,12.0,12.0,0.0,0.0,1.0
2019-08-07,12.0,12.0,12.0,12.0,12.0,0.0,0.0,1.0
2019-08-08,12.0,12.0,12.0,12.0,12.0,0.0,0.0,1.0
