date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.142,3.142,3.0859,3.142,2.8941,3100.0,0.0,1.0
1999-08-11,3.142,3.2542,3.0859,3.1981,2.9457,3000.0,0.0,1.0
1999-08-12,3.3664,3.3664,3.0859,3.2542,2.9974,2100.0,0.0,1.0
1999-08-13,3.142,3.3664,3.142,3.3664,3.1008,23200.0,0.0,1.0
1999-08-16,3.3664,3.5908,3.3103,3.5347,3.2558,62400.0,0.0,1.0
1999-08-17,3.5908,3.5908,3.4786,3.5347,3.2558,20300.0,0.0,1.0
1999-08-18,3.5347,3.5347,3.3103,3.3103,3.0491,6800.0,0.0,1.0
1999-08-19,3.4786,3.4786,3.142,3.3664,3.1008,17000.0,0.0,1.0
1999-08-20,3.0859,3.2542,3.0859,3.1981,2.9457,4400.0,0.0,1.0
1999-08-23,3.1981,3.2542,2.9176,3.142,2.8941,6700.0,0.0,1.0
1999-08-24,3.2542,3.2542,3.0859,3.2542,2.9974,2700.0,0.0,1.0
1999-08-25,3.2542,3.2542,2.9176,3.142,2.8941,19700.0,0.0,1.0
1999-08-26,3.142,3.3103,3.142,3.3103,3.0491,1000.0,0.0,1.0
1999-08-27,3.3103,3.4225,3.0298,3.4225,3.1525,10200.0,0.0,1.0
1999-08-30,3.3103,3.4225,3.0298,3.0298,2.7907,20100.0,0.0,1.0
1999-08-31,3.0859,3.4225,3.0859,3.142,2.8941,16800.0,0.0,1.0
1999-09-01,3.3103,3.4225,3.2542,3.4225,3.1525,6600.0,0.0,1.0
1999-09-02,3.4225,3.4225,3.3103,3.3103,3.0491,2600.0,0.0,1.0
1999-09-03,3.2542,3.4225,3.2542,3.3103,3.0491,4300.0,0.0,1.0
1999-09-07,3.3384,3.4786,3.3103,3.3103,3.0491,8000.0,0.0,1.0
1999-09-08,3.3945,3.4786,3.3103,3.3103,3.0491,5500.0,0.0,1.0
1999-09-09,3.3103,3.4786,3.2542,3.4225,3.1525,4600.0,0.0,1.0
1999-09-10,3.3945,3.4786,3.1981,3.1981,2.9457,5500.0,0.0,1.0
1999-09-13,3.2542,3.3664,3.1981,3.3664,3.1008,2800.0,0.0,1.0
1999-09-14,3.3664,3.3664,3.1981,3.1981,2.9457,4200.0,0.0,1.0
1999-09-15,3.3664,3.3664,2.9176,3.142,2.8941,23100.0,0.0,1.0
1999-09-16,3.2261,3.2542,3.0298,3.2542,2.9974,2700.0,0.0,1.0
1999-09-17,3.142,3.142,3.142,3.142,2.8941,300.0,0.0,1.0
1999-09-20,3.1981,3.3664,3.0298,3.1981,2.9457,6000.0,0.0,1.0
1999-09-21,3.0999,3.2823,2.9176,3.0298,2.7907,2600.0,0.0,1.0
1999-09-22,3.0298,3.0298,2.8615,2.8615,2.6357,5200.0,0.0,1.0
1999-09-23,3.0859,3.0859,3.0298,3.0298,2.7907,1100.0,0.0,1.0
1999-09-24,3.1139,3.1139,3.0298,3.0298,2.7907,1000.0,0.0,1.0
1999-09-27,3.0298,3.0298,3.0298,3.0298,2.7907,3100.0,0.0,1.0
1999-09-28,3.0298,3.0298,2.9176,2.9456,2.7132,5300.0,0.0,1.0
1999-09-29,2.9456,2.9737,2.9456,2.9737,2.739,2100.0,0.0,1.0
1999-09-30,3.0157,3.0157,2.9456,2.9456,2.7132,2400.0,0.0,1.0
1999-10-01,2.9456,2.9737,2.9456,2.9456,2.7132,3400.0,0.0,1.0
1999-10-04,2.9456,2.9737,2.9456,2.9456,2.7132,3400.0,0.0,1.0
1999-10-05,2.9456,2.9737,2.9456,2.9737,2.739,1800.0,0.0,1.0
1999-10-06,2.9737,2.9737,2.8615,2.8615,2.6357,4700.0,0.0,1.0
1999-10-07,2.8615,2.9737,2.8615,2.8615,2.6357,2400.0,0.0,1.0
1999-10-08,2.8615,2.9737,2.8334,2.9737,2.739,5800.0,0.0,1.0
1999-10-11,2.8615,2.9176,2.8615,2.9176,2.6873,8200.0,0.0,1.0
1999-10-12,2.8053,2.8474,2.8053,2.8334,2.6098,4800.0,0.0,1.0
1999-10-13,2.9176,2.9176,2.7492,2.7492,2.5323,22500.0,0.0,1.0
1999-10-14,2.7492,2.7492,2.7492,2.7492,2.5323,200.0,0.0,1.0
1999-10-15,2.8053,2.8053,2.7492,2.7492,2.5323,5600.0,0.0,1.0
1999-10-18,2.7492,2.7492,2.7212,2.7212,2.5065,1400.0,0.0,1.0
1999-10-19,2.7212,2.8053,2.7212,2.8053,2.584,21700.0,0.0,1.0
1999-10-20,2.8334,3.0298,2.8334,2.9176,2.6873,26300.0,0.0,1.0
1999-10-21,2.7492,2.7492,2.6931,2.7492,2.5323,25000.0,0.0,1.0
1999-10-22,2.7492,2.8053,2.7492,2.7492,2.5323,2100.0,0.0,1.0
1999-10-25,2.8053,2.8053,2.7492,2.7492,2.5323,3400.0,0.0,1.0
1999-10-26,2.7492,2.7492,2.7212,2.7212,2.5065,1400.0,0.0,1.0
1999-10-27,2.7212,2.7492,2.6931,2.6931,2.4806,72400.0,0.0,1.0
1999-10-28,2.8053,2.8053,2.6931,2.7492,2.5323,25000.0,0.0,1.0
1999-10-29,2.6931,2.8053,2.5809,2.6931,2.4806,14200.0,0.0,1.0
1999-11-01,2.6931,2.8895,2.6931,2.8053,2.584,13500.0,0.0,1.0
1999-11-02,2.8053,2.8895,2.8053,2.8615,2.6357,2200.0,0.0,1.0
1999-11-03,2.8615,2.8615,2.7492,2.7492,2.5323,12900.0,0.0,1.0
1999-11-04,2.8615,2.8615,2.7492,2.8053,2.584,2500.0,0.0,1.0
1999-11-05,2.8053,2.8053,2.8053,2.8053,2.584,1800.0,0.0,1.0
1999-11-08,2.6931,2.8053,2.5809,2.7492,2.5323,19900.0,0.0,1.0
1999-11-09,2.6931,2.8053,2.6931,2.8053,2.584,13300.0,0.0,1.0
1999-11-10,2.7492,2.7492,2.6931,2.7492,2.5323,15500.0,0.0,1.0
1999-11-11,2.6931,2.6931,2.6931,2.6931,2.4806,5400.0,0.0,1.0
1999-11-12,2.6931,2.8053,2.6931,2.6931,2.4806,13900.0,0.0,1.0
1999-11-15,2.7492,2.7492,2.6931,2.6931,2.4806,8700.0,0.0,1.0
1999-11-16,2.6931,2.8053,2.6931,2.6931,2.4806,26500.0,0.0,1.0
1999-11-17,2.5809,2.8053,2.5809,2.6931,2.4806,21200.0,0.0,1.0
1999-11-18,2.6931,2.9176,2.6931,2.9176,2.6873,97100.0,0.0,1.0
1999-11-19,2.9176,3.0859,2.8053,3.0859,2.8424,20600.0,0.0,1.0
1999-11-22,3.0298,3.142,3.0298,3.0298,2.7907,3200.0,0.0,1.0
1999-11-23,2.9737,3.0298,2.5809,2.7492,2.5323,109500.0,0.0,1.0
1999-11-24,2.9176,2.9176,2.9176,2.9176,2.6873,9200.0,0.0,1.0
1999-11-26,2.8615,2.9176,2.8615,2.9176,2.6873,1600.0,0.0,1.0
1999-11-29,2.8615,2.8615,2.8615,2.8615,2.6357,2700.0,0.0,1.0
1999-11-30,2.8615,2.8615,2.8615,2.8615,2.6357,1000.0,0.0,1.0
1999-12-01,2.7492,2.8615,2.7492,2.8053,2.584,5900.0,0.0,1.0
1999-12-02,2.7492,2.8053,2.637,2.6931,2.4806,24100.0,0.0,1.0
1999-12-03,2.7492,2.8053,2.6931,2.7492,2.5323,5600.0,0.0,1.0
1999-12-06,2.7773,2.9176,2.7492,2.8615,2.6357,15800.0,0.0,1.0
1999-12-07,2.7492,2.7492,2.7492,2.7492,2.5323,700.0,0.0,1.0
1999-12-08,2.6931,2.7492,2.5809,2.637,2.4289,16000.0,0.0,1.0
1999-12-09,2.7492,2.7492,2.5809,2.5809,2.3773,14400.0,0.0,1.0
1999-12-10,2.5809,2.609,2.1882,2.1882,2.0155,77000.0,0.0,1.0
1999-12-13,2.4126,2.5809,2.2443,2.5809,2.3773,77200.0,0.0,1.0
1999-12-14,2.5248,2.7492,2.4126,2.6651,2.4548,33400.0,0.0,1.0
1999-12-15,2.637,2.6931,2.5248,2.609,2.4031,21100.0,0.0,1.0
1999-12-16,2.609,2.609,2.5248,2.609,2.4031,1400.0,0.0,1.0
1999-12-17,2.609,2.6931,2.5809,2.5809,2.3773,37200.0,0.0,1.0
1999-12-20,2.6511,2.7212,2.3565,2.4687,2.2739,40900.0,0.0,1.0
1999-12-21,2.5809,2.9176,2.5529,2.9176,2.6873,94700.0,0.0,1.0
1999-12-22,3.0298,3.5347,3.0298,3.4225,3.1525,145600.0,0.0,1.0
1999-12-23,3.4786,3.5347,2.9456,2.9456,2.7132,63800.0,0.0,1.0
1999-12-27,3.3664,3.5908,3.142,3.3664,3.1008,58000.0,0.0,1.0
1999-12-28,3.4786,3.4786,2.8615,3.0298,2.7907,74800.0,0.0,1.0
1999-12-29,3.0017,3.1981,2.9737,3.1981,2.9457,22900.0,0.0,1.0
1999-12-30,3.2542,3.2542,3.0859,3.1981,2.9457,8800.0,0.0,1.0
1999-12-31,3.2542,3.2542,3.142,3.1981,2.9457,10200.0,0.0,1.0
2000-01-03,3.1981,3.2542,2.9737,2.9737,2.739,6000.0,0.0,1.0
2000-01-04,2.9737,2.9737,2.7492,2.9176,2.6873,1900.0,0.0,1.0
2000-01-05,2.8334,2.8615,2.7492,2.8615,2.6357,18700.0,0.0,1.0
2000-01-06,2.8053,2.9176,2.6651,2.7773,2.5581,20100.0,0.0,1.0
2000-01-07,2.8053,3.0298,2.6931,3.0017,2.7649,5400.0,0.0,1.0
2000-01-10,3.0298,3.2542,2.8334,3.2542,2.9974,26000.0,0.0,1.0
2000-01-11,3.142,3.3664,3.0859,3.1981,2.9457,70600.0,0.0,1.0
2000-01-12,3.0859,3.7031,3.0859,3.4225,3.1525,151600.0,0.0,1.0
2000-01-13,3.5347,3.5908,3.3103,3.4786,3.2041,32700.0,0.0,1.0
2000-01-14,3.3103,3.5347,3.2542,3.4225,3.1525,30200.0,0.0,1.0
2000-01-18,3.4225,3.4786,3.2542,3.2542,2.9974,48600.0,0.0,1.0
2000-01-19,3.3664,3.3664,3.1981,3.2542,2.9974,27900.0,0.0,1.0
2000-01-20,4.0397,4.1239,3.5347,3.7592,3.4625,69400.0,0.0,1.0
2000-01-21,3.8714,3.8714,3.5908,3.7031,3.4109,38400.0,0.0,1.0
2000-01-24,3.8714,3.8714,3.5908,3.5908,3.3075,53500.0,0.0,1.0
2000-01-25,3.8153,3.8714,3.5347,3.8153,3.5142,22800.0,0.0,1.0
2000-01-26,3.675,3.9275,3.5908,3.7031,3.4109,53600.0,0.0,1.0
2000-01-27,3.5908,3.8714,3.5908,3.6469,3.3592,4700.0,0.0,1.0
2000-01-28,3.8714,3.8714,3.6469,3.7031,3.4109,13100.0,0.0,1.0
2000-01-31,3.8714,3.8714,3.5908,3.5908,3.3075,11900.0,0.0,1.0
2000-02-01,3.6469,3.7031,3.6469,3.7031,3.4109,36200.0,0.0,1.0
2000-02-02,3.6189,3.7592,3.6189,3.7592,3.4625,9100.0,0.0,1.0
2000-02-03,3.675,3.675,3.6189,3.6189,3.3333,4900.0,0.0,1.0
2000-02-04,3.6189,3.7031,3.5908,3.5908,3.3075,8800.0,0.0,1.0
2000-02-07,3.5908,3.7031,3.5347,3.675,3.385,21700.0,0.0,1.0
2000-02-08,3.675,3.9275,3.4225,3.5908,3.3075,63100.0,0.0,1.0
2000-02-09,3.5628,3.7031,3.4506,3.5908,3.3075,50900.0,0.0,1.0
2000-02-10,3.5908,4.0958,3.5347,3.7031,3.4109,192200.0,0.0,1.0
2000-02-11,4.0397,4.0397,3.7592,3.7592,3.4625,74700.0,0.0,1.0
2000-02-14,3.8714,3.8714,3.8153,3.8714,3.5659,52200.0,0.0,1.0
2000-02-15,3.9555,4.0397,3.7592,3.8714,3.5659,118100.0,0.0,1.0
2000-02-16,3.8714,3.8714,3.7592,3.7592,3.4625,55200.0,0.0,1.0
2000-02-17,3.8714,3.8714,3.7031,3.8433,3.5401,9400.0,0.0,1.0
2000-02-18,3.7592,3.8714,3.7031,3.7031,3.4109,7500.0,0.0,1.0
2000-02-22,3.7872,3.8714,3.7031,3.8153,3.5142,42900.0,0.0,1.0
2000-02-23,3.8153,3.8714,3.7592,3.8153,3.5142,107100.0,0.0,1.0
