date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,14.4375,14.4375,14.4375,14.4375,2.3522,2600.0,0.0,1.0
1999-08-11,14.875,14.875,14.875,14.875,2.4235,400.0,0.0,1.0
1999-08-12,14.4375,14.4375,14.4375,14.4375,2.3522,600.0,0.0,1.0
1999-08-13,14.4375,14.4375,14.4375,14.4375,2.3522,600.0,0.0,1.0
1999-08-16,14.4375,14.4375,14.4375,14.4375,2.3522,0.0,0.0,1.0
1999-08-17,14.3125,14.3125,14.3125,14.3125,2.3319,500.0,0.0,1.0
1999-08-18,14.3125,14.3125,14.3125,14.3125,2.3319,0.0,0.0,1.0
1999-08-19,14.875,15.0,14.875,15.0,2.4439,5200.0,0.0,1.0
1999-08-20,15.25,15.25,15.0,15.0,2.4439,5200.0,0.0,1.0
1999-08-23,15.0,15.0,15.0,15.0,2.4439,0.0,0.0,1.0
1999-08-24,15.5,15.75,15.375,15.75,2.5661,3200.0,0.0,1.0
1999-08-25,15.6875,15.6875,15.6875,15.6875,2.5559,200.0,0.0,1.0
1999-08-26,15.125,15.125,15.0,15.0,2.4439,2400.0,0.0,1.0
1999-08-27,15.0,15.0,15.0,15.0,2.5065,300.0,0.375,1.0
1999-08-30,15.0,15.0,15.0,15.0,2.5065,100.0,0.0,1.0
1999-08-31,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-09-01,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-09-02,15.0,15.0,15.0,15.0,2.5065,3400.0,0.0,1.0
1999-09-03,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-09-07,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-09-08,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-09-09,15.25,15.25,15.25,15.25,2.5483,300.0,0.0,1.0
1999-09-10,15.375,15.375,15.375,15.375,2.5692,500.0,0.0,1.0
1999-09-13,15.0,15.0,15.0,15.0,2.5065,100.0,0.0,1.0
1999-09-14,15.375,15.375,15.375,15.375,2.5692,800.0,0.0,1.0
1999-09-15,15.375,15.375,15.375,15.375,2.5692,0.0,0.0,1.0
1999-09-16,15.25,15.25,15.25,15.25,2.5483,1000.0,0.0,1.0
1999-09-17,15.75,15.75,15.75,15.75,2.6319,100.0,0.0,1.0
1999-09-20,15.5,15.5,15.5,15.5,2.5901,1000.0,0.0,1.0
1999-09-21,15.125,15.125,15.125,15.125,2.5274,300.0,0.0,1.0
1999-09-22,15.125,15.125,15.125,15.125,2.5274,0.0,0.0,1.0
1999-09-23,15.125,15.125,15.125,15.125,2.5274,500.0,0.0,1.0
1999-09-24,15.625,15.625,15.625,15.625,2.611,400.0,0.0,1.0
1999-09-27,15.625,15.625,15.625,15.625,2.611,400.0,0.0,1.0
1999-09-28,15.625,15.625,15.625,15.625,2.611,0.0,0.0,1.0
1999-09-29,15.125,15.25,15.125,15.25,2.5483,11400.0,0.0,1.0
1999-09-30,15.0,15.0,14.9375,14.9375,2.4961,2200.0,0.0,1.0
1999-10-01,14.8438,14.8438,14.8438,14.8438,2.4804,100.0,0.0,1.0
1999-10-04,14.75,14.75,14.75,14.75,2.4648,200.0,0.0,1.0
1999-10-05,14.75,14.75,14.75,14.75,2.4648,200.0,0.0,1.0
1999-10-06,14.9375,14.9375,14.9375,14.9375,2.4961,100.0,0.0,1.0
1999-10-07,14.75,14.75,14.75,14.75,2.4648,300.0,0.0,1.0
1999-10-08,15.5,15.5,15.0,15.0,2.5065,1000.0,0.0,1.0
1999-10-11,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-10-12,15.25,15.25,15.25,15.25,2.5483,1000.0,0.0,1.0
1999-10-13,15.5,15.5,15.5,15.5,2.5901,200.0,0.0,1.0
1999-10-14,15.0,15.0,15.0,15.0,2.5065,1600.0,0.0,1.0
1999-10-15,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-10-18,15.0,15.0,15.0,15.0,2.5065,100.0,0.0,1.0
1999-10-19,15.0,15.0,15.0,15.0,2.5065,0.0,0.0,1.0
1999-10-20,15.0,15.0,15.0,15.0,2.5065,2800.0,0.0,1.0
1999-10-21,15.0,15.5,15.0,15.5,2.5901,2600.0,0.0,1.0
1999-10-22,15.625,15.625,15.625,15.625,2.611,200.0,0.0,1.0
1999-10-25,15.625,15.625,15.625,15.625,2.611,0.0,0.0,1.0
1999-10-26,15.625,15.625,15.625,15.625,2.611,0.0,0.0,1.0
1999-10-27,15.625,15.625,15.625,15.625,2.611,0.0,0.0,1.0
1999-10-28,15.5,15.5,15.25,15.25,2.5483,1000.0,0.0,1.0
1999-10-29,15.25,15.25,15.25,15.25,2.5483,0.0,0.0,1.0
1999-11-01,15.5,15.5,15.25,15.25,2.5483,400.0,0.0,1.0
1999-11-02,15.25,15.25,15.25,15.25,2.5483,0.0,0.0,1.0
1999-11-03,15.25,15.25,15.25,15.25,2.5483,0.0,0.0,1.0
1999-11-04,15.375,15.375,15.375,15.375,2.5692,300.0,0.0,1.0
1999-11-05,15.5,15.5,15.5,15.5,2.5901,900.0,0.0,1.0
1999-11-08,15.5,15.5,15.25,15.25,2.5483,600.0,0.0,1.0
1999-11-09,15.25,15.25,14.5,14.625,2.4439,3900.0,0.0,1.0
1999-11-10,14.625,15.75,14.625,15.0,2.5065,2900.0,0.0,1.0
1999-11-11,14.75,14.75,14.75,14.75,2.4648,200.0,0.0,1.0
1999-11-12,14.75,14.75,14.5,14.5,2.423,1600.0,0.0,1.0
1999-11-15,15.25,15.25,14.5,14.5,2.423,700.0,0.0,1.0
1999-11-16,14.5,14.5,14.5,14.5,2.423,0.0,0.0,1.0
1999-11-17,14.5625,14.5625,14.5,14.5,2.423,1600.0,0.0,1.0
1999-11-18,14.75,14.75,14.75,14.75,2.4648,1000.0,0.0,1.0
1999-11-19,13.625,14.25,13.625,14.25,2.3812,5400.0,0.0,1.0
1999-11-22,14.3125,14.3125,14.0,14.125,2.3603,2400.0,0.0,1.0
1999-11-23,14.0,14.0,14.0,14.0,2.3394,2900.0,0.0,1.0
1999-11-24,14.0,14.0,14.0,14.0,2.3394,0.0,0.0,1.0
1999-11-26,13.4375,13.4375,13.4375,13.4375,2.3314,0.0,0.516,1.0
1999-11-29,13.5,14.0,13.5,14.0,2.429,5500.0,0.0,1.0
1999-11-30,14.0,14.0,14.0,14.0,2.429,400.0,0.0,1.0
1999-12-01,14.75,14.75,14.0,14.0,2.429,2600.0,0.0,1.0
1999-12-02,14.0,14.0,14.0,14.0,2.429,0.0,0.0,1.0
1999-12-03,14.0,14.0,14.0,14.0,2.429,0.0,0.0,1.0
1999-12-06,14.25,14.875,14.25,14.875,2.5808,400.0,0.0,1.0
1999-12-07,14.25,14.375,14.1875,14.1875,2.4615,2600.0,0.0,1.0
1999-12-08,14.1875,14.1875,14.1875,14.1875,2.4615,0.0,0.0,1.0
1999-12-09,14.1875,14.1875,14.1875,14.1875,2.4615,0.0,0.0,1.0
1999-12-10,14.125,14.125,14.125,14.125,2.4506,200.0,0.0,1.0
1999-12-13,14.125,14.125,14.125,14.125,2.4506,0.0,0.0,1.0
1999-12-14,14.125,14.1875,14.0625,14.125,2.4506,3000.0,0.0,1.0
1999-12-15,14.0,14.0,14.0,14.0,2.429,200.0,0.0,1.0
1999-12-16,14.25,14.25,14.125,14.125,2.4506,1200.0,0.0,1.0
1999-12-17,14.5,14.75,14.5,14.75,2.5591,600.0,0.0,1.0
1999-12-20,14.75,14.75,14.75,14.75,2.5591,0.0,0.0,1.0
1999-12-21,14.25,14.25,14.25,14.25,2.4723,500.0,0.0,1.0
1999-12-22,14.5,14.5,14.5,14.5,2.5157,400.0,0.0,1.0
1999-12-23,14.5,14.5,14.5,14.5,2.5157,0.0,0.0,1.0
1999-12-27,14.625,14.9375,14.625,14.9375,2.5916,14500.0,0.0,1.0
1999-12-28,15.0,15.0,14.625,14.625,2.5374,5200.0,0.0,1.0
1999-12-29,14.625,14.625,14.625,14.625,2.5374,0.0,0.0,1.0
1999-12-30,15.0,15.0,15.0,15.0,2.6025,800.0,0.0,1.0
1999-12-31,15.0625,15.0625,15.0625,15.0625,2.6133,100.0,0.0,1.0
2000-01-03,15.0625,15.0625,15.0625,15.0625,2.6133,0.0,0.0,1.0
2000-01-04,15.25,15.25,15.25,15.25,2.6458,2600.0,0.0,1.0
2000-01-05,15.25,15.25,15.25,15.25,2.6458,0.0,0.0,1.0
2000-01-06,15.25,15.25,15.25,15.25,2.6458,0.0,0.0,1.0
2000-01-07,14.75,14.75,14.75,14.75,2.5591,1500.0,0.0,1.0
2000-01-10,14.8125,14.8125,14.0,14.0,2.429,7900.0,0.0,1.0
2000-01-11,13.875,13.875,13.875,13.875,2.4073,500.0,0.0,1.0
2000-01-12,13.875,13.875,13.875,13.875,2.4073,0.0,0.0,1.0
2000-01-13,13.75,13.75,13.75,13.75,2.3856,600.0,0.0,1.0
2000-01-14,13.75,13.75,13.75,13.75,2.3856,0.0,0.0,1.0
2000-01-18,14.375,14.375,14.375,14.375,2.494,300.0,0.0,1.0
2000-01-19,14.375,14.375,14.375,14.375,2.494,2700.0,0.0,1.0
2000-01-20,14.0,14.0,14.0,14.0,2.429,100.0,0.0,1.0
2000-01-21,14.25,14.25,14.25,14.25,2.4723,100.0,0.0,1.0
2000-01-24,14.5,14.5,14.5,14.5,2.5157,700.0,0.0,1.0
2000-01-25,14.5,14.5,14.5,14.5,2.5157,2400.0,0.0,1.0
2000-01-26,14.5,14.5,14.5,14.5,2.5157,0.0,0.0,1.0
2000-01-27,14.5,14.5,14.5,14.5,2.5157,0.0,0.0,1.0
2000-01-28,14.5,14.5,14.5,14.5,2.5157,0.0,0.0,1.0
2000-01-31,14.625,14.625,14.625,14.625,2.5374,900.0,0.0,1.0
2000-02-01,14.875,14.875,14.875,14.875,2.5808,2400.0,0.0,1.0
2000-02-02,15.25,15.25,15.25,15.25,2.6458,200.0,0.0,1.0
2000-02-03,15.0,15.0,15.0,15.0,2.6025,1000.0,0.0,1.0
2000-02-04,15.25,15.25,15.25,15.25,2.6458,400.0,0.0,1.0
2000-02-07,15.5,15.5,15.5,15.5,2.6892,600.0,0.0,1.0
2000-02-08,15.5,15.5,15.5,15.5,2.6892,0.0,0.0,1.0
2000-02-09,15.5,15.5,15.5,15.5,2.6892,500.0,0.0,1.0
2000-02-10,15.5,15.5,15.5,15.5,2.6892,2400.0,0.0,1.0
2000-02-11,15.5,15.5,15.0,15.5,2.6892,1400.0,0.0,1.0
2000-02-14,15.5625,15.5625,15.5625,15.5625,2.7,4800.0,0.0,1.0
2000-02-15,15.5625,15.5625,15.5625,15.5625,2.7,0.0,0.0,1.0
2000-02-16,15.375,15.375,15.375,15.375,2.6675,1100.0,0.0,1.0
2000-02-17,15.125,15.125,15.125,15.125,2.6241,1300.0,0.0,1.0
2000-02-18,15.125,15.125,15.125,15.125,2.6241,0.0,0.0,1.0
2000-02-22,15.375,15.375,15.375,15.375,2.6675,500.0,0.0,1.0
2000-02-23,15.4375,15.4375,15.25,15.25,2.6458,1200.0,0.0,1.0
2000-02-24,15.25,15.25,15.25,15.25,2.6458,400.0,0.0,1.0
2000-02-25,15.25,15.25,15.25,15.25,2.7457,200.0,0.5546,1.0
2000-02-28,15.25,15.625,15.25,15.625,2.8132,9700.0,0.0,1.0
2000-02-29,15.125,15.25,15.125,15.25,2.8468,6600.0,0.555,1.0
2000-03-01,15.25,15.25,15.25,15.25,2.8468,200.0,0.0,1.0
2000-03-02,15.75,15.75,15.25,15.75,2.9401,1400.0,0.0,1.0
2000-03-03,15.25,15.5,15.25,15.5,2.8935,5000.0,0.0,1.0
2000-03-06,15.5,15.5,15.5,15.5,2.8935,0.0,0.0,1.0
2000-03-07,15.75,16.0,15.75,16.0,2.9868,8900.0,0.0,1.0
2000-03-08,15.75,16.0,15.75,16.0,2.9868,2700.0,0.0,1.0
2000-03-09,15.75,15.75,15.25,15.25,2.8468,200.0,0.0,1.0
2000-03-10,15.625,15.625,15.625,15.625,2.9168,500.0,0.0,1.0
2000-03-13,15.625,15.625,15.625,15.625,2.9168,0.0,0.0,1.0
2000-03-14,16.0,16.0,16.0,16.0,2.9868,300.0,0.0,1.0
2000-03-15,16.0,16.0,16.0,16.0,2.9868,0.0,0.0,1.0
2000-03-16,15.5,15.5,15.5,15.5,2.8935,100.0,0.0,1.0
2000-03-17,15.625,15.625,15.625,15.625,2.9168,100.0,0.0,1.0
2000-03-20,15.625,15.625,15.5,15.5,2.8935,500.0,0.0,1.0
2000-03-21,15.5,15.5,15.5,15.5,2.8935,0.0,0.0,1.0
2000-03-22,15.875,15.875,15.875,15.875,2.9635,1000.0,0.0,1.0
2000-03-23,15.3125,15.3125,15.25,15.25,2.8468,2100.0,0.0,1.0
2000-03-24,15.3125,15.3125,15.25,15.25,2.8468,2500.0,0.0,1.0
2000-03-27,15.25,15.25,15.25,15.25,2.8468,0.0,0.0,1.0
2000-03-28,15.125,15.125,15.0625,15.0625,2.8118,1000.0,0.0,1.0
2000-03-29,15.75,15.75,15.5,15.5,2.8935,6900.0,0.0,1.0
2000-03-30,15.5,15.5,15.5,15.5,2.8935,0.0,0.0,1.0
2000-03-31,15.25,15.25,15.25,15.25,2.8468,400.0,0.0,1.0
2000-04-03,15.25,15.25,15.25,15.25,2.8468,0.0,0.0,1.0
2000-04-04,15.25,15.25,15.25,15.25,2.8468,0.0,0.0,1.0
2000-04-05,15.9375,15.9375,15.5,15.5,2.8935,400.0,0.0,1.0
2000-04-06,15.9375,15.9375,15.9375,15.9375,2.9751,700.0,0.0,1.0
2000-04-07,15.75,15.75,15.75,15.75,2.9401,600.0,0.0,1.0
2000-04-10,15.5625,15.75,15.5625,15.5625,2.9051,2800.0,0.0,1.0
2000-04-11,15.5625,15.5625,15.5625,15.5625,2.9051,0.0,0.0,1.0
