date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-11-28,9.5,9.75,8.54,9.4,8.5668,21300.0,0.0,1.0
2018-11-29,9.0,9.2,9.0,9.2,8.3845,1900.0,0.0,1.0
2018-11-30,9.38,9.4,9.38,9.4,8.5668,1100.0,0.0,1.0
2018-12-03,9.126,9.2,9.126,9.19,8.3754,1100.0,0.0,1.0
2018-12-04,9.19,9.19,9.19,9.19,8.3754,100.0,0.0,1.0
2018-12-06,9.4,9.4,8.5,9.31,8.4847,5200.0,0.0,1.0
2018-12-07,9.0,9.3,8.75,9.3,8.4756,3900.0,0.0,1.0
2018-12-10,9.0,9.3,9.0,9.27,8.4483,900.0,0.0,1.0
2018-12-11,9.27,9.27,9.27,9.27,8.6108,200.0,0.175,1.0
2018-12-12,9.27,9.27,9.27,9.27,8.6108,100.0,0.0,1.0
2018-12-13,9.02,9.03,9.0,9.0,8.36,2500.0,0.0,1.0
2018-12-14,9.0,9.0,9.0,9.0,8.36,200.0,0.0,1.0
2018-12-17,9.1,9.1,8.75,9.0,8.36,15100.0,0.0,1.0
2018-12-18,9.0,9.0,9.0,9.0,8.36,2300.0,0.0,1.0
2018-12-19,9.0,9.05,9.0,9.05,8.4065,1900.0,0.0,1.0
2018-12-20,9.1,9.17,9.1,9.17,8.518,4600.0,0.0,1.0
2018-12-21,9.17,9.215,9.17,9.205,8.5505,1500.0,0.0,1.0
2018-12-24,9.2,9.2,8.28,8.28,7.6912,400.0,0.0,1.0
2018-12-26,7.422,7.422,7.335,7.335,6.8134,1100.0,0.0,1.0
2018-12-27,7.1,7.1,7.1,7.1,6.5951,3300.0,0.0,1.0
2018-12-28,7.2,8.7,7.2,8.7,8.0814,1600.0,0.0,1.0
2018-12-31,8.7,8.7,8.7,8.7,8.0814,0.0,0.0,1.0
2019-01-02,9.01,9.01,9.01,9.01,8.3693,300.0,0.0,1.0
2019-01-03,9.11,9.154,9.02,9.02,8.3786,2200.0,0.0,1.0
2019-01-04,9.02,9.02,9.02,9.02,8.3786,1100.0,0.0,1.0
2019-01-07,9.02,9.02,9.02,9.02,8.3786,100.0,0.0,1.0
2019-01-08,9.16,9.3,9.16,9.3,8.6387,1000.0,0.0,1.0
2019-01-09,9.3,9.3,9.3,9.3,8.6387,600.0,0.0,1.0
2019-01-10,9.3,9.3,9.3,9.3,8.6387,0.0,0.0,1.0
2019-01-11,9.3,9.3,9.3,9.3,8.6387,100.0,0.0,1.0
2019-01-14,9.3,9.3,9.3,9.3,8.6387,100.0,0.0,1.0
2019-01-15,9.3,9.3,9.3,9.3,8.6387,100.0,0.0,1.0
2019-01-16,9.26,9.26,9.26,9.26,8.6016,100.0,0.0,1.0
2019-01-17,9.26,9.26,9.26,9.26,8.6016,100.0,0.0,1.0
2019-01-18,8.18,8.18,7.25,7.31,6.7902,4600.0,0.0,1.0
2019-01-22,7.31,7.31,7.31,7.31,6.7902,100.0,0.0,1.0
2019-01-23,7.31,7.73,6.75,7.73,7.1803,2100.0,0.0,1.0
