date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-02-15,12.15,12.42,11.86,11.9,11.9,1139300.0,0.0,1.0
2019-02-19,11.95,12.0,11.11,11.86,11.86,74600.0,0.0,1.0
2019-02-20,11.87,11.99,11.79,11.9,11.9,28300.0,0.0,1.0
2019-02-21,11.92,11.99,11.745,11.9,11.9,22300.0,0.0,1.0
2019-02-22,11.88,12.0,11.79,11.92,11.92,40500.0,0.0,1.0
2019-02-25,12.0,12.0,11.95,11.97,11.97,28900.0,0.0,1.0
2019-02-26,11.96,12.0,11.81,11.881,11.881,8400.0,0.0,1.0
2019-02-27,11.86,12.0,11.8,11.8,11.8,20400.0,0.0,1.0
2019-02-28,11.8,12.055,11.307,12.0,12.0,8600.0,0.0,1.0
2019-03-01,12.2,12.8,11.68,12.23,12.23,23300.0,0.0,1.0
2019-03-04,12.5,12.79,12.4,12.74,12.74,10600.0,0.0,1.0
2019-03-05,12.9,14.561,12.9,14.438,14.438,38300.0,0.0,1.0
2019-03-06,14.82,15.95,14.2,15.54,15.54,26400.0,0.0,1.0
2019-03-07,15.49,19.429,15.49,18.008,18.008,62800.0,0.0,1.0
2019-03-08,20.8,20.99,16.0,16.81,16.81,12800.0,0.0,1.0
2019-03-11,16.0,17.47,15.01,15.02,15.02,53500.0,0.0,1.0
2019-03-12,15.03,16.44,14.15,14.15,14.15,33700.0,0.0,1.0
2019-03-13,16.35,16.35,14.692,14.93,14.93,29500.0,0.0,1.0
2019-03-14,14.82,15.8,14.6,14.72,14.72,24900.0,0.0,1.0
2019-03-15,14.94,15.7,14.7,14.7,14.7,23000.0,0.0,1.0
2019-03-18,14.82,14.82,13.217,13.97,13.97,33800.0,0.0,1.0
2019-03-19,14.05,14.1,13.5,13.65,13.65,16600.0,0.0,1.0
2019-03-20,13.01,13.75,13.01,13.35,13.35,7800.0,0.0,1.0
2019-03-21,13.338,13.338,12.145,12.732,12.732,19400.0,0.0,1.0
2019-03-22,12.75,13.056,11.5,12.0,12.0,48700.0,0.0,1.0
2019-03-25,12.0,12.476,11.75,11.75,11.75,21200.0,0.0,1.0
2019-03-26,12.0,14.5,11.18,14.5,14.5,52500.0,0.0,1.0
2019-03-27,15.0,15.0,12.7,14.6,14.6,12500.0,0.0,1.0
2019-03-28,14.0,14.0,13.5,13.58,13.58,6500.0,0.0,1.0
2019-03-29,13.726,13.8,12.2,12.8,12.8,10100.0,0.0,1.0
2019-04-01,13.21,13.46,12.568,13.4,13.4,2800.0,0.0,1.0
2019-04-02,13.069,15.0,13.069,15.0,15.0,4800.0,0.0,1.0
2019-04-03,15.0,15.03,14.14,14.21,14.21,5800.0,0.0,1.0
2019-04-04,14.7,15.0,14.46,14.46,14.46,2600.0,0.0,1.0
2019-04-05,15.08,15.08,14.24,14.24,14.24,1600.0,0.0,1.0
2019-04-08,13.8,15.14,13.8,14.32,14.32,5400.0,0.0,1.0
2019-04-09,14.5,15.0,14.5,14.75,14.75,300.0,0.0,1.0
2019-04-10,14.482,14.97,14.2,14.2,14.2,1400.0,0.0,1.0
2019-04-11,14.0,14.5,13.8,13.8,13.8,4700.0,0.0,1.0
2019-04-12,14.287,14.6,13.0,13.3,13.3,14600.0,0.0,1.0
2019-04-15,13.52,14.35,13.06,13.06,13.06,3600.0,0.0,1.0
2019-04-16,13.7,13.7,13.252,13.252,13.252,1200.0,0.0,1.0
2019-04-17,13.7,14.74,12.62,13.1,13.1,17700.0,0.0,1.0
2019-04-18,13.17,13.759,12.649,12.7,12.7,7300.0,0.0,1.0
2019-04-22,12.99,13.998,12.99,13.9,13.9,4800.0,0.0,1.0
2019-04-23,13.93,14.0,13.35,13.35,13.35,4000.0,0.0,1.0
2019-04-24,13.505,14.0,13.472,14.0,14.0,1400.0,0.0,1.0
2019-04-25,13.97,14.637,13.811,14.637,14.637,2900.0,0.0,1.0
2019-04-26,14.89,14.89,13.22,14.35,14.35,1700.0,0.0,1.0
2019-04-29,14.89,14.89,13.598,13.598,13.598,1600.0,0.0,1.0
2019-04-30,14.89,14.89,13.517,14.63,14.63,1500.0,0.0,1.0
2019-05-01,14.72,14.72,14.41,14.484,14.484,3000.0,0.0,1.0
2019-05-02,14.89,14.89,14.22,14.88,14.88,8200.0,0.0,1.0
2019-05-03,13.86,14.62,13.86,14.62,14.62,900.0,0.0,1.0
2019-05-06,14.0,14.99,14.0,14.99,14.99,2400.0,0.0,1.0
2019-05-07,14.89,15.45,14.5,15.45,15.45,8900.0,0.0,1.0
2019-05-08,15.0,15.838,15.0,15.0,15.0,4800.0,0.0,1.0
2019-05-09,14.74,14.74,14.513,14.513,14.513,1400.0,0.0,1.0
2019-05-10,15.01,15.01,13.92,13.92,13.92,15200.0,0.0,1.0
2019-05-13,13.97,14.45,13.92,14.45,14.45,2500.0,0.0,1.0
2019-05-14,14.1,15.0,14.0,14.04,14.04,3900.0,0.0,1.0
2019-05-15,14.2,14.25,14.0,14.0,14.0,3400.0,0.0,1.0
2019-05-16,14.0,14.0,13.01,13.45,13.45,4900.0,0.0,1.0
2019-05-17,13.48,14.053,12.52,13.7,13.7,20000.0,0.0,1.0
2019-05-20,13.75,13.75,12.967,13.25,13.25,4500.0,0.0,1.0
2019-05-21,13.07,13.07,12.95,12.982,12.982,5300.0,0.0,1.0
2019-05-22,13.0,13.0,12.75,12.75,12.75,2200.0,0.0,1.0
2019-05-23,12.501,12.501,12.28,12.28,12.28,700.0,0.0,1.0
2019-05-24,12.98,13.0,12.16,12.16,12.16,800.0,0.0,1.0
2019-05-28,12.071,12.703,12.071,12.13,12.13,1000.0,0.0,1.0
2019-05-29,12.03,12.5,12.03,12.5,12.5,400.0,0.0,1.0
2019-05-30,12.5,12.75,12.232,12.75,12.75,2600.0,0.0,1.0
2019-05-31,12.13,12.2,12.0,12.0,12.0,1600.0,0.0,1.0
2019-06-03,12.362,12.849,12.0,12.0,12.0,1700.0,0.0,1.0
2019-06-04,12.0,12.73,12.0,12.73,12.73,200.0,0.0,1.0
2019-06-05,12.1,13.0,12.1,13.0,13.0,10300.0,0.0,1.0
2019-06-06,12.0,12.5,11.91,11.91,11.91,4900.0,0.0,1.0
2019-06-07,11.91,11.91,11.505,11.81,11.81,2300.0,0.0,1.0
2019-06-10,11.869,12.745,11.67,11.67,11.67,2500.0,0.0,1.0
2019-06-11,12.2,12.2,12.2,12.2,12.2,300.0,0.0,1.0
2019-06-12,11.75,12.18,11.75,12.18,12.18,200.0,0.0,1.0
2019-06-13,12.37,14.29,12.31,13.4,13.4,15100.0,0.0,1.0
2019-06-14,13.0,13.39,12.96,13.39,13.39,15200.0,0.0,1.0
2019-06-17,13.0,13.0,12.15,12.26,12.26,3800.0,0.0,1.0
2019-06-18,13.0,13.0,12.4,12.8,12.8,40400.0,0.0,1.0
2019-06-19,12.81,13.0,12.75,12.75,12.75,4600.0,0.0,1.0
2019-06-20,13.0,14.3,12.824,13.3,13.3,25600.0,0.0,1.0
2019-06-21,13.0,13.844,12.95,13.01,13.01,15200.0,0.0,1.0
2019-06-24,13.0,13.0,12.26,12.26,12.26,1100.0,0.0,1.0
2019-06-25,12.705,12.8,12.691,12.691,12.691,800.0,0.0,1.0
2019-06-26,12.66,12.67,12.161,12.21,12.21,600.0,0.0,1.0
2019-06-27,12.031,12.5,12.031,12.17,12.17,800.0,0.0,1.0
2019-06-28,12.5,12.5,12.5,12.5,12.5,300.0,0.0,1.0
2019-07-01,12.673,13.0,12.59,12.82,12.82,13200.0,0.0,1.0
2019-07-02,13.0,13.05,12.31,12.7,12.7,11700.0,0.0,1.0
2019-07-03,12.8,12.94,12.8,12.9,12.9,800.0,0.0,1.0
2019-07-05,13.0,13.0,12.0,12.77,12.77,14100.0,0.0,1.0
2019-07-08,12.82,12.82,12.6,12.6,12.6,500.0,0.0,1.0
2019-07-09,12.6,12.6,12.3,12.3,12.3,1400.0,0.0,1.0
2019-07-10,12.04,12.35,11.75,11.75,11.75,4000.0,0.0,1.0
2019-07-11,12.12,12.12,12.12,12.12,12.12,100.0,0.0,1.0
2019-07-12,11.96,11.96,11.7,11.7,11.7,4800.0,0.0,1.0
2019-07-15,11.5,11.5,11.055,11.12,11.12,4400.0,0.0,1.0
2019-07-16,11.14,11.14,11.12,11.12,11.12,600.0,0.0,1.0
2019-07-17,11.0,11.5,11.0,11.0,11.0,1800.0,0.0,1.0
2019-07-18,10.699,11.475,10.699,11.25,11.25,3300.0,0.0,1.0
2019-07-19,11.378,11.378,11.35,11.35,11.35,500.0,0.0,1.0
2019-07-22,11.48,11.56,11.38,11.52,11.52,2200.0,0.0,1.0
2019-07-23,12.56,12.56,11.42,11.48,11.48,2700.0,0.0,1.0
2019-07-24,11.44,12.13,11.44,12.1,12.1,2900.0,0.0,1.0
2019-07-25,12.1,12.1,12.1,12.1,12.1,300.0,0.0,1.0
2019-07-26,12.302,13.0,12.302,12.515,12.515,4100.0,0.0,1.0
2019-07-29,12.53,12.962,12.53,12.779,12.779,2200.0,0.0,1.0
2019-07-30,12.815,12.815,12.5,12.5,12.5,1800.0,0.0,1.0
2019-07-31,12.95,12.95,12.5,12.5,12.5,2700.0,0.0,1.0
2019-08-01,12.5,13.72,12.5,13.36,13.36,8000.0,0.0,1.0
2019-08-02,12.56,13.75,12.56,12.72,12.72,20800.0,0.0,1.0
2019-08-05,12.5,12.5,12.125,12.125,12.125,5700.0,0.0,1.0
2019-08-06,12.4,12.44,12.1,12.237,12.237,2400.0,0.0,1.0
2019-08-07,12.35,13.061,12.233,12.809,12.809,18200.0,0.0,1.0
2019-08-08,12.5,13.0,12.4,12.4,12.4,16700.0,0.0,1.0
2019-08-09,12.2216,12.5,12.2216,12.33,12.33,4879.0,0.0,1.0
