date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,21.0,21.25,21.0,21.25,18.3002,4800.0,0.0,1.0
1999-08-11,21.25,21.25,21.0,21.25,18.3002,40800.0,0.0,1.0
1999-08-12,21.25,21.625,20.75,21.0625,18.1387,82000.0,0.0,1.0
1999-08-13,20.75,21.5,19.75,19.75,17.0084,122000.0,0.0,1.0
1999-08-16,19.625,21.8125,19.625,21.8125,18.7846,23700.0,0.0,1.0
1999-08-17,21.75,22.0,21.0,21.375,18.4078,34200.0,0.0,1.0
1999-08-18,20.5,21.125,18.875,19.5,16.7931,153300.0,0.0,1.0
1999-08-19,19.0,19.5,19.0,19.0,16.3625,20700.0,0.0,1.0
1999-08-20,19.0625,19.5,19.0625,19.0625,16.4163,16100.0,0.0,1.0
1999-08-23,19.25,19.5,19.0,19.4375,16.7393,130800.0,0.0,1.0
1999-08-24,19.625,19.625,19.0,19.5625,16.8469,33100.0,0.0,1.0
1999-08-25,19.625,19.625,19.4063,19.5,16.7931,34400.0,0.0,1.0
1999-08-26,19.3125,19.4375,19.25,19.3125,16.6316,20200.0,0.0,1.0
1999-08-27,19.1875,19.1875,18.75,18.9375,16.3087,27900.0,0.0,1.0
1999-08-30,19.0,19.0,18.5,18.875,16.2549,18900.0,0.0,1.0
1999-08-31,18.75,19.0,18.375,18.375,15.8243,14700.0,0.0,1.0
1999-09-01,18.375,18.75,18.375,18.4375,15.8781,29200.0,0.0,1.0
1999-09-02,18.375,18.625,18.25,18.25,15.7166,44400.0,0.0,1.0
1999-09-03,18.5,18.5,18.25,18.5,15.9319,51400.0,0.0,1.0
1999-09-07,18.5,19.125,18.4375,18.6875,16.0934,37800.0,0.0,1.0
1999-09-08,18.6875,21.25,18.6875,21.25,18.3002,81200.0,0.0,1.0
1999-09-09,20.875,21.25,20.5,21.25,18.3002,241300.0,0.0,1.0
1999-09-10,21.75,22.0,20.75,21.25,18.3002,46800.0,0.0,1.0
1999-09-13,21.0,21.0,19.125,19.5,16.7931,22900.0,0.0,1.0
1999-09-14,19.875,20.0,19.625,19.75,17.0084,17100.0,0.0,1.0
1999-09-15,19.875,19.875,19.375,19.5,16.7931,17700.0,0.0,1.0
1999-09-16,19.75,19.75,19.125,19.1875,16.524,4700.0,0.0,1.0
1999-09-17,19.25,19.375,18.875,19.25,16.5778,41900.0,0.0,1.0
1999-09-20,19.0,19.25,18.375,18.375,15.8243,30800.0,0.0,1.0
