date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,4.9375,5.0,4.9375,5.0,3.8648,42700.0,0.0,1.0
1999-08-11,5.0,5.125,5.0,5.0,3.8648,48700.0,0.0,1.0
1999-08-12,5.0,5.125,5.0,5.0,3.8648,2800.0,0.0,1.0
1999-08-13,5.125,5.125,5.0,5.0,3.8648,5400.0,0.0,1.0
1999-08-16,5.0,5.1875,5.0,5.125,3.9614,21300.0,0.0,1.0
1999-08-17,5.0,5.125,5.0,5.125,3.9614,8700.0,0.0,1.0
1999-08-18,5.125,5.125,5.125,5.125,3.9614,0.0,0.0,1.0
1999-08-19,4.8125,5.125,4.8125,5.125,3.9614,3400.0,0.0,1.0
1999-08-20,5.0,5.1875,4.8125,5.0625,3.9131,4700.0,0.0,1.0
1999-08-23,5.0,5.1875,5.0,5.1875,4.0097,3800.0,0.0,1.0
1999-08-24,4.9063,5.0,4.8125,4.8125,3.7199,5000.0,0.0,1.0
1999-08-25,4.8125,4.9375,4.8125,4.9375,3.8165,6800.0,0.0,1.0
1999-08-26,4.8125,4.9375,4.8125,4.9375,3.8165,6100.0,0.0,1.0
1999-08-27,4.8125,4.9375,4.8125,4.9375,3.8165,4600.0,0.0,1.0
1999-08-30,4.8125,4.9375,4.8125,4.9375,3.8165,4800.0,0.0,1.0
1999-08-31,4.8125,4.9375,4.8125,4.9375,3.8165,700.0,0.0,1.0
1999-09-01,4.8125,5.0,4.8125,4.8125,3.7199,5000.0,0.0,1.0
1999-09-02,5.0,5.0625,4.8125,4.8125,3.7199,4100.0,0.0,1.0
1999-09-03,5.0,5.0625,5.0,5.0625,3.9131,5200.0,0.0,1.0
1999-09-07,4.9063,4.9063,4.8125,4.8125,3.7199,1300.0,0.0,1.0
1999-09-08,5.125,5.125,4.875,4.875,3.7682,4300.0,0.0,1.0
1999-09-09,4.875,4.875,4.875,4.875,3.7682,700.0,0.0,1.0
1999-09-10,5.0,5.0625,4.875,5.0625,3.9131,9300.0,0.0,1.0
1999-09-13,5.0625,5.0625,5.0625,5.0625,3.9131,2400.0,0.0,1.0
1999-09-14,5.0,5.0,5.0,5.0,3.8648,2400.0,0.0,1.0
1999-09-15,5.0,5.0,4.875,5.0,3.8648,3700.0,0.0,1.0
1999-09-16,5.0,5.0,5.0,5.0,3.8648,700.0,0.0,1.0
1999-09-17,4.875,5.0,4.875,5.0,3.8648,600.0,0.0,1.0
1999-09-20,4.875,4.875,4.875,4.875,3.7682,100.0,0.0,1.0
1999-09-21,4.875,5.0,4.875,4.9375,3.8165,1500.0,0.0,1.0
1999-09-22,5.0,5.0,5.0,5.0,3.8648,10100.0,0.0,1.0
1999-09-23,5.0,5.0,5.0,5.0,3.8648,0.0,0.0,1.0
1999-09-24,4.875,4.875,4.875,4.875,3.7682,3600.0,0.0,1.0
1999-09-27,4.8125,4.8125,4.625,4.625,3.5749,1500.0,0.0,1.0
1999-09-28,4.8125,4.8125,4.625,4.625,3.5749,400.0,0.0,1.0
1999-09-29,4.8125,4.8125,4.4375,4.75,3.6716,15500.0,0.0,1.0
1999-09-30,4.5,4.625,4.375,4.375,3.3817,49600.0,0.0,1.0
1999-10-01,4.25,4.375,4.25,4.3125,3.3334,21400.0,0.0,1.0
1999-10-04,4.2813,4.3125,4.25,4.25,3.2851,2100.0,0.0,1.0
1999-10-05,4.3125,4.3125,4.25,4.2813,3.3092,2100.0,0.0,1.0
1999-10-06,4.25,4.3125,4.0,4.1875,3.2368,20700.0,0.0,1.0
1999-10-07,4.0,4.1875,4.0,4.1875,3.2368,2500.0,0.0,1.0
1999-10-08,4.0,4.75,4.0,4.6875,3.6233,11500.0,0.0,1.0
1999-10-11,4.5,4.5625,4.5,4.5625,3.5266,2800.0,0.0,1.0
1999-10-12,4.5625,4.5625,4.5625,4.5625,3.5266,2400.0,0.0,1.0
1999-10-13,4.3125,4.3125,4.3125,4.3125,3.3334,1000.0,0.0,1.0
1999-10-14,4.25,4.25,4.25,4.25,3.2851,600.0,0.0,1.0
1999-10-15,4.0,4.0,4.0,4.0,3.0918,100.0,0.0,1.0
1999-10-18,4.0625,4.5,4.0,4.125,3.1885,15000.0,0.0,1.0
1999-10-19,4.125,4.125,4.125,4.125,3.1885,0.0,0.0,1.0
1999-10-20,4.0625,4.5,4.0625,4.5,3.4783,800.0,0.0,1.0
1999-10-21,4.0938,4.375,4.0625,4.375,3.3817,6000.0,0.0,1.0
1999-10-22,4.375,4.375,4.0625,4.375,3.3817,1200.0,0.0,1.0
1999-10-25,4.0938,4.0938,4.0,4.0,3.0918,2600.0,0.0,1.0
1999-10-26,4.125,4.125,4.125,4.125,3.1885,200.0,0.0,1.0
1999-10-27,4.0313,4.0313,4.0313,4.0313,3.116,2100.0,0.0,1.0
1999-10-28,4.0,4.25,4.0,4.0,3.0918,24000.0,0.0,1.0
1999-10-29,4.1875,4.1875,4.0,4.0,3.0918,1400.0,0.0,1.0
1999-11-01,4.0,4.125,4.0,4.0,3.0918,13000.0,0.0,1.0
1999-11-02,4.0625,4.1563,4.0,4.0,3.0918,35400.0,0.0,1.0
1999-11-03,3.875,4.125,3.875,3.875,2.9952,11200.0,0.0,1.0
1999-11-04,3.9375,3.9375,3.75,3.75,2.8986,15200.0,0.0,1.0
1999-11-05,3.75,3.8125,3.75,3.75,2.8986,18600.0,0.0,1.0
1999-11-08,3.8125,4.0625,3.7813,4.0625,3.1402,4500.0,0.0,1.0
1999-11-09,3.7813,4.0,3.7813,4.0,3.0918,900.0,0.0,1.0
1999-11-10,4.0,4.0,4.0,4.0,3.0918,400.0,0.0,1.0
1999-11-11,4.0,4.0,4.0,4.0,3.0918,0.0,0.0,1.0
1999-11-12,3.7813,3.875,3.7813,3.875,2.9952,2000.0,0.0,1.0
1999-11-15,3.875,3.875,3.875,3.875,2.9952,2300.0,0.0,1.0
1999-11-16,3.875,3.875,3.875,3.875,2.9952,0.0,0.0,1.0
1999-11-17,3.875,3.875,3.7813,3.875,2.9952,14900.0,0.0,1.0
1999-11-18,3.7813,3.875,3.7813,3.875,2.9952,2700.0,0.0,1.0
1999-11-19,3.7813,3.875,3.75,3.875,2.9952,8000.0,0.0,1.0
1999-11-22,3.75,3.8125,3.75,3.8125,2.9469,4600.0,0.0,1.0
1999-11-23,3.75,3.8125,3.75,3.8125,2.9469,18900.0,0.0,1.0
1999-11-24,3.8125,3.8125,3.625,3.625,2.802,20400.0,0.0,1.0
1999-11-26,3.625,3.625,3.625,3.625,2.802,0.0,0.0,1.0
1999-11-29,3.75,3.75,3.5,3.625,2.802,6300.0,0.0,1.0
1999-11-30,3.625,3.75,3.625,3.6875,2.8503,2900.0,0.0,1.0
1999-12-01,3.6875,3.6875,3.6875,3.6875,2.8503,0.0,0.0,1.0
1999-12-02,3.6875,3.6875,3.6875,3.6875,2.8503,900.0,0.0,1.0
1999-12-03,3.625,3.625,3.625,3.625,2.802,11500.0,0.0,1.0
1999-12-06,3.75,3.75,3.625,3.625,2.802,1300.0,0.0,1.0
1999-12-07,3.6875,3.875,3.5,3.875,2.9952,5300.0,0.0,1.0
1999-12-08,3.875,4.0,3.625,4.0,3.0918,8600.0,0.0,1.0
1999-12-09,3.875,3.875,3.875,3.875,2.9952,3100.0,0.0,1.0
1999-12-10,3.625,3.875,3.625,3.75,2.8986,5200.0,0.0,1.0
1999-12-13,3.8125,3.875,3.8125,3.875,2.9952,2400.0,0.0,1.0
1999-12-14,3.875,3.9375,3.875,3.9375,3.0435,4400.0,0.0,1.0
1999-12-15,3.9375,4.0,3.9375,4.0,3.0918,7700.0,0.0,1.0
1999-12-16,4.125,4.125,4.0,4.0,3.0918,6300.0,0.0,1.0
1999-12-17,4.0,4.0,4.0,4.0,3.0918,500.0,0.0,1.0
1999-12-20,4.0,4.0,4.0,4.0,3.0918,3000.0,0.0,1.0
