date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-02-07,10.0,10.02,10.0,10.005,10.005,3660300.0,0.0,1.0
2019-02-08,10.01,10.02,10.0,10.01,10.01,46700.0,0.0,1.0
2019-02-11,10.003,10.04,10.0,10.04,10.04,12100.0,0.0,1.0
2019-02-12,10.04,10.04,10.0,10.03,10.03,42500.0,0.0,1.0
2019-02-13,10.01,10.03,10.01,10.03,10.03,12200.0,0.0,1.0
2019-02-14,10.01,10.04,10.01,10.01,10.01,12100.0,0.0,1.0
2019-02-15,10.0,10.02,10.0,10.01,10.01,10600.0,0.0,1.0
2019-02-19,10.01,10.01,10.01,10.01,10.01,100.0,0.0,1.0
2019-02-20,10.01,10.05,10.01,10.013,10.013,74600.0,0.0,1.0
2019-02-21,10.02,10.02,10.01,10.02,10.02,155600.0,0.0,1.0
2019-02-22,10.03,10.04,10.02,10.021,10.021,9100.0,0.0,1.0
2019-02-25,10.05,10.05,10.03,10.03,10.03,600.0,0.0,1.0
2019-02-26,10.03,10.03,10.02,10.02,10.02,15000.0,0.0,1.0
2019-02-27,10.02,10.02,10.02,10.02,10.02,0.0,0.0,1.0
2019-02-28,10.0,10.02,10.0,10.01,10.01,169600.0,0.0,1.0
2019-03-01,10.01,10.04,10.005,10.03,10.03,50900.0,0.0,1.0
2019-03-04,10.02,10.02,10.02,10.02,10.02,100.0,0.0,1.0
2019-03-05,10.04,10.04,10.04,10.04,10.04,500.0,0.0,1.0
2019-03-06,10.04,10.04,10.04,10.04,10.04,100.0,0.0,1.0
2019-03-07,10.02,10.02,10.02,10.02,10.02,1100.0,0.0,1.0
2019-03-08,10.02,10.02,10.02,10.02,10.02,0.0,0.0,1.0
2019-03-11,10.02,10.02,10.02,10.02,10.02,300000.0,0.0,1.0
2019-03-12,10.02,10.02,10.0,10.0,10.0,8900.0,0.0,1.0
2019-03-13,10.0,10.0,10.0,10.0,10.0,100.0,0.0,1.0
2019-03-14,10.0,10.07,10.0,10.07,10.07,312300.0,0.0,1.0
2019-03-15,10.07,10.07,10.07,10.07,10.07,100.0,0.0,1.0
2019-03-18,10.07,10.07,10.07,10.07,10.07,0.0,0.0,1.0
2019-03-19,10.07,10.07,10.07,10.07,10.07,0.0,0.0,1.0
2019-03-20,10.0,10.08,10.0,10.08,10.08,10100.0,0.0,1.0
2019-03-21,10.07,10.1,10.02,10.02,10.02,214700.0,0.0,1.0
2019-03-22,10.07,10.1,10.07,10.1,10.1,127300.0,0.0,1.0
