date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,2.0926,2.1481,2.0926,2.1111,1.8252,36600.0,0.0,1.0
1999-08-11,2.0926,2.1481,2.0926,2.0926,1.8092,111300.0,0.0,1.0
1999-08-12,2.1111,2.1481,2.0926,2.1481,1.8572,205300.0,0.0,1.0
1999-08-13,2.1296,2.2593,2.1296,2.2593,1.9533,49500.0,0.0,1.0
1999-08-16,2.2037,2.2593,2.2037,2.2315,1.9293,39300.0,0.0,1.0
1999-08-17,2.2315,2.2315,2.2315,2.2315,1.9293,0.0,0.0,1.0
1999-08-18,2.2963,2.2963,2.2593,2.2593,1.9533,89100.0,0.0,1.0
1999-08-19,2.2778,2.2778,2.2222,2.2407,1.9373,54000.0,0.0,1.0
1999-08-20,2.2407,2.2407,2.2037,2.2407,1.9373,43800.0,0.0,1.0
1999-08-23,2.2222,2.2407,2.2037,2.2407,1.9373,356500.0,0.0,1.0
1999-08-24,2.2222,2.2222,2.2222,2.2222,1.9213,3300.0,0.0,1.0
1999-08-25,2.2222,2.2407,2.2222,2.2407,1.9373,74200.0,0.0,1.0
1999-08-26,2.1852,2.1852,2.1852,2.1852,1.8893,600.0,0.0,1.0
1999-08-27,2.2222,2.2407,2.2222,2.2222,1.9213,12300.0,0.0,1.0
1999-08-30,2.2222,2.2222,2.1852,2.1852,1.8893,9400.0,0.0,1.0
1999-08-31,2.1481,2.1481,2.0185,2.0185,1.7452,29800.0,0.0,1.0
1999-09-01,2.037,2.037,2.037,2.037,1.7612,3600.0,0.0,1.0
1999-09-02,2.0741,2.1481,2.037,2.0741,1.7932,31900.0,0.0,1.0
1999-09-03,2.0741,2.0926,2.0741,2.0741,1.7932,39100.0,0.0,1.0
1999-09-07,2.037,2.0648,2.037,2.0648,1.7852,21100.0,0.0,1.0
1999-09-08,2.0556,2.0556,2.0556,2.0556,1.7772,1500.0,0.0,1.0
1999-09-09,2.0648,2.0926,2.0648,2.0926,1.8092,5500.0,0.0,1.0
1999-09-10,2.037,2.0741,2.037,2.0741,1.7932,37000.0,0.0,1.0
1999-09-13,2.037,2.037,2.0,2.037,1.7612,52200.0,0.0,1.0
