date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-05-01,66.9,66.9,45.0,55.5,54.6539,36200.0,0.0,0.0714
2007-05-02,55.8,60.3,49.2,56.1,55.2448,26500.0,0.0,1.0
2007-05-03,57.6,63.3,52.8,54.9,54.0631,25500.0,0.0,1.0
2007-05-04,57.9,57.9,38.7,39.9,39.2917,21900.0,0.0,1.0
2007-05-07,39.9,39.9,26.4,26.4,25.9975,41600.0,0.0,1.0
2007-05-08,27.0,27.9,12.6,15.3,15.0668,99800.0,0.0,1.0
2007-05-09,16.8,16.8,12.9,13.5,13.2942,24400.0,0.0,1.0
2007-05-10,13.8,19.2,11.4,19.2,18.9073,69200.0,0.0,1.0
2007-05-11,21.0,27.9,21.0,27.0,26.5884,32700.0,0.0,1.0
2007-05-14,28.5,32.4,24.6,28.5,28.0655,29800.0,0.0,1.0
2007-05-15,28.2,28.2,22.5,23.4,23.0433,13500.0,0.0,1.0
2007-05-16,23.4,25.2,16.5,22.2,21.8616,10000.0,0.0,1.0
2007-05-17,22.2,22.5,20.1,22.2,21.8616,4000.0,0.0,1.0
2007-05-18,23.4,23.4,17.4,19.5,19.2027,8100.0,0.0,1.0
2007-05-21,21.9,21.9,18.0,21.6,21.2707,4700.0,0.0,1.0
2007-05-22,21.6,21.9,19.5,21.0,20.6799,4400.0,0.0,1.0
2007-05-23,21.0,21.0,19.5,20.1,19.7936,3100.0,0.0,1.0
2007-05-24,20.7,20.7,14.1,15.3,15.0668,19100.0,0.0,1.0
2007-05-25,16.5,16.8,14.4,15.6,15.3622,9900.0,0.0,1.0
2007-05-29,16.5,18.6,16.2,16.2,15.953,10700.0,0.0,1.0
2007-05-30,17.1,17.1,14.4,14.4,14.1805,5700.0,0.0,1.0
2007-05-31,15.0,15.3,14.4,15.0,14.7713,1800.0,0.0,1.0
2007-06-01,15.0,15.0,12.3,14.4,14.1805,10100.0,0.0,1.0
2007-06-04,14.4,14.4,12.6,12.9,12.7033,1800.0,0.0,1.0
2007-06-05,12.6,12.9,11.1,12.0,11.8171,8300.0,0.0,1.0
2007-06-06,11.7,12.0,10.2,11.4,11.2262,5600.0,0.0,1.0
2007-06-07,10.2,11.1,9.0,10.2,10.0445,7300.0,0.0,1.0
2007-06-08,10.5,10.5,10.2,10.5,10.3399,2000.0,0.0,1.0
2007-06-11,10.5,13.5,10.5,13.5,13.2942,3700.0,0.0,1.0
2007-06-12,13.5,13.5,11.1,11.1,10.9308,2500.0,0.0,1.0
2007-06-13,11.4,12.3,11.1,11.1,10.9308,2900.0,0.0,1.0
2007-06-14,12.0,12.0,9.0,9.3,9.1582,4700.0,0.0,1.0
2007-06-15,11.4,12.3,9.9,11.4,11.2262,4000.0,0.0,1.0
2007-06-18,13.2,19.5,12.9,16.2,15.953,12300.0,0.0,1.0
2007-06-19,17.7,17.7,15.6,17.7,17.4302,2700.0,0.0,1.0
2007-06-20,17.7,17.7,15.9,15.9,15.6576,700.0,0.0,1.0
