date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,10.25,10.75,10.125,10.75,7.1804,46500.0,0.0,1.0
1999-08-11,10.75,11.4375,10.75,11.375,7.5979,42100.0,0.0,1.0
1999-08-12,11.125,11.5,11.0,11.4375,7.6396,57500.0,0.0,1.0
1999-08-13,11.0,12.125,11.0,11.75,7.8484,187400.0,0.0,1.0
1999-08-16,11.75,12.125,11.75,12.125,8.0988,6800.0,0.0,1.0
1999-08-17,12.125,12.125,11.9375,11.9375,7.9736,72900.0,0.0,1.0
1999-08-18,11.9375,12.0,11.875,11.9375,7.9736,6400.0,0.0,1.0
1999-08-19,11.75,11.9375,11.5,11.625,7.7649,12900.0,0.0,1.0
1999-08-20,11.5625,11.625,11.5,11.5,7.6814,5700.0,0.0,1.0
1999-08-23,11.5,11.75,11.5,11.5,7.6814,13900.0,0.0,1.0
1999-08-24,11.375,11.4375,10.875,11.125,7.4309,8200.0,0.0,1.0
1999-08-25,11.125,11.625,11.125,11.5625,7.7231,29500.0,0.0,1.0
1999-08-26,11.4375,11.5,10.875,11.0625,7.3891,81200.0,0.0,1.0
1999-08-27,10.9375,11.0625,10.6875,10.875,7.2639,29800.0,0.0,1.0
1999-08-30,11.0,11.0625,10.625,10.6875,7.1387,20200.0,0.0,1.0
1999-08-31,10.75,11.0,10.625,11.0,7.3474,59600.0,0.0,1.0
1999-09-01,10.875,11.0,10.875,10.875,7.2639,3900.0,0.0,1.0
1999-09-02,10.875,10.9375,10.875,10.9375,7.3057,7500.0,0.0,1.0
1999-09-03,11.0,11.25,11.0,11.0,7.3474,90900.0,0.0,1.0
1999-09-07,11.0,11.125,10.125,10.125,6.763,173700.0,0.0,1.0
1999-09-08,10.25,10.875,10.125,10.875,7.3072,60800.0,0.06,1.0
1999-09-09,10.625,10.75,10.3125,10.375,6.9713,54100.0,0.0,1.0
1999-09-10,10.375,10.5,10.375,10.4375,7.0132,46000.0,0.0,1.0
1999-09-13,10.625,10.875,10.4375,10.5,7.0552,53200.0,0.0,1.0
1999-09-14,10.75,10.75,10.4375,10.5,7.0552,11000.0,0.0,1.0
1999-09-15,10.5,10.75,10.25,10.375,6.9713,8300.0,0.0,1.0
1999-09-16,10.375,10.375,10.0625,10.0625,6.7613,38500.0,0.0,1.0
1999-09-17,10.4688,10.625,10.25,10.5,7.0552,16300.0,0.0,1.0
1999-09-20,10.25,10.5,10.0625,10.25,6.8873,21700.0,0.0,1.0
1999-09-21,10.1563,10.5,10.125,10.5,7.0552,21300.0,0.0,1.0
1999-09-22,10.1563,10.5,10.0,10.5,7.0552,48000.0,0.0,1.0
1999-09-23,10.4063,10.5625,10.375,10.5,7.0552,146200.0,0.0,1.0
1999-09-24,10.5313,10.75,10.375,10.375,6.9713,11100.0,0.0,1.0
1999-09-27,10.5,10.75,10.375,10.5,7.0552,14100.0,0.0,1.0
1999-09-28,10.375,10.75,10.25,10.625,7.1392,14400.0,0.0,1.0
1999-09-29,10.75,10.75,10.125,10.25,6.8873,13200.0,0.0,1.0
