date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-12-15,57.15,63.78,52.47,63.0,58.6294,2749000.0,0.0,1.0
2004-12-16,67.32,71.58,63.0,66.78,62.1471,639400.0,0.0,1.0
2004-12-17,68.4,71.7,67.8,70.47,65.5811,221600.0,0.0,1.0
2004-12-20,73.98,75.75,68.52,68.7,63.9339,216100.0,0.0,1.0
2004-12-21,69.33,70.77,63.3,65.1,60.5837,179300.0,0.0,1.0
2004-12-22,63.78,66.9,63.78,64.5,60.0253,73700.0,0.0,1.0
2004-12-23,66.0,66.0,62.1,64.2,59.7461,91000.0,0.0,1.0
2004-12-27,63.63,65.25,63.63,63.78,59.3553,42400.0,0.0,1.0
2004-12-28,63.75,64.62,63.51,63.75,59.3273,43800.0,0.0,1.0
2004-12-29,63.75,71.97,63.75,70.8,65.8883,155600.0,0.0,1.0
2004-12-30,70.68,73.5,69.66,72.3,67.2842,129100.0,0.0,1.0
2004-12-31,71.67,72.75,69.84,70.86,65.9441,49700.0,0.0,1.0
2005-01-03,72.33,72.33,66.78,67.5,62.8172,81200.0,0.0,1.0
2005-01-04,69.3,69.3,62.25,63.87,59.439,148700.0,0.0,1.0
2005-01-05,62.67,64.2,62.4,63.45,59.0482,38600.0,0.0,1.0
2005-01-06,63.6,64.71,61.2,61.8,57.5126,24000.0,0.0,1.0
2005-01-07,61.14,62.37,59.4,61.5,57.2334,136400.0,0.0,1.0
2005-01-10,63.0,65.07,60.63,64.44,59.9695,33900.0,0.0,1.0
2005-01-11,64.5,65.25,61.65,62.73,58.3781,29900.0,0.0,1.0
2005-01-12,62.4,63.0,59.7,60.0,55.8375,138000.0,0.0,1.0
2005-01-13,60.0,62.4,60.0,60.45,56.2563,16900.0,0.0,1.0
2005-01-14,60.9,61.92,60.6,60.9,56.6751,37600.0,0.0,1.0
2005-01-18,60.6,61.59,59.73,60.75,56.5355,102400.0,0.0,1.0
2005-01-19,60.3,60.51,58.08,58.2,54.1624,89200.0,0.0,1.0
2005-01-20,57.84,59.34,51.06,54.75,50.9517,159700.0,0.0,1.0
2005-01-21,53.19,56.22,53.19,54.63,50.84,52900.0,0.0,1.0
2005-01-24,55.05,55.05,51.6,51.81,48.2157,56300.0,0.0,1.0
2005-01-25,51.3,53.79,51.27,53.7,49.9746,33000.0,0.0,1.0
2005-01-26,54.0,57.0,53.31,56.01,52.1243,46200.0,0.0,1.0
2005-01-27,57.51,57.75,55.35,57.75,53.7436,31400.0,0.0,1.0
2005-01-28,58.14,58.8,56.4,57.81,53.7994,27000.0,0.0,1.0
2005-01-31,59.04,62.58,59.04,62.4,58.071,70400.0,0.0,1.0
2005-02-01,62.4,67.5,62.4,66.45,61.84,101200.0,0.0,1.0
2005-02-02,69.3,69.3,64.95,66.0,61.4213,25500.0,0.0,1.0
2005-02-03,64.53,67.08,63.03,66.78,62.1471,22800.0,0.0,1.0
2005-02-04,69.6,69.81,67.35,68.4,63.6548,91700.0,0.0,1.0
2005-02-07,68.25,68.64,62.82,65.34,60.807,18800.0,0.0,1.0
2005-02-08,63.0,63.84,60.03,63.03,58.6573,20300.0,0.0,1.0
2005-02-09,63.75,66.48,62.94,65.25,60.7233,14300.0,0.0,1.0
2005-02-10,67.47,67.65,62.61,63.3,58.9086,14200.0,0.0,1.0
2005-02-11,62.85,63.51,61.8,62.88,58.5177,16900.0,0.0,1.0
2005-02-14,63.96,65.67,63.18,64.41,59.9416,18100.0,0.0,1.0
2005-02-15,64.68,64.68,62.04,63.45,59.0482,8700.0,0.0,1.0
2005-02-16,61.68,63.75,61.68,63.24,58.8527,12500.0,0.0,1.0
2005-02-17,62.37,62.37,60.6,60.6,56.3959,16300.0,0.0,1.0
2005-02-18,60.6,63.63,60.6,61.2,56.9543,11800.0,0.0,1.0
2005-02-22,63.57,63.57,61.5,63.0,58.6294,23800.0,0.0,1.0
2005-02-23,63.3,65.7,63.0,65.7,61.1421,47300.0,0.0,1.0
2005-02-24,60.57,60.57,54.69,55.23,51.3984,123800.0,0.0,1.0
2005-02-25,55.5,58.5,55.11,57.0,53.0456,60000.0,0.0,1.0
2005-02-28,57.75,57.75,54.0,54.36,50.5888,43600.0,0.0,1.0
2005-03-01,57.75,57.75,54.09,54.96,51.1472,51000.0,0.0,1.0
2005-03-02,56.97,57.75,54.6,56.13,52.236,56400.0,0.0,1.0
2005-03-03,57.3,58.35,56.7,57.18,53.2131,10600.0,0.0,1.0
2005-03-04,58.65,58.65,54.36,56.28,52.3756,39000.0,0.0,1.0
2005-03-07,56.1,58.35,55.53,56.94,52.9898,19300.0,0.0,1.0
2005-03-08,56.25,56.64,53.85,54.0,50.2537,55200.0,0.0,1.0
2005-03-09,54.0,55.5,51.84,53.25,49.5558,43900.0,0.0,1.0
2005-03-10,52.26,55.32,50.4,51.75,48.1598,55900.0,0.0,1.0
2005-03-11,51.15,52.23,50.85,51.3,47.7411,14900.0,0.0,1.0
2005-03-14,51.15,52.35,51.15,52.02,48.4111,45800.0,0.0,1.0
2005-03-15,52.35,53.16,52.02,52.56,48.9137,15300.0,0.0,1.0
2005-03-16,52.89,53.04,50.31,50.91,47.3781,20000.0,0.0,1.0
2005-03-17,51.0,52.02,50.55,51.15,47.6015,16900.0,0.0,1.0
2005-03-18,51.15,51.84,50.85,51.18,47.6294,7400.0,0.0,1.0
2005-03-21,51.45,51.45,50.25,50.55,47.0431,23700.0,0.0,1.0
2005-03-22,50.55,51.45,50.1,50.55,47.0431,19700.0,0.0,1.0
