date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,1.2448,1.2448,1.2448,1.2448,1.2448,32500.0,0.0,1.0
1999-08-11,1.2448,1.2448,1.2003,1.2003,1.2003,32500.0,0.0,1.0
1999-08-12,1.1781,1.2225,1.1558,1.2225,1.2225,13700.0,0.0,1.0
1999-08-13,1.2448,1.2448,1.1781,1.2448,1.2448,69500.0,0.0,1.0
1999-08-16,1.2448,1.267,1.2225,1.2448,1.2448,82100.0,0.0,1.0
1999-08-17,1.2225,1.267,1.1558,1.1558,1.1558,70900.0,0.0,1.0
1999-08-18,1.1114,1.2003,1.1114,1.2003,1.2003,14500.0,0.0,1.0
1999-08-19,1.2003,1.2003,1.1558,1.167,1.167,18100.0,0.0,1.0
1999-08-20,1.1558,1.1781,1.1558,1.1781,1.1781,16100.0,0.0,1.0
1999-08-23,1.1781,1.1892,1.1781,1.1892,1.1892,19900.0,0.0,1.0
1999-08-24,1.1781,1.1781,1.1558,1.167,1.167,54700.0,0.0,1.0
1999-08-25,1.1558,1.2003,1.1558,1.1558,1.1558,32300.0,0.0,1.0
1999-08-26,1.2003,1.2003,1.1558,1.1558,1.1558,40700.0,0.0,1.0
1999-08-27,1.1558,1.1781,1.1558,1.1781,1.1781,99100.0,0.0,1.0
1999-08-30,1.1558,1.1781,1.1336,1.1558,1.1558,53900.0,0.0,1.0
1999-08-31,1.1558,1.2003,1.1447,1.1892,1.1892,72100.0,0.0,1.0
1999-09-01,1.1781,1.2225,1.1781,1.2003,1.2003,43900.0,0.0,1.0
1999-09-02,1.1781,1.2448,1.1781,1.2003,1.2003,93500.0,0.0,1.0
1999-09-03,1.2003,1.2336,1.2003,1.2003,1.2003,25900.0,0.0,1.0
1999-09-07,1.2003,1.2336,1.1892,1.2003,1.2003,65900.0,0.0,1.0
1999-09-08,1.1336,1.2336,1.0892,1.2225,1.2225,154800.0,0.0,1.0
1999-09-09,1.2448,1.2892,1.2003,1.2892,1.2892,137900.0,0.0,1.0
1999-09-10,1.2781,1.3114,1.2336,1.267,1.267,60500.0,0.0,1.0
1999-09-13,1.2892,1.3337,1.2448,1.3337,1.3337,103700.0,0.0,1.0
1999-09-14,1.3337,1.3337,1.267,1.267,1.267,57500.0,0.0,1.0
1999-09-15,1.2448,1.3114,1.2225,1.2448,1.2448,79300.0,0.0,1.0
