date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-02-28,30.51,30.72,30.51,30.72,26.1382,200.0,0.0,1.0
2012-02-29,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-01,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-02,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-05,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-06,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-07,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-08,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-09,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-12,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-13,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-14,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-15,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-16,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-19,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-20,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-21,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-22,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-23,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-26,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-27,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-28,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-29,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-03-30,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-02,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-03,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-04,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-05,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-09,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-10,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-11,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-12,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-13,30.72,30.72,30.72,30.72,26.1382,0.0,0.0,1.0
2012-04-16,29.53,29.53,29.53,29.53,25.1257,200.0,0.0,1.0
2012-04-17,29.53,29.53,29.53,29.53,25.1257,0.0,0.0,1.0
2012-04-18,29.53,29.53,29.53,29.53,25.1257,0.0,0.0,1.0
2012-04-19,29.53,29.53,29.53,29.53,25.1257,0.0,0.0,1.0
2012-04-20,29.53,29.53,29.53,29.53,25.1257,0.0,0.0,1.0
2012-04-23,28.54,28.54,28.54,28.54,24.2833,100.0,0.0,1.0
2012-04-24,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-04-25,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-04-26,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-04-27,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-04-30,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-05-01,28.54,28.54,28.54,28.54,24.2833,0.0,0.0,1.0
2012-05-02,29.68,29.68,29.68,29.68,25.2533,200.0,0.0,1.0
2012-05-03,29.73,29.73,29.73,29.73,25.2958,200.0,0.0,1.0
2012-05-04,29.73,29.73,29.73,29.73,25.2958,0.0,0.0,1.0
2012-05-07,29.73,29.73,29.73,29.73,25.2958,0.0,0.0,1.0
2012-05-08,29.73,29.73,29.73,29.73,25.2958,0.0,0.0,1.0
2012-05-09,28.82,28.82,28.82,28.82,24.5216,100.0,0.0,1.0
2012-05-10,28.82,28.82,28.82,28.82,24.5216,0.0,0.0,1.0
2012-05-11,28.82,28.82,28.82,28.82,24.5216,0.0,0.0,1.0
2012-05-14,28.82,28.82,28.82,28.82,24.5216,0.0,0.0,1.0
2012-05-15,28.82,28.82,28.82,28.82,24.5216,0.0,0.0,1.0
2012-05-16,28.82,28.82,28.82,28.82,24.5216,0.0,0.0,1.0
2012-05-17,27.95,27.98,27.9,27.9,23.7388,600.0,0.0,1.0
2012-05-18,27.9,27.9,27.9,27.9,23.7388,0.0,0.0,1.0
2012-05-21,27.9,27.9,27.9,27.9,23.7388,0.0,0.0,1.0
2012-05-22,27.9,27.9,27.9,27.9,23.7388,0.0,0.0,1.0
2012-05-23,27.9,27.9,27.9,27.9,23.7388,0.0,0.0,1.0
2012-05-24,27.27,27.27,27.27,27.27,23.2027,300.0,0.0,1.0
2012-05-25,27.04,27.04,27.04,27.04,23.007,200.0,0.0,1.0
2012-05-29,27.04,27.04,27.04,27.04,23.007,0.0,0.0,1.0
2012-05-30,27.04,27.04,27.04,27.04,23.007,0.0,0.0,1.0
2012-05-31,27.04,27.04,27.04,27.04,23.007,0.0,0.0,1.0
