date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-03-25,24.73,25.92,24.6,24.81,17.188,1431900.0,0.0,1.0
2015-03-26,24.85,25.3,24.76,24.84,17.2088,1107800.0,0.0,1.0
2015-03-27,24.85,25.4,24.83,24.92,17.2642,753400.0,0.0,1.0
2015-03-30,24.9,24.95,24.85,24.9,17.2504,642800.0,0.0,1.0
2015-03-31,24.92,24.97,24.9,24.92,17.2642,281100.0,0.0,1.0
2015-04-01,24.94,24.97,24.87,24.92,17.2642,252200.0,0.0,1.0
2015-04-02,24.92,24.93,24.87,24.9,17.2504,98000.0,0.0,1.0
2015-04-06,24.87,24.88,24.79,24.82,17.1949,107100.0,0.0,1.0
2015-04-07,24.84,24.89,24.82,24.87,17.2296,117800.0,0.0,1.0
2015-04-08,24.82,24.88,24.81,24.83,17.2019,109500.0,0.0,1.0
2015-04-09,24.84,24.84,24.76,24.78,17.1672,71600.0,0.0,1.0
2015-04-10,24.81,24.81,24.74,24.78,17.1672,37900.0,0.0,1.0
2015-04-13,24.82,24.82,24.7,24.76,17.1534,129800.0,0.0,1.0
2015-04-14,24.73,24.87,24.73,24.87,17.2296,127100.0,0.0,1.0
2015-04-15,24.9,24.9,24.83,24.85,17.2157,92700.0,0.0,1.0
2015-04-16,24.89,24.89,24.81,24.85,17.2157,76900.0,0.0,1.0
2015-04-17,24.86,24.89,24.82,24.85,17.2157,38800.0,0.0,1.0
2015-04-20,24.85,24.88,24.81,24.83,17.2019,37000.0,0.0,1.0
2015-04-21,24.85,24.88,24.83,24.83,17.2019,41900.0,0.0,1.0
2015-04-22,24.88,24.88,24.7,24.75,17.1464,104700.0,0.0,1.0
2015-04-23,24.8,24.83,24.75,24.78,17.1672,41800.0,0.0,1.0
2015-04-24,24.85,24.95,24.771,24.839,17.2081,127500.0,0.0,1.0
2015-04-27,24.83,24.9,24.8,24.841,17.2095,24600.0,0.0,1.0
2015-04-28,24.85,24.9,24.81,24.85,17.2157,38200.0,0.0,1.0
2015-04-29,24.81,24.83,24.75,24.78,17.1672,26100.0,0.0,1.0
2015-04-30,24.75,24.823,24.62,24.69,17.1049,31400.0,0.0,1.0
2015-05-01,24.7,24.74,24.48,24.66,17.0841,21300.0,0.0,1.0
2015-05-04,24.65,24.697,24.54,24.697,17.1097,10300.0,0.0,1.0
2015-05-05,24.703,24.8,24.61,24.8,17.1811,38400.0,0.0,1.0
2015-05-06,24.8,24.8,24.36,24.5,16.9733,59100.0,0.0,1.0
2015-05-07,24.41,24.6,24.28,24.49,16.9663,24100.0,0.0,1.0
2015-05-08,24.6,24.7,24.5,24.6,17.0425,30500.0,0.0,1.0
2015-05-11,24.6,24.7,24.51,24.7,17.1118,34100.0,0.0,1.0
2015-05-12,24.65,24.7,24.5,24.7,17.1118,19800.0,0.0,1.0
2015-05-13,24.73,24.8,24.59,24.795,17.1776,30600.0,0.0,1.0
2015-05-14,24.71,24.89,24.71,24.88,17.2365,15800.0,0.0,1.0
2015-05-15,24.89,24.89,24.77,24.8,17.1811,20800.0,0.0,1.0
2015-05-18,24.85,24.93,24.85,24.92,17.2642,30600.0,0.0,1.0
2015-05-19,24.9,24.9,24.84,24.9,17.2504,25900.0,0.0,1.0
2015-05-20,24.862,24.9,24.75,24.86,17.2227,46500.0,0.0,1.0
2015-05-21,24.86,24.89,24.8,24.8,17.1811,43300.0,0.0,1.0
2015-05-22,24.9,24.94,24.83,24.9,17.2504,93700.0,0.0,1.0
2015-05-26,24.95,24.95,24.85,24.85,17.2157,21100.0,0.0,1.0
2015-05-27,24.86,25.01,24.85,24.96,17.2919,47900.0,0.0,1.0
2015-05-28,24.87,24.969,24.8,24.911,17.258,44000.0,0.0,1.0
2015-05-29,24.83,24.97,24.81,24.81,17.188,20400.0,0.0,1.0
2015-06-01,24.88,24.95,24.84,24.87,17.2296,8200.0,0.0,1.0
