date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,35.0,35.0,33.75,34.0625,34.0625,700.0,0.0,1.0
1999-08-11,34.0625,36.875,32.5,33.75,33.75,1700.0,0.0,1.0
1999-08-12,35.9375,37.5,32.5,32.5,32.5,600.0,0.0,1.0
1999-08-13,35.3125,37.5,31.875,32.5,32.5,1000.0,0.0,1.0
1999-08-16,35.0,36.875,34.375,34.375,34.375,300.0,0.0,1.0
1999-08-17,36.25,36.25,33.75,33.75,33.75,900.0,0.0,1.0
1999-08-18,35.0,35.0,33.75,34.0625,34.0625,100.0,0.0,1.0
1999-08-19,35.0,38.75,31.875,32.5,32.5,3600.0,0.0,1.0
1999-08-20,32.5,32.5,32.5,32.5,32.5,0.0,0.0,1.0
1999-08-23,37.5,37.5,35.0,35.0,35.0,2000.0,0.0,1.0
1999-08-24,35.625,36.25,33.75,35.0,35.0,600.0,0.0,1.0
1999-08-25,33.75,33.75,32.5,32.5,32.5,600.0,0.0,1.0
1999-08-26,35.0,35.0,29.0625,30.0,30.0,1500.0,0.0,1.0
1999-08-27,34.375,34.375,34.375,34.375,34.375,0.0,0.0,1.0
1999-08-30,35.9375,35.9375,30.625,30.625,30.625,1700.0,0.0,1.0
1999-08-31,31.5625,34.375,31.25,34.375,34.375,100.0,0.0,1.0
1999-09-01,33.75,33.75,30.0,30.0,30.0,3000.0,0.0,1.0
1999-09-02,31.5625,31.875,30.0,30.625,30.625,1100.0,0.0,1.0
1999-09-03,30.0,33.125,30.0,32.5,32.5,600.0,0.0,1.0
1999-09-07,31.25,31.25,27.5,30.0,30.0,500.0,0.0,1.0
1999-09-08,30.0,35.0,30.0,34.375,34.375,1700.0,0.0,1.0
1999-09-09,36.5625,49.375,34.375,43.125,43.125,28500.0,0.0,1.0
1999-09-10,42.5,42.5,35.625,39.375,39.375,11600.0,0.0,1.0
1999-09-13,38.125,40.0,37.5,37.5,37.5,3300.0,0.0,1.0
1999-09-14,37.5,42.5,37.5,40.0,40.0,3400.0,0.0,1.0
1999-09-15,40.625,45.0,40.0,40.625,40.625,8900.0,0.0,1.0
1999-09-16,42.5,42.5,39.375,40.0,40.0,1200.0,0.0,1.0
1999-09-17,45.3125,45.7813,38.75,38.75,38.75,3400.0,0.0,1.0
1999-09-20,41.25,45.0,38.4375,42.5,42.5,3700.0,0.0,1.0
1999-09-21,41.875,45.0,41.5625,45.0,45.0,3300.0,0.0,1.0
1999-09-22,42.5,43.75,41.25,43.125,43.125,1700.0,0.0,1.0
1999-09-23,43.75,45.0,42.5,42.5,42.5,2700.0,0.0,1.0
1999-09-24,41.25,44.375,37.5,41.875,41.875,800.0,0.0,1.0
1999-09-27,42.5,42.5,37.5,40.0,40.0,6500.0,0.0,1.0
1999-09-28,35.625,39.6875,30.625,35.0,35.0,6200.0,0.0,1.0
1999-09-29,35.0,40.0,33.75,35.0,35.0,2700.0,0.0,1.0
1999-09-30,33.4375,35.3125,32.5,35.3125,35.3125,400.0,0.0,1.0
1999-10-01,36.875,37.5,32.5,36.875,36.875,1500.0,0.0,1.0
1999-10-04,35.0,37.5,35.0,37.5,37.5,1100.0,0.0,1.0
1999-10-05,37.5,40.0,36.25,36.25,36.25,1000.0,0.0,1.0
1999-10-06,36.875,36.875,35.0,35.0,35.0,400.0,0.0,1.0
1999-10-07,35.0,39.375,32.5,38.75,38.75,4500.0,0.0,1.0
1999-10-08,38.4375,38.4375,35.625,35.625,35.625,200.0,0.0,1.0
1999-10-11,37.5,37.5,33.125,33.125,33.125,3800.0,0.0,1.0
1999-10-12,33.125,35.0,31.25,33.75,33.75,1400.0,0.0,1.0
1999-10-13,36.25,36.25,31.25,31.25,31.25,400.0,0.0,1.0
1999-10-14,35.0,35.0,32.5,32.5,32.5,200.0,0.0,1.0
1999-10-15,32.5,32.5,31.875,31.875,31.875,100.0,0.0,1.0
1999-10-18,30.9375,35.0,30.625,34.375,34.375,600.0,0.0,1.0
1999-10-19,31.25,36.25,30.625,35.0,35.0,1500.0,0.0,1.0
1999-10-20,32.5,35.625,31.25,35.0,35.0,2600.0,0.0,1.0
1999-10-21,34.375,35.0,33.125,35.0,35.0,700.0,0.0,1.0
1999-10-22,33.125,33.75,33.125,33.125,33.125,600.0,0.0,1.0
1999-10-25,33.125,33.125,33.125,33.125,33.125,100.0,0.0,1.0
1999-10-26,34.6875,41.25,34.375,41.25,41.25,13300.0,0.0,1.0
1999-10-27,33.75,38.75,32.5,38.125,38.125,2800.0,0.0,1.0
1999-10-28,35.0,39.375,35.0,38.75,38.75,3500.0,0.0,1.0
1999-10-29,35.625,35.625,35.625,35.625,35.625,0.0,0.0,1.0
1999-11-01,35.625,35.625,35.3125,35.3125,35.3125,300.0,0.0,1.0
1999-11-02,35.0,35.625,35.0,35.625,35.625,800.0,0.0,1.0
1999-11-03,35.3125,35.3125,32.5,33.75,33.75,1300.0,0.0,1.0
1999-11-04,33.125,33.75,32.5,33.75,33.75,400.0,0.0,1.0
1999-11-05,36.25,38.75,34.375,37.1875,37.1875,5100.0,0.0,1.0
1999-11-08,35.7813,36.875,33.75,35.0,35.0,1600.0,0.0,1.0
1999-11-09,35.9375,35.9375,33.75,34.375,34.375,800.0,0.0,1.0
1999-11-10,33.75,35.0,33.75,34.375,34.375,1200.0,0.0,1.0
1999-11-11,34.5313,34.5313,33.75,33.75,33.75,500.0,0.0,1.0
1999-11-12,35.0,35.625,33.75,35.0,35.0,1900.0,0.0,1.0
1999-11-15,38.125,45.0,36.25,45.0,45.0,14300.0,0.0,1.0
1999-11-16,46.875,48.75,41.25,44.375,44.375,9900.0,0.0,1.0
1999-11-17,48.125,49.375,40.3125,44.375,44.375,3700.0,0.0,1.0
1999-11-18,41.875,41.875,39.375,41.25,41.25,1400.0,0.0,1.0
1999-11-19,43.125,44.375,36.25,37.5,37.5,4000.0,0.0,1.0
1999-11-22,40.9375,44.375,38.125,38.125,38.125,1600.0,0.0,1.0
1999-11-23,38.125,42.5,37.5,42.5,42.5,4100.0,0.0,1.0
1999-11-24,42.5,44.375,41.25,44.375,44.375,1800.0,0.0,1.0
1999-11-26,43.75,45.0,41.25,41.25,41.25,2700.0,0.0,1.0
1999-11-29,42.8125,48.125,42.8125,46.875,46.875,5700.0,0.0,1.0
1999-11-30,47.1875,50.0,41.25,45.0,45.0,5300.0,0.0,1.0
1999-12-01,48.125,52.5,46.875,50.0,50.0,8900.0,0.0,1.0
1999-12-02,51.25,69.375,51.25,57.5,57.5,14500.0,0.0,1.0
1999-12-03,53.125,65.0,52.5,58.75,58.75,14600.0,0.0,1.0
1999-12-06,59.375,60.0,50.0,53.75,53.75,4400.0,0.0,1.0
1999-12-07,54.0625,54.375,50.0,51.875,51.875,1800.0,0.0,1.0
1999-12-08,62.5,63.75,50.0,52.5,52.5,15600.0,0.0,1.0
1999-12-09,56.25,58.75,50.625,53.75,53.75,2700.0,0.0,1.0
1999-12-10,55.0,60.0,53.75,57.5,57.5,4700.0,0.0,1.0
1999-12-13,57.9688,65.0,57.8125,65.0,65.0,9400.0,0.0,1.0
1999-12-14,65.0,94.375,61.25,85.0,85.0,23100.0,0.0,1.0
1999-12-15,85.0,85.0,70.0,72.5,72.5,7000.0,0.0,1.0
1999-12-16,75.9375,80.0,70.0,72.5,72.5,3700.0,0.0,1.0
1999-12-17,69.375,71.25,53.75,68.75,68.75,7900.0,0.0,1.0
1999-12-20,68.75,73.125,63.125,70.0,70.0,3600.0,0.0,1.0
1999-12-21,69.0625,70.9375,67.5,67.5,67.5,900.0,0.0,1.0
1999-12-22,67.3438,72.5,62.5,63.75,63.75,2000.0,0.0,1.0
1999-12-23,61.25,71.25,55.0,62.5,62.5,3600.0,0.0,1.0
1999-12-27,53.125,62.5,53.125,60.0,60.0,1200.0,0.0,1.0
1999-12-28,55.0,59.6875,53.75,53.75,53.75,3500.0,0.0,1.0
1999-12-29,59.0625,62.5,57.5,61.875,61.875,2000.0,0.0,1.0
1999-12-30,57.5,60.0,57.5,59.375,59.375,1000.0,0.0,1.0
1999-12-31,58.75,60.0,57.5,60.0,60.0,900.0,0.0,1.0
2000-01-03,63.75,65.625,60.625,63.75,63.75,2500.0,0.0,1.0
2000-01-04,61.25,77.5,61.25,74.375,74.375,5600.0,0.0,1.0
2000-01-05,81.875,82.5,65.0,71.25,71.25,6500.0,0.0,1.0
2000-01-06,73.75,82.5,70.0,77.5,77.5,4300.0,0.0,1.0
2000-01-07,86.25,87.5,77.5,82.5,82.5,5700.0,0.0,1.0
2000-01-10,83.75,88.75,75.0,79.375,79.375,8000.0,0.0,1.0
