date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.75,3.75,3.75,3.75,2.742,0.0,0.0,1.0
1999-08-11,3.6875,3.6875,3.625,3.625,2.6506,1000.0,0.0,1.0
1999-08-12,3.6875,3.6875,3.625,3.625,2.6506,3400.0,0.0,1.0
1999-08-13,3.625,3.625,3.625,3.625,2.6506,0.0,0.0,1.0
1999-08-16,3.5625,3.5625,3.5,3.5,2.5592,4800.0,0.0,1.0
1999-08-17,3.5,3.5,3.5,3.5,2.5592,1000.0,0.0,1.0
1999-08-18,3.5,3.5,3.375,3.4375,2.5135,7400.0,0.0,1.0
1999-08-19,3.375,3.375,3.3125,3.3125,2.4221,6200.0,0.0,1.0
1999-08-20,3.25,3.3125,3.25,3.3125,2.4221,2200.0,0.0,1.0
1999-08-23,3.3125,3.3125,3.3125,3.3125,2.4221,0.0,0.0,1.0
1999-08-24,3.3125,3.3125,3.3125,3.3125,2.4221,0.0,0.0,1.0
1999-08-25,3.25,3.25,3.1563,3.1875,2.3307,4800.0,0.0,1.0
1999-08-26,3.1875,3.1875,3.1875,3.1875,2.3307,800.0,0.0,1.0
1999-08-27,3.1875,3.1875,3.1875,3.1875,2.3307,2200.0,0.0,1.0
1999-08-30,3.1875,3.1875,3.1875,3.1875,2.3307,1200.0,0.0,1.0
1999-08-31,3.1875,3.1875,3.1875,3.1875,2.3307,4000.0,0.0,1.0
1999-09-01,3.3125,3.3125,3.2813,3.2813,2.3992,6000.0,0.0,1.0
1999-09-02,3.25,3.2813,3.25,3.2813,2.3992,2000.0,0.0,1.0
1999-09-03,3.4063,3.4063,3.4063,3.4063,2.4906,2000.0,0.0,1.0
1999-09-07,3.4063,3.4063,3.4063,3.4063,2.4906,400.0,0.0,1.0
1999-09-08,3.4688,3.4688,3.375,3.4063,2.4906,1400.0,0.0,1.0
1999-09-09,3.5,3.5,3.4688,3.4688,2.5363,13000.0,0.0,1.0
1999-09-10,3.375,3.5,3.375,3.5,2.5592,16400.0,0.0,1.0
1999-09-13,3.5,3.5,3.5,3.5,2.5592,0.0,0.0,1.0
1999-09-14,3.5625,3.5625,3.5,3.5,2.5592,800.0,0.0,1.0
1999-09-15,3.5,3.5,3.5,3.5,2.5592,4000.0,0.0,1.0
1999-09-16,3.5,3.5,3.5,3.5,2.5592,2000.0,0.0,1.0
1999-09-17,3.5,3.5,3.5,3.5,2.5592,0.0,0.0,1.0
1999-09-20,3.5,3.5938,3.5,3.5938,2.6277,16000.0,0.0,1.0
1999-09-21,3.6875,3.6875,3.6875,3.6875,2.6963,12000.0,0.0,1.0
1999-09-22,3.75,3.75,3.75,3.75,2.742,1000.0,0.0,1.0
1999-09-23,3.75,3.7813,3.75,3.7813,2.7648,1400.0,0.0,1.0
1999-09-24,3.75,3.75,3.6875,3.6875,2.6963,1000.0,0.0,1.0
1999-09-27,3.6875,3.6875,3.6875,3.6875,2.6963,0.0,0.0,1.0
1999-09-28,3.6875,3.6875,3.5,3.5,2.5592,2600.0,0.0,1.0
1999-09-29,3.5,3.5,3.3125,3.5,2.5592,6000.0,0.0,1.0
1999-09-30,3.375,3.625,3.375,3.5313,2.582,26000.0,0.0,1.0
1999-10-01,3.5313,3.5313,3.5313,3.5313,2.582,0.0,0.0,1.0
1999-10-04,3.5313,3.5313,3.5313,3.5313,2.582,200.0,0.0,1.0
1999-10-05,3.625,3.625,3.5,3.5,2.5592,7000.0,0.0,1.0
1999-10-06,3.4688,3.5625,3.4688,3.5,2.5592,17400.0,0.0,1.0
1999-10-07,3.5,3.5,3.5,3.5,2.5592,7600.0,0.0,1.0
1999-10-08,3.5,3.5,3.5,3.5,2.5592,0.0,0.0,1.0
1999-10-11,3.4375,3.4375,3.4375,3.4375,2.5135,800.0,0.0,1.0
1999-10-12,3.4375,3.4375,3.4375,3.4375,2.5135,0.0,0.0,1.0
1999-10-13,3.4375,3.4375,3.4375,3.4375,2.5135,0.0,0.0,1.0
1999-10-14,3.4375,3.4375,3.4375,3.4375,2.5135,0.0,0.0,1.0
1999-10-15,3.3125,3.375,3.3125,3.375,2.4678,1200.0,0.0,1.0
1999-10-18,3.375,3.375,3.375,3.375,2.4678,0.0,0.0,1.0
1999-10-19,3.3125,3.3125,3.25,3.3125,2.4221,12000.0,0.0,1.0
1999-10-20,3.25,3.25,3.0625,3.0625,2.2393,5800.0,0.0,1.0
1999-10-21,3.0625,3.0625,3.0313,3.0313,2.2164,2200.0,0.0,1.0
1999-10-22,3.0313,3.0625,3.0313,3.0625,2.2393,3200.0,0.0,1.0
1999-10-25,3.0313,3.0313,3.0,3.0,2.1936,8400.0,0.0,1.0
1999-10-26,3.0,3.125,2.9375,3.125,2.285,22000.0,0.0,1.0
1999-10-27,3.125,3.125,3.0,3.0,2.1936,10200.0,0.0,1.0
1999-10-28,2.9375,2.9375,2.9375,2.9375,2.1479,200.0,0.0,1.0
1999-10-29,2.9688,3.0,2.9688,3.0,2.1936,3200.0,0.0,1.0
1999-11-01,3.0,3.0,3.0,3.0,2.1936,0.0,0.0,1.0
1999-11-02,2.9375,2.9375,2.875,2.9375,2.1479,7000.0,0.0,1.0
1999-11-03,2.9375,3.0,2.9375,3.0,2.1936,22200.0,0.0,1.0
1999-11-04,3.0,3.0,3.0,3.0,2.1936,27400.0,0.0,1.0
1999-11-05,3.0625,3.0625,3.0,3.0,2.1936,1200.0,0.0,1.0
1999-11-08,2.9688,2.9688,2.9063,2.9063,2.125,4600.0,0.0,1.0
1999-11-09,2.875,2.875,2.875,2.875,2.1022,800.0,0.0,1.0
1999-11-10,2.7813,2.7813,2.7813,2.7813,2.0336,11800.0,0.0,1.0
1999-11-11,2.7813,2.8125,2.7813,2.7813,2.0336,5800.0,0.0,1.0
1999-11-12,2.75,2.8438,2.75,2.8438,2.0793,10600.0,0.0,1.0
1999-11-15,2.8125,2.8125,2.8125,2.8125,2.0565,400.0,0.0,1.0
1999-11-16,2.875,2.9375,2.8125,2.8125,2.0565,7600.0,0.0,1.0
1999-11-17,2.875,2.875,2.625,2.75,2.0108,16000.0,0.0,1.0
1999-11-18,2.8125,2.8125,2.8125,2.8125,2.0565,1000.0,0.0,1.0
1999-11-19,2.875,2.875,2.875,2.875,2.1022,13800.0,0.0,1.0
1999-11-22,2.8125,3.0625,2.8125,3.0625,2.2393,27000.0,0.0,1.0
1999-11-23,3.0,3.0,3.0,3.0,2.1936,31600.0,0.0,1.0
1999-11-24,3.0,3.125,3.0,3.125,2.285,5200.0,0.0,1.0
1999-11-26,3.125,3.125,3.125,3.125,2.285,400.0,0.0,1.0
1999-11-29,3.0938,3.125,3.0625,3.125,2.285,5400.0,0.0,1.0
1999-11-30,3.25,3.25,3.125,3.1875,2.3307,5800.0,0.0,1.0
1999-12-01,3.0625,3.0625,3.0625,3.0625,2.3576,4600.0,0.16,1.0
1999-12-02,3.0938,3.2188,3.0625,3.0625,2.3576,2800.0,0.0,1.0
1999-12-03,3.0625,3.0938,3.0625,3.0938,2.3817,2800.0,0.0,1.0
1999-12-06,3.1875,3.1875,3.1875,3.1875,2.4538,1400.0,0.0,1.0
1999-12-07,3.25,3.375,3.2188,3.375,2.5982,9000.0,0.0,1.0
1999-12-08,3.3125,3.375,3.3125,3.3125,2.5501,6600.0,0.0,1.0
1999-12-09,3.4375,3.5625,3.4375,3.4375,2.6463,25400.0,0.0,1.0
1999-12-10,3.5625,3.625,3.5,3.625,2.7906,17600.0,0.0,1.0
1999-12-13,3.5,3.5625,3.5,3.5625,2.7425,29000.0,0.0,1.0
1999-12-14,3.5938,3.5938,3.5938,3.5938,2.7666,6400.0,0.0,1.0
1999-12-15,3.5938,3.625,3.5938,3.5938,2.7666,3000.0,0.0,1.0
1999-12-16,3.5625,3.5625,3.5,3.5625,2.7425,15400.0,0.0,1.0
1999-12-17,3.5625,3.5625,3.5313,3.5313,2.7185,1800.0,0.0,1.0
1999-12-20,3.5,3.75,3.5,3.75,2.8869,36200.0,0.0,1.0
1999-12-21,3.6875,3.75,3.6875,3.6875,2.8388,12800.0,0.0,1.0
1999-12-22,3.625,3.75,3.625,3.75,2.8869,6200.0,0.0,1.0
1999-12-23,3.8125,3.8125,3.6875,3.6875,2.8388,2800.0,0.0,1.0
1999-12-27,3.6875,3.6875,3.6875,3.6875,2.8388,1200.0,0.0,1.0
1999-12-28,3.6875,3.6875,3.6875,3.6875,2.8388,0.0,0.0,1.0
1999-12-29,3.6875,3.6875,3.6875,3.6875,2.8388,1000.0,0.0,1.0
1999-12-30,3.625,3.75,3.625,3.75,2.8869,4800.0,0.0,1.0
1999-12-31,3.75,3.75,3.75,3.75,2.8869,0.0,0.0,1.0
2000-01-03,3.7188,3.875,3.7188,3.875,2.9831,2400.0,0.0,1.0
2000-01-04,3.75,3.75,3.625,3.75,2.8869,21000.0,0.0,1.0
2000-01-05,3.75,3.75,3.75,3.75,2.8869,800.0,0.0,1.0
2000-01-06,3.75,3.75,3.75,3.75,2.8869,0.0,0.0,1.0
2000-01-07,3.875,3.9375,3.875,3.9375,3.0312,1400.0,0.0,1.0
2000-01-10,3.9375,4.0,3.9375,4.0,3.0793,21000.0,0.0,1.0
2000-01-11,4.0,4.1875,4.0,4.125,3.1756,36800.0,0.0,1.0
2000-01-12,4.1875,4.1875,4.1875,4.1875,3.2237,3000.0,0.0,1.0
2000-01-13,4.2188,4.3125,4.2188,4.3125,3.3199,6600.0,0.0,1.0
2000-01-14,4.4375,4.75,4.4375,4.6875,3.6086,57000.0,0.0,1.0
2000-01-18,4.8125,4.8125,4.625,4.6563,3.5845,13400.0,0.0,1.0
2000-01-19,4.6563,4.6875,4.6563,4.6875,3.6086,7200.0,0.0,1.0
2000-01-20,4.625,4.75,4.625,4.6875,3.6086,3200.0,0.0,1.0
2000-01-21,4.625,4.625,4.625,4.625,3.5605,1600.0,0.0,1.0
2000-01-24,4.5625,4.5625,4.5,4.5,3.4642,9200.0,0.0,1.0
2000-01-25,4.5,4.5625,4.5,4.5,3.4642,72800.0,0.0,1.0
2000-01-26,4.5,4.625,4.5,4.625,3.5605,11000.0,0.0,1.0
2000-01-27,4.5,4.625,4.5,4.5625,3.5124,3800.0,0.0,1.0
2000-01-28,4.625,4.625,4.4688,4.5625,3.5124,13800.0,0.0,1.0
2000-01-31,4.5,4.5625,4.4375,4.5,3.4642,5200.0,0.0,1.0
2000-02-01,4.4375,4.4375,4.25,4.25,3.2718,5200.0,0.0,1.0
2000-02-02,4.25,4.25,4.25,4.25,3.2718,0.0,0.0,1.0
2000-02-03,4.3125,4.3125,4.125,4.125,3.1756,4400.0,0.0,1.0
2000-02-04,4.0625,4.0938,4.0,4.0938,3.1515,7400.0,0.0,1.0
2000-02-07,4.0625,4.0625,3.9375,4.0,3.0793,2000.0,0.0,1.0
2000-02-08,4.0,4.0,3.9688,3.9688,3.0553,600.0,0.0,1.0
2000-02-09,3.8438,3.8438,3.8125,3.8125,2.935,9000.0,0.0,1.0
2000-02-10,3.75,3.75,3.75,3.75,2.8869,5000.0,0.0,1.0
2000-02-11,3.625,3.6563,3.5625,3.6563,2.8147,7200.0,0.0,1.0
2000-02-14,3.5938,3.6563,3.5938,3.625,2.7906,3800.0,0.0,1.0
2000-02-15,3.625,3.6563,3.625,3.6563,2.8147,1200.0,0.0,1.0
2000-02-16,3.5313,3.5313,3.5,3.5,2.6944,4400.0,0.0,1.0
2000-02-17,3.5,3.5938,3.5,3.5938,2.7666,16000.0,0.0,1.0
2000-02-18,3.6875,3.6875,3.5625,3.5625,2.7425,8800.0,0.0,1.0
2000-02-22,3.5,3.625,3.5,3.625,2.7906,8000.0,0.0,1.0
2000-02-23,3.625,3.625,3.625,3.625,2.7906,0.0,0.0,1.0
2000-02-24,3.5313,3.625,3.5,3.625,2.7906,14600.0,0.0,1.0
2000-02-25,3.6875,3.6875,3.5625,3.6875,2.8388,8600.0,0.0,1.0
2000-02-28,3.6875,3.6875,3.6875,3.6875,2.8388,0.0,0.0,1.0
2000-02-29,3.7813,3.875,3.7813,3.875,2.9831,6600.0,0.0,1.0
2000-03-01,3.875,3.875,3.6875,3.75,2.8869,6600.0,0.0,1.0
2000-03-02,3.7813,3.7813,3.7188,3.7813,2.9109,1600.0,0.0,1.0
2000-03-03,3.6875,3.875,3.6875,3.875,2.9831,29800.0,0.0,1.0
2000-03-06,3.8125,3.8125,3.625,3.625,2.7906,14400.0,0.0,1.0
2000-03-07,3.7188,3.75,3.6563,3.75,2.8869,8400.0,0.0,1.0
2000-03-08,3.75,3.75,3.625,3.75,2.8869,15400.0,0.0,1.0
2000-03-09,3.6875,3.6875,3.6563,3.6563,2.8147,4000.0,0.0,1.0
2000-03-10,3.6875,3.6875,3.6875,3.6875,2.8388,600.0,0.0,1.0
2000-03-13,3.6875,3.6875,3.6875,3.6875,2.8388,0.0,0.0,1.0
2000-03-14,3.7813,4.0625,3.6875,3.75,2.8869,25600.0,0.0,1.0
2000-03-15,3.875,3.875,3.75,3.75,2.8869,2800.0,0.0,1.0
2000-03-16,3.6875,3.7813,3.6563,3.7813,2.9109,8000.0,0.0,1.0
2000-03-17,3.7188,3.7188,3.6875,3.6875,2.8388,3600.0,0.0,1.0
2000-03-20,3.6563,3.75,3.6563,3.7188,2.8628,8400.0,0.0,1.0
2000-03-21,3.6563,3.6875,3.6563,3.6875,2.8388,3600.0,0.0,1.0
2000-03-22,3.625,3.6563,3.625,3.625,2.7906,10200.0,0.0,1.0
2000-03-23,3.5625,3.8125,3.5625,3.75,2.8869,9000.0,0.0,1.0
2000-03-24,3.75,3.75,3.75,3.75,2.8869,2600.0,0.0,1.0
2000-03-27,3.75,3.75,3.75,3.75,2.8869,2000.0,0.0,1.0
2000-03-28,3.625,3.625,3.5625,3.5625,2.7425,3000.0,0.0,1.0
2000-03-29,3.5625,3.5625,3.5625,3.5625,2.7425,0.0,0.0,1.0
2000-03-30,3.5625,3.5625,3.5625,3.5625,2.7425,0.0,0.0,1.0
2000-03-31,3.5625,3.5625,3.5625,3.5625,2.7425,0.0,0.0,1.0
2000-04-03,3.5938,3.5938,3.4688,3.5,2.6944,7600.0,0.0,1.0
2000-04-04,3.5,3.5,3.5,3.5,2.6944,6800.0,0.0,1.0
2000-04-05,3.5,3.5,3.5,3.5,2.6944,0.0,0.0,1.0
2000-04-06,3.5,3.5625,3.5,3.5,2.6944,9600.0,0.0,1.0
