date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,1.6875,1.7813,1.6771,1.7083,1.576,5301600.0,0.0,1.0
1999-08-11,1.7396,1.8438,1.7188,1.8229,1.6817,4942800.0,0.0,1.0
1999-08-12,1.8333,1.9583,1.8229,1.9115,1.7634,5990400.0,0.0,1.0
1999-08-13,1.8958,1.9323,1.875,1.8906,1.7441,2116800.0,0.0,1.0
1999-08-16,1.9063,1.9063,1.7552,1.8177,1.6769,5586000.0,0.0,1.0
1999-08-17,1.8229,1.8542,1.776,1.8229,1.6817,4838400.0,0.0,1.0
1999-08-18,1.8021,1.8854,1.7656,1.8646,1.7201,6997200.0,0.0,1.0
1999-08-19,1.9948,2.3646,1.9271,2.2604,2.0853,49174800.0,0.0,1.0
1999-08-20,2.2656,2.2813,2.1563,2.2396,2.0661,8827200.0,0.0,1.0
1999-08-23,2.2083,2.2083,2.0313,2.1042,1.9411,12699600.0,0.0,1.0
1999-08-24,2.0729,2.1146,1.9688,2.0938,1.9315,9951600.0,0.0,1.0
1999-08-25,2.099,2.1198,2.0,2.0833,1.9219,8758800.0,0.0,1.0
1999-08-26,2.0833,2.1146,2.0208,2.0521,1.8931,6884400.0,0.0,1.0
1999-08-27,2.0938,2.25,2.0833,2.1667,1.9988,13809600.0,0.0,1.0
1999-08-30,2.2031,2.2448,2.0677,2.1589,1.9916,3966000.0,0.0,1.0
1999-08-31,2.1667,2.3542,2.125,2.3438,2.1622,19671600.0,0.0,1.0
1999-09-01,2.3438,2.3438,2.1979,2.2344,2.0613,14133600.0,0.0,1.0
1999-09-02,2.1615,2.2188,2.1146,2.2083,2.0372,8527200.0,0.0,1.0
1999-09-03,2.25,2.2813,2.2083,2.224,2.0516,6471600.0,0.0,1.0
1999-09-07,2.2604,2.2604,2.2031,2.2135,2.042,3110400.0,0.0,1.0
1999-09-08,2.2188,2.2344,2.2083,2.2083,2.0372,4251600.0,0.0,1.0
1999-09-09,2.2292,2.2448,2.1354,2.1771,2.0084,5236800.0,0.0,1.0
