date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-11-25,13.25,13.64,12.32,13.35,11.8292,1641700.0,0.0,1.0
2003-11-26,13.45,13.75,13.29,13.4,11.8735,411300.0,0.0,1.0
2003-11-28,13.55,13.88,13.55,13.78,12.2102,82000.0,0.0,1.0
2003-12-01,13.89,13.89,13.25,13.7,12.1393,95400.0,0.0,1.0
2003-12-02,13.79,13.89,13.25,13.64,12.0861,230400.0,0.0,1.0
2003-12-03,13.52,13.52,13.0,13.24,11.7317,99600.0,0.0,1.0
2003-12-04,13.17,13.52,13.05,13.1,11.6076,77700.0,0.0,1.0
2003-12-05,13.06,13.8,12.99,13.67,12.1127,96800.0,0.0,1.0
2003-12-08,13.6,13.8,13.48,13.75,12.1836,252700.0,0.0,1.0
2003-12-09,13.75,13.76,13.03,13.03,11.5456,197200.0,0.0,1.0
2003-12-10,13.15,13.4,12.08,12.36,10.9519,306300.0,0.0,1.0
2003-12-11,12.18,13.41,12.18,13.0,11.519,118200.0,0.0,1.0
2003-12-12,12.98,13.34,12.85,13.25,11.7406,235800.0,0.0,1.0
2003-12-15,13.38,13.48,13.08,13.16,11.6608,83700.0,0.0,1.0
2003-12-16,13.03,13.49,13.0,13.41,11.8823,107600.0,0.0,1.0
2003-12-17,13.35,13.6,13.0,13.36,11.838,142400.0,0.0,1.0
2003-12-18,12.92,13.61,12.88,13.44,11.9089,95900.0,0.0,1.0
2003-12-19,13.52,13.6,13.25,13.45,11.9178,108800.0,0.0,1.0
2003-12-22,13.52,13.7,13.36,13.45,11.9178,34700.0,0.0,1.0
2003-12-23,13.38,13.68,13.38,13.6,12.0507,106000.0,0.0,1.0
2003-12-24,13.49,13.8,13.35,13.62,12.0684,88800.0,0.0,1.0
2003-12-26,13.75,13.8,13.65,13.65,12.095,73100.0,0.0,1.0
2003-12-29,13.65,13.69,13.5,13.65,12.095,134400.0,0.0,1.0
2003-12-30,13.54,13.75,13.52,13.75,12.1836,225500.0,0.0,1.0
2003-12-31,13.83,13.83,13.55,13.71,12.1481,142200.0,0.0,1.0
2004-01-02,13.65,13.76,13.65,13.75,12.1836,80700.0,0.0,1.0
2004-01-05,13.96,14.0,13.63,13.9,12.3165,410600.0,0.0,1.0
2004-01-06,13.75,13.96,13.68,13.75,12.1836,142800.0,0.0,1.0
2004-01-07,13.8,14.45,13.8,14.4,12.7595,503800.0,0.0,1.0
2004-01-08,14.34,14.41,14.05,14.1,12.4937,182400.0,0.0,1.0
2004-01-09,14.14,14.19,13.8,14.1,12.4937,85900.0,0.0,1.0
2004-01-12,14.44,14.44,13.5,13.88,12.2988,68300.0,0.0,1.0
2004-01-13,13.84,14.36,13.84,14.15,12.538,61500.0,0.0,1.0
2004-01-14,14.27,14.46,14.14,14.43,12.7861,178200.0,0.0,1.0
2004-01-15,14.22,14.5,14.05,14.17,12.5557,60500.0,0.0,1.0
2004-01-16,14.25,14.45,13.86,14.07,12.4671,53700.0,0.0,1.0
2004-01-20,13.9,14.05,13.5,13.99,12.3963,70600.0,0.0,1.0
2004-01-21,14.07,14.5,13.87,14.24,12.6178,75300.0,0.0,1.0
2004-01-22,14.15,14.5,14.15,14.25,12.6266,77200.0,0.0,1.0
2004-01-23,14.21,14.5,14.01,14.15,12.538,84300.0,0.0,1.0
2004-01-26,14.0,14.0,12.91,13.65,12.095,457300.0,0.0,1.0
2004-01-27,13.41,13.89,13.2,13.71,12.1481,217900.0,0.0,1.0
2004-01-28,13.93,13.95,13.36,13.5,11.9621,118700.0,0.0,1.0
2004-01-29,13.41,13.52,13.31,13.5,11.9621,124100.0,0.0,1.0
2004-01-30,13.39,14.0,13.39,13.42,11.8912,184600.0,0.0,1.0
2004-02-02,13.49,13.55,13.3,13.38,11.8557,93600.0,0.0,1.0
2004-02-03,13.45,13.46,13.05,13.25,11.7406,52500.0,0.0,1.0
2004-02-04,13.09,13.25,12.97,13.0,11.519,41600.0,0.0,1.0
2004-02-05,12.97,13.11,12.41,12.73,11.2798,201000.0,0.0,1.0
2004-02-06,12.77,12.8,12.45,12.79,11.333,34200.0,0.0,1.0
2004-02-09,12.8,12.96,12.66,12.77,11.3152,78500.0,0.0,1.0
2004-02-10,12.77,13.46,12.68,13.21,11.7051,242900.0,0.0,1.0
2004-02-11,13.02,14.1,13.02,13.6,12.0507,110300.0,0.0,1.0
2004-02-12,13.6,13.7,13.55,13.65,12.095,83400.0,0.0,1.0
2004-02-13,13.6,13.65,13.43,13.5,11.9621,32700.0,0.0,1.0
2004-02-17,12.83,13.6,12.83,13.5,11.9621,91700.0,0.0,1.0
2004-02-18,13.5,13.5,13.38,13.39,11.8646,28200.0,0.0,1.0
2004-02-19,13.5,13.5,13.37,13.4,11.8735,281000.0,0.0,1.0
2004-02-20,13.4,13.53,13.31,13.4,11.8735,21400.0,0.0,1.0
2004-02-23,13.37,13.44,13.3,13.32,11.8026,195200.0,0.0,1.0
2004-02-24,13.22,13.25,12.82,12.83,11.3684,85200.0,0.0,1.0
2004-02-25,12.8,13.06,12.8,13.05,11.5633,125000.0,0.0,1.0
2004-02-26,13.05,13.1,12.94,13.1,11.6076,36000.0,0.0,1.0
2004-02-27,13.14,13.2,12.4,12.86,11.395,100600.0,0.0,1.0
2004-03-01,12.85,13.14,12.85,13.0,11.519,33300.0,0.0,1.0
2004-03-02,13.11,13.11,12.75,12.8,11.3418,459000.0,0.0,1.0
2004-03-03,12.9,13.07,12.89,12.98,11.5013,26000.0,0.0,1.0
2004-03-04,13.0,13.05,12.95,12.95,11.4747,21700.0,0.0,1.0
