date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-01-14,11.03,12.3,11.0,11.96,9.9231,169500.0,0.0,1.0
2011-01-18,11.95,12.06,11.5,11.9,9.8734,79200.0,0.0,1.0
2011-01-19,11.99,11.99,11.91,11.91,9.8817,6500.0,0.0,1.0
2011-01-20,11.62,11.9,11.6,11.9,9.8734,33600.0,0.0,1.0
2011-01-21,11.9,11.9,11.9,11.9,9.8734,0.0,0.0,1.0
2011-01-24,11.9,11.9,11.9,11.9,9.8734,0.0,0.0,1.0
2011-01-25,11.79,12.01,11.77,12.01,9.9646,79300.0,0.0,1.0
2011-01-26,11.85,12.06,11.83,11.99,9.948,6600.0,0.0,1.0
2011-01-27,12.04,12.07,12.0,12.0,9.9563,12700.0,0.0,1.0
2011-01-28,12.0,12.06,11.81,12.0,9.9563,21700.0,0.0,1.0
2011-01-31,11.8,11.84,11.8,11.8,9.7904,400.0,0.0,1.0
2011-02-01,11.75,12.05,11.75,12.05,9.9978,3500.0,0.0,1.0
2011-02-02,12.05,12.05,12.05,12.05,9.9978,0.0,0.0,1.0
2011-02-03,12.0,12.06,11.94,12.05,9.9978,8700.0,0.0,1.0
2011-02-04,12.03,12.09,12.03,12.09,10.031,40500.0,0.0,1.0
2011-02-07,12.08,12.09,12.08,12.09,10.031,2000.0,0.0,1.0
2011-02-08,12.07,12.2,12.07,12.19,10.114,23400.0,0.0,1.0
2011-02-09,12.15,12.22,12.11,12.11,10.0476,6100.0,0.0,1.0
2011-02-10,12.1,12.1,12.1,12.1,10.0393,1000.0,0.0,1.0
2011-02-11,12.1,12.1,12.0,12.0,9.9563,5500.0,0.0,1.0
2011-02-14,12.19,12.96,12.19,12.5,10.3712,31000.0,0.0,1.0
2011-02-15,12.5,12.5,12.5,12.5,10.3712,0.0,0.0,1.0
2011-02-16,12.5,13.5,12.5,13.44,11.1511,57100.0,0.0,1.0
2011-02-17,13.2,13.34,13.01,13.32,11.0515,2600.0,0.0,1.0
2011-02-18,13.27,13.45,12.75,12.75,10.5786,19200.0,0.0,1.0
2011-02-22,12.75,12.87,12.75,12.79,10.6118,1300.0,0.0,1.0
2011-02-23,12.57,12.8,12.31,12.33,10.2301,1500.0,0.0,1.0
2011-02-24,12.28,12.28,12.26,12.26,10.1721,700.0,0.0,1.0
2011-02-25,12.74,12.74,12.32,12.46,10.338,3600.0,0.0,1.0
2011-02-28,12.73,12.73,12.64,12.64,10.4873,1300.0,0.0,1.0
