date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-11-10,15.0,15.09,15.0,15.0,4.3112,2078900.0,0.0,1.0
2004-11-11,15.0,15.05,15.0,15.0,4.3112,444100.0,0.0,1.0
2004-11-12,15.0,15.05,15.0,15.0,4.3112,208100.0,0.0,1.0
2004-11-15,15.02,15.04,15.0,15.03,4.3198,120200.0,0.0,1.0
2004-11-16,15.0,15.06,15.0,15.04,4.3227,49800.0,0.0,1.0
2004-11-17,15.03,15.03,15.0,15.02,4.317,251400.0,0.0,1.0
2004-11-18,15.0,15.02,15.0,15.01,4.3141,121500.0,0.0,1.0
2004-11-19,15.0,15.03,15.0,15.01,4.3141,61300.0,0.0,1.0
2004-11-22,15.06,15.06,14.98,15.01,4.3141,49400.0,0.0,1.0
2004-11-23,15.05,15.05,15.0,15.01,4.3141,33000.0,0.0,1.0
2004-11-24,15.01,15.05,15.0,15.02,4.317,55300.0,0.0,1.0
2004-11-26,15.0,15.06,15.0,15.06,4.3285,16500.0,0.0,1.0
2004-11-29,15.06,15.06,15.0,15.0,4.3112,61700.0,0.0,1.0
2004-11-30,15.01,15.05,15.0,15.0,4.3112,82000.0,0.0,1.0
2004-12-01,15.0,15.18,15.0,15.13,4.3486,304000.0,0.0,1.0
2004-12-02,15.17,15.17,15.01,15.09,4.3371,88900.0,0.0,1.0
2004-12-03,15.02,15.14,15.02,15.08,4.3342,58900.0,0.0,1.0
2004-12-06,15.19,15.19,15.0,15.04,4.3227,47100.0,0.0,1.0
2004-12-07,15.08,15.08,14.75,15.04,4.3227,42000.0,0.0,1.0
2004-12-08,15.0,15.04,15.0,15.04,4.3227,30600.0,0.0,1.0
2004-12-09,15.0,15.1,15.0,15.0,4.3112,60000.0,0.0,1.0
2004-12-10,15.0,15.1,15.0,15.0,4.3112,24500.0,0.0,1.0
2004-12-13,15.04,15.1,14.91,15.0,4.3112,201700.0,0.0,1.0
2004-12-14,15.01,15.04,15.0,15.02,4.317,202600.0,0.0,1.0
