date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-01-30,45.1,51.9,40.16,50.0,50.0,7121200.0,0.0,1.0
2015-02-02,47.58,48.75,44.61,46.0,46.0,733000.0,0.0,1.0
2015-02-03,46.09,46.99,44.66,45.98,45.98,248200.0,0.0,1.0
2015-02-04,45.5,45.5,40.5,43.21,43.21,275400.0,0.0,1.0
2015-02-05,42.72,45.99,42.08,42.55,42.55,202200.0,0.0,1.0
2015-02-06,43.06,46.0,42.8,44.84,44.84,109000.0,0.0,1.0
2015-02-09,45.0,47.61,44.8,45.77,45.77,183300.0,0.0,1.0
2015-02-10,46.06,47.49,43.95,46.29,46.29,57900.0,0.0,1.0
2015-02-11,46.5,48.46,45.145,47.86,47.86,200200.0,0.0,1.0
2015-02-12,47.88,48.44,45.13,46.18,46.18,79300.0,0.0,1.0
2015-02-13,45.88,48.39,45.11,46.25,46.25,56800.0,0.0,1.0
2015-02-17,47.01,47.18,45.08,45.91,45.91,93700.0,0.0,1.0
2015-02-18,46.0,46.86,44.31,46.0,46.0,123100.0,0.0,1.0
2015-02-19,47.75,48.63,46.65,47.8,47.8,154300.0,0.0,1.0
2015-02-20,47.32,53.63,47.25,51.44,51.44,157100.0,0.0,1.0
2015-02-23,52.5,57.24,52.01,56.68,56.68,207500.0,0.0,1.0
2015-02-24,59.54,59.73,54.7,57.89,57.89,289700.0,0.0,1.0
2015-02-25,57.27,58.61,55.07,55.34,55.34,125700.0,0.0,1.0
2015-02-26,57.79,61.5,57.0,60.25,60.25,558300.0,0.0,1.0
2015-02-27,61.0,63.63,57.0,57.59,57.59,312900.0,0.0,1.0
2015-03-02,58.0,60.95,58.0,58.99,58.99,164700.0,0.0,1.0
2015-03-03,58.99,59.62,54.11,55.0,55.0,237500.0,0.0,1.0
2015-03-04,54.81,55.98,52.65,54.53,54.53,202600.0,0.0,1.0
2015-03-05,54.93,59.09,54.9,57.53,57.53,217400.0,0.0,1.0
2015-03-06,58.1,59.33,55.71,58.01,58.01,206000.0,0.0,1.0
2015-03-09,57.58,61.39,57.58,60.28,60.28,180000.0,0.0,1.0
2015-03-10,59.2,60.82,58.26,60.34,60.34,205100.0,0.0,1.0
2015-03-11,59.95,62.76,58.625,59.1,59.1,288300.0,0.0,1.0
2015-03-12,59.2,61.48,58.7,61.14,61.14,125100.0,0.0,1.0
2015-03-13,61.02,67.0,61.02,65.78,65.78,230500.0,0.0,1.0
