date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-04-16,30.0,30.24,29.25,29.33,27.6654,2437500.0,0.0,1.0
2014-04-17,29.25,29.5,29.25,29.44,27.7692,259300.0,0.0,1.0
2014-04-21,29.43,29.49,29.25,29.31,27.6466,46200.0,0.0,1.0
2014-04-22,29.5,29.9,29.5,29.8,28.1088,152200.0,0.0,1.0
2014-04-23,29.94,30.07,29.71,30.0,28.2974,165700.0,0.0,1.0
2014-04-24,30.05,30.09,29.77,30.03,28.3257,86500.0,0.0,1.0
2014-04-25,29.88,30.0,29.25,29.93,28.2314,61900.0,0.0,1.0
2014-04-28,29.98,30.25,29.87,29.99,28.288,181800.0,0.0,1.0
2014-04-29,30.03,30.07,29.11,29.76,28.071,143000.0,0.0,1.0
2014-04-30,29.5,30.04,29.5,30.03,28.3257,49500.0,0.0,1.0
2014-05-01,29.2,30.04,29.2,30.02,28.3163,26400.0,0.0,1.0
2014-05-02,30.0,30.05,29.87,30.04,28.3351,63200.0,0.0,1.0
2014-05-05,29.99,30.03,29.94,30.0,28.2974,25200.0,0.0,1.0
2014-05-06,29.95,30.03,29.76,30.02,28.3163,43800.0,0.0,1.0
2014-05-07,29.85,30.25,29.76,30.0,28.2974,16000.0,0.0,1.0
2014-05-08,30.0,30.19,29.84,30.0,28.2974,46600.0,0.0,1.0
2014-05-09,29.81,30.69,29.81,30.61,28.8728,17100.0,0.0,1.0
2014-05-12,30.82,30.97,30.36,30.6,28.8634,18300.0,0.0,1.0
2014-05-13,32.66,32.66,30.056,30.73,28.986,51900.0,0.0,1.0
2014-05-14,30.91,30.98,30.48,30.77,29.0237,31200.0,0.0,1.0
2014-05-15,31.14,31.14,30.26,30.59,28.8539,22000.0,0.0,1.0
2014-05-16,30.59,30.645,30.075,30.43,28.703,15900.0,0.0,1.0
2014-05-19,30.46,30.49,30.25,30.26,28.5427,6600.0,0.0,1.0
2014-05-20,30.17,30.5,28.67,30.19,28.4766,108400.0,0.0,1.0
2014-05-21,30.32,30.575,29.71,30.25,28.5332,33200.0,0.0,1.0
2014-05-22,30.25,30.45,29.8,30.11,28.4012,28600.0,0.0,1.0
2014-05-23,30.15,30.45,29.84,30.15,28.4389,18500.0,0.0,1.0
2014-05-27,30.1,30.24,29.73,30.06,28.354,28300.0,0.0,1.0
2014-05-28,30.2,30.2,29.63,30.05,28.3446,18000.0,0.0,1.0
2014-05-29,30.1,30.24,29.75,30.0,28.2974,47700.0,0.0,1.0
2014-05-30,30.06,30.29,29.64,30.0,28.2974,28500.0,0.0,1.0
2014-06-02,30.09,30.94,30.0,30.31,28.5898,45100.0,0.0,1.0
2014-06-03,30.3,30.47,30.02,30.37,28.6464,50700.0,0.0,1.0
2014-06-04,30.49,30.5,30.21,30.35,28.6275,43800.0,0.0,1.0
2014-06-05,30.34,30.68,30.15,30.52,28.7879,52600.0,0.0,1.0
2014-06-06,30.47,30.47,30.12,30.39,28.6653,24300.0,0.0,1.0
2014-06-09,30.3,30.44,29.51,30.06,28.354,89200.0,0.0,1.0
2014-06-10,29.91,30.49,29.62,30.0,28.2974,61500.0,0.0,1.0
2014-06-11,29.91,30.0,29.54,29.9,28.2031,20900.0,0.0,1.0
2014-06-12,30.1,30.1,29.49,29.74,28.0522,52700.0,0.0,1.0
2014-06-13,30.24,30.42,29.76,30.0,28.2974,24600.0,0.0,1.0
2014-06-16,29.92,30.24,29.63,29.84,28.1465,75900.0,0.0,1.0
2014-06-17,30.16,30.16,28.86,29.92,28.222,53800.0,0.0,1.0
2014-06-18,30.24,30.24,29.53,30.0,28.2974,74100.0,0.0,1.0
2014-06-19,29.654,30.0,29.43,29.87,28.1748,89600.0,0.0,1.0
2014-06-20,29.95,30.23,28.53,29.04,27.3919,335800.0,0.0,1.0
2014-06-23,29.18,29.18,28.28,28.68,27.0523,67100.0,0.0,1.0
2014-06-24,28.57,29.2,28.57,28.89,27.2504,38600.0,0.0,1.0
2014-06-25,28.39,30.05,28.39,29.88,28.1842,72700.0,0.0,1.0
2014-06-26,29.68,30.05,29.0,29.74,28.0522,31100.0,0.0,1.0
2014-06-27,29.83,30.05,28.75,28.97,27.3259,886700.0,0.0,1.0
2014-06-30,29.11,29.23,28.56,29.06,27.4108,151200.0,0.0,1.0
2014-07-01,29.44,29.44,28.19,28.82,27.1844,94300.0,0.0,1.0
2014-07-02,28.78,29.55,28.78,29.5,27.8258,65100.0,0.0,1.0
2014-07-03,29.5,29.75,29.12,29.5,27.8258,53000.0,0.0,1.0
