date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,2.875,3.0,2.875,2.9375,2.9375,12500.0,0.0,1.0
1999-08-11,2.9375,3.0313,2.9375,3.0,3.0,11300.0,0.0,1.0
1999-08-12,2.9375,2.9375,2.9375,2.9375,2.9375,300.0,0.0,1.0
1999-08-13,3.0313,3.0938,2.9375,3.0,3.0,4200.0,0.0,1.0
1999-08-16,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
1999-08-17,2.9375,3.0,2.875,2.9375,2.9375,10300.0,0.0,1.0
1999-08-18,2.875,3.0,2.875,2.9375,2.9375,6000.0,0.0,1.0
1999-08-19,2.875,3.0,2.875,3.0,3.0,2700.0,0.0,1.0
1999-08-20,2.9375,3.875,2.9375,3.375,3.375,75300.0,0.0,1.0
1999-08-23,3.625,3.6875,3.5625,3.6875,3.6875,55700.0,0.0,1.0
1999-08-24,3.625,3.875,3.4375,3.4375,3.4375,43500.0,0.0,1.0
1999-08-25,3.875,3.875,3.5,3.5,3.5,6600.0,0.0,1.0
1999-08-26,3.5,3.5,3.5,3.5,3.5,3700.0,0.0,1.0
1999-08-27,3.625,3.625,3.25,3.25,3.25,12200.0,0.0,1.0
1999-08-30,3.25,3.25,3.1875,3.25,3.25,2000.0,0.0,1.0
1999-08-31,3.1875,3.1875,3.0,3.1875,3.1875,2100.0,0.0,1.0
1999-09-01,3.0,3.0,2.9375,2.9531,2.9531,8600.0,0.0,1.0
1999-09-02,2.9375,3.0,2.9375,2.9688,2.9688,6800.0,0.0,1.0
1999-09-03,2.9688,3.0,2.9688,3.0,3.0,33200.0,0.0,1.0
1999-09-07,3.0938,3.0938,2.9688,3.0,3.0,36500.0,0.0,1.0
1999-09-08,3.0,3.0,3.0,3.0,3.0,3200.0,0.0,1.0
1999-09-09,2.9688,3.0938,2.9688,3.0938,3.0938,12000.0,0.0,1.0
1999-09-10,3.125,3.125,2.9688,3.125,3.125,4800.0,0.0,1.0
1999-09-13,2.9688,3.0313,2.9688,3.0313,3.0313,1900.0,0.0,1.0
1999-09-14,2.9688,3.125,2.9688,3.125,3.125,4600.0,0.0,1.0
1999-09-15,2.9688,3.0313,2.9688,3.0313,3.0313,2800.0,0.0,1.0
1999-09-16,2.9688,3.0625,2.9688,2.9688,2.9688,9400.0,0.0,1.0
1999-09-17,2.9688,3.0,2.9688,3.0,3.0,10500.0,0.0,1.0
1999-09-20,3.0625,3.5938,3.0313,3.5313,3.5313,70600.0,0.0,1.0
1999-09-21,3.625,3.875,3.4375,3.6875,3.6875,27200.0,0.0,1.0
1999-09-22,3.8438,3.9375,3.5625,3.75,3.75,29900.0,0.0,1.0
