date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-06-14,30.0,35.76,29.92,34.16,34.16,100.0,0.0,1.0
2016-06-15,33.576,33.576,33.576,33.576,33.576,0.0,0.0,1.0
2016-06-16,33.6,35.84,28.0,34.4,34.4,8300.0,0.0,1.0
2016-06-17,34.4,34.4,31.2,31.6,31.6,1900.0,0.0,1.0
2016-06-20,31.6,31.6,28.48,30.872,30.872,8900.0,0.0,1.0
2016-06-21,31.04,31.2,28.8,29.6,29.6,200.0,0.0,1.0
2016-06-22,30.312,30.312,26.88,29.2,29.2,4900.0,0.0,1.0
2016-06-23,27.52,30.24,27.36,28.8,28.8,2300.0,0.0,1.0
2016-06-24,26.4,29.2,26.4,26.64,26.64,3500.0,0.0,1.0
2016-06-27,29.84,29.84,26.0,26.8,26.8,1100.0,0.0,1.0
2016-06-28,26.8,27.36,26.4,26.48,26.48,900.0,0.0,1.0
2016-06-29,26.16,29.568,26.16,28.296,28.296,300.0,0.0,1.0
2016-06-30,27.6,29.6,26.56,27.2,27.2,1900.0,0.0,1.0
2016-07-01,27.2,27.2,27.2,27.2,27.2,0.0,0.0,1.0
2016-07-05,26.4,27.04,26.4,26.8,26.8,1300.0,0.0,1.0
2016-07-06,26.976,28.88,26.008,26.64,26.64,900.0,0.0,1.0
2016-07-07,27.52,28.76,26.8,27.048,27.048,1300.0,0.0,1.0
2016-07-08,27.12,27.92,27.12,27.92,27.92,0.0,0.0,1.0
2016-07-11,28.08,29.28,25.36,28.16,28.16,3000.0,0.0,1.0
2016-07-12,27.92,27.92,26.0,26.0,26.0,1300.0,0.0,1.0
2016-07-13,26.16,27.92,25.84,25.84,25.84,3200.0,0.0,1.0
2016-07-14,27.176,27.176,26.4,26.72,26.72,1900.0,0.0,1.0
2016-07-15,26.8,26.824,26.24,26.24,26.24,3400.0,0.0,1.0
2016-07-18,26.952,26.952,24.952,25.28,25.28,3000.0,0.0,1.0
2016-07-19,24.96,26.96,24.96,26.8,26.8,1700.0,0.0,1.0
2016-07-20,26.0,27.44,25.2,26.32,26.32,1900.0,0.0,1.0
2016-07-21,26.0,26.816,26.0,26.08,26.08,200.0,0.0,1.0
2016-07-22,26.08,26.08,26.08,26.08,26.08,0.0,0.0,1.0
2016-07-25,26.16,26.912,26.16,26.8,26.8,1700.0,0.0,1.0
2016-07-26,29.6,29.6,26.8,26.8,26.8,200.0,0.0,1.0
2016-07-27,26.8,26.8,26.0,26.48,26.48,200.0,0.0,1.0
2016-07-28,26.72,26.72,26.72,26.72,26.72,0.0,0.0,1.0
2016-07-29,26.0,26.16,26.0,26.0,26.0,400.0,0.0,1.0
2016-08-01,26.0,26.0,26.0,26.0,26.0,0.0,0.0,1.0
2016-08-02,26.0,26.0,26.0,26.0,26.0,0.0,0.0,1.0
2016-08-03,24.328,24.328,24.328,24.328,24.328,0.0,0.0,1.0
2016-08-04,26.0,26.08,26.0,26.08,26.08,100.0,0.0,1.0
2016-08-05,26.08,27.84,26.08,27.84,27.84,600.0,0.0,1.0
2016-08-08,27.76,27.76,27.76,27.76,27.76,0.0,0.0,1.0
2016-08-09,27.304,29.36,27.2,28.0,28.0,1000.0,0.0,1.0
2016-08-10,30.08,30.08,27.28,29.92,29.92,2100.0,0.0,1.0
2016-08-11,29.6,29.76,28.0,28.72,28.72,8000.0,0.0,1.0
2016-08-12,28.0,30.16,28.0,29.12,29.12,400.0,0.0,1.0
2016-08-15,28.56,30.4,28.56,30.4,30.4,1400.0,0.0,1.0
2016-08-16,31.28,31.28,28.88,30.32,30.32,1000.0,0.0,1.0
2016-08-17,29.04,30.0,28.88,29.84,29.84,900.0,0.0,1.0
2016-08-18,29.36,34.4,29.04,30.72,30.72,2500.0,0.0,1.0
2016-08-19,32.72,32.72,30.0,30.48,30.48,1100.0,0.0,1.0
2016-08-22,31.6,31.6,29.464,30.96,30.96,800.0,0.0,1.0
2016-08-23,30.56,31.6,30.4,31.6,31.6,600.0,0.0,1.0
2016-08-24,31.112,31.12,29.6,30.4,30.4,1200.0,0.0,1.0
2016-08-25,30.4,30.4,30.4,30.4,30.4,0.0,0.0,1.0
2016-08-26,30.4,32.48,29.768,32.48,32.48,200.0,0.0,1.0
2016-08-29,32.48,32.48,32.48,32.48,32.48,0.0,0.0,1.0
