date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-11-24,15.09,15.95,15.09,15.66,2.3215,146300.0,0.0,1.0
2003-11-25,15.45,15.62,15.26,15.35,2.2755,87100.0,0.0,1.0
2003-11-26,15.55,15.55,15.21,15.21,2.2548,163300.0,0.0,1.0
2003-11-28,15.35,15.35,15.15,15.2,2.2533,122800.0,0.0,1.0
2003-12-01,15.35,15.75,15.31,15.45,2.2903,157600.0,0.0,1.0
2003-12-02,15.5,15.5,15.25,15.42,2.2859,64400.0,0.0,1.0
2003-12-03,15.48,15.48,15.15,15.37,2.2785,78100.0,0.0,1.0
2003-12-04,15.4,15.43,15.25,15.4,2.2829,79500.0,0.0,1.0
2003-12-05,15.4,15.4,15.26,15.33,2.2726,61000.0,0.0,1.0
2003-12-08,15.27,15.29,15.15,15.15,2.2459,42300.0,0.0,1.0
2003-12-09,15.25,15.25,15.04,15.04,2.2296,28300.0,0.0,1.0
2003-12-10,15.07,15.15,14.83,14.91,2.2103,61500.0,0.0,1.0
2003-12-11,14.92,15.0,14.85,14.91,2.2103,88200.0,0.0,1.0
2003-12-12,15.15,15.15,14.75,14.97,2.2192,65000.0,0.0,1.0
2003-12-15,15.09,15.09,14.82,14.98,2.2207,46200.0,0.0,1.0
2003-12-16,14.98,15.09,14.9,14.97,2.2192,166400.0,0.0,1.0
2003-12-17,15.0,15.02,14.8,14.99,2.2222,34300.0,0.0,1.0
2003-12-18,15.0,15.0,14.48,14.9,2.2088,103100.0,0.0,1.0
2003-12-19,14.8,14.99,14.8,14.88,2.2059,25100.0,0.0,1.0
2003-12-22,14.98,15.02,14.7,15.02,2.2266,18900.0,0.0,1.0
2003-12-23,14.95,15.01,14.95,15.01,2.2251,19200.0,0.0,1.0
2003-12-24,14.8,15.1,14.55,15.1,2.2385,10100.0,0.0,1.0
2003-12-26,15.05,15.14,14.95,15.05,2.2311,19500.0,0.0,1.0
2003-12-29,15.05,15.39,14.86,15.39,2.2815,38300.0,0.0,1.0
2003-12-30,15.39,15.39,14.99,15.0,2.2236,53400.0,0.0,1.0
2003-12-31,15.2,15.55,15.1,15.55,2.3052,68200.0,0.0,1.0
2004-01-02,15.55,15.6,14.98,14.99,2.2222,47000.0,0.0,1.0
2004-01-05,15.48,15.48,14.86,14.89,2.2073,68200.0,0.0,1.0
2004-01-06,14.95,15.4,14.9,15.22,2.2563,57100.0,0.0,1.0
2004-01-07,15.4,15.44,15.15,15.35,2.2755,24400.0,0.0,1.0
2004-01-08,15.35,15.55,15.25,15.35,2.2755,72200.0,0.0,1.0
2004-01-09,15.55,16.32,15.3,15.35,2.2755,149500.0,0.0,1.0
2004-01-12,15.75,16.1,15.31,15.95,2.3645,80500.0,0.0,1.0
2004-01-13,15.9,15.95,15.69,15.9,2.3571,31900.0,0.0,1.0
2004-01-14,15.95,16.19,15.56,16.05,2.3793,57100.0,0.0,1.0
2004-01-15,15.92,16.33,15.9,16.2,2.4015,90900.0,0.0,1.0
2004-01-16,16.28,16.85,16.11,16.75,2.4831,98700.0,0.0,1.0
2004-01-20,16.85,16.86,16.3,16.5,2.446,39600.0,0.0,1.0
2004-01-21,16.26,16.75,16.25,16.45,2.4386,85100.0,0.0,1.0
2004-01-22,16.49,16.5,16.0,16.25,2.4089,52900.0,0.0,1.0
2004-01-23,16.25,16.25,15.45,16.0,2.3719,58600.0,0.0,1.0
2004-01-26,16.0,16.25,15.55,15.69,2.3259,73500.0,0.0,1.0
2004-01-27,16.04,16.09,15.75,16.03,2.3763,105900.0,0.0,1.0
2004-01-28,16.03,16.2,15.33,15.72,2.3304,119300.0,0.0,1.0
2004-01-29,15.39,16.24,15.15,16.08,2.3837,65300.0,0.0,1.0
2004-01-30,16.12,16.25,15.8,16.17,2.3971,22300.0,0.0,1.0
2004-02-02,16.16,16.16,15.5,15.75,2.3348,60900.0,0.0,1.0
2004-02-03,15.9,16.59,15.35,15.56,2.3067,80900.0,0.0,1.0
2004-02-04,15.51,15.64,15.15,15.4,2.2829,38000.0,0.0,1.0
2004-02-05,15.41,15.43,15.11,15.34,2.274,41400.0,0.0,1.0
2004-02-06,15.11,15.35,15.06,15.3,2.2681,41700.0,0.0,1.0
2004-02-09,15.3,15.3,15.0,15.12,2.2414,41500.0,0.0,1.0
2004-02-10,15.05,15.2,14.91,15.16,2.2474,40300.0,0.0,1.0
2004-02-11,15.2,15.3,14.93,14.93,2.2133,34700.0,0.0,1.0
2004-02-12,15.0,15.25,14.92,14.95,2.2162,61900.0,0.0,1.0
2004-02-13,14.97,15.02,14.92,15.0,2.2236,98000.0,0.0,1.0
2004-02-17,15.0,15.0,14.8,14.82,2.197,41500.0,0.0,1.0
2004-02-18,14.85,15.18,14.78,15.03,2.2281,293500.0,0.0,1.0
2004-02-19,15.03,15.19,14.95,15.03,2.2281,31800.0,0.0,1.0
2004-02-20,15.05,15.3,15.0,15.2,2.2533,73900.0,0.0,1.0
2004-02-23,15.2,15.3,14.97,15.21,2.2548,46900.0,0.0,1.0
2004-02-24,15.3,15.3,15.0,15.01,2.2251,43500.0,0.0,1.0
2004-02-25,15.06,15.3,15.06,15.2,2.2533,44800.0,0.0,1.0
