date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,6.0317,6.0714,5.9788,6.0317,2.5311,756000.0,0.0,1.0
1999-08-11,6.0714,6.0714,6.0053,6.0582,2.5422,369300.0,0.0,1.0
1999-08-12,6.0384,6.0714,6.0185,6.0714,2.5477,126600.0,0.0,1.0
1999-08-13,6.0847,6.2434,6.0317,6.1905,2.5977,517200.0,0.0,1.0
1999-08-16,6.164,6.2566,6.164,6.164,2.5866,275900.0,0.0,1.0
1999-08-17,6.2169,6.2698,6.1905,6.2698,2.631,162700.0,0.0,1.0
1999-08-18,6.1905,6.2566,6.1905,6.2037,2.6032,71800.0,0.0,1.0
1999-08-19,6.1376,6.1905,6.0582,6.1376,2.5755,98200.0,0.0,1.0
1999-08-20,6.045,6.164,5.9788,6.164,2.5866,178900.0,0.0,1.0
1999-08-23,6.1376,6.1376,6.0053,6.0714,2.5477,207900.0,0.0,1.0
1999-08-24,6.078,6.1376,6.045,6.045,2.5366,81400.0,0.0,1.0
1999-08-25,6.0053,6.0185,5.8466,5.8466,2.4533,871500.0,0.0,1.0
1999-08-26,5.8333,5.873,5.7804,5.7937,2.4311,280900.0,0.0,1.0
1999-08-27,5.7937,5.8333,5.6085,5.7143,2.3978,358000.0,0.0,1.0
1999-08-30,5.7143,5.7407,5.5291,5.6085,2.3534,189000.0,0.0,1.0
1999-08-31,5.6085,5.6085,5.5026,5.5556,2.3312,828000.0,0.0,1.0
1999-09-01,5.6085,5.6614,5.5556,5.582,2.3423,684100.0,0.0,1.0
1999-09-02,5.5952,5.6085,5.4762,5.4894,2.3035,206000.0,0.0,1.0
1999-09-03,5.5159,5.6481,5.4762,5.6481,2.3701,164600.0,0.0,1.0
1999-09-07,5.5886,5.6349,5.4762,5.4762,2.2979,372300.0,0.0,1.0
1999-09-08,5.4497,5.4762,5.1852,5.3704,2.2535,920400.0,0.0,1.0
1999-09-09,5.3836,5.3836,5.291,5.3175,2.2313,306300.0,0.0,1.0
1999-09-10,5.3571,5.3968,5.2778,5.3571,2.248,469900.0,0.0,1.0
1999-09-13,5.3968,5.4365,5.291,5.3042,2.2258,529400.0,0.0,1.0
1999-09-14,5.291,5.3175,5.2381,5.2778,2.2147,186000.0,0.0,1.0
1999-09-15,5.291,5.3175,5.0132,5.1587,2.1647,437400.0,0.0,1.0
1999-09-16,5.1323,5.172,5.0265,5.0397,2.1148,996200.0,0.0,1.0
1999-09-17,5.0397,5.119,5.0265,5.0794,2.1314,480000.0,0.0,1.0
1999-09-20,5.0926,5.1587,5.0794,5.1323,2.1536,240000.0,0.0,1.0
1999-09-21,5.1323,5.1323,4.9471,4.9603,2.0815,260100.0,0.0,1.0
1999-09-22,5.0,5.0661,4.9735,5.0397,2.1148,227600.0,0.0,1.0
1999-09-23,5.0661,5.1058,4.9206,4.9206,2.0648,518700.0,0.0,1.0
1999-09-24,4.9802,5.0,4.8016,4.9339,2.0704,342000.0,0.0,1.0
1999-09-27,4.9471,5.0,4.8413,4.8413,2.0315,154300.0,0.0,1.0
1999-09-28,4.8148,4.8413,4.709,4.7354,1.9871,312600.0,0.0,1.0
1999-09-29,4.7354,4.8413,4.7354,4.7884,2.0093,325900.0,0.0,1.0
1999-09-30,4.8148,5.0794,4.7487,5.0,2.0981,504000.0,0.0,1.0
1999-10-01,5.0265,5.1323,4.9471,5.0926,2.137,380100.0,0.0,1.0
1999-10-04,5.0529,5.1323,5.0265,5.0794,2.1314,690000.0,0.0,1.0
1999-10-05,5.0794,5.1852,5.0265,5.172,2.1703,568200.0,0.0,1.0
1999-10-06,5.1852,5.2249,5.1455,5.2116,2.1869,123600.0,0.0,1.0
1999-10-07,5.1984,5.2249,5.0265,5.0794,2.1314,244600.0,0.0,1.0
1999-10-08,5.0794,5.2116,5.0265,5.2116,2.1869,272300.0,0.0,1.0
1999-10-11,5.2116,5.2646,5.1852,5.2381,2.198,291000.0,0.0,1.0
1999-10-12,5.2116,5.2249,5.1323,5.1323,2.1536,281600.0,0.0,1.0
1999-10-13,5.1323,5.1455,5.0265,5.0265,2.1092,156800.0,0.0,1.0
1999-10-14,5.0794,5.0794,4.9471,4.9471,2.0759,116100.0,0.0,1.0
1999-10-15,4.8942,4.9339,4.7619,4.7884,2.0093,183500.0,0.0,1.0
1999-10-18,4.7884,4.7884,4.7354,4.7619,1.9982,146700.0,0.0,1.0
1999-10-19,4.7354,5.0794,4.7354,5.0529,2.1203,196700.0,0.0,1.0
1999-10-20,5.0595,5.0926,4.8677,4.881,2.0482,153900.0,0.0,1.0
1999-10-21,4.8677,4.8677,4.7619,4.8545,2.0371,104700.0,0.0,1.0
1999-10-22,4.9206,5.3439,4.9074,5.1587,2.1647,469900.0,0.0,1.0
1999-10-25,5.1653,5.2116,5.0661,5.0661,2.1259,376300.0,0.0,1.0
1999-10-26,5.0926,5.1587,4.8148,4.9339,2.0704,420800.0,0.0,1.0
1999-10-27,4.9735,5.0794,4.881,4.9735,2.087,253400.0,0.0,1.0
1999-10-28,5.0728,5.1852,4.9735,4.9868,2.1178,549300.0,0.0593,1.0
1999-10-29,4.9868,5.4762,4.9735,5.3571,2.2751,828600.0,0.0,1.0
1999-11-01,5.4497,5.4497,5.1455,5.1852,2.2021,463800.0,0.0,1.0
1999-11-02,5.172,5.2381,5.1587,5.2249,2.2189,160600.0,0.0,1.0
1999-11-03,5.2381,5.2381,5.1587,5.2249,2.2189,136900.0,0.0,1.0
1999-11-04,5.1984,5.2513,5.1852,5.1852,2.2021,126800.0,0.0,1.0
1999-11-05,5.2646,5.291,5.1852,5.1852,2.2021,183500.0,0.0,1.0
1999-11-08,5.172,5.2249,5.0794,5.0926,2.1627,462000.0,0.0,1.0
1999-11-09,5.1455,5.1587,5.0794,5.0794,2.1571,229500.0,0.0,1.0
1999-11-10,5.0529,5.1058,4.9074,4.9735,2.1122,196500.0,0.0,1.0
1999-11-11,4.8942,5.0,4.6958,4.7222,2.0054,264600.0,0.0,1.0
1999-11-12,4.7354,5.0,4.709,4.881,2.0729,312000.0,0.0,1.0
1999-11-15,4.8677,4.9735,4.8413,4.8545,2.0616,480900.0,0.0,1.0
1999-11-16,4.9206,4.9339,4.8413,4.8677,2.0672,206800.0,0.0,1.0
1999-11-17,4.7619,4.9074,4.7354,4.8677,2.0672,575800.0,0.0,1.0
1999-11-18,4.8942,4.8942,4.828,4.828,2.0504,350900.0,0.0,1.0
1999-11-19,4.828,4.828,4.709,4.7354,2.0111,597400.0,0.0,1.0
1999-11-22,4.8016,4.881,4.7487,4.7751,2.0279,230700.0,0.0,1.0
1999-11-23,4.7354,4.7619,4.6561,4.7354,2.0111,310100.0,0.0,1.0
1999-11-24,4.7354,4.7487,4.5503,4.6032,1.9549,261000.0,0.0,1.0
1999-11-26,4.6561,4.8148,4.6032,4.7354,2.0111,161400.0,0.0,1.0
1999-11-29,4.709,4.7487,4.4444,4.4577,1.8931,286600.0,0.0,1.0
1999-11-30,4.4577,4.6296,4.3386,4.4841,1.9043,368500.0,0.0,1.0
1999-12-01,4.5767,4.6561,4.4444,4.6296,1.9661,567800.0,0.0,1.0
1999-12-02,4.6296,4.6429,4.6032,4.6296,1.9661,499800.0,0.0,1.0
1999-12-03,4.6561,4.6693,4.6164,4.6561,1.9774,486500.0,0.0,1.0
1999-12-06,4.5899,4.5899,4.5238,4.5635,1.938,441600.0,0.0,1.0
1999-12-07,4.5569,4.6032,4.4974,4.5767,1.9437,928800.0,0.0,1.0
1999-12-08,4.5899,4.6825,4.4974,4.5238,1.9212,878200.0,0.0,1.0
1999-12-09,4.537,4.6693,4.4841,4.5999,1.9535,659600.0,0.0,1.0
1999-12-10,4.6032,4.6825,4.5503,4.6561,1.9774,1133300.0,0.0,1.0
1999-12-13,4.5503,4.6032,4.4841,4.5503,1.9324,325200.0,0.0,1.0
