date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,10.4815,10.7901,10.3951,10.7037,5.4123,1143000.0,0.0,1.0
1999-08-11,10.716,11.2222,10.6173,11.1728,5.6495,1044100.0,0.0,1.0
1999-08-12,11.1111,11.5802,11.0864,11.3457,5.7369,1656600.0,0.0,1.0
1999-08-13,11.3457,11.5062,11.2099,11.3333,5.7307,1338400.0,0.0,1.0
1999-08-16,11.321,11.358,10.9383,11.1481,5.6371,1675900.0,0.0,1.0
1999-08-17,11.2099,11.3951,11.1358,11.3457,5.7369,717000.0,0.0,1.0
1999-08-18,11.3457,11.3457,10.9383,10.9877,5.5753,1016500.0,0.0395,1.0
1999-08-19,10.8395,10.9259,10.5802,10.6667,5.4124,1935900.0,0.0,1.0
1999-08-20,10.679,10.8642,10.6667,10.8272,5.4939,2095800.0,0.0,1.0
1999-08-23,10.8148,11.2593,10.8148,11.2593,5.7131,1155100.0,0.0,1.0
1999-08-24,11.2099,11.2222,10.642,11.0617,5.6129,1270500.0,0.0,1.0
1999-08-25,11.1605,11.4568,11.0494,11.4074,5.7883,962100.0,0.0,1.0
1999-08-26,11.4506,11.4568,10.963,10.9877,5.5753,1806300.0,0.0,1.0
1999-08-27,11.0123,11.0988,10.963,11.0123,5.5878,819400.0,0.0,1.0
1999-08-30,11.0864,11.0864,10.6173,11.0123,5.5878,1197600.0,0.0,1.0
1999-08-31,11.0247,11.0247,10.8148,10.8889,5.5252,1163700.0,0.0,1.0
1999-09-01,10.7901,11.0,10.7901,10.9012,5.5315,1355500.0,0.0,1.0
1999-09-02,10.9074,10.963,10.8272,10.8395,5.5001,909100.0,0.0,1.0
1999-09-03,10.8889,11.5556,10.8642,11.5185,5.8447,1666800.0,0.0,1.0
1999-09-07,11.4321,11.7531,11.358,11.3827,5.7758,1339300.0,0.0,1.0
1999-09-08,11.3827,11.4074,10.8642,10.8765,5.5189,1207000.0,0.0,1.0
1999-09-09,10.8642,10.8642,10.358,10.5432,5.3498,3370500.0,0.0,1.0
1999-09-10,10.1914,10.3086,10.0494,10.1975,5.1744,3023200.0,0.0,1.0
1999-09-13,10.2593,10.2716,9.8272,9.8519,4.999,2520400.0,0.0,1.0
1999-09-14,9.8272,10.1235,9.8025,10.037,5.093,3039400.0,0.0,1.0
1999-09-15,10.0864,10.1358,9.7531,9.8272,4.9865,1949400.0,0.0,1.0
1999-09-16,9.8272,10.0617,9.8272,9.8889,5.0178,1363000.0,0.0,1.0
1999-09-17,10.2222,10.4074,10.0,10.2346,5.1932,1687000.0,0.0,1.0
1999-09-20,10.2593,10.2593,9.8025,9.8395,4.9927,1328500.0,0.0,1.0
1999-09-21,9.8519,10.0,9.7654,9.8765,5.0115,2542200.0,0.0,1.0
1999-09-22,9.8765,9.8765,9.7037,9.8272,4.9865,962100.0,0.0,1.0
1999-09-23,9.9012,9.9012,9.3086,9.321,4.7296,1012500.0,0.0,1.0
1999-09-24,9.284,10.0494,9.284,9.6543,4.8988,1587600.0,0.0,1.0
1999-09-27,9.679,9.679,9.3827,9.6049,4.8737,819400.0,0.0,1.0
1999-09-28,9.6296,9.679,9.3333,9.5926,4.8674,1280700.0,0.0,1.0
1999-09-29,9.5926,9.679,9.4444,9.4753,4.8079,881100.0,0.0,1.0
1999-09-30,9.5802,10.0988,9.4691,10.0494,5.0992,1026000.0,0.0,1.0
1999-10-01,9.9753,10.0864,9.4568,9.8148,4.9802,1151100.0,0.0,1.0
