date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-01-31,27.63,29.64,25.53,25.53,18.0556,272500.0,0.0,1.0
2006-02-01,26.4,26.55,25.56,25.92,18.3315,101600.0,0.0,1.0
2006-02-02,26.19,26.82,25.65,25.95,18.3527,38400.0,0.0,1.0
2006-02-03,25.95,26.01,24.75,25.02,17.6949,72600.0,0.0,1.0
2006-02-06,25.2,25.47,24.0,24.24,17.1433,34300.0,0.0,1.0
2006-02-07,24.24,24.36,23.13,23.67,16.7402,58100.0,0.0,1.0
2006-02-08,23.46,25.32,23.43,24.81,17.5464,71800.0,0.0,1.0
2006-02-09,25.35,25.5,24.36,24.75,17.504,25400.0,0.0,1.0
2006-02-10,25.05,25.2,24.3,24.42,17.2706,8300.0,0.0,1.0
2006-02-13,24.15,25.65,24.15,24.75,17.504,17600.0,0.0,1.0
2006-02-14,25.5,25.5,24.3,25.35,17.9283,14100.0,0.0,1.0
2006-02-15,25.74,25.74,24.87,25.56,18.0769,6500.0,0.0,1.0
2006-02-16,25.5,25.5,24.9,25.14,17.7798,12800.0,0.0,1.0
2006-02-17,25.32,25.8,24.15,24.66,17.4403,83800.0,0.0,1.0
2006-02-21,25.47,25.47,23.46,24.15,17.0797,26800.0,0.0,1.0
2006-02-22,23.43,24.39,23.43,24.0,16.9736,16900.0,0.0,1.0
2006-02-23,24.54,24.54,23.43,23.46,16.5917,21000.0,0.0,1.0
2006-02-24,23.43,23.97,23.43,23.67,16.7402,2800.0,0.0,1.0
2006-02-27,23.52,23.88,23.43,23.43,16.5704,13400.0,0.0,1.0
2006-02-28,23.58,23.58,22.8,23.55,16.6553,23700.0,0.0,1.0
2006-03-01,23.43,23.55,23.28,23.4,16.5492,2900.0,0.0,1.0
2006-03-02,23.4,23.82,23.16,23.55,16.6553,2200.0,0.0,1.0
2006-03-03,23.4,23.94,23.25,23.94,16.9311,2100.0,0.0,1.0
2006-03-06,23.85,23.85,23.52,23.58,16.6765,1400.0,0.0,1.0
2006-03-07,23.4,23.85,23.4,23.55,16.6553,24800.0,0.0,1.0
2006-03-08,23.64,23.7,23.43,23.43,16.5704,2800.0,0.0,1.0
2006-03-09,23.43,23.7,23.4,23.4,16.5492,5400.0,0.0,1.0
2006-03-10,23.46,23.55,23.4,23.55,16.6553,3400.0,0.0,1.0
2006-03-13,23.4,23.61,23.4,23.4,16.5492,15400.0,0.0,1.0
2006-03-14,23.7,23.7,23.25,23.25,16.4431,1100.0,0.0,1.0
2006-03-15,23.55,23.55,22.71,23.1,16.3371,3500.0,0.0,1.0
2006-03-16,23.73,25.95,23.31,24.75,17.504,85300.0,0.0,1.0
2006-03-17,25.17,25.2,24.63,24.9,17.6101,12900.0,0.0,1.0
2006-03-20,24.78,24.9,24.18,24.3,17.1857,10900.0,0.0,1.0
2006-03-21,24.75,24.75,23.55,24.0,16.9736,11900.0,0.0,1.0
2006-03-22,24.0,24.3,23.97,24.3,17.1857,14500.0,0.0,1.0
2006-03-23,24.75,25.5,24.75,25.41,17.9708,39800.0,0.0,1.0
2006-03-24,25.29,26.88,24.75,25.74,18.2042,16500.0,0.0,1.0
2006-03-27,25.32,26.25,24.45,24.6,17.3979,18500.0,0.0,1.0
2006-03-28,25.5,25.5,24.39,24.72,17.4828,15400.0,0.0,1.0
2006-03-29,25.11,25.14,24.69,24.78,17.5252,8400.0,0.0,1.0
2006-03-30,24.54,25.17,23.58,23.58,16.6765,13200.0,0.0,1.0
2006-03-31,24.57,25.05,23.43,24.6,17.3979,27000.0,0.0,1.0
2006-04-03,24.81,26.34,24.69,25.5,18.0344,19100.0,0.0,1.0
2006-04-04,25.56,25.56,20.25,21.03,14.8731,65300.0,0.0,1.0
2006-04-05,21.0,21.93,21.0,21.6,15.2762,13400.0,0.0,1.0
2006-04-06,21.42,21.9,21.42,21.63,15.2974,18700.0,0.0,1.0
2006-04-07,21.81,22.17,21.69,21.75,15.3823,19900.0,0.0,1.0
2006-04-10,21.87,21.93,21.51,21.75,15.3823,7000.0,0.0,1.0
2006-04-11,21.75,21.75,20.79,20.94,14.8094,17500.0,0.0,1.0
2006-04-12,20.7,21.45,20.7,20.7,14.6397,5200.0,0.0,1.0
2006-04-13,20.91,21.84,20.91,21.03,14.8731,4500.0,0.0,1.0
2006-04-17,21.3,21.3,20.7,21.0,14.8519,5600.0,0.0,1.0
2006-04-18,20.67,20.88,20.25,20.25,14.3215,10800.0,0.0,1.0
2006-04-19,20.28,20.46,20.25,20.34,14.3851,5400.0,0.0,1.0
2006-04-20,21.39,21.39,20.34,20.49,14.4912,900.0,0.0,1.0
2006-04-21,20.46,21.09,20.25,20.7,14.6397,9100.0,0.0,1.0
2006-04-24,20.85,21.0,19.62,19.95,14.1093,5600.0,0.0,1.0
2006-04-25,19.8,19.83,19.35,19.35,13.6849,6300.0,0.0,1.0
2006-04-26,19.2,21.0,19.2,20.43,14.4488,1700.0,0.0,1.0
2006-04-27,21.0,21.0,20.1,20.1,14.2154,2800.0,0.0,1.0
2006-04-28,20.25,21.0,20.25,21.0,14.8519,9400.0,0.0,1.0
2006-05-01,20.58,21.0,20.4,20.4,14.4275,8900.0,0.0,1.0
2006-05-02,21.0,21.03,19.8,19.95,14.1093,1100.0,0.0,1.0
2006-05-03,19.95,20.55,19.89,19.89,14.0668,400.0,0.0,1.0
2006-05-04,20.73,21.06,20.46,20.82,14.7246,10600.0,0.0,1.0
2006-05-05,21.0,21.06,20.52,20.91,14.7882,9200.0,0.0,1.0
2006-05-08,20.43,21.06,19.92,20.67,14.6185,3700.0,0.0,1.0
2006-05-09,20.1,20.67,19.83,20.04,14.1729,3700.0,0.0,1.0
2006-05-10,19.95,20.37,19.8,20.16,14.2578,1100.0,0.0,1.0
2006-05-11,20.7,20.97,19.8,20.19,14.279,3600.0,0.0,1.0
2006-05-12,19.8,20.1,18.9,20.01,14.1517,3900.0,0.0,1.0
2006-05-15,20.97,20.97,19.8,20.04,14.1729,5000.0,0.0,1.0
2006-05-16,20.94,20.97,18.96,19.71,13.9395,6000.0,0.0,1.0
2006-05-17,20.1,20.34,18.93,18.99,13.4303,4300.0,0.0,1.0
2006-05-18,18.66,18.99,17.28,18.0,12.7302,8400.0,0.0,1.0
2006-05-19,17.55,17.55,17.4,17.52,12.3907,2200.0,0.0,1.0
2006-05-22,17.46,17.7,17.4,17.4,12.3058,3900.0,0.0,1.0
2006-05-23,17.46,19.02,17.4,18.09,12.7938,7700.0,0.0,1.0
2006-05-24,18.27,18.27,17.19,17.4,12.3058,1200.0,0.0,1.0
2006-05-25,17.4,17.7,17.1,17.25,12.1998,2400.0,0.0,1.0
2006-05-26,17.16,18.0,16.8,17.34,12.2634,2600.0,0.0,1.0
2006-05-30,17.64,19.02,17.4,17.7,12.518,3400.0,0.0,1.0
2006-05-31,18.57,18.57,17.97,18.3,12.9423,7000.0,0.0,1.0
2006-06-01,18.45,18.45,17.25,18.0,12.7302,3100.0,0.0,1.0
2006-06-02,18.0,18.0,16.95,17.61,12.4544,1500.0,0.0,1.0
2006-06-05,17.28,17.49,16.95,16.95,11.9876,1900.0,0.0,1.0
2006-06-06,16.62,17.04,15.3,15.99,11.3086,7200.0,0.0,1.0
2006-06-07,15.9,17.64,15.66,15.75,11.1389,13000.0,0.0,1.0
2006-06-08,15.78,16.11,15.36,15.72,11.1177,9700.0,0.0,1.0
2006-06-09,15.81,15.9,15.81,15.9,11.245,200.0,0.0,1.0
2006-06-12,15.72,15.9,15.0,15.54,10.9904,12400.0,0.0,1.0
2006-06-13,14.7,15.0,14.31,14.31,10.1205,7700.0,0.0,1.0
2006-06-14,14.4,14.67,13.5,13.5,9.5476,10700.0,0.0,1.0
2006-06-15,13.65,15.0,13.41,14.58,10.3114,4600.0,0.0,1.0
2006-06-16,13.62,14.31,13.62,13.98,9.8871,8800.0,0.0,1.0
2006-06-19,14.25,14.4,13.95,13.95,9.8659,8300.0,0.0,1.0
2006-06-20,13.83,16.32,13.83,15.6,11.0328,6500.0,0.0,1.0
2006-06-21,15.9,15.9,15.0,15.0,10.6085,6100.0,0.0,1.0
2006-06-22,14.7,15.3,14.7,15.03,10.6297,4300.0,0.0,1.0
2006-06-23,15.06,15.66,15.0,15.0,10.6085,10500.0,0.0,1.0
2006-06-26,15.06,15.15,15.03,15.03,10.6297,2700.0,0.0,1.0
2006-06-27,15.0,15.51,15.0,15.24,10.7782,1900.0,0.0,1.0
2006-06-28,15.03,15.54,15.0,15.12,10.6933,2100.0,0.0,1.0
2006-06-29,15.3,15.3,15.03,15.09,10.6721,3700.0,0.0,1.0
2006-06-30,15.0,15.21,14.85,15.0,10.6085,5400.0,0.0,1.0
2006-07-03,15.0,15.0,15.0,15.0,10.6085,0.0,0.0,1.0
2006-07-05,14.4,14.4,13.95,14.1,9.972,700.0,0.0,1.0
2006-07-06,13.8,14.97,13.59,14.49,10.2478,2200.0,0.0,1.0
2006-07-07,14.7,15.3,14.55,15.0,10.6085,1500.0,0.0,1.0
2006-07-10,15.03,15.03,13.8,14.28,10.0993,2500.0,0.0,1.0
2006-07-11,13.59,14.16,12.45,13.23,9.3567,10800.0,0.0,1.0
2006-07-12,12.9,13.29,12.3,12.96,9.1657,1200.0,0.0,1.0
2006-07-13,12.9,14.07,12.75,13.71,9.6962,2800.0,0.0,1.0
2006-07-14,12.96,12.96,12.45,12.45,8.805,10000.0,0.0,1.0
2006-07-17,12.72,14.97,12.45,14.04,9.9295,3300.0,0.0,1.0
2006-07-18,13.53,14.04,11.19,12.0,8.4868,10900.0,0.0,1.0
2006-07-19,12.0,12.6,11.7,12.18,8.6141,9600.0,0.0,1.0
2006-07-20,12.36,12.51,12.15,12.18,8.6141,10400.0,0.0,1.0
2006-07-21,12.39,12.42,12.03,12.03,8.508,5800.0,0.0,1.0
2006-07-24,12.06,13.68,12.06,13.08,9.2506,4600.0,0.0,1.0
2006-07-25,12.21,14.01,12.06,12.09,8.5504,11200.0,0.0,1.0
2006-07-26,13.77,17.22,12.06,13.65,9.6537,118500.0,0.0,1.0
2006-07-27,14.58,14.58,12.99,13.38,9.4628,15300.0,0.0,1.0
2006-07-28,13.8,13.8,12.66,12.75,9.0172,3900.0,0.0,1.0
2006-07-31,13.44,14.04,12.6,14.01,9.9083,11600.0,0.0,1.0
2006-08-01,13.8,14.4,13.65,14.4,10.1841,6100.0,0.0,1.0
2006-08-02,14.4,15.15,14.19,15.03,10.6297,27100.0,0.0,1.0
2006-08-03,14.97,15.24,14.58,15.06,10.6509,34300.0,0.0,1.0
2006-08-04,14.88,15.12,14.58,15.06,10.6509,8000.0,0.0,1.0
2006-08-07,15.42,15.72,15.03,15.21,10.757,17100.0,0.0,1.0
2006-08-08,14.94,15.6,14.94,15.15,10.7146,11700.0,0.0,1.0
2006-08-09,15.15,15.15,14.7,14.73,10.4175,2400.0,0.0,1.0
2006-08-10,14.85,14.97,14.85,14.85,10.5024,3500.0,0.0,1.0
2006-08-11,15.0,15.15,14.4,14.85,10.5024,6700.0,0.0,1.0
2006-08-14,15.3,15.69,14.79,15.45,10.9267,6400.0,0.0,1.0
2006-08-15,15.54,16.35,15.15,15.18,10.7358,23000.0,0.0,1.0
2006-08-16,15.54,15.6,15.18,15.36,10.8631,600.0,0.0,1.0
2006-08-17,15.87,15.87,15.27,15.27,10.7994,6600.0,0.0,1.0
2006-08-18,15.57,15.69,15.45,15.57,11.0116,4800.0,0.0,1.0
2006-08-21,15.48,16.2,15.48,16.2,11.4572,2400.0,0.0,1.0
