date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-12-09,14.77,14.84,14.66,14.79,8.124,935000.0,0.0,1.0
2004-12-10,14.8,14.91,14.74,14.86,8.1624,573600.0,0.0,1.0
2004-12-13,14.93,15.11,14.92,15.11,8.2998,526700.0,0.0,1.0
2004-12-14,15.13,15.18,15.06,15.18,8.3382,659300.0,0.0,1.0
2004-12-15,15.15,15.22,15.12,15.22,8.3602,483600.0,0.0,1.0
2004-12-16,15.19,15.22,15.05,15.11,8.2998,513300.0,0.0,1.0
2004-12-17,15.08,15.11,15.03,15.09,8.3036,437600.0,0.027,1.0
2004-12-20,15.13,15.19,15.07,15.1,8.3091,462400.0,0.0,1.0
2004-12-21,15.15,15.25,15.13,15.25,8.3917,475500.0,0.0,1.0
2004-12-22,15.25,15.31,15.23,15.28,8.4082,481900.0,0.0,1.0
2004-12-23,15.29,15.33,15.27,15.3,8.4192,362100.0,0.0,1.0
2004-12-27,15.33,15.34,15.18,15.19,8.3587,285000.0,0.0,1.0
2004-12-28,15.23,15.33,15.23,15.33,8.4357,332400.0,0.0,1.0
2004-12-29,15.31,15.34,15.27,15.33,8.4357,280200.0,0.0,1.0
2004-12-30,15.33,15.36,15.31,15.33,8.4357,248400.0,0.0,1.0
2004-12-31,15.29,15.37,15.26,15.27,8.4076,345500.0,0.009,1.0
2005-01-03,15.31,15.31,15.08,15.1,8.314,399500.0,0.0,1.0
2005-01-04,15.15,15.16,14.97,14.99,8.2534,407500.0,0.0,1.0
2005-01-05,14.93,14.98,14.8,14.8,8.1488,390500.0,0.0,1.0
2005-01-06,14.83,14.88,14.74,14.81,8.1543,372300.0,0.0,1.0
2005-01-07,14.86,14.87,14.7,14.7,8.0938,367900.0,0.0,1.0
2005-01-10,14.72,14.9,14.72,14.8,8.1488,387700.0,0.0,1.0
2005-01-11,14.77,14.79,14.67,14.7,8.0938,382200.0,0.0,1.0
