date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-12-06,15.24,15.54,15.24,15.5,14.2763,1157200.0,0.0,1.0
2005-12-07,15.38,15.38,15.25,15.26,14.0552,589700.0,0.0,1.0
2005-12-08,15.24,15.33,15.13,15.23,14.0276,592500.0,0.0,1.0
2005-12-09,15.68,15.68,15.25,15.45,14.2302,2376000.0,0.0,1.0
2005-12-12,15.59,15.59,15.47,15.52,14.2947,957800.0,0.0,1.0
2005-12-13,15.65,15.71,15.52,15.7,14.4605,1037300.0,0.0,1.0
2005-12-14,15.66,15.82,15.65,15.78,14.5342,768900.0,0.0,1.0
2005-12-15,15.78,15.78,15.55,15.61,14.3776,569000.0,0.0,1.0
2005-12-16,15.88,15.88,15.6,15.61,14.3831,535100.0,0.006,1.0
2005-12-19,15.62,15.62,15.26,15.27,14.0699,407300.0,0.0,1.0
2005-12-20,15.36,15.45,15.25,15.3,14.0975,219600.0,0.0,1.0
2005-12-21,15.35,15.39,15.26,15.31,14.1067,305600.0,0.0,1.0
2005-12-22,15.54,15.54,15.33,15.4,14.1896,229800.0,0.0,1.0
2005-12-23,15.45,15.55,15.36,15.53,14.3094,240200.0,0.0,1.0
2005-12-27,15.6,15.6,15.3,15.37,14.162,282600.0,0.0,1.0
2005-12-28,15.42,15.46,15.3,15.46,14.2449,259100.0,0.0,1.0
2005-12-29,15.42,15.42,15.27,15.31,14.1067,172200.0,0.0,1.0
2005-12-30,15.3,15.32,15.15,15.2,14.0301,215300.0,0.027,1.0
2006-01-03,15.31,15.48,15.06,15.41,14.2239,482900.0,0.0,1.0
2006-01-04,15.42,15.7,15.35,15.7,14.4916,756100.0,0.0,1.0
2006-01-05,15.63,15.71,15.57,15.66,14.4547,508300.0,0.0,1.0
2006-01-06,15.7,15.8,15.6,15.79,14.5747,563300.0,0.0,1.0
2006-01-09,15.83,16.0,15.79,15.96,14.7316,630500.0,0.0,1.0
2006-01-10,15.95,16.12,15.91,16.08,14.8424,457600.0,0.0,1.0
2006-01-11,16.15,16.2,16.04,16.2,14.9531,456700.0,0.0,1.0
2006-01-12,16.2,16.31,16.12,16.21,14.9624,1032200.0,0.0,1.0
2006-01-13,16.24,16.31,16.15,16.31,15.0547,623000.0,0.0,1.0
2006-01-17,16.4,16.45,16.06,16.16,14.9162,595700.0,0.0,1.0
2006-01-18,16.16,16.22,16.1,16.19,14.9439,463600.0,0.0,1.0
2006-01-19,16.24,16.5,16.2,16.49,15.2208,899800.0,0.0,1.0
2006-01-20,16.5,16.59,16.1,16.17,14.9254,474300.0,0.0,1.0
2006-01-23,16.22,16.32,16.2,16.21,14.9624,408300.0,0.0,1.0
2006-01-24,16.3,16.46,16.26,16.46,15.1931,585300.0,0.0,1.0
2006-01-25,16.5,16.57,16.41,16.48,15.2116,630600.0,0.0,1.0
2006-01-26,16.6,16.68,16.53,16.67,15.387,862700.0,0.0,1.0
2006-01-27,16.68,16.95,16.68,16.95,15.6454,1058200.0,0.0,1.0
2006-01-30,17.45,17.52,16.96,17.18,15.8577,1374200.0,0.0,1.0
2006-01-31,17.0,17.15,16.79,17.04,15.7285,1158900.0,0.0,1.0
2006-02-01,17.0,17.04,16.85,16.99,15.6823,639200.0,0.0,1.0
2006-02-02,16.95,16.96,16.7,16.84,15.5439,592700.0,0.0,1.0
2006-02-03,16.82,16.93,16.59,16.75,15.4608,554300.0,0.0,1.0
2006-02-06,16.73,16.73,16.59,16.73,15.4423,428400.0,0.0,1.0
2006-02-07,16.75,16.84,16.44,16.56,15.2854,499600.0,0.0,1.0
2006-02-08,16.55,16.72,16.4,16.72,15.4331,479800.0,0.0,1.0
2006-02-09,16.74,16.96,16.6,16.65,15.3685,865500.0,0.0,1.0
2006-02-10,16.67,16.8,16.47,16.79,15.4977,342500.0,0.0,1.0
2006-02-13,16.7,16.7,16.46,16.46,15.1931,464700.0,0.0,1.0
2006-02-14,16.65,16.7,16.45,16.6,15.3224,353200.0,0.0,1.0
