date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,19.375,20.0,19.375,20.0,14.429,21800.0,0.0,1.0
1999-08-11,20.0,20.25,19.5,20.125,14.5192,27000.0,0.0,1.0
1999-08-12,19.25,19.5,19.0625,19.0625,13.7526,3600.0,0.0,1.0
1999-08-13,19.0625,19.1875,18.25,19.0,13.7075,33400.0,0.0,1.0
1999-08-16,18.25,19.25,17.75,18.375,13.2566,26700.0,0.0,1.0
1999-08-17,18.375,19.0,18.25,18.75,13.5272,7200.0,0.0,1.0
1999-08-18,18.5,19.125,18.5,18.75,13.5272,2100.0,0.0,1.0
1999-08-19,18.625,19.25,18.625,19.0625,13.7526,35900.0,0.0,1.0
1999-08-20,18.9375,19.5,18.75,19.125,13.7977,16500.0,0.0,1.0
1999-08-23,18.875,19.625,18.875,19.25,13.8879,8300.0,0.0,1.0
1999-08-24,18.9375,19.375,18.9375,19.0,13.7075,12400.0,0.0,1.0
1999-08-25,19.0,19.875,19.0,19.875,14.3388,11600.0,0.0,1.0
1999-08-26,20.0,20.375,19.5,19.9375,14.3839,14300.0,0.0,1.0
1999-08-27,19.875,19.875,19.25,19.25,13.8879,12500.0,0.0,1.0
1999-08-30,19.5,19.625,19.125,19.4375,14.0232,7900.0,0.0,1.0
1999-08-31,19.0625,20.0,19.0625,20.0,14.429,4400.0,0.0,1.0
1999-09-01,19.625,19.625,19.25,19.5,14.0682,8900.0,0.0,1.0
1999-09-02,19.5938,20.125,19.125,20.0,14.429,20000.0,0.0,1.0
1999-09-03,20.0,21.0,20.0,20.25,14.6093,13500.0,0.0,1.0
1999-09-07,20.5,20.875,19.75,20.875,15.0602,8500.0,0.0,1.0
1999-09-08,19.8125,20.875,19.8125,20.0,14.429,10700.0,0.0,1.0
1999-09-09,20.125,20.125,19.5,20.0,14.429,18700.0,0.0,1.0
1999-09-10,23.0,23.0,20.5,20.5625,14.8348,119500.0,0.0,1.0
1999-09-13,21.3125,21.75,20.0625,20.75,14.9701,56000.0,0.0,1.0
1999-09-14,20.8438,20.875,20.375,20.5,14.7897,32700.0,0.0,1.0
1999-09-15,20.5,20.875,20.0,20.625,14.8799,27100.0,0.0,1.0
1999-09-16,20.25,20.25,19.125,20.0,14.429,20200.0,0.0,1.0
1999-09-17,19.8125,20.0,19.5625,20.0,14.429,37800.0,0.0,1.0
1999-09-20,19.9375,20.0625,19.125,19.625,14.1584,16700.0,0.0,1.0
1999-09-21,19.7813,19.9375,19.625,19.8125,14.2937,47200.0,0.0,1.0
1999-09-22,19.8125,19.9375,19.5625,19.625,14.1584,26900.0,0.0,1.0
1999-09-23,19.75,19.9375,19.5,19.5625,14.1133,24100.0,0.0,1.0
1999-09-24,20.0,20.0,19.4375,19.75,14.2486,41700.0,0.0,1.0
1999-09-27,19.9063,20.125,19.75,20.0,14.429,25300.0,0.0,1.0
1999-09-28,20.125,20.125,19.75,19.75,14.2486,77500.0,0.0,1.0
1999-09-29,20.375,20.375,19.75,19.8125,14.2937,20500.0,0.0,1.0
1999-09-30,19.875,21.6875,19.875,21.4375,15.4661,91600.0,0.0,1.0
1999-10-01,20.25,20.8125,19.5,20.25,14.6093,40800.0,0.0,1.0
1999-10-04,20.2188,20.375,19.75,19.8125,14.2937,25700.0,0.0,1.0
1999-10-05,19.8125,20.0,19.5625,19.5625,14.1133,12100.0,0.0,1.0
1999-10-06,19.875,20.0,19.5625,19.8125,14.2937,14300.0,0.0,1.0
1999-10-07,19.8125,19.8125,18.0625,18.625,13.437,29700.0,0.0,1.0
1999-10-08,18.0625,18.75,18.0,18.625,13.437,9800.0,0.0,1.0
1999-10-11,18.9375,19.375,18.7188,18.875,13.6173,16800.0,0.0,1.0
1999-10-12,18.9375,19.0,18.625,18.8125,13.5722,6700.0,0.0,1.0
1999-10-13,18.9063,19.0,18.4375,18.4375,13.3017,14200.0,0.0,1.0
1999-10-14,18.3125,18.375,16.25,17.0,12.2646,48900.0,0.0,1.0
1999-10-15,16.125,16.75,16.0,16.5,11.9039,16100.0,0.0,1.0
1999-10-18,16.4688,16.5,15.25,15.875,11.453,39900.0,0.0,1.0
1999-10-19,16.375,16.375,15.875,16.0,11.5432,13400.0,0.0,1.0
1999-10-20,16.125,16.375,15.9375,16.25,11.7235,15500.0,0.0,1.0
1999-10-21,16.375,16.75,16.25,16.5,11.9039,10100.0,0.0,1.0
1999-10-22,16.5,16.625,16.4375,16.4375,11.8588,6500.0,0.0,1.0
1999-10-25,16.25,16.625,16.25,16.625,11.9941,1100.0,0.0,1.0
1999-10-26,16.625,16.625,16.25,16.375,11.8137,34500.0,0.0,1.0
1999-10-27,16.375,16.625,16.25,16.375,11.8137,18400.0,0.0,1.0
1999-10-28,16.4063,16.625,16.25,16.4375,11.8588,33000.0,0.0,1.0
1999-10-29,16.3125,16.5,16.3125,16.4375,11.8588,23100.0,0.0,1.0
1999-11-01,16.375,16.625,16.3125,16.625,11.9941,25600.0,0.0,1.0
1999-11-02,16.625,16.625,16.3125,16.3125,11.7686,26200.0,0.0,1.0
1999-11-03,16.4375,16.5,16.3125,16.375,11.8137,25800.0,0.0,1.0
1999-11-04,16.3438,16.3438,15.5,15.75,11.3628,39800.0,0.0,1.0
1999-11-05,15.8125,16.0,15.25,15.625,11.2726,30700.0,0.0,1.0
1999-11-08,15.5,15.625,15.375,15.4375,11.1374,66200.0,0.0,1.0
1999-11-09,16.5,16.5,14.125,14.75,10.6414,38000.0,0.0,1.0
1999-11-10,14.6875,14.75,12.6875,14.0625,10.1454,44100.0,0.0,1.0
1999-11-11,14.1875,14.5,13.875,14.0625,10.1454,12400.0,0.0,1.0
1999-11-12,14.0625,15.0,14.0625,14.6875,10.5963,72200.0,0.0,1.0
1999-11-15,14.875,15.0469,14.75,15.0,10.8217,44100.0,0.0,1.0
1999-11-16,14.9063,15.25,14.875,15.125,10.9119,121100.0,0.0,1.0
1999-11-17,15.0,15.1875,15.0,15.125,10.9119,72500.0,0.0,1.0
1999-11-18,15.0938,15.1875,15.0,15.125,10.9119,83600.0,0.0,1.0
1999-11-19,15.25,15.3438,15.0625,15.0625,10.8668,61000.0,0.0,1.0
1999-11-22,15.2188,15.375,15.0,15.125,10.9119,104600.0,0.0,1.0
1999-11-23,15.0625,15.125,14.9375,15.0625,10.8668,49400.0,0.0,1.0
1999-11-24,15.0625,15.125,15.0,15.125,10.9119,51400.0,0.0,1.0
1999-11-26,15.0625,15.1875,15.0625,15.125,10.9119,9000.0,0.0,1.0
1999-11-29,15.0625,15.4375,15.0,15.4375,11.1374,28800.0,0.0,1.0
