date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-12-20,25.03,25.08,24.97,25.01,22.0518,92600.0,0.0,1.0
2006-12-21,25.01,25.03,24.85,24.89,21.946,39700.0,0.0,1.0
2006-12-22,24.84,24.84,24.79,24.81,21.8755,18700.0,0.0,1.0
2006-12-26,24.79,24.91,24.79,24.91,21.9636,46400.0,0.0,1.0
2006-12-27,25.03,25.07,25.01,25.07,22.1047,38700.0,0.0,1.0
2006-12-28,25.06,25.1,25.0,25.03,22.0694,35200.0,0.0,1.0
2006-12-29,24.99,25.05,24.95,24.96,22.0077,66400.0,0.0,1.0
2007-01-03,25.02,25.13,24.84,24.86,21.9196,78100.0,0.0,1.0
2007-01-04,24.86,25.06,24.83,25.03,22.0694,66700.0,0.0,1.0
2007-01-05,24.92,24.92,24.8,24.89,21.946,43400.0,0.0,1.0
2007-01-08,24.9,25.03,24.87,24.99,22.0342,50200.0,0.0,1.0
2007-01-09,25.08,25.14,24.94,25.14,22.1664,29100.0,0.0,1.0
2007-01-10,25.01,25.2,24.95,25.18,22.2017,41500.0,0.0,1.0
2007-01-11,25.2,25.4,25.2,25.34,22.3428,45100.0,0.0,1.0
2007-01-12,25.36,25.47,25.32,25.45,22.4398,27800.0,0.0,1.0
2007-01-16,25.48,25.48,25.37,25.43,22.4221,66300.0,0.0,1.0
2007-01-17,25.39,25.45,25.35,25.36,22.3604,175300.0,0.0,1.0
2007-01-18,25.4,25.4,25.2,25.23,22.2458,39200.0,0.0,1.0
2007-01-19,25.21,25.27,25.1,25.27,22.2811,68100.0,0.0,1.0
2007-01-22,25.25,25.25,25.05,25.17,22.1929,35600.0,0.0,1.0
2007-01-23,25.22,25.37,25.22,25.28,22.2899,30900.0,0.0,1.0
2007-01-24,25.26,25.49,25.26,25.49,22.475,36100.0,0.0,1.0
2007-01-25,25.53,25.53,25.19,25.23,22.2458,56500.0,0.0,1.0
2007-01-26,25.19,25.22,25.09,25.19,22.2105,35400.0,0.0,1.0
2007-01-29,25.27,25.31,25.21,25.25,22.2634,32500.0,0.0,1.0
2007-01-30,25.3,25.35,25.22,25.35,22.3516,33200.0,0.0,1.0
2007-01-31,25.34,25.74,25.24,25.46,22.4486,55400.0,0.0,1.0
2007-02-01,25.6,25.6,25.43,25.55,22.5279,32200.0,0.0,1.0
2007-02-02,25.65,25.85,25.59,25.65,22.6161,78300.0,0.0,1.0
2007-02-05,25.66,25.85,25.5,25.57,22.5456,127100.0,0.0,1.0
2007-02-06,25.7,25.75,25.51,25.59,22.5632,26400.0,0.0,1.0
2007-02-07,25.8,25.8,25.63,25.71,22.669,58600.0,0.0,1.0
2007-02-08,25.75,25.9,25.65,25.77,22.7219,31200.0,0.0,1.0
2007-02-09,25.9,25.9,25.45,25.55,22.5279,58000.0,0.0,1.0
2007-02-12,25.57,25.65,25.38,25.42,22.4133,32600.0,0.0,1.0
2007-02-13,25.65,25.84,25.43,25.6,22.572,56500.0,0.0,1.0
2007-02-14,25.79,25.82,25.64,25.8,22.7484,33400.0,0.0,1.0
2007-02-15,25.72,25.92,25.7,25.83,22.7748,47400.0,0.0,1.0
2007-02-16,25.9,26.07,25.7,25.77,22.7219,27100.0,0.0,1.0
2007-02-20,25.72,26.05,25.65,25.86,22.8013,87900.0,0.0,1.0
2007-02-21,25.78,25.93,25.75,25.9,22.8365,41900.0,0.0,1.0
2007-02-22,26.15,26.15,25.82,25.91,22.8454,61400.0,0.0,1.0
2007-02-23,25.88,25.88,25.75,25.79,22.7395,22400.0,0.0,1.0
2007-02-26,25.85,25.85,25.64,25.68,22.6426,45100.0,0.0,1.0
2007-02-27,25.33,25.4,24.44,24.75,21.8226,81100.0,0.0,1.0
2007-02-28,25.0,25.08,24.67,24.94,21.9901,47300.0,0.0,1.0
2007-03-01,24.46,24.88,24.2,24.78,21.849,42100.0,0.0,1.0
2007-03-02,24.8,24.8,24.51,24.53,21.6286,28300.0,0.0,1.0
2007-03-05,24.39,24.52,24.25,24.25,21.3817,61700.0,0.0,1.0
2007-03-06,24.55,24.85,24.38,24.56,21.655,22500.0,0.0,1.0
2007-03-07,24.49,24.65,24.44,24.51,21.611,33100.0,0.0,1.0
2007-03-08,24.74,24.77,24.61,24.65,21.7344,46100.0,0.0,1.0
2007-03-09,24.79,24.85,24.58,24.66,21.7432,27400.0,0.0,1.0
2007-03-12,24.72,24.77,24.59,24.73,21.8049,14700.0,0.0,1.0
2007-03-13,24.6,24.68,24.17,24.26,21.3905,37300.0,0.0,1.0
2007-03-14,24.37,24.39,23.95,24.37,21.4875,33300.0,0.0,1.0
2007-03-15,24.49,24.51,24.37,24.5,21.6021,16200.0,0.0,1.0
2007-03-16,24.48,24.73,24.28,24.34,21.4795,22500.0,0.021,1.0
2007-03-19,24.56,24.63,24.48,24.61,21.7177,29700.0,0.0,1.0
2007-03-20,24.59,24.75,24.58,24.73,21.8236,26300.0,0.0,1.0
2007-03-21,24.76,25.25,24.72,25.13,22.1766,64600.0,0.0,1.0
2007-03-22,25.3,25.3,25.04,25.1,22.1501,22500.0,0.0,1.0
2007-03-23,25.11,25.15,25.07,25.11,22.159,25100.0,0.0,1.0
2007-03-26,25.19,25.53,24.88,25.09,22.1413,24500.0,0.0,1.0
2007-03-27,24.98,25.19,24.87,24.97,22.0354,156800.0,0.0,1.0
2007-03-28,24.81,24.84,24.7,24.72,21.8148,28800.0,0.0,1.0
2007-03-29,24.83,24.9,24.63,24.75,21.8413,30800.0,0.0,1.0
2007-03-30,24.8,24.87,24.67,24.73,21.8236,11800.0,0.0,1.0
2007-04-02,24.9,25.0,24.78,24.93,22.0001,9000.0,0.0,1.0
2007-04-03,24.99,25.33,24.77,25.15,22.1943,24400.0,0.0,1.0
2007-04-04,25.18,25.3,25.04,25.29,22.3178,33200.0,0.0,1.0
2007-04-05,25.05,25.45,25.05,25.35,22.3708,17400.0,0.0,1.0
2007-04-09,25.41,25.48,25.18,25.45,22.459,42300.0,0.0,1.0
2007-04-10,25.47,25.48,25.27,25.45,22.459,19700.0,0.0,1.0
2007-04-11,25.47,25.48,25.18,25.31,22.3355,24100.0,0.0,1.0
2007-04-12,25.48,25.53,25.24,25.53,22.5296,21300.0,0.0,1.0
2007-04-13,25.4,25.8,25.31,25.5,22.5031,23900.0,0.0,1.0
2007-04-16,25.7,26.12,25.61,25.84,22.8032,24000.0,0.0,1.0
2007-04-17,25.82,26.2,25.73,25.87,22.8297,29800.0,0.0,1.0
2007-04-18,25.8,25.93,25.74,25.91,22.865,21500.0,0.0,1.0
2007-04-19,25.84,25.94,25.75,25.78,22.7502,25800.0,0.0,1.0
2007-04-20,26.03,26.08,25.92,26.08,23.015,14100.0,0.0,1.0
2007-04-23,26.08,26.16,26.0,26.1,23.0326,16500.0,0.0,1.0
2007-04-24,26.17,26.18,25.94,26.15,23.0767,20700.0,0.0,1.0
2007-04-25,26.22,26.44,26.14,26.35,23.2532,25900.0,0.0,1.0
2007-04-26,26.35,26.43,26.22,26.39,23.2885,17300.0,0.0,1.0
2007-04-27,26.34,26.38,26.26,26.37,23.2709,19700.0,0.0,1.0
2007-04-30,26.3,26.37,26.1,26.1,23.0326,13500.0,0.0,1.0
2007-05-01,26.1,26.21,25.83,26.18,23.1032,48900.0,0.0,1.0
2007-05-02,26.28,26.5,26.28,26.45,23.3415,16800.0,0.0,1.0
2007-05-03,26.34,26.55,26.34,26.41,23.3062,25800.0,0.0,1.0
2007-05-04,26.52,26.65,26.43,26.58,23.4562,25000.0,0.0,1.0
2007-05-07,26.69,26.78,26.6,26.7,23.5621,18200.0,0.0,1.0
2007-05-08,26.62,26.67,26.47,26.59,23.465,35800.0,0.0,1.0
2007-05-09,26.59,26.79,26.57,26.76,23.6151,42400.0,0.0,1.0
2007-05-10,26.6,26.65,26.25,26.42,23.315,68700.0,0.0,1.0
2007-05-11,26.39,26.46,26.29,26.45,23.3415,38300.0,0.0,1.0
2007-05-14,26.59,26.59,26.41,26.44,23.3327,48000.0,0.0,1.0
2007-05-15,26.38,26.54,26.31,26.33,23.2356,19400.0,0.0,1.0
2007-05-16,26.44,26.5,26.32,26.47,23.3591,26500.0,0.0,1.0
2007-05-17,26.47,26.52,26.4,26.48,23.368,15200.0,0.0,1.0
2007-05-18,26.52,26.62,26.46,26.6,23.4739,19500.0,0.0,1.0
2007-05-21,26.65,26.77,26.63,26.66,23.5268,82600.0,0.0,1.0
2007-05-22,26.7,26.78,26.63,26.68,23.5445,17300.0,0.0,1.0
2007-05-23,26.74,26.82,26.63,26.66,23.5268,22200.0,0.0,1.0
2007-05-24,26.68,26.78,26.36,26.36,23.2621,14100.0,0.0,1.0
2007-05-25,26.48,26.58,26.47,26.53,23.4121,8400.0,0.0,1.0
2007-05-29,26.58,26.65,26.49,26.62,23.4915,24600.0,0.0,1.0
2007-05-30,26.5,26.8,26.5,26.8,23.6504,10300.0,0.0,1.0
2007-05-31,26.96,26.96,26.83,26.88,23.721,26800.0,0.0,1.0
2007-06-01,27.01,27.07,26.9,26.95,23.7827,19300.0,0.0,1.0
2007-06-04,26.89,27.01,26.89,27.01,23.8357,14000.0,0.0,1.0
2007-06-05,26.91,26.95,26.77,26.87,23.7121,24300.0,0.0,1.0
2007-06-06,26.74,26.74,26.55,26.62,23.4915,14300.0,0.0,1.0
2007-06-07,26.54,26.54,26.09,26.11,23.0414,49200.0,0.0,1.0
2007-06-08,26.05,26.44,26.01,26.44,23.3327,10200.0,0.0,1.0
2007-06-11,26.41,26.52,26.32,26.44,23.3327,10600.0,0.0,1.0
2007-06-12,26.35,26.43,26.19,26.19,23.1121,9400.0,0.0,1.0
2007-06-13,26.23,26.48,26.23,26.48,23.368,20900.0,0.0,1.0
2007-06-14,26.55,26.68,26.55,26.66,23.5268,10900.0,0.0,1.0
2007-06-15,26.86,26.89,26.78,26.81,23.669,13000.0,0.011,1.0
2007-06-18,26.85,26.85,26.75,26.8,23.6601,8900.0,0.0,1.0
2007-06-19,26.75,26.89,26.7,26.89,23.7396,5200.0,0.0,1.0
2007-06-20,26.87,26.9,26.61,26.61,23.4924,8700.0,0.0,1.0
2007-06-21,26.3,26.66,26.3,26.65,23.5277,11500.0,0.0,1.0
2007-06-22,26.59,26.59,26.35,26.38,23.2893,12800.0,0.0,1.0
2007-06-25,26.26,26.46,26.13,26.17,23.1039,25900.0,0.0,1.0
2007-06-26,26.25,26.3,26.07,26.09,23.0333,21400.0,0.0,1.0
2007-06-27,25.92,26.4,25.92,26.35,23.2628,12400.0,0.0,1.0
2007-06-28,26.36,26.49,26.35,26.35,23.2628,23400.0,0.0,1.0
2007-06-29,26.43,26.5,26.12,26.23,23.1569,11500.0,0.0,1.0
2007-07-02,26.35,26.5,26.35,26.47,23.3688,40500.0,0.0,1.0
2007-07-03,26.57,26.63,26.56,26.6,23.4836,14000.0,0.0,1.0
2007-07-05,26.59,26.59,26.48,26.59,23.4747,11800.0,0.0,1.0
2007-07-06,26.55,26.75,26.55,26.69,23.563,8600.0,0.0,1.0
2007-07-09,26.72,26.72,26.67,26.7,23.5718,9000.0,0.0,1.0
2007-07-10,26.47,26.57,26.29,26.29,23.2099,10800.0,0.0,1.0
2007-07-11,26.29,26.46,26.22,26.42,23.3246,12600.0,0.0,1.0
2007-07-12,26.52,26.79,26.52,26.78,23.6425,35500.0,0.0,1.0
2007-07-13,26.78,26.87,26.76,26.87,23.7219,13600.0,0.0,1.0
2007-07-16,26.8,26.85,26.73,26.74,23.6072,12500.0,0.0,1.0
2007-07-17,26.79,26.82,26.69,26.73,23.5983,12300.0,0.0,1.0
2007-07-18,26.63,26.68,26.46,26.64,23.5189,18200.0,0.0,1.0
2007-07-19,26.8,26.82,26.72,26.81,23.669,10000.0,0.0,1.0
2007-07-20,26.65,26.65,26.3,26.43,23.3335,46700.0,0.0,1.0
2007-07-23,26.5,26.69,26.5,26.52,23.4129,276700.0,0.0,1.0
2007-07-24,26.44,26.44,25.93,26.25,23.1746,106500.0,0.0,1.0
2007-07-25,26.14,26.19,25.87,26.04,22.9892,54100.0,0.0,1.0
2007-07-26,25.72,25.89,25.01,25.3,22.3359,89900.0,0.0,1.0
2007-07-27,25.29,25.38,24.88,24.91,21.9916,64800.0,0.0,1.0
2007-07-30,24.97,25.22,24.83,25.16,22.2123,111000.0,0.0,1.0
2007-07-31,25.28,25.34,24.77,24.77,21.868,69200.0,0.0,1.0
2007-08-01,24.8,25.04,24.04,24.73,21.8326,62300.0,0.0,1.0
2007-08-02,24.84,24.99,24.76,24.99,22.0622,69000.0,0.0,1.0
2007-08-03,24.99,24.99,24.22,24.25,21.4089,82500.0,0.0,1.0
2007-08-06,24.33,24.58,24.04,24.55,21.6737,82900.0,0.0,1.0
2007-08-07,24.44,24.86,24.41,24.6,21.7179,133400.0,0.0,1.0
