date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-10-10,17.0,18.43,15.89,17.28,17.0621,7045100.0,0.0,1.0
2014-10-13,17.08,17.99,17.07,17.5,17.2793,466900.0,0.0,1.0
2014-10-14,18.42,18.42,17.05,17.29,17.0719,168000.0,0.0,1.0
2014-10-15,17.0,17.36,16.58,17.2,16.9831,434900.0,0.0,1.0
2014-10-16,17.35,17.69,17.0,17.48,17.2595,108500.0,0.0,1.0
2014-10-17,17.57,18.74,17.395,17.81,17.5854,217100.0,0.0,1.0
2014-10-20,17.99,18.5,17.81,18.39,18.1581,85600.0,0.0,1.0
2014-10-21,18.97,19.374,18.41,18.91,18.6715,121300.0,0.0,1.0
2014-10-22,19.34,19.5,18.8,18.89,18.6518,128500.0,0.0,1.0
2014-10-23,18.9,19.41,18.84,18.93,18.6913,92100.0,0.0,1.0
2014-10-24,18.85,19.25,18.798,18.81,18.5728,191800.0,0.0,1.0
2014-10-27,18.82,19.86,18.82,19.53,19.2837,127300.0,0.0,1.0
2014-10-28,20.0,20.0,19.1,19.25,19.0072,229700.0,0.0,1.0
2014-10-29,19.2,19.75,19.0,19.1,18.8591,271300.0,0.0,1.0
2014-10-30,19.0,19.7,18.95,19.38,19.1356,190900.0,0.0,1.0
2014-10-31,19.58,19.87,19.05,19.66,19.412,140700.0,0.0,1.0
2014-11-03,19.52,20.49,19.2,20.07,19.8169,108900.0,0.0,1.0
2014-11-04,19.98,22.386,19.925,21.09,20.824,376100.0,0.0,1.0
2014-11-05,21.2,21.2,20.59,20.88,20.6167,168100.0,0.0,1.0
2014-11-06,20.75,21.3,20.5,20.61,20.3501,120400.0,0.0,1.0
2014-11-07,21.0,21.3,20.517,21.3,21.0314,208800.0,0.0,1.0
2014-11-10,21.35,23.33,21.19,22.06,21.7818,322700.0,0.0,1.0
2014-11-11,21.77,22.79,21.77,21.88,21.604,56600.0,0.0,1.0
2014-11-12,21.77,22.15,21.65,21.73,21.4559,160400.0,0.0,1.0
2014-11-13,21.73,22.85,21.67,22.13,21.8509,259800.0,0.0,1.0
2014-11-14,22.25,22.76,22.0,22.58,22.2952,77300.0,0.0,1.0
2014-11-17,22.75,22.95,22.41,22.62,22.3347,85100.0,0.0,1.0
2014-11-18,22.6,22.93,21.96,22.01,21.7324,81900.0,0.0,1.0
2014-11-19,21.9,22.01,20.3,21.33,21.061,133400.0,0.0,1.0
2014-11-20,21.24,21.74,21.1,21.51,21.2387,93400.0,0.0,1.0
2014-11-21,21.41,22.5,21.11,21.94,21.6633,204100.0,0.0,1.0
2014-11-24,22.03,22.108,21.778,21.89,21.6139,33600.0,0.0,1.0
2014-11-25,21.84,22.17,21.25,21.49,21.219,83400.0,0.0,1.0
2014-11-26,22.76,22.98,22.06,22.32,22.0385,304700.0,0.0,1.0
2014-11-28,22.77,23.24,22.34,22.92,22.6309,99600.0,0.0,1.0
2014-12-01,23.31,24.25,22.37,23.0,22.7099,286300.0,0.0,1.0
2014-12-02,23.08,23.2,22.62,23.13,22.8383,425200.0,0.0,1.0
2014-12-03,23.2,23.63,22.75,23.26,22.9666,88600.0,0.0,1.0
2014-12-04,23.42,23.8,23.27,23.71,23.411,170300.0,0.0,1.0
2014-12-05,23.75,23.8,23.58,23.65,23.3517,106200.0,0.0,1.0
2014-12-08,23.5,23.7,23.0,23.23,22.937,151000.0,0.0,1.0
2014-12-09,23.18,23.8,23.0,23.59,23.2925,96600.0,0.0,1.0
2014-12-10,23.47,23.84,23.25,23.66,23.3616,121900.0,0.0,1.0
2014-12-11,23.43,23.84,23.38,23.57,23.2727,58300.0,0.0,1.0
2014-12-12,23.48,23.84,22.62,22.69,22.4038,143400.0,0.0,1.0
2014-12-15,22.7,23.69,21.09,21.59,21.3177,204700.0,0.0,1.0
2014-12-16,21.5,22.21,21.45,21.63,21.3572,241600.0,0.0,1.0
2014-12-17,23.0,24.75,21.89,24.18,23.875,545700.0,0.0,1.0
2014-12-18,24.71,25.99,24.15,25.58,25.2574,354600.0,0.0,1.0
2014-12-19,25.84,25.84,24.75,24.81,24.4971,1195100.0,0.0,1.0
2014-12-22,24.75,25.645,24.6,25.57,25.2475,145800.0,0.0,1.0
2014-12-23,25.6,25.9,24.8,25.83,25.5042,192000.0,0.0,1.0
2014-12-24,25.75,26.56,25.5,25.66,25.3364,72400.0,0.0,1.0
2014-12-26,25.65,26.5,25.01,26.26,25.9288,94800.0,0.0,1.0
