date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-04-19,14.0,14.6,14.0,14.4,3.5051,8628100.0,0.0,1.0
2007-04-20,14.35,14.95,14.35,14.77,3.5952,2351200.0,0.0,1.0
2007-04-23,14.95,14.95,14.59,14.83,3.6098,178800.0,0.0,1.0
2007-04-24,14.88,15.0,14.65,15.0,3.6512,239200.0,0.0,1.0
2007-04-25,14.9,15.0,14.8,14.9,3.6268,311500.0,0.0,1.0
2007-04-26,14.98,14.99,14.82,14.94,3.6366,146000.0,0.0,1.0
2007-04-27,15.0,15.0,14.86,14.91,3.6293,98400.0,0.0,1.0
2007-04-30,14.87,15.0,14.87,14.98,3.6463,288200.0,0.0,1.0
2007-05-01,14.98,15.2,14.95,15.0,3.6512,1052600.0,0.0,1.0
2007-05-02,15.02,15.07,14.91,15.02,3.656,196400.0,0.0,1.0
2007-05-03,15.0,15.05,14.8,14.9,3.6268,271100.0,0.0,1.0
2007-05-04,14.9,14.99,14.9,14.9,3.6268,43000.0,0.0,1.0
2007-05-07,14.9,14.99,14.84,14.88,3.622,92000.0,0.0,1.0
2007-05-08,14.94,15.0,14.77,14.79,3.6,35500.0,0.0,1.0
2007-05-09,14.9,14.94,14.6,14.89,3.6244,89900.0,0.0,1.0
2007-05-10,14.9,14.93,14.77,14.91,3.6293,46200.0,0.0,1.0
2007-05-11,14.8,14.9,14.75,14.9,3.6268,42900.0,0.0,1.0
2007-05-14,14.84,14.9,14.79,14.85,3.6147,30000.0,0.0,1.0
2007-05-15,14.92,14.93,14.79,14.79,3.6,120400.0,0.0,1.0
2007-05-16,14.89,14.9,14.63,14.75,3.5903,243900.0,0.0,1.0
2007-05-17,14.75,14.75,14.42,14.49,3.527,74200.0,0.0,1.0
2007-05-18,14.58,14.75,14.49,14.57,3.5465,28300.0,0.0,1.0
2007-05-21,14.57,14.71,14.4,14.42,3.51,53500.0,0.0,1.0
2007-05-22,14.5,14.7,14.5,14.55,3.5416,46600.0,0.0,1.0
2007-05-23,14.54,14.69,14.4,14.4,3.5051,92900.0,0.0,1.0
2007-05-24,14.5,14.59,14.35,14.49,3.527,21800.0,0.0,1.0
2007-05-25,14.35,14.5,14.35,14.4,3.5051,9900.0,0.0,1.0
2007-05-29,14.4,14.59,14.4,14.5,3.5295,25400.0,0.0,1.0
2007-05-30,14.65,15.0,14.55,14.95,3.639,250900.0,0.0,1.0
2007-05-31,14.98,15.09,14.8,14.97,3.6439,103400.0,0.0,1.0
2007-06-01,14.97,15.17,14.86,14.95,3.639,93100.0,0.0,1.0
2007-06-04,14.96,15.1,14.89,14.95,3.639,75200.0,0.0,1.0
2007-06-05,15.0,15.02,14.83,14.92,3.6317,49500.0,0.0,1.0
2007-06-06,14.73,15.06,14.7,14.98,3.6463,131600.0,0.0,1.0
2007-06-07,15.06,15.06,14.89,15.0,3.6512,231900.0,0.0,1.0
2007-06-08,15.0,15.06,14.87,14.95,3.639,119800.0,0.0,1.0
2007-06-11,14.95,15.05,14.95,15.0,3.6512,115400.0,0.0,1.0
2007-06-12,15.0,15.01,14.7,14.95,3.639,99600.0,0.0,1.0
2007-06-13,15.0,15.05,14.87,15.03,3.6585,181500.0,0.0,1.0
