date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-06-13,24.36,24.55,24.13,24.54,24.498,23800.0,0.0,1.0
2008-06-16,24.9,24.99,24.79,24.94,24.8973,3800.0,0.0,1.0
2008-06-17,24.94,25.07,24.8,25.01,24.9671,3200.0,0.0,1.0
2008-06-18,24.75,24.75,24.47,24.68,24.6377,3500.0,0.0,1.0
2008-06-19,24.65,25.01,24.49,24.98,24.9372,7900.0,0.0,1.0
2008-06-20,24.82,24.82,24.14,24.21,24.1685,17400.0,0.0,1.0
2008-06-23,24.29,24.29,23.96,24.15,24.1086,4800.0,0.0,1.0
2008-06-24,23.77,23.81,23.35,23.54,23.4997,5900.0,0.0,1.0
2008-06-25,23.67,24.19,23.67,24.03,23.9888,7800.0,0.0,1.0
2008-06-26,23.65,23.65,23.23,23.23,23.1902,6300.0,0.0,1.0
2008-06-27,23.21,23.21,22.76,22.8,22.7609,8900.0,0.0,1.0
2008-06-30,22.93,23.02,22.68,22.68,22.6411,2900.0,0.0,1.0
2008-07-01,22.36,22.65,22.22,22.64,22.6012,7400.0,0.0,1.0
2008-07-02,22.88,22.88,22.31,22.31,22.2718,3000.0,0.0,1.0
2008-07-03,22.39,22.39,22.1,22.34,22.3017,1600.0,0.0,1.0
2008-07-07,22.47,22.56,21.93,22.33,22.2917,14200.0,0.0,1.0
2008-07-08,22.22,22.67,22.16,22.65,22.6112,7300.0,0.0,1.0
2008-07-09,22.65,22.65,22.65,22.65,22.6112,0.0,0.0,1.0
2008-07-10,22.53,22.69,22.14,22.32,22.2818,8500.0,0.0,1.0
2008-07-11,22.04,22.4,21.88,22.18,22.142,4100.0,0.0,1.0
2008-07-14,21.67,21.68,21.61,21.68,21.6429,800.0,0.0,1.0
2008-07-15,20.99,21.73,20.78,21.55,21.5131,6700.0,0.0,1.0
2008-07-16,21.73,22.65,21.67,22.61,22.5713,5600.0,0.0,1.0
2008-07-17,22.61,22.61,22.61,22.61,22.5713,0.0,0.0,1.0
2008-07-18,22.61,22.61,22.61,22.61,22.5713,0.0,0.0,1.0
2008-07-21,21.77,21.77,21.76,21.76,21.7227,1800.0,0.0,1.0
2008-07-22,21.76,21.76,21.76,21.76,21.7227,0.0,0.0,1.0
2008-07-23,21.76,21.76,21.76,21.76,21.7227,0.0,0.0,1.0
2008-07-24,22.49,22.52,22.49,22.52,22.4814,3100.0,0.0,1.0
2008-07-25,22.44,22.49,22.43,22.45,22.4115,3500.0,0.0,1.0
2008-07-28,21.99,21.99,21.84,21.84,21.8026,1800.0,0.0,1.0
2008-07-29,22.36,22.38,22.36,22.38,22.3417,1200.0,0.0,1.0
2008-07-30,22.63,22.63,22.52,22.52,22.4814,4400.0,0.0,1.0
2008-07-31,22.38,22.38,22.07,22.11,22.0721,2000.0,0.0,1.0
2008-08-01,22.1,22.1,21.76,22.0,21.9623,6600.0,0.0,1.0
2008-08-04,21.9,21.93,21.74,21.74,21.7028,1900.0,0.0,1.0
2008-08-05,21.94,22.25,21.94,22.25,22.2119,6000.0,0.0,1.0
2008-08-06,21.93,22.27,21.91,22.27,22.2318,9800.0,0.0,1.0
2008-08-07,21.79,21.86,21.78,21.79,21.7527,6200.0,0.0,1.0
2008-08-08,21.7,22.22,21.68,22.22,22.1819,2300.0,0.0,1.0
2008-08-11,22.53,22.81,22.53,22.8,22.7609,2400.0,0.0,1.0
2008-08-12,24.46,24.46,22.61,22.68,22.6411,1700.0,0.0,1.0
2008-08-13,22.57,22.66,22.55,22.55,22.5114,1900.0,0.0,1.0
2008-08-14,22.52,22.92,22.52,22.92,22.8807,2000.0,0.0,1.0
2008-08-15,23.02,23.02,22.76,22.88,22.8408,4500.0,0.0,1.0
2008-08-18,22.64,22.64,22.64,22.64,22.6012,200.0,0.0,1.0
2008-08-19,22.2,22.21,22.15,22.15,22.112,2400.0,0.0,1.0
2008-08-20,22.1,22.14,22.1,22.14,22.1021,1800.0,0.0,1.0
2008-08-21,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-22,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-25,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-26,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-27,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-28,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-08-29,22.14,22.14,22.14,22.14,22.1021,0.0,0.0,1.0
2008-09-02,22.34,22.34,21.77,21.77,21.7327,1200.0,0.0,1.0
2008-09-03,21.77,21.83,21.61,21.61,21.573,900.0,0.0,1.0
2008-09-04,21.61,21.61,21.61,21.61,21.573,0.0,0.0,1.0
2008-09-05,21.61,21.61,21.61,21.61,21.573,0.0,0.0,1.0
2008-09-08,21.2,21.2,21.2,21.2,21.1637,200.0,0.0,1.0
2008-09-09,20.85,20.88,20.76,20.79,20.7544,4500.0,0.0,1.0
2008-09-10,19.99,19.99,19.99,19.99,19.9557,100.0,0.0,1.0
2008-09-11,19.84,19.84,19.81,19.81,19.7761,3700.0,0.0,1.0
2008-09-12,20.43,20.43,20.43,20.43,20.395,100.0,0.0,1.0
2008-09-15,20.43,20.43,20.43,20.43,20.395,0.0,0.0,1.0
2008-09-16,20.43,20.43,20.43,20.43,20.395,0.0,0.0,1.0
2008-09-17,19.92,19.92,19.92,19.92,19.8859,100.0,0.0,1.0
2008-09-18,19.33,20.32,18.99,20.32,20.2852,4400.0,0.0,1.0
2008-09-19,20.32,20.32,20.32,20.32,20.2852,0.0,0.0,1.0
2008-09-22,20.32,20.32,20.32,20.32,20.2852,0.0,0.0,1.0
2008-09-23,19.88,19.9,19.88,19.88,19.8459,1100.0,0.0,1.0
2008-09-24,19.88,19.88,19.88,19.88,19.8459,0.0,0.0,1.0
2008-09-25,20.03,20.31,20.01,20.31,20.2752,3200.0,0.0,1.0
2008-09-26,19.77,19.87,19.69,19.81,19.7761,7100.0,0.0,1.0
2008-09-29,19.9,19.9,17.99,17.99,17.9592,13500.0,0.0,1.0
2008-09-30,18.74,18.86,18.68,18.85,18.8177,8600.0,0.0,1.0
2008-10-01,18.99,18.99,18.62,18.62,18.5881,4700.0,0.0,1.0
2008-10-02,18.29,18.29,17.83,17.83,17.7994,8600.0,0.0,1.0
2008-10-03,17.66,17.66,17.54,17.54,17.5099,1700.0,0.0,1.0
2008-10-06,16.93,16.93,15.93,15.93,15.9027,13500.0,0.0,1.0
2008-10-07,16.65,16.68,16.65,16.65,16.6215,600.0,0.0,1.0
2008-10-08,15.65,15.65,15.65,15.65,15.6232,100.0,0.0,1.0
2008-10-09,15.38,15.38,15.38,15.38,15.3536,200.0,0.0,1.0
2008-10-10,14.65,14.65,14.64,14.64,14.6149,2200.0,0.0,1.0
2008-10-13,14.64,14.64,14.64,14.64,14.6149,0.0,0.0,1.0
2008-10-14,15.5,16.0,15.5,16.0,15.9726,300.0,0.0,1.0
2008-10-15,15.02,15.02,14.98,14.98,14.9543,800.0,0.0,1.0
2008-10-16,14.1,14.1,14.1,14.1,14.0758,2100.0,0.0,1.0
2008-10-17,15.28,15.83,15.23,15.59,15.5633,7600.0,0.0,1.0
2008-10-20,15.41,15.72,15.41,15.72,15.6931,2400.0,0.0,1.0
2008-10-21,15.72,15.72,15.72,15.72,15.6931,0.0,0.0,1.0
2008-10-22,14.37,15.08,14.37,14.81,14.7846,3500.0,0.0,1.0
2008-10-23,14.81,14.81,14.81,14.81,14.7846,0.0,0.0,1.0
2008-10-24,13.1,13.47,12.15,13.47,13.4469,1000.0,0.0,1.0
2008-10-27,13.47,13.47,13.47,13.47,13.4469,0.0,0.0,1.0
2008-10-28,13.47,13.47,13.47,13.47,13.4469,0.0,0.0,1.0
2008-10-29,13.47,13.47,13.47,13.47,13.4469,0.0,0.0,1.0
2008-10-30,13.47,13.47,13.47,13.47,13.4469,0.0,0.0,1.0
2008-10-31,13.47,13.47,13.47,13.47,13.4469,0.0,0.0,1.0
2008-11-03,15.09,15.09,15.0,15.0,14.9743,700.0,0.0,1.0
2008-11-04,15.26,15.26,15.24,15.24,15.2139,200.0,0.0,1.0
2008-11-05,14.97,14.97,14.97,14.97,14.9444,300.0,0.0,1.0
2008-11-06,14.31,14.35,14.31,14.31,14.2855,300.0,0.0,1.0
2008-11-07,14.36,14.36,14.36,14.36,14.3354,300.0,0.0,1.0
2008-11-10,14.36,14.36,14.36,14.36,14.3354,0.0,0.0,1.0
2008-11-11,14.36,14.36,14.36,14.36,14.3354,0.0,0.0,1.0
2008-11-12,12.68,12.68,12.68,12.68,12.6583,200.0,0.0,1.0
2008-11-13,12.29,12.44,12.1,12.44,12.4187,3100.0,0.0,1.0
2008-11-14,12.44,12.44,12.44,12.44,12.4187,0.0,0.0,1.0
2008-11-17,12.53,12.53,12.53,12.53,12.5085,300.0,0.0,1.0
2008-11-18,11.75,11.8,11.75,11.8,11.7798,1200.0,0.0,1.0
2008-11-19,11.8,11.8,11.8,11.8,11.7798,0.0,0.0,1.0
2008-11-20,11.8,11.8,11.8,11.8,11.7798,0.0,0.0,1.0
2008-11-21,10.65,10.65,10.36,10.36,10.3422,400.0,0.0,1.0
2008-11-24,10.36,10.36,10.36,10.36,10.3422,0.0,0.0,1.0
2008-11-25,11.91,11.91,11.91,11.91,11.8896,100.0,0.0,1.0
2008-11-26,12.4,12.48,11.77,12.48,12.4586,3500.0,0.0,1.0
2008-11-28,12.69,12.72,12.67,12.68,12.6583,1100.0,0.0,1.0
2008-12-01,11.92,11.92,11.92,11.92,11.8996,1600.0,0.0,1.0
2008-12-02,12.0,12.0,12.0,12.0,11.9794,200.0,0.0,1.0
2008-12-03,11.75,12.14,11.71,12.13,12.1092,21500.0,0.0,1.0
2008-12-04,12.61,12.61,12.61,12.61,12.5884,500.0,0.0,1.0
2008-12-05,12.61,12.61,12.61,12.61,12.5884,0.0,0.0,1.0
2008-12-08,13.34,13.5,13.34,13.43,13.407,8900.0,0.0,1.0
2008-12-09,14.07,14.07,13.39,13.39,13.3671,300.0,0.0,1.0
2008-12-10,13.39,13.39,13.39,13.39,13.3671,0.0,0.0,1.0
2008-12-11,13.39,13.39,13.39,13.39,13.3671,0.0,0.0,1.0
2008-12-12,13.39,13.39,13.39,13.39,13.3671,0.0,0.0,1.0
2008-12-15,13.39,13.39,13.39,13.39,13.3671,0.0,0.0,1.0
2008-12-16,13.57,13.63,13.57,13.63,13.6066,300.0,0.0,1.0
2008-12-17,13.63,13.63,13.63,13.63,13.6066,0.0,0.0,1.0
2008-12-18,13.63,13.63,13.63,13.63,13.6066,0.0,0.0,1.0
2008-12-19,13.87,13.95,13.87,13.93,13.9194,2400.0,0.013,1.0
2008-12-22,13.82,13.82,13.27,13.27,13.2599,5300.0,0.0,1.0
2008-12-23,13.25,13.25,13.25,13.25,13.2399,100.0,0.0,1.0
2008-12-24,13.26,13.3,13.26,13.3,13.2899,1500.0,0.0,1.0
2008-12-26,13.3,13.3,13.3,13.3,13.2899,0.0,0.0,1.0
2008-12-29,13.3,13.3,13.3,13.3,13.2899,0.0,0.0,1.0
