date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,4.5679,4.642,4.5679,4.6173,3.6162,115300.0,0.0,1.0
1999-08-11,4.5432,4.5926,4.5185,4.5679,3.5776,193600.0,0.0,1.0
1999-08-12,4.5185,4.6173,4.5185,4.5679,3.5776,109300.0,0.0,1.0
1999-08-13,4.5679,4.6049,4.463,4.4691,3.5002,108600.0,0.0,1.0
1999-08-16,4.4444,4.4444,3.963,3.963,3.1038,394800.0,0.0,1.0
1999-08-17,4.1111,4.1481,4.0494,4.1481,3.2488,554100.0,0.0,1.0
1999-08-18,4.1481,4.3951,4.1235,4.3827,3.4325,98500.0,0.0,1.0
1999-08-19,4.4444,4.4691,4.3457,4.4444,3.4809,211900.0,0.0,1.0
1999-08-20,4.358,4.3827,4.358,4.3704,3.4228,10300.0,0.0,1.0
1999-08-23,4.3827,4.4444,4.3827,4.4074,3.4519,20400.0,0.0,1.0
1999-08-24,4.358,4.358,4.358,4.358,3.4132,6900.0,0.0,1.0
1999-08-25,4.3457,4.4691,4.3457,4.4691,3.5002,54600.0,0.0,1.0
1999-08-26,4.3951,4.4691,4.3827,4.4568,3.4905,185500.0,0.0,1.0
1999-08-27,4.3704,4.4198,4.3457,4.3951,3.4422,20400.0,0.0,1.0
1999-08-30,4.3951,4.4074,4.3827,4.4074,3.4519,14100.0,0.0,1.0
1999-08-31,4.358,4.5432,4.358,4.5432,3.5582,131500.0,0.0,1.0
1999-09-01,4.4691,4.6914,4.4691,4.6667,3.6549,128800.0,0.0,1.0
1999-09-02,4.6173,4.6667,4.5926,4.642,3.6356,25200.0,0.0,1.0
1999-09-03,4.6914,4.8395,4.6173,4.7654,3.7323,49500.0,0.0,1.0
1999-09-07,4.679,4.8642,4.679,4.8395,3.7903,56800.0,0.0,1.0
1999-09-08,4.8395,4.8395,4.6914,4.6914,3.6742,35700.0,0.0,1.0
1999-09-09,4.6667,4.6698,4.642,4.642,3.6356,44700.0,0.0,1.0
1999-09-10,4.642,4.6914,4.6173,4.6296,3.6259,38700.0,0.0,1.0
1999-09-13,4.5926,4.6173,4.5926,4.5926,3.5969,272700.0,0.0,1.0
1999-09-14,4.5432,4.5432,4.3457,4.3827,3.4325,2010100.0,0.0,1.0
1999-09-15,4.3827,4.4074,4.3333,4.4074,3.4519,811300.0,0.0,1.0
1999-09-16,4.358,4.3704,4.3457,4.3704,3.4228,64000.0,0.0,1.0
1999-09-17,4.3951,4.4938,4.3827,4.4815,3.5099,71100.0,0.0,1.0
1999-09-20,4.4444,4.4691,4.3457,4.4691,3.5002,203400.0,0.0,1.0
1999-09-21,4.4321,4.4691,4.4321,4.4444,3.4809,76900.0,0.0,1.0
1999-09-22,4.4568,4.5926,4.4568,4.5926,3.5969,202600.0,0.0,1.0
1999-09-23,4.5432,4.5926,4.5432,4.5432,3.5582,236800.0,0.0,1.0
1999-09-24,4.4938,4.4938,4.4444,4.4691,3.5002,188200.0,0.0,1.0
1999-09-27,4.4815,4.4815,4.4691,4.4691,3.5002,2800.0,0.0,1.0
1999-09-28,4.4691,4.4938,4.4691,4.4938,3.5195,16300.0,0.0,1.0
1999-09-29,4.4815,4.5062,4.4691,4.4815,3.5099,34300.0,0.0,1.0
1999-09-30,4.4877,4.642,4.4691,4.642,3.6356,355600.0,0.0,1.0
1999-10-01,4.642,4.6914,4.5679,4.6667,3.6549,132400.0,0.0,1.0
1999-10-04,4.6296,4.6667,4.6296,4.642,3.6356,131500.0,0.0,1.0
1999-10-05,4.642,4.6728,4.6296,4.6296,3.6259,29200.0,0.0,1.0
1999-10-06,4.6173,4.6914,4.5926,4.642,3.6356,294900.0,0.0,1.0
1999-10-07,4.6543,4.7901,4.6543,4.7654,3.7323,51900.0,0.0,1.0
1999-10-08,4.7346,4.7346,4.642,4.642,3.6356,44700.0,0.0,1.0
1999-10-11,4.716,4.716,4.5926,4.5926,3.5969,496900.0,0.0,1.0
1999-10-12,4.5926,4.6173,4.5679,4.5679,3.5776,141700.0,0.0,1.0
1999-10-13,4.5679,4.5802,4.5432,4.5679,3.5776,401800.0,0.0,1.0
1999-10-14,4.5432,4.5679,4.5309,4.5309,3.5485,91300.0,0.0,1.0
1999-10-15,4.5679,4.5679,4.3704,4.4691,3.5002,287700.0,0.0,1.0
1999-10-18,4.4321,4.4938,4.4198,4.4938,3.5195,21100.0,0.0,1.0
1999-10-19,4.4691,4.5432,4.4198,4.4444,3.4809,548700.0,0.0,1.0
1999-10-20,4.4444,4.4444,4.4198,4.4444,3.4809,70200.0,0.0,1.0
1999-10-21,4.4321,4.4444,4.3827,4.4198,3.4615,502200.0,0.0,1.0
1999-10-22,4.4568,4.4568,4.4198,4.4321,3.4712,237700.0,0.0,1.0
1999-10-25,4.4198,4.4444,4.4198,4.4321,3.4712,98500.0,0.0,1.0
1999-10-26,4.4444,4.4938,4.4321,4.4568,3.4905,143700.0,0.0,1.0
1999-10-27,4.4938,4.4938,4.4444,4.4815,3.5099,108100.0,0.0,1.0
1999-10-28,4.4938,4.4938,4.4444,4.4568,3.4905,68100.0,0.0,1.0
1999-10-29,4.4444,4.4815,4.4444,4.4815,3.5099,164800.0,0.0,1.0
1999-11-01,4.4444,4.4691,4.4198,4.4568,3.4905,378000.0,0.0,1.0
1999-11-02,4.3951,4.4691,4.3951,4.4691,3.5002,228700.0,0.0,1.0
1999-11-03,4.4691,4.4938,4.3951,4.4444,3.4809,450900.0,0.0,1.0
1999-11-04,4.4444,4.5679,4.4444,4.5679,3.5776,101400.0,0.0,1.0
1999-11-05,4.5432,4.5926,4.5432,4.5802,3.5872,100500.0,0.0,1.0
1999-11-08,4.5556,4.642,4.5556,4.6173,3.6162,54600.0,0.0,1.0
1999-11-09,4.5679,4.6173,4.5679,4.6049,3.6066,89200.0,0.0,1.0
1999-11-10,4.6049,4.6914,4.5432,4.6914,3.6742,208800.0,0.0,1.0
1999-11-11,4.5926,5.2346,4.5926,5.1235,4.0127,239100.0,0.0,1.0
1999-11-12,5.0247,5.0247,4.9259,4.9259,3.858,21100.0,0.0,1.0
1999-11-15,4.9259,4.9259,4.6173,4.6173,3.6162,63600.0,0.0,1.0
1999-11-16,4.6296,4.6296,4.5432,4.5926,3.5969,185500.0,0.0,1.0
1999-11-17,4.5432,4.5926,4.5185,4.5185,3.5389,62700.0,0.0,1.0
1999-11-18,4.5926,4.7654,4.5926,4.6914,3.6742,34600.0,0.0,1.0
1999-11-19,4.7778,4.7778,4.5679,4.5802,3.5872,67600.0,0.0,1.0
1999-11-22,4.5926,4.6049,4.5926,4.5926,3.5969,39700.0,0.0,1.0
1999-11-23,4.642,4.8025,4.5926,4.6173,3.6162,182400.0,0.0,1.0
1999-11-24,4.6173,4.9383,4.6173,4.9136,3.8483,130900.0,0.0,1.0
1999-11-26,4.9383,4.9383,4.7778,4.7901,3.7516,49500.0,0.0,1.0
1999-11-29,4.8395,4.8642,4.6667,4.6667,3.6549,37800.0,0.0,1.0
1999-11-30,4.7654,4.7654,4.5926,4.6667,3.6549,221500.0,0.0,1.0
1999-12-01,4.5926,4.6667,4.5679,4.642,3.6356,73000.0,0.0,1.0
1999-12-02,4.571,4.6451,4.5679,4.642,3.6356,70800.0,0.0,1.0
1999-12-03,4.571,4.642,4.5679,4.6173,3.6162,55500.0,0.0,1.0
1999-12-06,4.642,4.642,4.5957,4.6296,3.6259,75700.0,0.0,1.0
