date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,4.875,4.9375,4.7188,4.7188,3.2236,59300.0,0.0,1.0
1999-08-11,4.75,4.9063,4.75,4.875,3.3303,29500.0,0.0,1.0
1999-08-12,4.9375,5.0313,4.75,5.0,3.4157,62000.0,0.0,1.0
1999-08-13,5.25,5.25,4.75,4.8125,3.2876,20500.0,0.0,1.0
1999-08-16,4.6875,4.875,4.6875,4.75,3.2449,32800.0,0.0,1.0
1999-08-17,4.6875,4.875,4.625,4.6875,3.2022,33100.0,0.0,1.0
1999-08-18,4.875,4.9375,4.6563,4.9063,3.3517,46200.0,0.0,1.0
1999-08-19,4.9375,4.9375,4.5,4.5313,3.0955,56100.0,0.0,1.0
1999-08-20,4.5,4.9688,4.5,4.9688,3.3944,52200.0,0.0,1.0
1999-08-23,4.9531,5.0,4.75,5.0,3.4157,24800.0,0.0,1.0
1999-08-24,4.8125,4.8125,4.5625,4.75,3.2449,57600.0,0.0,1.0
1999-08-25,4.5313,4.625,4.5313,4.5625,3.1168,13100.0,0.0,1.0
1999-08-26,4.5625,4.875,4.4219,4.5,3.0741,82700.0,0.0,1.0
1999-08-27,4.4375,4.8125,4.4375,4.8125,3.2876,27800.0,0.0,1.0
1999-08-30,4.875,5.0,4.4375,4.75,3.2449,44800.0,0.0,1.0
1999-08-31,4.5625,4.9375,4.5625,4.9375,3.373,28200.0,0.0,1.0
1999-09-01,4.7188,4.9375,4.5,4.9063,3.3517,26600.0,0.0,1.0
1999-09-02,4.9375,5.0,4.875,4.9063,3.3517,28200.0,0.0,1.0
1999-09-03,4.875,5.0,4.7188,4.9688,3.3944,24600.0,0.0,1.0
1999-09-07,4.9688,5.0,4.6875,4.6875,3.2022,48900.0,0.0,1.0
1999-09-08,4.6875,4.8125,4.25,4.3125,2.9461,43900.0,0.0,1.0
1999-09-09,4.25,4.3125,4.125,4.25,2.9034,23000.0,0.0,1.0
1999-09-10,4.25,4.5,4.25,4.25,2.9034,7800.0,0.0,1.0
1999-09-13,4.5,4.5,4.25,4.3125,2.9461,31300.0,0.0,1.0
1999-09-14,4.5,4.625,4.3125,4.375,2.9887,15700.0,0.0,1.0
1999-09-15,4.375,4.5,4.2813,4.375,2.9887,17300.0,0.0,1.0
1999-09-16,4.3125,4.375,4.3125,4.375,2.9887,1500.0,0.0,1.0
1999-09-17,4.3125,4.5,4.3125,4.3125,2.9461,7400.0,0.0,1.0
1999-09-20,4.375,4.375,4.1563,4.1563,2.8393,13400.0,0.0,1.0
1999-09-21,4.1563,4.25,3.0313,3.1875,2.1775,408800.0,0.0,1.0
1999-09-22,3.5,3.625,3.25,3.5,2.391,107800.0,0.0,1.0
1999-09-23,3.5625,3.6875,3.25,3.25,2.2202,38700.0,0.0,1.0
1999-09-24,3.25,3.3438,3.0625,3.0938,2.1135,22500.0,0.0,1.0
1999-09-27,3.2344,3.3125,3.0313,3.0938,2.1135,49900.0,0.0,1.0
1999-09-28,3.0938,3.2188,2.9063,2.9688,2.0281,63500.0,0.0,1.0
1999-09-29,3.0156,3.125,2.9375,3.0625,2.0921,37900.0,0.0,1.0
1999-09-30,2.9375,3.2813,2.9375,3.125,2.1348,32700.0,0.0,1.0
1999-10-01,3.0625,3.125,2.9375,3.0938,2.1135,51100.0,0.0,1.0
1999-10-04,2.9688,3.0938,2.9688,3.0,2.0494,17800.0,0.0,1.0
1999-10-05,2.9375,3.0625,2.8125,2.8125,1.9213,32300.0,0.0,1.0
1999-10-06,2.9063,2.9063,2.8125,2.875,1.964,25200.0,0.0,1.0
1999-10-07,2.9688,2.9688,2.5,2.8125,1.9213,208000.0,0.0,1.0
1999-10-08,2.75,2.75,2.5625,2.75,1.8786,36100.0,0.0,1.0
1999-10-11,2.7188,2.8125,2.6563,2.75,1.8786,20600.0,0.0,1.0
1999-10-12,2.75,3.0,2.75,3.0,2.0494,67600.0,0.0,1.0
1999-10-13,3.0,3.0625,2.875,2.9375,2.0067,28600.0,0.0,1.0
1999-10-14,2.9531,2.9688,2.7813,2.7813,1.9,9000.0,0.0,1.0
1999-10-15,2.8125,3.625,2.7813,3.4063,2.327,96900.0,0.0,1.0
1999-10-18,3.5,3.9688,3.25,3.5938,2.455,99600.0,0.0,1.0
1999-10-19,3.6406,3.7188,3.2813,3.4688,2.3697,89700.0,0.0,1.0
1999-10-20,3.6875,3.6875,3.1563,3.3438,2.2843,66800.0,0.0,1.0
1999-10-21,3.2188,3.3438,3.2188,3.25,2.2202,73100.0,0.0,1.0
1999-10-22,3.2813,3.2813,3.25,3.25,2.2202,2000.0,0.0,1.0
1999-10-25,3.2188,3.25,2.5625,3.0625,2.0921,94900.0,0.0,1.0
1999-10-26,3.0313,3.2188,2.875,3.1563,2.1562,46400.0,0.0,1.0
1999-10-27,3.0938,3.0938,2.9375,3.0,2.0494,26500.0,0.0,1.0
1999-10-28,3.0313,3.0313,2.9375,2.9688,2.0281,29500.0,0.0,1.0
1999-10-29,3.0,3.0625,2.875,2.9688,2.0281,56600.0,0.0,1.0
1999-11-01,2.9688,2.9688,2.5313,2.75,1.8786,81500.0,0.0,1.0
1999-11-02,2.7188,2.75,2.5,2.625,1.7932,87700.0,0.0,1.0
1999-11-03,2.5938,2.6563,2.2813,2.375,1.6225,138700.0,0.0,1.0
1999-11-04,2.3125,3.0625,2.125,2.5625,1.7506,65800.0,0.0,1.0
1999-11-05,2.625,3.0,2.625,3.0,2.0494,75900.0,0.0,1.0
1999-11-08,2.8125,3.0,2.6563,2.6875,1.8359,27600.0,0.0,1.0
1999-11-09,2.9375,2.9375,2.625,2.75,1.8786,16500.0,0.0,1.0
1999-11-10,2.8125,2.9375,2.625,2.8438,1.9427,23700.0,0.0,1.0
1999-11-11,2.9219,2.9688,2.8125,2.875,1.964,18900.0,0.0,1.0
1999-11-12,2.8125,2.9375,2.6875,2.9063,1.9854,9300.0,0.0,1.0
1999-11-15,2.875,2.9063,2.7813,2.8125,1.9213,26300.0,0.0,1.0
1999-11-16,2.8125,2.8438,2.6875,2.8125,1.9213,45800.0,0.0,1.0
1999-11-17,2.8281,2.8438,2.6875,2.8438,1.9427,37000.0,0.0,1.0
1999-11-18,2.8125,2.8438,2.7813,2.8125,1.9213,20000.0,0.0,1.0
1999-11-19,2.75,2.8125,2.6563,2.8125,1.9213,68200.0,0.0,1.0
1999-11-22,2.6875,2.8125,2.5313,2.5313,1.7292,37000.0,0.0,1.0
1999-11-23,2.5625,2.5625,2.5,2.5,1.7079,36300.0,0.0,1.0
1999-11-24,2.375,2.4063,2.0,2.1875,1.4944,127800.0,0.0,1.0
1999-11-26,2.25,2.25,2.125,2.25,1.5371,46900.0,0.0,1.0
1999-11-29,2.25,2.3125,2.125,2.25,1.5371,50100.0,0.0,1.0
1999-11-30,2.1875,2.2031,1.875,2.0938,1.4303,47700.0,0.0,1.0
1999-12-01,2.125,2.125,2.0313,2.0313,1.3876,29100.0,0.0,1.0
1999-12-02,2.0469,2.0938,2.0,2.0,1.3663,66800.0,0.0,1.0
1999-12-03,1.9531,2.0,1.875,1.9063,1.3022,75200.0,0.0,1.0
1999-12-06,1.9063,1.9688,1.875,1.9688,1.3449,108000.0,0.0,1.0
1999-12-07,1.9688,2.375,1.9688,2.25,1.5371,150700.0,0.0,1.0
1999-12-08,2.2656,3.0,2.0625,2.1875,1.4944,243800.0,0.0,1.0
1999-12-09,2.25,2.3125,2.125,2.125,1.4517,65400.0,0.0,1.0
1999-12-10,2.0625,2.2188,2.0313,2.125,1.4517,58600.0,0.0,1.0
1999-12-13,2.125,2.3438,2.0,2.3438,1.6011,102000.0,0.0,1.0
1999-12-14,2.2969,2.3438,2.0938,2.125,1.4517,38600.0,0.0,1.0
1999-12-15,2.125,2.1875,2.0313,2.0938,1.4303,50500.0,0.0,1.0
1999-12-16,2.0938,2.125,2.0,2.0313,1.3876,43800.0,0.0,1.0
1999-12-17,2.0313,2.0625,2.0313,2.0313,1.3876,37100.0,0.0,1.0
1999-12-20,2.0469,2.0469,1.9063,1.9375,1.3236,92100.0,0.0,1.0
1999-12-21,1.9219,1.9688,1.75,1.75,1.1955,80800.0,0.0,1.0
1999-12-22,1.7813,1.875,1.5625,1.5625,1.0674,142600.0,0.0,1.0
1999-12-23,1.5781,1.8438,1.5625,1.75,1.1955,151100.0,0.0,1.0
1999-12-27,1.8281,1.8438,1.625,1.6563,1.1315,129200.0,0.0,1.0
1999-12-28,1.6719,1.8438,1.6563,1.6875,1.1528,99900.0,0.0,1.0
1999-12-29,1.7031,1.7188,1.6563,1.6563,1.1315,191900.0,0.0,1.0
1999-12-30,1.6563,1.7188,1.5938,1.5938,1.0888,190700.0,0.0,1.0
1999-12-31,1.5938,1.6563,1.5625,1.5938,1.0888,93800.0,0.0,1.0
2000-01-03,1.7031,1.7031,1.5313,1.5313,1.0461,34800.0,0.0,1.0
2000-01-04,1.5313,1.625,1.5313,1.625,1.1101,28800.0,0.0,1.0
2000-01-05,1.6875,1.75,1.625,1.6563,1.1315,66800.0,0.0,1.0
2000-01-06,1.6875,1.7188,1.5625,1.5938,1.0888,27800.0,0.0,1.0
2000-01-07,1.6563,1.6563,1.5938,1.625,1.1101,27300.0,0.0,1.0
2000-01-10,1.625,1.9375,1.625,1.9063,1.3022,179000.0,0.0,1.0
2000-01-11,1.75,1.875,1.75,1.8125,1.2382,53500.0,0.0,1.0
2000-01-12,1.875,1.9375,1.8438,1.9375,1.3236,43800.0,0.0,1.0
2000-01-13,2.0,2.125,1.9375,2.0313,1.3876,62400.0,0.0,1.0
2000-01-14,2.0938,2.2188,2.0313,2.0625,1.409,48700.0,0.0,1.0
2000-01-18,2.0313,2.4688,2.0,2.3438,1.6011,226700.0,0.0,1.0
2000-01-19,2.3906,2.4375,2.125,2.25,1.5371,44500.0,0.0,1.0
