date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-04-07,25.33,25.39,25.32,25.38,23.4001,2800.0,0.0,1.0
2010-04-08,25.16,25.34,25.16,25.33,23.354,1800.0,0.0,1.0
2010-04-09,25.27,25.27,25.21,25.25,23.2802,2300.0,0.0,1.0
2010-04-12,25.41,25.49,25.38,25.49,23.5015,2200.0,0.0,1.0
2010-04-13,25.49,25.49,25.49,25.49,23.5015,0.0,0.0,1.0
2010-04-14,25.87,25.87,25.87,25.87,23.8519,100.0,0.0,1.0
2010-04-15,25.93,26.05,25.93,26.05,24.0178,1100.0,0.0,1.0
2010-04-16,26.11,26.11,25.92,25.92,23.898,1200.0,0.0,1.0
2010-04-19,25.92,25.92,25.92,25.92,23.898,0.0,0.0,1.0
2010-04-20,26.06,26.06,25.99,26.05,24.0178,4100.0,0.0,1.0
2010-04-21,26.11,26.34,26.11,26.34,24.2852,6300.0,0.0,1.0
2010-04-22,26.03,26.79,26.03,26.79,24.7001,4200.0,0.0,1.0
2010-04-23,26.9,27.06,26.9,27.06,24.949,1300.0,0.0,1.0
2010-04-26,27.31,27.31,27.2,27.24,25.115,3600.0,0.0,1.0
2010-04-27,26.96,27.2,26.5,26.5,24.4327,37900.0,0.0,1.0
2010-04-28,26.63,26.72,26.63,26.67,24.5894,3300.0,0.0,1.0
2010-04-29,26.7,27.1,26.66,27.08,24.9675,21200.0,0.0,1.0
2010-04-30,27.19,27.19,26.52,26.52,24.4511,7700.0,0.0,1.0
2010-05-03,26.73,27.15,26.68,27.15,25.032,19400.0,0.0,1.0
2010-05-04,26.76,26.76,26.31,26.31,24.2575,600.0,0.0,1.0
2010-05-05,25.97,26.05,25.86,25.86,23.8426,600.0,0.0,1.0
2010-05-06,25.9,26.13,11.0,24.92,22.976,23000.0,0.0,1.0
2010-05-07,24.91,24.96,24.26,24.33,22.432,4400.0,0.0,1.0
2010-05-10,25.4,25.53,25.27,25.53,23.5384,6000.0,0.0,1.0
2010-05-11,25.22,25.87,25.22,25.87,23.8519,1000.0,0.0,1.0
2010-05-12,26.27,26.63,26.2,26.61,24.5341,1800.0,0.0,1.0
2010-05-13,26.68,26.76,26.62,26.62,24.5433,1400.0,0.0,1.0
2010-05-14,25.94,25.94,25.94,25.94,23.9164,200.0,0.0,1.0
2010-05-17,26.15,26.21,25.67,26.21,24.1653,4900.0,0.0,1.0
2010-05-18,26.52,26.52,25.75,25.75,23.7412,9200.0,0.0,1.0
2010-05-19,25.7,25.7,24.95,25.13,23.1696,3400.0,0.0,1.0
2010-05-20,24.03,24.63,23.85,23.85,21.9894,30800.0,0.0,1.0
2010-05-21,23.02,24.06,23.02,24.06,22.1831,400.0,0.0,1.0
2010-05-24,23.92,23.96,23.73,23.73,21.8788,1900.0,0.0,1.0
2010-05-25,23.0,23.44,23.0,23.44,21.6114,1800.0,0.0,1.0
2010-05-26,24.1,24.1,23.66,23.66,21.8143,600.0,0.0,1.0
2010-05-27,23.66,23.66,23.66,23.66,21.8143,0.0,0.0,1.0
2010-05-28,24.19,24.44,24.19,24.35,22.4504,2600.0,0.0,1.0
2010-06-01,23.7,24.12,23.5,23.58,21.7405,3600.0,0.0,1.0
2010-06-02,23.83,24.15,23.83,24.12,22.2384,800.0,0.0,1.0
2010-06-03,24.47,24.47,24.47,24.47,22.5611,200.0,0.0,1.0
2010-06-04,24.47,24.47,24.47,24.47,22.5611,0.0,0.0,1.0
2010-06-07,23.74,23.74,22.64,22.64,20.8738,2000.0,0.0,1.0
2010-06-08,22.64,22.64,22.64,22.64,20.8738,0.0,0.0,1.0
2010-06-09,22.83,22.83,22.83,22.83,21.049,200.0,0.0,1.0
2010-06-10,23.15,23.48,23.14,23.48,21.6483,800.0,0.0,1.0
2010-06-11,23.67,23.7,23.55,23.7,21.8511,600.0,0.0,1.0
2010-06-14,23.98,23.98,23.98,23.98,22.1093,1000.0,0.0,1.0
2010-06-15,24.05,24.55,24.05,24.55,22.6348,3400.0,0.0,1.0
2010-06-16,24.4,24.4,24.4,24.4,22.4965,200.0,0.0,1.0
2010-06-17,24.4,24.4,24.4,24.4,22.4965,0.0,0.0,1.0
2010-06-18,24.36,24.45,24.36,24.45,22.5657,1200.0,0.025,1.0
2010-06-21,24.29,24.29,24.29,24.29,22.4181,100.0,0.0,1.0
2010-06-22,24.35,24.35,24.35,24.35,22.4735,400.0,0.0,1.0
2010-06-23,24.35,24.35,24.35,24.35,22.4735,0.0,0.0,1.0
2010-06-24,23.87,23.87,23.87,23.87,22.0304,1000.0,0.0,1.0
2010-06-25,23.87,23.87,23.87,23.87,22.0304,0.0,0.0,1.0
2010-06-28,23.87,23.87,23.87,23.87,22.0304,0.0,0.0,1.0
2010-06-29,23.35,23.35,23.01,23.01,21.2367,2000.0,0.0,1.0
2010-06-30,23.01,23.01,23.01,23.01,21.2367,0.0,0.0,1.0
2010-07-01,23.01,23.01,23.01,23.01,21.2367,0.0,0.0,1.0
2010-07-02,23.01,23.01,23.01,23.01,21.2367,0.0,0.0,1.0
2010-07-06,23.01,23.01,23.01,23.01,21.2367,0.0,0.0,1.0
2010-07-07,23.01,23.01,23.01,23.01,21.2367,0.0,0.0,1.0
2010-07-08,22.85,22.85,22.85,22.85,21.0891,200.0,0.0,1.0
2010-07-09,23.11,23.12,23.11,23.12,21.3382,5000.0,0.0,1.0
2010-07-12,22.95,22.95,22.95,22.95,21.1814,300.0,0.0,1.0
2010-07-13,22.95,22.95,22.95,22.95,21.1814,0.0,0.0,1.0
2010-07-14,22.95,22.95,22.95,22.95,21.1814,0.0,0.0,1.0
2010-07-15,22.95,22.95,22.95,22.95,21.1814,0.0,0.0,1.0
2010-07-16,22.79,22.79,22.63,22.63,20.886,16800.0,0.0,1.0
2010-07-19,22.76,22.76,22.76,22.76,21.006,3000.0,0.0,1.0
2010-07-20,22.66,23.28,22.66,23.28,21.4859,27500.0,0.0,1.0
2010-07-21,23.28,23.28,23.28,23.28,21.4859,0.0,0.0,1.0
2010-07-22,23.81,23.81,23.75,23.75,21.9197,1400.0,0.0,1.0
2010-07-23,23.75,23.75,23.75,23.75,21.9197,0.0,0.0,1.0
2010-07-26,24.83,24.83,24.81,24.81,22.898,1000.0,0.0,1.0
2010-07-27,25.22,25.22,24.92,24.92,22.9995,1300.0,0.0,1.0
2010-07-28,24.92,24.92,24.92,24.92,22.9995,0.0,0.0,1.0
2010-07-29,24.71,24.71,24.65,24.65,22.7503,1500.0,0.0,1.0
2010-07-30,24.65,24.65,24.65,24.65,22.7503,0.0,0.0,1.0
2010-08-02,24.92,24.92,24.92,24.92,22.9995,100.0,0.0,1.0
2010-08-03,24.92,24.92,24.92,24.92,22.9995,0.0,0.0,1.0
2010-08-04,24.92,24.92,24.92,24.92,22.9995,0.0,0.0,1.0
2010-08-05,24.52,24.52,24.5,24.5,22.6119,2000.0,0.0,1.0
2010-08-06,24.5,24.5,24.5,24.5,22.6119,0.0,0.0,1.0
2010-08-09,24.44,24.44,24.44,24.44,22.5565,300.0,0.0,1.0
2010-08-10,23.96,24.26,23.96,24.08,22.2243,3100.0,0.0,1.0
2010-08-11,23.88,23.88,23.03,23.03,21.2552,786800.0,0.0,1.0
2010-08-12,22.66,22.98,22.66,22.85,21.0891,16600.0,0.0,1.0
2010-08-13,22.81,22.85,22.66,22.79,21.0337,21100.0,0.0,1.0
2010-08-16,22.61,22.89,22.5,22.8,21.0429,20300.0,0.0,1.0
2010-08-17,23.06,23.5,23.05,23.35,21.5505,22300.0,0.0,1.0
2010-08-18,23.11,23.4,23.06,23.35,21.5505,2800.0,0.0,1.0
2010-08-19,23.02,23.02,22.64,22.64,20.8952,5300.0,0.0,1.0
2010-08-20,22.33,22.47,22.19,22.47,20.7383,21500.0,0.0,1.0
