date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-12-12,15.0,16.0,14.54,15.86,2.6192,7849200.0,0.0,1.0
2006-12-13,16.0,16.31,15.5,15.9,2.6258,1015000.0,0.0,1.0
2006-12-14,15.7,15.9,15.54,15.79,2.6076,321200.0,0.0,1.0
2006-12-15,15.6,16.21,15.58,15.99,2.6407,337600.0,0.0,1.0
2006-12-18,15.85,16.3,15.85,15.93,2.6308,244100.0,0.0,1.0
2006-12-19,16.0,16.3,15.85,15.9,2.6258,256700.0,0.0,1.0
2006-12-20,15.9,16.75,15.85,16.68,2.7546,277000.0,0.0,1.0
2006-12-21,16.75,16.75,15.9,16.3,2.6919,204000.0,0.0,1.0
2006-12-22,16.55,16.63,16.0,16.39,2.7067,125000.0,0.0,1.0
2006-12-26,16.45,16.45,16.0,16.34,2.6985,62200.0,0.0,1.0
2006-12-27,16.5,17.3,16.27,17.18,2.8372,169900.0,0.0,1.0
2006-12-28,17.19,17.69,16.86,17.45,2.8818,187700.0,0.0,1.0
2006-12-29,17.62,17.7,17.2,17.3,2.857,136400.0,0.0,1.0
2007-01-03,17.3,17.3,16.55,16.9,2.7909,261100.0,0.0,1.0
2007-01-04,16.81,16.99,16.59,16.81,2.7761,91000.0,0.0,1.0
2007-01-05,16.8,16.8,16.65,16.71,2.7596,45700.0,0.0,1.0
2007-01-08,16.85,16.85,16.45,16.72,2.7612,62800.0,0.0,1.0
2007-01-09,16.72,16.75,16.57,16.66,2.7513,56900.0,0.0,1.0
2007-01-10,16.57,16.75,15.95,16.26,2.6853,124700.0,0.0,1.0
2007-01-11,16.23,16.54,16.23,16.33,2.6968,117800.0,0.0,1.0
2007-01-12,16.36,16.4,16.17,16.27,2.6869,117400.0,0.0,1.0
2007-01-16,16.82,16.82,16.16,16.55,2.7331,104500.0,0.0,1.0
2007-01-17,16.68,16.78,16.35,16.6,2.7414,68300.0,0.0,1.0
2007-01-18,16.47,16.82,16.45,16.5,2.7249,95600.0,0.0,1.0
2007-01-19,16.35,16.6,16.1,16.36,2.7018,133400.0,0.0,1.0
2007-01-22,16.5,17.15,16.5,16.91,2.7926,166500.0,0.0,1.0
2007-01-23,17.26,17.45,16.9,17.16,2.8339,261100.0,0.0,1.0
2007-01-24,17.5,17.65,17.1,17.26,2.8504,130800.0,0.0,1.0
2007-01-25,17.61,17.65,17.0,17.2,2.8405,214900.0,0.0,1.0
2007-01-26,17.74,17.79,17.18,17.61,2.9082,170300.0,0.0,1.0
2007-01-29,17.75,17.89,17.53,17.79,2.9379,106300.0,0.0,1.0
2007-01-30,17.89,18.0,17.71,18.0,2.9726,107500.0,0.0,1.0
2007-01-31,17.97,17.97,17.71,17.88,2.9528,93400.0,0.0,1.0
2007-02-01,17.86,17.86,17.44,17.45,2.8818,137100.0,0.0,1.0
2007-02-02,17.55,17.6,17.4,17.5,2.89,74800.0,0.0,1.0
2007-02-05,17.6,17.6,17.27,17.37,2.8686,59000.0,0.0,1.0
2007-02-06,17.81,17.81,17.39,17.47,2.8851,78900.0,0.0,1.0
2007-02-07,17.6,17.62,17.24,17.29,2.8554,127200.0,0.0,1.0
2007-02-08,17.65,17.65,17.21,17.38,2.8702,77600.0,0.0,1.0
2007-02-09,17.75,17.75,17.2,17.2,2.8405,90700.0,0.0,1.0
2007-02-12,17.19,17.3,16.95,16.95,2.7992,127300.0,0.0,1.0
2007-02-13,17.62,17.62,16.96,17.3,2.857,72300.0,0.0,1.0
2007-02-14,17.4,17.55,17.25,17.45,2.8818,64300.0,0.0,1.0
2007-02-15,17.61,17.61,17.16,17.37,2.8686,56900.0,0.0,1.0
2007-02-16,17.45,17.62,17.15,17.16,2.8339,95700.0,0.0,1.0
2007-02-20,17.39,17.57,17.16,17.32,2.8603,59100.0,0.0,1.0
2007-02-21,17.39,17.64,17.18,17.33,2.862,69400.0,0.0,1.0
2007-02-22,17.45,17.74,17.21,17.3,2.857,200200.0,0.0,1.0
2007-02-23,17.68,17.72,17.12,17.3,2.857,53700.0,0.0,1.0
2007-02-26,17.32,17.32,16.65,16.79,2.7728,119400.0,0.0,1.0
2007-02-27,16.85,16.85,15.9,16.15,2.6671,146800.0,0.0,1.0
2007-02-28,16.17,16.28,15.54,15.94,2.6324,202500.0,0.0,1.0
2007-03-01,15.69,16.49,15.65,15.8,2.6093,178600.0,0.0,1.0
2007-03-02,15.81,16.01,15.6,15.65,2.5845,116200.0,0.0,1.0
2007-03-05,15.65,15.65,14.91,15.05,2.4854,309200.0,0.0,1.0
2007-03-06,15.15,15.65,15.15,15.38,2.5399,129500.0,0.0,1.0
2007-03-07,15.51,15.75,15.47,15.55,2.568,62900.0,0.0,1.0
2007-03-08,15.5,15.6,15.15,15.18,2.5069,78600.0,0.0,1.0
2007-03-09,15.11,15.52,15.07,15.39,2.5416,56000.0,0.0,1.0
2007-03-12,15.36,15.76,15.24,15.69,2.5911,48400.0,0.0,1.0
2007-03-13,15.79,15.79,15.22,15.5,2.5597,69200.0,0.0,1.0
2007-03-14,15.37,15.66,15.07,15.12,2.497,154200.0,0.0,1.0
2007-03-15,15.22,15.75,15.12,15.37,2.5383,127200.0,0.0,1.0
2007-03-16,15.77,15.77,15.4,15.44,2.5498,129200.0,0.0,1.0
2007-03-19,15.34,15.4,14.96,15.06,2.4871,147500.0,0.0,1.0
2007-03-20,15.2,15.2,14.85,15.09,2.492,313600.0,0.0,1.0
2007-03-21,15.15,15.53,15.08,15.39,2.5416,456500.0,0.0,1.0
2007-03-22,15.3,16.29,15.3,16.1,2.6588,223300.0,0.0,1.0
2007-03-23,16.11,16.4,15.87,16.27,2.6869,53000.0,0.0,1.0
2007-03-26,16.18,16.6,16.18,16.5,2.7249,82900.0,0.0,1.0
2007-03-27,16.49,16.51,16.31,16.34,2.6985,47100.0,0.0,1.0
2007-03-28,16.4,16.47,15.89,16.34,2.6985,84900.0,0.0,1.0
2007-03-29,16.4,17.0,16.4,16.8,2.7744,140100.0,0.0,1.0
2007-03-30,16.98,17.16,16.0,16.0,2.6423,1266400.0,0.0,1.0
2007-04-02,16.1,16.1,15.3,15.75,2.601,256400.0,0.0,1.0
2007-04-03,17.24,17.24,16.46,16.9,2.8433,391000.0,0.29,1.0
2007-04-04,17.0,17.06,16.69,16.81,2.8282,85700.0,0.0,1.0
2007-04-05,16.71,16.94,16.53,16.88,2.8399,93100.0,0.0,1.0
2007-04-09,16.95,17.13,16.66,16.98,2.8568,110100.0,0.0,1.0
2007-04-10,16.88,17.45,16.88,17.19,2.8921,93500.0,0.0,1.0
2007-04-11,17.3,17.3,16.73,16.94,2.85,99900.0,0.0,1.0
2007-04-12,17.0,17.41,17.0,17.29,2.9089,672400.0,0.0,1.0
2007-04-13,17.46,17.83,17.01,17.55,2.9527,181600.0,0.0,1.0
2007-04-16,17.69,18.0,17.38,17.73,2.9829,75100.0,0.0,1.0
2007-04-17,17.86,17.9,17.59,17.82,2.9981,391700.0,0.0,1.0
2007-04-18,17.95,18.22,17.8,18.11,3.0469,125200.0,0.0,1.0
2007-04-19,18.1,18.41,17.53,18.41,3.0973,91800.0,0.0,1.0
2007-04-20,18.43,18.9,18.29,18.78,3.1596,159000.0,0.0,1.0
2007-04-23,18.0,18.36,17.92,18.0,3.0284,149800.0,0.0,1.0
2007-04-24,18.05,18.13,17.95,18.12,3.0486,82800.0,0.0,1.0
2007-04-25,18.2,18.31,17.76,18.01,3.03,90000.0,0.0,1.0
2007-04-26,18.06,18.2,17.78,18.1,3.0452,111100.0,0.0,1.0
2007-04-27,18.0,18.1,17.83,17.98,3.025,59300.0,0.0,1.0
2007-04-30,18.0,18.14,17.94,17.94,3.0183,117000.0,0.0,1.0
2007-05-01,18.0,18.13,17.7,18.13,3.0502,89600.0,0.0,1.0
